time,Sacramento,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Thompson (T. Parker gains possession),,,,Jump ball: T. Duncan vs. J. Thompson (T. Parker gains possession)
11:41.0,,,0-2,2,K. Leonard makes 2-pt shot from 18 ft
11:19.0,D. Cousins misses 2-pt shot from 11 ft,,0-2,,
11:18.0,Offensive rebound by D. Cousins,,0-2,,
11:14.0,Turnover by D. Cousins (bad pass; steal by T. Parker),,0-2,,
10:56.0,,,0-4,2,K. Leonard makes 2-pt shot from 12 ft
10:31.0,D. Cousins misses 2-pt shot from 15 ft,,0-4,,
10:30.0,Offensive rebound by Team,,0-4,,
10:30.0,Turnover by Team (shot clock),,0-4,,
10:16.0,,,0-6,2,T. Duncan makes 2-pt shot from 18 ft (assist by T. Parker)
10:01.0,D. Cousins makes 2-pt shot from 7 ft (assist by B. McLemore),2,2-6,,
9:48.0,,,2-6,,T. Parker misses 2-pt shot from 2 ft (block by R. McCallum)
9:46.0,Defensive rebound by R. McCallum,,2-6,,
9:33.0,Turnover by R. Gay (lost ball; steal by K. Leonard),,2-6,,
9:26.0,,,2-6,,T. Parker misses 2-pt shot from 8 ft
9:25.0,,,2-6,,Offensive rebound by Team
9:25.0,Loose ball foul by D. Cousins (drawn by T. Splitter),,2-6,,
9:18.0,,,2-9,3,K. Leonard makes 3-pt shot from 22 ft (assist by T. Duncan)
9:06.0,R. Gay misses 2-pt shot from 16 ft,,2-9,,
9:05.0,,,2-9,,Defensive rebound by T. Splitter
8:58.0,,,2-9,,D. Green misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by R. McCallum,,2-9,,
8:45.0,D. Cousins misses 2-pt shot at rim (block by T. Splitter),,2-9,,
8:42.0,,,2-9,,Defensive rebound by T. Duncan
8:37.0,,,2-11,2,T. Parker makes 2-pt shot from 1 ft
8:31.0,Sacramento full timeout,,2-11,,
8:20.0,B. McLemore misses 2-pt shot from 1 ft,,2-11,,
8:19.0,Offensive rebound by B. McLemore,,2-11,,
8:17.0,D. Cousins makes 2-pt shot from 16 ft (assist by R. McCallum),2,4-11,,
8:17.0,Shooting foul by T. Duncan (drawn by D. Cousins),,4-11,,
8:17.0,D. Cousins makes free throw 1 of 1,1,5-11,,
7:58.0,,,5-11,,Turnover by D. Green (bad pass; steal by D. Cousins)
7:47.0,R. Gay misses 2-pt shot from 3 ft,,5-11,,
7:46.0,Offensive rebound by J. Thompson,,5-11,,
7:46.0,J. Thompson misses 2-pt shot from 2 ft,,5-11,,
7:45.0,Offensive rebound by R. Gay,,5-11,,
7:44.0,R. Gay makes 2-pt shot from 3 ft,2,7-11,,
7:30.0,,,7-11,,T. Duncan misses 2-pt shot from 18 ft
7:29.0,Defensive rebound by D. Cousins,,7-11,,
7:19.0,Turnover by D. Cousins (lost ball; steal by T. Splitter),,7-11,,
7:11.0,,,7-11,,D. Green misses 3-pt shot from 23 ft
7:10.0,Defensive rebound by J. Thompson,,7-11,,
7:03.0,R. McCallum makes 2-pt shot at rim,2,9-11,,
6:49.0,,,9-13,2,T. Parker makes 2-pt shot from 14 ft
6:34.0,J. Thompson makes 2-pt shot from 20 ft (assist by R. McCallum),2,11-13,,
6:12.0,,,11-15,2,K. Leonard makes 2-pt shot from 18 ft
5:59.0,D. Cousins misses 2-pt shot from 1 ft (block by T. Duncan),,11-15,,
5:58.0,,,11-15,,Defensive rebound by T. Splitter
5:50.0,,,11-15,,T. Parker misses 2-pt shot from 19 ft
5:49.0,,,11-15,,Offensive rebound by T. Duncan
5:45.0,,,11-15,,D. Green misses 2-pt shot at rim
5:44.0,Defensive rebound by R. Gay,,11-15,,
5:30.0,J. Thompson misses 2-pt shot from 5 ft,,11-15,,
5:29.0,Offensive rebound by R. McCallum,,11-15,,
5:27.0,R. McCallum misses 2-pt shot from 13 ft,,11-15,,
5:26.0,Offensive rebound by Team,,11-15,,
5:26.0,,,11-15,,P. Mills enters the game for T. Parker
5:26.0,,,11-15,,M. Ginobili enters the game for D. Green
5:26.0,,,11-15,,Violation by M. Ginobili (kicked ball)
5:26.0,,,11-15,,B. Diaw enters the game for T. Duncan
5:16.0,B. McLemore makes 3-pt shot from 25 ft (assist by R. Gay),3,14-15,,
4:56.0,,,14-18,3,M. Ginobili makes 3-pt shot from 22 ft (assist by T. Splitter)
4:37.0,R. Gay misses 2-pt shot from 5 ft,,14-18,,
4:36.0,Offensive rebound by Team,,14-18,,
4:36.0,D. Williams enters the game for J. Thompson,,14-18,,
4:23.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Gay),2,16-18,,
4:14.0,,,16-18,,Turnover by K. Leonard (bad pass; steal by R. McCallum)
4:09.0,R. McCallum makes 2-pt shot at rim,2,18-18,,
4:09.0,Shooting foul by M. Ginobili (drawn by R. McCallum),,18-18,,
4:09.0,,,18-18,,A. Baynes enters the game for T. Splitter
4:09.0,,,18-18,,San Antonio full timeout
4:09.0,R. McCallum misses free throw 1 of 1,,18-18,,
4:08.0,,,18-18,,Defensive rebound by P. Mills
3:46.0,,,18-18,,Turnover by B. Diaw (bad pass; steal by D. Cousins)
3:43.0,Turnover by D. Cousins (bad pass; steal by M. Ginobili),,18-18,,
3:40.0,,,18-18,,M. Ginobili misses 2-pt shot at rim (block by D. Cousins)
3:40.0,,,18-18,,Offensive rebound by Team
3:35.0,,,18-20,2,K. Leonard makes 2-pt shot from 16 ft (assist by P. Mills)
3:10.0,D. Cousins misses 2-pt shot from 1 ft,,18-20,,
3:09.0,Offensive rebound by R. McCallum,,18-20,,
3:09.0,O. Casspi enters the game for R. Gay,,18-20,,
3:09.0,Jump ball: A. Baynes vs. R. McCallum (P. Mills gains possession),,,,Jump ball: A. Baynes vs. R. McCallum (P. Mills gains possession)
3:09.0,Turnover by R. McCallum (lost ball; steal by A. Baynes),,18-20,,
2:57.0,,,18-20,,P. Mills misses 2-pt shot from 19 ft
2:56.0,Defensive rebound by R. McCallum,,18-20,,
2:48.0,D. Williams makes 3-pt shot from 22 ft (assist by R. McCallum),3,21-20,,
2:29.0,,,21-20,,M. Ginobili misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by O. Casspi,,21-20,,
2:16.0,R. McCallum misses 2-pt shot from 7 ft (block by M. Ginobili),,21-20,,
2:15.0,,,21-20,,Defensive rebound by M. Ginobili
2:08.0,,,21-22,2,A. Baynes makes 2-pt shot from 4 ft (assist by K. Leonard)
