time,Orlando,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Kaman vs. N. Vucevic (D. Lillard gains possession),,,,Jump ball: C. Kaman vs. N. Vucevic (D. Lillard gains possession)
11:38.0,,,0-2,2,C. Kaman makes 2-pt shot from 6 ft
11:26.0,Turnover by E. Payton (bad pass),,0-2,,
11:05.0,,,0-2,,L. Aldridge misses 2-pt shot from 16 ft
11:04.0,,,0-2,,Offensive rebound by N. Batum
10:59.0,,,0-2,,N. Batum misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by N. Vucevic,,0-2,,
10:51.0,Shooting foul by C. Kaman (drawn by V. Oladipo),,0-2,,
10:51.0,V. Oladipo makes free throw 1 of 2,1,1-2,,
10:51.0,V. Oladipo makes free throw 2 of 2,1,2-2,,
10:28.0,,,2-2,,Turnover by N. Batum (bad pass; steal by D. Marble)
10:12.0,N. Vucevic makes 2-pt shot from 4 ft,2,4-2,,
9:56.0,,,4-4,2,L. Aldridge makes 2-pt shot from 11 ft
9:48.0,Turnover by N. Vucevic (lost ball; steal by D. Lillard),,4-4,,
9:39.0,,,4-4,,L. Aldridge misses 2-pt shot from 12 ft
9:39.0,Defensive rebound by N. Vucevic,,4-4,,
9:30.0,Shooting foul by C. Kaman (drawn by N. Vucevic),,4-4,,
9:30.0,N. Vucevic misses free throw 1 of 2,,4-4,,
9:30.0,Offensive rebound by Team,,4-4,,
9:30.0,,,4-4,,M. Leonard enters the game for C. Kaman
9:30.0,N. Vucevic makes free throw 2 of 2,1,5-4,,
9:14.0,,,5-4,,L. Aldridge misses 2-pt shot from 7 ft
9:13.0,Defensive rebound by C. Frye,,5-4,,
8:58.0,C. Frye misses 3-pt shot from 26 ft,,5-4,,
8:57.0,,,5-4,,Defensive rebound by N. Batum
8:47.0,,,5-7,3,M. Leonard makes 3-pt shot from 26 ft (assist by D. Lillard)
8:32.0,V. Oladipo misses 2-pt shot at rim (block by N. Batum),,5-7,,
8:30.0,,,5-7,,Defensive rebound by N. Batum
8:25.0,,,5-10,3,W. Matthews makes 3-pt shot from 26 ft (assist by N. Batum)
8:10.0,V. Oladipo misses 3-pt shot from 24 ft,,5-10,,
8:10.0,Offensive rebound by E. Payton,,5-10,,
7:57.0,N. Vucevic makes 2-pt shot from 11 ft,2,7-10,,
7:36.0,,,7-12,2,L. Aldridge makes 2-pt shot from 3 ft (assist by D. Lillard)
7:21.0,N. Vucevic misses 2-pt shot from 10 ft,,7-12,,
7:20.0,,,7-12,,Defensive rebound by N. Batum
7:14.0,,,7-12,,W. Matthews misses 3-pt shot from 25 ft
7:13.0,,,7-12,,Offensive rebound by L. Aldridge
7:11.0,,,7-14,2,L. Aldridge makes 2-pt shot at rim
6:58.0,V. Oladipo misses 2-pt shot from 1 ft,,7-14,,
6:57.0,Offensive rebound by N. Vucevic,,7-14,,
6:54.0,N. Vucevic misses 2-pt shot from 1 ft,,7-14,,
6:53.0,,,7-14,,Defensive rebound by L. Aldridge
6:44.0,,,7-17,3,D. Lillard makes 3-pt shot from 24 ft (assist by W. Matthews)
6:42.0,Orlando full timeout,,7-17,,
6:30.0,C. Frye misses 2-pt shot from 20 ft,,7-17,,
6:29.0,,,7-17,,Defensive rebound by N. Batum
6:18.0,,,7-17,,Turnover by L. Aldridge (traveling)
6:08.0,E. Payton misses 2-pt shot from 16 ft,,7-17,,
6:07.0,,,7-17,,Defensive rebound by N. Batum
5:53.0,,,7-19,2,M. Leonard makes 2-pt shot from 7 ft (assist by W. Matthews)
5:30.0,Turnover by N. Vucevic (bad pass; steal by W. Matthews),,7-19,,
5:25.0,,,7-19,,W. Matthews misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by C. Frye,,7-19,,
5:20.0,Turnover by C. Frye (bad pass; steal by W. Matthews),,7-19,,
5:16.0,,,7-19,,L. Aldridge misses 2-pt shot from 18 ft
5:15.0,Defensive rebound by N. Vucevic,,7-19,,
5:07.0,C. Frye misses 3-pt shot from 26 ft,,7-19,,
5:05.0,,,7-19,,Defensive rebound by M. Leonard
4:57.0,,,7-19,,D. Lillard misses 3-pt shot from 27 ft
4:56.0,Defensive rebound by V. Oladipo,,7-19,,
4:51.0,E. Payton misses 2-pt shot from 1 ft (block by N. Batum),,7-19,,
4:48.0,Offensive rebound by V. Oladipo,,7-19,,
4:46.0,V. Oladipo misses 2-pt shot from 1 ft (block by N. Batum),,7-19,,
4:44.0,,,7-19,,Defensive rebound by N. Batum
4:42.0,,,7-19,,Shooting foul by D. Marble (drawn by D. Lillard)
4:42.0,,,7-20,1,D. Lillard makes free throw 1 of 2
4:42.0,,,7-20,,C. McCollum enters the game for W. Matthews
4:42.0,M. Harkless enters the game for D. Marble,,7-20,,
4:42.0,,,7-20,,D. Lillard misses free throw 2 of 2
4:41.0,Defensive rebound by C. Frye,,7-20,,
4:27.0,V. Oladipo makes 2-pt shot from 11 ft,2,9-20,,
4:08.0,,,9-20,,N. Batum misses 2-pt shot from 1 ft
4:07.0,Defensive rebound by N. Vucevic,,9-20,,
3:58.0,V. Oladipo misses 3-pt shot from 25 ft,,9-20,,
3:57.0,,,9-20,,Defensive rebound by M. Leonard
3:37.0,,,9-20,,Turnover by M. Leonard (lost ball)
3:37.0,K. O'Quinn enters the game for N. Vucevic,,9-20,,
3:24.0,C. Frye misses 3-pt shot from 26 ft,,9-20,,
3:23.0,,,9-20,,Defensive rebound by D. Lillard
3:16.0,,,9-20,,Shooting foul by K. O'Quinn (drawn by D. Lillard)
3:16.0,,,9-21,1,D. Lillard makes free throw 1 of 2
3:16.0,L. Ridnour enters the game for E. Payton,,9-21,,
3:16.0,,,9-22,1,D. Lillard makes free throw 2 of 2
3:06.0,M. Harkless misses 2-pt shot at rim (block by L. Aldridge),,9-22,,
3:02.0,,,9-22,,Defensive rebound by M. Leonard
2:53.0,,,9-22,,C. McCollum misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by K. O'Quinn,,9-22,,
2:46.0,Offensive foul by K. O'Quinn,,9-22,,
2:46.0,Turnover by K. O'Quinn (offensive foul),,9-22,,
2:46.0,,,9-22,,Portland full timeout
2:46.0,,,9-22,,S. Blake enters the game for D. Lillard
2:38.0,,,9-22,,M. Leonard misses 2-pt shot at rim
2:36.0,Defensive rebound by C. Frye,,9-22,,
2:21.0,V. Oladipo misses 3-pt shot from 24 ft,,9-22,,
2:20.0,,,9-22,,Defensive rebound by N. Batum
2:07.0,,,9-24,2,M. Leonard makes 2-pt shot from 11 ft
1:50.0,K. O'Quinn makes 2-pt shot from 12 ft,2,11-24,,
1:30.0,,,11-24,,Turnover by N. Batum (traveling)
1:30.0,A. Nicholson enters the game for C. Frye,,11-24,,
1:30.0,B. Gordon enters the game for V. Oladipo,,11-24,,
1:30.0,,,11-24,,W. Matthews enters the game for N. Batum
1:18.0,M. Harkless misses 3-pt shot from 27 ft,,11-24,,
1:17.0,Offensive rebound by L. Ridnour,,11-24,,
1:02.0,Turnover by K. O'Quinn (lost ball),,11-24,,
0:51.0,,,11-26,2,L. Aldridge makes 2-pt shot at rim
0:45.0,M. Harkless makes 2-pt shot from 2 ft (assist by L. Ridnour),2,13-26,,
0:31.0,,,13-26,,Turnover by W. Matthews (bad pass)
0:10.0,A. Nicholson misses 2-pt shot from 7 ft,,13-26,,
0:09.0,,,13-26,,Defensive rebound by M. Leonard
0:01.0,,,13-26,,M. Leonard misses 3-pt shot from 29 ft
0:00.0,Defensive rebound by K. O'Quinn,,13-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,B. Gordon misses 2-pt shot from 19 ft,,13-26,,
11:41.0,,,13-26,,Defensive rebound by W. Matthews
11:25.0,,,13-26,,C. Kaman misses 2-pt shot from 19 ft
11:24.0,Defensive rebound by B. Gordon,,13-26,,
11:15.0,A. Nicholson makes 2-pt shot from 20 ft (assist by B. Gordon),2,15-26,,
10:51.0,,,15-28,2,C. Kaman makes 2-pt shot from 15 ft (assist by M. Leonard)
10:39.0,B. Gordon misses 2-pt shot from 14 ft,,15-28,,
10:38.0,,,15-28,,Defensive rebound by M. Leonard
10:32.0,,,15-30,2,W. Barton makes 2-pt shot at rim (assist by S. Blake)
10:14.0,L. Ridnour makes 2-pt shot from 18 ft (assist by A. Nicholson),2,17-30,,
10:00.0,,,17-30,,Offensive charge foul by W. Barton
10:00.0,,,17-30,,Turnover by W. Barton (offensive foul)
10:00.0,,,17-30,,D. Wright enters the game for M. Leonard
9:45.0,Offensive foul by K. O'Quinn,,17-30,,
9:45.0,Turnover by K. O'Quinn (offensive foul),,17-30,,
9:34.0,,,17-30,,Offensive foul by C. Kaman
9:34.0,,,17-30,,Turnover by C. Kaman (offensive foul)
9:34.0,,,17-30,,T. Robinson enters the game for C. Kaman
9:13.0,A. Nicholson misses 2-pt shot from 11 ft,,17-30,,
9:11.0,,,17-30,,Defensive rebound by T. Robinson
9:06.0,,,17-30,,Shooting foul by A. Nicholson (drawn by D. Wright)
9:06.0,,,17-31,1,D. Wright makes free throw 1 of 3
9:06.0,,,17-31,,D. Wright misses free throw 2 of 3
9:06.0,,,17-31,,Offensive rebound by Team
9:06.0,,,17-32,1,D. Wright makes free throw 3 of 3
8:48.0,L. Ridnour misses 2-pt shot from 15 ft,,17-32,,
8:47.0,,,17-32,,Defensive rebound by W. Matthews
8:28.0,,,17-35,3,D. Wright makes 3-pt shot from 24 ft (assist by S. Blake)
8:21.0,Official timeout,,17-35,,
8:21.0,V. Oladipo enters the game for K. O'Quinn,,17-35,,
8:21.0,N. Vucevic enters the game for A. Nicholson,,17-35,,
8:07.0,B. Gordon makes 3-pt shot from 25 ft (assist by L. Ridnour),3,20-35,,
7:53.0,,,20-37,2,T. Robinson makes 2-pt shot at rim (assist by D. Wright)
7:39.0,Turnover by B. Gordon (bad pass),,20-37,,
7:39.0,,,20-37,,D. Lillard enters the game for W. Matthews
7:39.0,,,20-37,,N. Batum enters the game for S. Blake
7:22.0,,,20-39,2,T. Robinson makes 2-pt shot at rim (assist by N. Batum)
6:53.0,L. Ridnour makes 3-pt shot from 32 ft (assist by N. Vucevic),3,23-39,,
6:33.0,,,23-39,,N. Batum misses 3-pt shot from 26 ft
6:32.0,Defensive rebound by N. Vucevic,,23-39,,
6:18.0,M. Harkless misses 2-pt shot from 2 ft,,23-39,,
6:16.0,Offensive rebound by N. Vucevic,,23-39,,
6:16.0,N. Vucevic makes 2-pt shot at rim,2,25-39,,
5:52.0,,,25-39,,Portland full timeout
5:52.0,C. Frye enters the game for M. Harkless,,25-39,,
5:52.0,E. Payton enters the game for L. Ridnour,,25-39,,
5:48.0,,,25-39,,T. Robinson misses 2-pt shot from 16 ft
5:47.0,Defensive rebound by C. Frye,,25-39,,
5:39.0,V. Oladipo misses 2-pt shot from 5 ft (block by T. Robinson),,25-39,,
5:39.0,Offensive rebound by Team,,25-39,,
5:36.0,V. Oladipo makes 2-pt shot from 14 ft (assist by E. Payton),2,27-39,,
5:16.0,,,27-41,2,T. Robinson makes 2-pt shot from 6 ft (assist by W. Barton)
5:09.0,,,27-41,,L. Aldridge enters the game for D. Wright
5:04.0,V. Oladipo misses 2-pt shot from 12 ft (block by N. Batum),,27-41,,
5:00.0,Offensive rebound by V. Oladipo,,27-41,,
4:57.0,N. Vucevic makes 2-pt shot from 8 ft (assist by V. Oladipo),2,29-41,,
4:39.0,,,29-44,3,L. Aldridge makes 3-pt shot from 25 ft (assist by N. Batum)
4:25.0,N. Vucevic makes 2-pt shot from 13 ft (assist by E. Payton),2,31-44,,
4:10.0,,,31-44,,D. Lillard misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by V. Oladipo,,31-44,,
4:02.0,B. Gordon misses 3-pt shot from 25 ft,,31-44,,
4:01.0,,,31-44,,Defensive rebound by L. Aldridge
3:42.0,,,31-44,,L. Aldridge misses 2-pt shot from 15 ft
3:41.0,Defensive rebound by C. Frye,,31-44,,
3:34.0,E. Payton misses 2-pt shot from 21 ft,,31-44,,
3:33.0,Offensive rebound by B. Gordon,,31-44,,
3:29.0,Orlando full timeout,,31-44,,
3:29.0,,,31-44,,M. Leonard enters the game for T. Robinson
3:29.0,,,31-44,,W. Matthews enters the game for W. Barton
3:20.0,V. Oladipo misses 2-pt shot from 7 ft,,31-44,,
3:18.0,Offensive rebound by N. Vucevic,,31-44,,
3:18.0,N. Vucevic makes 2-pt shot from 1 ft,2,33-44,,
3:07.0,,,33-44,,Offensive foul by L. Aldridge
3:07.0,,,33-44,,Turnover by N. Batum (offensive foul)
2:53.0,V. Oladipo misses 2-pt shot from 1 ft,,33-44,,
2:52.0,Offensive rebound by N. Vucevic,,33-44,,
2:52.0,N. Vucevic makes 2-pt shot at rim,2,35-44,,
2:31.0,,,35-44,,D. Lillard misses 3-pt shot from 25 ft
2:28.0,Jump ball: C. Frye vs. M. Leonard (B. Gordon gains possession),,,,Jump ball: C. Frye vs. M. Leonard (B. Gordon gains possession)
2:28.0,Defensive rebound by Team,,35-44,,
2:21.0,Offensive foul by N. Vucevic,,35-44,,
2:21.0,Turnover by N. Vucevic (offensive foul),,35-44,,
2:03.0,,,35-44,,N. Batum misses 2-pt shot from 20 ft
2:02.0,Defensive rebound by N. Vucevic,,35-44,,
1:42.0,V. Oladipo makes 2-pt shot from 18 ft,2,37-44,,
1:22.0,,,37-44,,Shooting foul by N. Vucevic (drawn by L. Aldridge)
1:22.0,,,37-45,1,L. Aldridge makes free throw 1 of 2
1:22.0,,,37-46,1,L. Aldridge makes free throw 2 of 2
1:10.0,Shooting foul by M. Leonard (drawn by V. Oladipo),,37-46,,
1:10.0,V. Oladipo makes free throw 1 of 2,1,38-46,,
1:10.0,V. Oladipo makes free throw 2 of 2,1,39-46,,
