time,Indiana,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. M. Plumlee (D. Sloan gains possession),,,,Jump ball: R. Hibbert vs. M. Plumlee (D. Sloan gains possession)
11:39.0,,,0-0,,Personal foul by M. Plumlee (drawn by R. Hibbert)
11:30.0,R. Stuckey makes 2-pt shot from 17 ft (assist by D. Sloan),2,2-0,,
11:08.0,,,2-2,2,G. Dragic makes 2-pt shot from 16 ft
10:48.0,R. Hibbert misses 2-pt shot from 12 ft,,2-2,,
10:45.0,Offensive rebound by R. Stuckey,,2-2,,
10:35.0,R. Stuckey makes 2-pt shot from 1 ft,2,4-2,,
10:22.0,,,4-2,,M. Morris misses 2-pt shot from 14 ft
10:18.0,Defensive rebound by D. Sloan,,4-2,,
10:10.0,,,4-2,,Violation by M. Morris (kicked ball)
9:57.0,D. Sloan misses 2-pt shot from 17 ft,,4-2,,
9:55.0,,,4-2,,Defensive rebound by P. Tucker
9:50.0,,,4-4,2,E. Bledsoe makes 2-pt shot from 6 ft
9:22.0,D. Sloan misses 3-pt shot from 24 ft,,4-4,,
9:20.0,,,4-4,,Defensive rebound by M. Morris
9:15.0,,,4-6,2,G. Dragic makes 2-pt shot at rim
8:57.0,R. Stuckey misses 2-pt shot from 5 ft (block by M. Plumlee),,4-6,,
8:55.0,,,4-6,,Defensive rebound by G. Dragic
8:52.0,,,4-6,,E. Bledsoe misses 2-pt shot from 1 ft
8:49.0,Defensive rebound by S. Hill,,4-6,,
8:36.0,R. Hibbert misses 2-pt shot from 9 ft,,4-6,,
8:33.0,Offensive rebound by D. West,,4-6,,
8:32.0,D. West makes 2-pt shot at rim,2,6-6,,
8:17.0,,,6-6,,M. Morris misses 2-pt shot from 5 ft
8:14.0,,,6-6,,Offensive rebound by M. Plumlee
8:13.0,,,6-8,2,M. Plumlee makes 2-pt shot from 1 ft
7:51.0,D. West misses 2-pt shot from 16 ft,,6-8,,
7:49.0,,,6-8,,Defensive rebound by E. Bledsoe
7:46.0,Violation by S. Hill (def goaltending),,6-8,,
7:46.0,,,6-10,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
7:33.0,Turnover by D. West (bad pass; steal by G. Dragic),,6-10,,
7:31.0,,,6-10,,Shooting foul by R. Stuckey (drawn by G. Dragic)
7:31.0,,,6-11,1,G. Dragic makes free throw 1 of 2
7:31.0,,,6-12,1,G. Dragic makes free throw 2 of 2
7:15.0,R. Hibbert makes 2-pt shot from 10 ft,2,8-12,,
7:05.0,,,8-12,,Shooting foul by S. Hill (drawn by M. Plumlee)
7:05.0,,,8-12,,M. Plumlee misses free throw 1 of 2
7:05.0,,,8-12,,Offensive rebound by Team
7:05.0,,,8-13,1,M. Plumlee makes free throw 2 of 2
6:45.0,D. West misses 2-pt shot from 20 ft,,8-13,,
6:43.0,Offensive rebound by R. Hibbert,,8-13,,
6:40.0,Turnover by S. Hill (bad pass; steal by E. Bledsoe),,8-13,,
6:35.0,,,8-13,,E. Bledsoe misses 2-pt shot at rim
6:35.0,,,8-13,,Offensive rebound by P. Tucker
6:35.0,,,8-15,2,P. Tucker makes 2-pt shot at rim
6:35.0,Indiana full timeout,,8-15,,
6:20.0,S. Hill misses 2-pt shot at rim (block by M. Plumlee),,8-15,,
6:17.0,,,8-15,,Defensive rebound by G. Dragic
6:10.0,,,8-18,3,G. Dragic makes 3-pt shot from 25 ft (assist by E. Bledsoe)
5:46.0,D. West makes 2-pt shot from 7 ft,2,10-18,,
5:35.0,Personal foul by R. Stuckey (drawn by G. Dragic),,10-18,,
5:35.0,,,10-18,,A. Len enters the game for M. Plumlee
5:35.0,C. Miles enters the game for R. Stuckey,,10-18,,
5:30.0,,,10-18,,G. Dragic misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by C. Miles,,10-18,,
5:11.0,C. Miles makes 3-pt shot from 26 ft (assist by D. Sloan),3,13-18,,
5:01.0,,,13-20,2,E. Bledsoe makes 2-pt shot from 10 ft
4:41.0,,,13-20,,Personal foul by A. Len (drawn by R. Hibbert)
4:41.0,I. Mahinmi enters the game for R. Hibbert,,13-20,,
4:37.0,C. Miles makes 2-pt shot at rim (assist by D. West),2,15-20,,
4:20.0,,,15-20,,M. Morris misses 2-pt shot from 5 ft
4:18.0,Defensive rebound by D. West,,15-20,,
3:57.0,S. Hill misses 2-pt shot from 5 ft (block by A. Len),,15-20,,
3:55.0,,,15-20,,Defensive rebound by A. Len
3:55.0,,,15-20,,Turnover by A. Len (bad pass; steal by I. Mahinmi)
3:53.0,I. Mahinmi makes 2-pt shot from 1 ft,2,17-20,,
3:43.0,,,17-20,,Turnover by G. Dragic (offensive foul)
3:43.0,,,17-20,,Offensive foul by G. Dragic
3:43.0,,,17-20,,G. Green enters the game for G. Dragic
3:43.0,,,17-20,,M. Morris enters the game for P. Tucker
3:32.0,D. Sloan makes 2-pt shot at rim,2,19-20,,
3:10.0,,,19-20,,A. Len misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by I. Mahinmi,,19-20,,
