time,New York,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. J. Smith (L. Galloway gains possession),,,,Jump ball: K. Faried vs. J. Smith (L. Galloway gains possession)
11:45.0,L. Thomas makes 2-pt shot from 11 ft (assist by A. Bargnani),2,2-0,,
11:27.0,,,2-2,2,T. Lawson makes 2-pt shot from 4 ft
11:11.0,A. Shved makes 2-pt shot at rim,2,4-2,,
10:51.0,,,4-2,,R. Foye misses 3-pt shot from 22 ft
10:49.0,Defensive rebound by A. Bargnani,,4-2,,
10:40.0,J. Smith misses 3-pt shot from 23 ft,,4-2,,
10:38.0,Offensive rebound by A. Bargnani,,4-2,,
10:30.0,Jump ball: A. Bargnani vs. K. Faried (L. Thomas gains possession),,,,Jump ball: A. Bargnani vs. K. Faried (L. Thomas gains possession)
10:19.0,J. Smith makes 2-pt shot from 19 ft (assist by L. Galloway),2,6-2,,
10:02.0,,,6-4,2,R. Foye makes 2-pt shot from 1 ft
9:50.0,L. Galloway misses 2-pt shot from 22 ft,,6-4,,
9:48.0,,,6-4,,Defensive rebound by R. Foye
9:43.0,,,6-4,,K. Faried misses 2-pt shot at rim
9:41.0,Defensive rebound by L. Thomas,,6-4,,
9:30.0,Shooting foul by D. Gallinari (drawn by A. Bargnani),,6-4,,
9:30.0,A. Bargnani misses free throw 1 of 2,,6-4,,
9:30.0,Offensive rebound by Team,,6-4,,
9:30.0,A. Bargnani makes free throw 2 of 2,1,7-4,,
9:18.0,,,7-4,,D. Gallinari misses 2-pt shot from 19 ft
9:17.0,Defensive rebound by Team,,7-4,,
9:06.0,,,7-4,,Personal foul by D. Gallinari (drawn by A. Bargnani)
8:59.0,L. Thomas misses 2-pt shot from 2 ft,,7-4,,
8:56.0,,,7-4,,Defensive rebound by K. Faried
8:52.0,,,7-6,2,W. Chandler makes 2-pt shot from 1 ft (assist by R. Foye)
8:52.0,,,7-6,,Shooting foul by J. Smith (drawn by W. Chandler)
8:52.0,,,7-6,,J. Hickson enters the game for D. Gallinari
8:52.0,,,7-7,1,W. Chandler makes free throw 1 of 1
8:38.0,A. Shved makes 3-pt shot from 26 ft,3,10-7,,
8:22.0,,,10-7,,J. Hickson misses 2-pt shot from 11 ft
8:21.0,Defensive rebound by L. Galloway,,10-7,,
8:10.0,A. Bargnani misses 2-pt shot from 11 ft,,10-7,,
8:09.0,,,10-7,,Defensive rebound by J. Hickson
8:04.0,Personal foul by A. Shved (drawn by K. Faried),,10-7,,
8:00.0,,,10-7,,Turnover by W. Chandler (traveling)
7:46.0,A. Bargnani misses 2-pt shot from 13 ft,,10-7,,
7:45.0,Offensive rebound by A. Bargnani,,10-7,,
7:34.0,A. Bargnani misses 2-pt shot from 2 ft (block by J. Hickson),,10-7,,
7:33.0,,,10-7,,Defensive rebound by K. Faried
7:29.0,,,10-7,,Shooting foul by L. Galloway (drawn by T. Lawson)
7:29.0,,,10-8,1,T. Lawson makes free throw 1 of 2
7:29.0,,,10-8,,T. Lawson misses free throw 2 of 2
7:27.0,Defensive rebound by L. Thomas,,10-8,,
7:09.0,A. Bargnani makes 2-pt shot from 17 ft (assist by A. Shved),2,12-8,,
7:00.0,,,12-8,,Turnover by K. Faried (lost ball; steal by L. Thomas)
6:55.0,A. Shved makes 2-pt shot from 1 ft (assist by L. Galloway),2,14-8,,
6:45.0,,,14-8,,Denver full timeout
6:37.0,,,14-8,,Shooting foul by L. Thomas (drawn by J. Hickson)
6:37.0,,,14-8,,J. Hickson misses free throw 1 of 2
6:37.0,,,14-8,,Offensive rebound by Team
6:37.0,,,14-9,1,J. Hickson makes free throw 2 of 2
6:19.0,J. Smith misses 2-pt shot from 4 ft,,14-9,,
6:17.0,,,14-9,,Defensive rebound by J. Hickson
6:06.0,,,14-9,,W. Chandler misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by A. Bargnani,,14-9,,
5:54.0,Shooting foul by W. Chandler (drawn by J. Smith),,14-9,,
5:54.0,J. Smith makes free throw 1 of 2,1,15-9,,
5:54.0,J. Smith misses free throw 2 of 2,,15-9,,
5:53.0,,,15-9,,Defensive rebound by J. Hickson
5:38.0,,,15-9,,Shooting foul by A. Shved (drawn by J. Hickson)
5:38.0,,,15-10,1,J. Hickson makes free throw 1 of 2
5:38.0,S. Larkin enters the game for A. Shved,,15-10,,
5:38.0,,,15-10,,J. Hickson misses free throw 2 of 2
5:36.0,Defensive rebound by L. Thomas,,15-10,,
5:19.0,A. Bargnani misses 2-pt shot from 11 ft,,15-10,,
5:18.0,,,15-10,,Defensive rebound by W. Chandler
5:07.0,Personal foul by J. Smith (drawn by K. Faried),,15-10,,
5:07.0,,,15-11,1,K. Faried makes free throw 1 of 2
5:07.0,,,15-11,,W. Barton enters the game for R. Foye
5:07.0,L. Amundson enters the game for J. Smith,,15-11,,
5:07.0,,,15-11,,K. Faried misses free throw 2 of 2
5:04.0,Defensive rebound by L. Thomas,,15-11,,
4:51.0,L. Galloway makes 2-pt shot from 17 ft (assist by L. Amundson),2,17-11,,
4:45.0,Personal foul by L. Amundson (drawn by K. Faried),,17-11,,
4:45.0,,,17-12,1,K. Faried makes free throw 1 of 2
4:45.0,C. Early enters the game for L. Thomas,,17-12,,
4:45.0,,,17-13,1,K. Faried makes free throw 2 of 2
4:28.0,A. Bargnani makes 2-pt shot from 14 ft (assist by L. Galloway),2,19-13,,
4:14.0,Personal foul by S. Larkin (drawn by W. Barton),,19-13,,
4:14.0,,,19-14,1,W. Barton makes free throw 1 of 2
4:14.0,,,19-14,,D. Arthur enters the game for K. Faried
4:14.0,,,19-15,1,W. Barton makes free throw 2 of 2
3:57.0,C. Early misses 3-pt shot from 22 ft,,19-15,,
3:56.0,,,19-15,,Defensive rebound by D. Arthur
3:46.0,,,19-17,2,W. Chandler makes 2-pt shot from 5 ft
3:32.0,L. Amundson makes 2-pt shot from 2 ft (assist by S. Larkin),2,21-17,,
