time,Phoenix,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. M. Plumlee (M. Morris gains possession),,,,Jump ball: D. Favors vs. M. Plumlee (M. Morris gains possession)
11:43.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,3-0,,
11:23.0,,,3-0,,Turnover by A. Burks (step out of bounds)
11:08.0,Turnover by M. Plumlee (bad pass; steal by T. Burke),,3-0,,
11:03.0,,,3-0,,A. Burks misses 2-pt shot from 2 ft (block by M. Plumlee)
11:03.0,Defensive rebound by Team,,3-0,,
10:45.0,M. Morris misses 2-pt shot from 15 ft,,3-0,,
10:44.0,,,3-0,,Defensive rebound by A. Burks
10:26.0,,,3-0,,T. Burke misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by G. Dragic,,3-0,,
10:19.0,G. Dragic misses 2-pt shot from 7 ft,,3-0,,
10:17.0,,,3-0,,Defensive rebound by D. Favors
10:06.0,,,3-0,,Turnover by E. Kanter (bad pass; steal by E. Bledsoe)
10:01.0,M. Morris makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,5-0,,
9:45.0,,,5-2,2,T. Burke makes 2-pt shot at rim
9:45.0,,,5-2,,Shooting foul by M. Morris (drawn by T. Burke)
9:45.0,,,5-2,,T. Burke misses free throw 1 of 1
9:43.0,,,5-2,,Offensive rebound by E. Kanter
9:37.0,,,5-2,,A. Burks misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by E. Bledsoe,,5-2,,
9:32.0,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,7-2,,
9:10.0,,,7-2,,E. Kanter misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by E. Bledsoe,,7-2,,
9:05.0,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe),2,9-2,,
8:59.0,,,9-2,,Utah full timeout
8:45.0,,,9-4,2,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward)
8:27.0,G. Dragic misses 2-pt shot from 3 ft (block by D. Favors),,9-4,,
8:25.0,,,9-4,,Defensive rebound by G. Hayward
8:22.0,,,9-6,2,G. Hayward makes 2-pt shot at rim
8:05.0,E. Bledsoe misses 3-pt shot from 24 ft,,9-6,,
8:04.0,,,9-6,,Defensive rebound by G. Hayward
7:49.0,,,9-8,2,D. Favors makes 2-pt shot from 4 ft
7:31.0,G. Dragic misses 3-pt shot from 24 ft (block by A. Burks),,9-8,,
7:31.0,Offensive rebound by Team,,9-8,,
7:28.0,M. Morris makes 2-pt shot from 19 ft (assist by M. Morris),2,11-8,,
7:14.0,,,11-10,2,D. Favors makes 2-pt shot from 7 ft
6:54.0,M. Morris makes 2-pt shot from 14 ft,2,13-10,,
6:46.0,,,13-12,2,G. Hayward makes 2-pt shot at rim
6:40.0,Turnover by M. Morris (bad pass; steal by T. Burke),,13-12,,
6:37.0,,,13-14,2,T. Burke makes 2-pt shot from 1 ft
6:33.0,Shooting foul by D. Favors (drawn by E. Bledsoe),,13-14,,
6:33.0,E. Bledsoe misses free throw 1 of 2,,13-14,,
6:33.0,Offensive rebound by Team,,13-14,,
6:33.0,A. Len enters the game for M. Plumlee,,13-14,,
6:33.0,E. Bledsoe makes free throw 2 of 2,1,14-14,,
6:20.0,,,14-14,,E. Kanter misses 2-pt shot from 4 ft (block by M. Morris)
6:18.0,Defensive rebound by E. Bledsoe,,14-14,,
6:10.0,E. Bledsoe misses 3-pt shot from 24 ft,,14-14,,
6:09.0,,,14-14,,Defensive rebound by G. Hayward
6:02.0,,,14-16,2,D. Favors makes 2-pt shot from 3 ft
6:02.0,,,14-16,,Shooting foul by M. Morris (drawn by D. Favors)
6:02.0,,,14-17,1,D. Favors makes free throw 1 of 1
5:12.0,,,14-17,,G. Hayward misses 2-pt shot from 6 ft
5:12.0,,,14-17,,Offensive rebound by D. Favors
5:12.0,Turnover by Team (shot clock),,14-17,,
5:12.0,,,14-19,2,D. Favors makes 2-pt shot from 1 ft
4:59.0,G. Dragic misses 3-pt shot from 25 ft,,14-19,,
4:57.0,,,14-19,,Defensive rebound by G. Hayward
4:51.0,,,14-19,,T. Burke misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by E. Bledsoe,,14-19,,
4:33.0,A. Len makes 2-pt shot at rim (assist by M. Morris),2,16-19,,
4:19.0,,,16-21,2,A. Burks makes 2-pt shot from 16 ft
4:07.0,M. Morris misses 3-pt shot from 24 ft,,16-21,,
4:06.0,,,16-21,,Defensive rebound by G. Hayward
4:04.0,Clear path foul by M. Morris,,16-21,,
4:04.0,Technical foul by G. Dragic,,16-21,,
4:04.0,,,16-22,1,A. Burks makes technical free throw
4:04.0,,,16-23,1,A. Burks makes clear path free throw 1 of 2
4:04.0,,,16-24,1,A. Burks makes clear path free throw 2 of 2
4:04.0,,,16-24,,T. Booker enters the game for E. Kanter
4:04.0,,,16-24,,R. Hood enters the game for G. Hayward
4:04.0,A. Tolliver enters the game for M. Morris,,16-24,,
4:04.0,G. Green enters the game for M. Morris,,16-24,,
4:02.0,I. Thomas enters the game for E. Bledsoe,,16-24,,
3:55.0,,,16-24,,D. Favors misses 2-pt shot from 3 ft
3:54.0,Defensive rebound by A. Tolliver,,16-24,,
3:52.0,Turnover by A. Tolliver (bad pass; steal by D. Favors),,16-24,,
3:49.0,,,16-26,2,D. Favors makes 2-pt shot at rim
3:31.0,G. Green makes 2-pt shot from 6 ft (assist by A. Len),2,18-26,,
3:15.0,,,18-28,2,A. Burks makes 2-pt shot at rim (assist by T. Booker)
3:01.0,G. Green misses 2-pt shot from 8 ft,,18-28,,
3:00.0,,,18-28,,Defensive rebound by D. Favors
2:41.0,,,18-28,,R. Hood misses 3-pt shot from 24 ft
2:40.0,,,18-28,,Offensive rebound by Team
2:40.0,Phoenix full timeout,,18-28,,
2:26.0,,,18-28,,T. Burke misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by Team,,18-28,,
2:02.0,G. Dragic misses 2-pt shot from 18 ft,,18-28,,
2:01.0,,,18-28,,Defensive rebound by T. Burke
1:45.0,,,18-28,,D. Favors misses 2-pt shot from 14 ft
1:44.0,Defensive rebound by A. Tolliver,,18-28,,
1:37.0,I. Thomas misses 2-pt shot from 5 ft (block by T. Burke),,18-28,,
1:34.0,Offensive rebound by I. Thomas,,18-28,,
1:26.0,G. Green makes 2-pt shot from 15 ft,2,20-28,,
1:11.0,,,20-28,,Shooting foul by G. Dragic (drawn by T. Burke)
1:11.0,,,20-29,1,A. Burks makes free throw 1 of 3
1:11.0,,,20-29,,D. Exum enters the game for T. Burke
1:11.0,,,20-30,1,A. Burks makes free throw 2 of 3
1:11.0,,,20-30,,R. Gobert enters the game for D. Favors
1:11.0,,,20-31,1,A. Burks makes free throw 3 of 3
0:56.0,A. Tolliver misses 3-pt shot from 23 ft,,20-31,,
0:55.0,,,20-31,,Defensive rebound by Team
0:55.0,A. Goodwin enters the game for G. Dragic,,20-31,,
0:40.0,,,20-31,,Turnover by A. Burks (bad pass; steal by G. Green)
0:34.0,A. Tolliver makes 2-pt shot from 1 ft (assist by I. Thomas),2,22-31,,
0:18.0,,,22-33,2,T. Booker makes 2-pt shot from 8 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,22-33,,G. Hayward misses 3-pt shot from 24 ft
11:34.0,,,22-33,,Offensive rebound by T. Booker
11:29.0,,,22-33,,R. Hood misses 2-pt shot from 6 ft
11:29.0,,,22-33,,Offensive rebound by Team
11:29.0,M. Morris enters the game for A. Tolliver,,22-33,,
11:22.0,,,22-33,,Shooting foul by A. Goodwin (drawn by R. Hood)
11:22.0,,,22-34,1,R. Hood makes free throw 1 of 2
11:22.0,,,22-35,1,R. Hood makes free throw 2 of 2
