time,Boston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. B. Bass (L. Thomas gains possession),,,,Jump ball: L. Amundson vs. B. Bass (L. Thomas gains possession)
11:45.0,,,0-0,,A. Bargnani misses 2-pt shot from 7 ft
11:43.0,Defensive rebound by T. Zeller,,0-0,,
11:30.0,A. Bradley misses 2-pt shot from 20 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by L. Amundson
11:10.0,,,0-0,,L. Amundson misses 2-pt shot from 15 ft
11:08.0,Defensive rebound by E. Turner,,0-0,,
11:01.0,E. Turner misses 2-pt shot from 17 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by A. Bargnani
10:46.0,,,0-0,,A. Bargnani misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by B. Bass,,0-0,,
10:34.0,,,0-0,,Personal foul by L. Galloway (drawn by T. Zeller)
10:26.0,T. Zeller misses 2-pt shot from 19 ft,,0-0,,
10:24.0,,,0-0,,Defensive rebound by L. Galloway
10:02.0,,,0-2,2,L. Thomas makes 2-pt shot from 2 ft
9:45.0,A. Bradley makes 2-pt shot from 14 ft,2,2-2,,
9:29.0,,,2-2,,A. Bargnani misses 2-pt shot from 17 ft
9:27.0,Defensive rebound by T. Zeller,,2-2,,
9:15.0,T. Zeller makes 2-pt shot from 17 ft (assist by M. Smart),2,4-2,,
8:52.0,,,4-4,2,S. Larkin makes 2-pt shot from 16 ft
8:36.0,M. Smart makes 3-pt shot from 24 ft (assist by B. Bass),3,7-4,,
8:15.0,,,7-4,,Turnover by L. Thomas (lost ball; steal by A. Bradley)
8:03.0,E. Turner makes 2-pt shot from 15 ft,2,9-4,,
7:44.0,,,9-6,2,S. Larkin makes 2-pt shot from 20 ft (assist by L. Galloway)
7:28.0,Turnover by E. Turner (bad pass; steal by L. Galloway),,9-6,,
7:24.0,,,9-6,,L. Galloway misses 2-pt shot from 1 ft
7:23.0,,,9-6,,Offensive rebound by L. Thomas
7:22.0,,,9-8,2,L. Thomas makes 2-pt shot from 1 ft
7:21.0,Boston full timeout,,9-8,,
7:01.0,E. Turner misses 3-pt shot from 22 ft,,9-8,,
7:00.0,Offensive rebound by T. Zeller,,9-8,,
6:59.0,Turnover by T. Zeller (traveling),,9-8,,
6:47.0,,,9-10,2,S. Larkin makes 2-pt shot from 1 ft
6:32.0,B. Bass misses 2-pt shot from 16 ft,,9-10,,
6:30.0,,,9-10,,Defensive rebound by L. Amundson
6:17.0,,,9-12,2,S. Larkin makes 2-pt shot from 1 ft (assist by A. Bargnani)
6:05.0,E. Turner misses 2-pt shot from 6 ft,,9-12,,
6:04.0,,,9-12,,Defensive rebound by L. Amundson
5:55.0,,,9-12,,Offensive foul by A. Bargnani
5:55.0,,,9-12,,Turnover by A. Bargnani (offensive foul)
5:55.0,J. Crowder enters the game for M. Smart,,9-12,,
5:55.0,I. Thomas enters the game for E. Turner,,9-12,,
5:37.0,B. Bass makes 2-pt shot from 16 ft (assist by I. Thomas),2,11-12,,
5:16.0,,,11-12,,Shooting foul by T. Zeller (drawn by L. Amundson)
5:16.0,,,11-12,,L. Amundson misses free throw 1 of 2
5:16.0,,,11-12,,Offensive rebound by Team
5:16.0,,,11-12,,L. Amundson misses free throw 2 of 2
5:15.0,,,11-12,,Offensive rebound by Team
5:07.0,,,11-14,2,A. Bargnani makes 2-pt shot from 6 ft (assist by L. Galloway)
4:44.0,A. Bradley misses 3-pt shot from 25 ft,,11-14,,
4:42.0,,,11-14,,Defensive rebound by L. Amundson
4:28.0,,,11-14,,Shooting foul by T. Zeller (drawn by A. Bargnani)
4:28.0,,,11-15,1,A. Bargnani makes free throw 1 of 2
4:28.0,K. Olynyk enters the game for T. Zeller,,11-15,,
4:28.0,,,11-16,1,A. Bargnani makes free throw 2 of 2
4:08.0,Turnover by B. Bass (bad pass; steal by L. Galloway),,11-16,,
3:57.0,,,11-16,,Turnover by L. Galloway (bad pass; steal by J. Crowder)
3:45.0,J. Crowder misses 3-pt shot from 23 ft,,11-16,,
3:43.0,,,11-16,,Defensive rebound by A. Bargnani
3:25.0,,,11-16,,C. Early enters the game for L. Thomas
3:25.0,,,11-16,,R. Ledo enters the game for L. Galloway
