time,Cleveland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. T. Mozgov (G. Dragic gains possession),,,,Jump ball: A. Len vs. T. Mozgov (G. Dragic gains possession)
11:31.0,,,0-0,,P. Tucker misses 3-pt shot from 23 ft
11:29.0,Defensive rebound by T. Mozgov,,0-0,,
11:15.0,K. Love misses 2-pt shot from 9 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by P. Tucker
11:04.0,,,0-2,2,A. Len makes 2-pt shot at rim (assist by G. Dragic)
10:40.0,Turnover by T. Mozgov (traveling),,0-2,,
10:23.0,,,0-2,,Turnover by G. Dragic (bad pass; steal by L. James)
10:11.0,,,0-2,,Personal foul by P. Tucker (drawn by L. James)
10:07.0,J. Smith makes 2-pt shot from 17 ft (assist by L. James),2,2-2,,
9:41.0,,,2-2,,G. Dragic misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by L. James,,2-2,,
9:33.0,L. James misses 3-pt shot from 24 ft,,2-2,,
9:30.0,,,2-2,,Defensive rebound by M. Morris
9:23.0,,,2-4,2,M. Morris makes 2-pt shot from 18 ft (assist by E. Bledsoe)
9:00.0,Turnover by K. Irving (lost ball; steal by G. Dragic),,2-4,,
8:57.0,,,2-6,2,G. Dragic makes 2-pt shot at rim (assist by A. Len)
8:39.0,K. Irving misses 3-pt shot from 23 ft,,2-6,,
8:37.0,Offensive rebound by K. Love,,2-6,,
8:32.0,Turnover by K. Love (traveling),,2-6,,
8:17.0,,,2-6,,M. Morris misses 2-pt shot from 14 ft
8:14.0,Defensive rebound by T. Mozgov,,2-6,,
7:59.0,L. James makes 2-pt shot at rim,2,4-6,,
7:46.0,,,4-8,2,G. Dragic makes 2-pt shot at rim (assist by E. Bledsoe)
7:31.0,Turnover by L. James (lost ball; steal by E. Bledsoe),,4-8,,
7:27.0,,,4-8,,Shooting foul by J. Smith (drawn by G. Dragic)
7:27.0,,,4-8,,G. Dragic misses free throw 1 of 2
7:27.0,,,4-8,,Offensive rebound by Team
7:27.0,,,4-9,1,G. Dragic makes free throw 2 of 2
7:16.0,L. James misses 2-pt shot from 1 ft,,4-9,,
7:16.0,Offensive rebound by Team,,4-9,,
7:07.0,L. James makes 3-pt shot from 28 ft,3,7-9,,
6:50.0,,,7-9,,Shooting foul by T. Mozgov (drawn by A. Len)
6:50.0,,,7-10,1,A. Len makes free throw 1 of 2
6:50.0,,,7-10,,A. Len misses free throw 2 of 2
6:49.0,Defensive rebound by K. Love,,7-10,,
6:37.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,10-10,,
6:22.0,,,10-10,,Turnover by E. Bledsoe (bad pass; steal by J. Smith)
6:18.0,Shooting foul by E. Bledsoe (drawn by L. James),,10-10,,
