time,Utah,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. C. Zeller (E. Kanter gains possession),,,,Jump ball: D. Favors vs. C. Zeller (E. Kanter gains possession)
11:43.0,D. Favors makes 2-pt shot from 14 ft (assist by G. Hayward),2,2-0,,
11:28.0,,,2-2,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
11:10.0,T. Burke misses 2-pt shot from 20 ft,,2-2,,
11:08.0,Offensive rebound by D. Favors,,2-2,,
10:59.0,T. Burke makes 2-pt shot from 8 ft (assist by G. Hayward),2,4-2,,
10:45.0,,,4-4,2,A. Jefferson makes 2-pt shot from 1 ft (assist by G. Henderson)
10:29.0,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward),2,6-4,,
10:15.0,,,6-6,2,G. Henderson makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
10:15.0,Utah full timeout,,6-6,,
9:54.0,G. Hayward makes 3-pt shot from 25 ft,3,9-6,,
9:33.0,,,9-6,,A. Jefferson misses 2-pt shot from 5 ft
9:31.0,,,9-6,,Offensive rebound by C. Zeller
9:26.0,,,9-8,2,G. Henderson makes 2-pt shot from 17 ft
9:13.0,Turnover by T. Burke (bad pass; steal by K. Walker),,9-8,,
9:07.0,,,9-10,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
8:49.0,G. Hayward misses 2-pt shot from 20 ft,,9-10,,
8:48.0,,,9-10,,Defensive rebound by A. Jefferson
8:36.0,Personal foul by A. Burks (drawn by A. Jefferson),,9-10,,
8:30.0,,,9-13,3,K. Walker makes 3-pt shot from 28 ft (assist by G. Henderson)
8:06.0,G. Hayward makes 2-pt shot from 20 ft (assist by E. Kanter),2,11-13,,
7:43.0,,,11-13,,G. Henderson misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by D. Favors,,11-13,,
7:23.0,E. Kanter misses 2-pt shot from 18 ft,,11-13,,
7:22.0,,,11-13,,Defensive rebound by G. Henderson
7:13.0,,,11-15,2,C. Zeller makes 2-pt shot from 19 ft (assist by K. Walker)
6:48.0,T. Burke makes 3-pt shot from 23 ft (assist by D. Favors),3,14-15,,
6:33.0,,,14-17,2,A. Jefferson makes 2-pt shot from 9 ft
6:19.0,D. Favors misses 2-pt shot from 10 ft,,14-17,,
6:18.0,Offensive rebound by Team,,14-17,,
6:18.0,,,14-17,,Loose ball foul by C. Zeller (drawn by E. Kanter)
6:18.0,T. Booker enters the game for E. Kanter,,14-17,,
6:10.0,A. Burks misses 2-pt shot from 19 ft,,14-17,,
6:08.0,Offensive rebound by D. Favors,,14-17,,
6:02.0,D. Favors makes 2-pt shot from 17 ft,2,16-17,,
5:42.0,,,16-19,2,A. Jefferson makes 2-pt shot from 6 ft
5:31.0,G. Hayward misses 3-pt shot from 26 ft (block by M. Kidd-Gilchrist),,16-19,,
5:29.0,,,16-19,,Defensive rebound by A. Jefferson
5:24.0,Personal foul by T. Burke (drawn by K. Walker),,16-19,,
5:24.0,,,16-19,,Charlotte full timeout
5:24.0,D. Exum enters the game for A. Burks,,16-19,,
5:24.0,R. Hood enters the game for T. Burke,,16-19,,
5:24.0,,,16-19,,M. Williams enters the game for C. Zeller
5:16.0,,,16-21,2,K. Walker makes 2-pt shot from 17 ft (assist by G. Henderson)
5:01.0,D. Favors misses 2-pt shot from 8 ft,,16-21,,
5:01.0,Offensive rebound by D. Favors,,16-21,,
5:01.0,Shooting foul by A. Jefferson (drawn by D. Favors),,16-21,,
5:01.0,D. Favors makes free throw 1 of 2,1,17-21,,
5:01.0,D. Favors makes free throw 2 of 2,1,18-21,,
4:42.0,,,18-21,,A. Jefferson misses 2-pt shot from 12 ft
4:40.0,Defensive rebound by D. Favors,,18-21,,
4:26.0,D. Favors misses 2-pt shot from 11 ft,,18-21,,
4:25.0,,,18-21,,Defensive rebound by A. Jefferson
4:20.0,Personal foul by R. Hood (drawn by K. Walker),,18-21,,
4:20.0,,,18-21,,G. Neal enters the game for G. Henderson
4:06.0,,,18-21,,Shooting foul by D. Exum (drawn by K. Walker)
4:06.0,,,18-22,1,K. Walker makes free throw 1 of 2
4:06.0,,,18-23,1,K. Walker makes free throw 2 of 2
3:49.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Favors),,18-23,,
3:49.0,D. Favors misses free throw 1 of 2,,18-23,,
3:49.0,Offensive rebound by Team,,18-23,,
3:49.0,D. Favors makes free throw 2 of 2,1,19-23,,
3:35.0,,,19-23,,Offensive foul by M. Williams
3:35.0,,,19-23,,Turnover by M. Williams (offensive foul)
3:35.0,Utah full timeout,,19-23,,
3:35.0,R. Gobert enters the game for D. Favors,,19-23,,
3:21.0,Turnover by R. Hood (bad pass; steal by K. Walker),,19-23,,
3:15.0,,,19-25,2,K. Walker makes 2-pt shot at rim
2:55.0,,,19-25,,B. Biyombo enters the game for A. Jefferson
2:50.0,Turnover by D. Exum (bad pass; steal by K. Walker),,19-25,,
2:50.0,Jump ball: R. Gobert vs. M. Kidd-Gilchrist (D. Exum gains possession),,,,Jump ball: R. Gobert vs. M. Kidd-Gilchrist (D. Exum gains possession)
2:44.0,,,19-25,,Turnover by M. Kidd-Gilchrist (lost ball; steal by R. Gobert)
2:44.0,G. Hayward misses 3-pt shot from 25 ft,,19-25,,
2:44.0,,,19-25,,Defensive rebound by Team
2:44.0,Loose ball foul by R. Gobert (drawn by M. Kidd-Gilchrist),,19-25,,
2:44.0,,,19-25,,M. Kidd-Gilchrist misses free throw 1 of 2
2:44.0,,,19-25,,Offensive rebound by Team
2:44.0,,,19-26,1,M. Kidd-Gilchrist makes free throw 2 of 2
2:31.0,R. Hood misses 3-pt shot from 23 ft,,19-26,,
2:30.0,Offensive rebound by T. Booker,,19-26,,
2:28.0,Shooting foul by B. Biyombo (drawn by R. Hood),,19-26,,
2:28.0,R. Hood makes free throw 1 of 2,1,20-26,,
2:28.0,R. Hood makes free throw 2 of 2,1,21-26,,
2:17.0,,,21-26,,G. Neal misses 2-pt shot from 20 ft
2:15.0,,,21-26,,Offensive rebound by B. Biyombo
2:08.0,,,21-26,,K. Walker misses 2-pt shot from 2 ft
2:06.0,,,21-26,,Offensive rebound by M. Kidd-Gilchrist
2:06.0,,,21-28,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
1:44.0,D. Exum misses 3-pt shot from 26 ft,,21-28,,
1:42.0,,,21-28,,Defensive rebound by B. Biyombo
1:27.0,,,21-31,3,M. Williams makes 3-pt shot from 26 ft (assist by G. Neal)
1:11.0,G. Hayward misses 2-pt shot from 8 ft,,21-31,,
1:06.0,,,21-31,,Defensive rebound by K. Walker
1:00.0,,,21-31,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Booker)
0:58.0,Defensive rebound by T. Booker,,21-31,,
0:38.0,T. Booker misses 3-pt shot from 24 ft,,21-31,,
0:37.0,,,21-31,,Defensive rebound by M. Kidd-Gilchrist
0:19.0,,,21-31,,K. Walker misses 2-pt shot from 2 ft
0:17.0,Defensive rebound by T. Booker,,21-31,,
0:02.0,G. Hayward makes 2-pt shot from 1 ft,2,23-31,,
0:00.0,,,23-31,,K. Walker misses 3-pt shot from 38 ft
0:00.0,,,23-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,23-31,,G. Neal misses 2-pt shot from 9 ft (block by R. Gobert)
11:39.0,,,23-31,,Offensive rebound by B. Roberts
11:38.0,Violation by R. Gobert (kicked ball),,23-31,,
11:31.0,,,23-34,3,B. Roberts makes 3-pt shot from 26 ft (assist by G. Neal)
11:06.0,A. Burks makes 2-pt shot from 16 ft,2,25-34,,
10:48.0,,,25-34,,P. Hairston misses 2-pt shot from 18 ft
10:46.0,Defensive rebound by R. Hood,,25-34,,
10:32.0,D. Exum misses 2-pt shot from 18 ft,,25-34,,
10:31.0,,,25-34,,Defensive rebound by B. Biyombo
10:19.0,Personal foul by R. Hood (drawn by G. Neal),,25-34,,
10:19.0,J. Ingles enters the game for R. Hood,,25-34,,
10:09.0,,,25-37,3,G. Neal makes 3-pt shot from 27 ft
9:47.0,A. Burks misses 3-pt shot from 23 ft,,25-37,,
9:46.0,,,25-37,,Defensive rebound by B. Biyombo
9:36.0,,,25-37,,P. Hairston misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by J. Ingles,,25-37,,
9:22.0,,,25-37,,Personal foul by B. Roberts (drawn by D. Exum)
9:14.0,Turnover by A. Burks (palming),,25-37,,
9:00.0,,,25-37,,P. Hairston misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by R. Gobert,,25-37,,
8:50.0,,,25-37,,Personal foul by P. Hairston (drawn by R. Gobert)
8:50.0,T. Burke enters the game for D. Exum,,25-37,,
8:50.0,Official timeout,,25-37,,
8:50.0,E. Kanter enters the game for T. Booker,,25-37,,
8:38.0,J. Ingles makes 2-pt shot from 18 ft (assist by T. Burke),2,27-37,,
8:17.0,,,27-37,,G. Neal misses 2-pt shot from 2 ft
8:15.0,,,27-37,,Offensive rebound by B. Biyombo
8:13.0,,,27-39,2,B. Biyombo makes 2-pt shot at rim
8:00.0,E. Kanter misses 2-pt shot from 16 ft,,27-39,,
7:59.0,,,27-39,,Defensive rebound by P. Hairston
7:49.0,,,27-39,,P. Hairston misses 3-pt shot from 26 ft
7:48.0,Defensive rebound by T. Burke,,27-39,,
7:36.0,,,27-39,,Def 3 sec tech foul by B. Biyombo
7:36.0,T. Burke makes technical free throw,1,28-39,,
7:36.0,,,28-39,,C. Zeller enters the game for M. Williams
7:28.0,,,28-39,,Personal foul by C. Zeller (drawn by E. Kanter)
7:21.0,T. Burke misses 2-pt shot from 20 ft,,28-39,,
7:20.0,Offensive rebound by E. Kanter,,28-39,,
7:17.0,E. Kanter makes 2-pt shot from 1 ft,2,30-39,,
7:07.0,,,30-42,3,P. Hairston makes 3-pt shot from 27 ft (assist by C. Zeller)
6:50.0,A. Burks misses 3-pt shot from 23 ft,,30-42,,
6:49.0,Offensive rebound by R. Gobert,,30-42,,
6:43.0,J. Ingles misses 3-pt shot from 24 ft,,30-42,,
6:42.0,,,30-42,,Defensive rebound by B. Roberts
6:36.0,,,30-42,,B. Roberts misses 2-pt shot from 15 ft
6:34.0,,,30-42,,Offensive rebound by P. Hairston
6:20.0,,,30-44,2,C. Zeller makes 2-pt shot from 8 ft (assist by B. Roberts)
5:58.0,T. Burke misses 3-pt shot from 25 ft,,30-44,,
5:57.0,Offensive rebound by Team,,30-44,,
5:57.0,,,30-44,,Charlotte full timeout
5:57.0,,,30-44,,G. Henderson enters the game for G. Neal
5:57.0,,,30-44,,K. Walker enters the game for B. Biyombo
5:57.0,,,30-44,,M. Kidd-Gilchrist enters the game for B. Roberts
5:57.0,,,30-44,,A. Jefferson enters the game for P. Hairston
5:57.0,G. Hayward enters the game for J. Ingles,,30-44,,
5:49.0,A. Burks misses 2-pt shot from 18 ft,,30-44,,
5:46.0,Offensive rebound by R. Gobert,,30-44,,
5:43.0,R. Gobert misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist),,30-44,,
5:41.0,Offensive rebound by R. Gobert,,30-44,,
5:41.0,R. Gobert makes 2-pt shot from 1 ft,2,32-44,,
5:15.0,,,32-44,,A. Jefferson misses 2-pt shot from 4 ft (block by R. Gobert)
5:14.0,Defensive rebound by G. Hayward,,32-44,,
5:08.0,E. Kanter misses 2-pt shot from 17 ft,,32-44,,
5:06.0,,,32-44,,Defensive rebound by A. Jefferson
4:56.0,,,32-44,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
4:55.0,,,32-44,,Offensive rebound by C. Zeller
4:55.0,,,32-44,,C. Zeller misses 2-pt shot at rim
4:53.0,,,32-44,,Offensive rebound by C. Zeller
4:49.0,,,32-44,,Turnover by M. Kidd-Gilchrist (bad pass; steal by G. Hayward)
4:36.0,Turnover by R. Gobert (bad pass; steal by G. Henderson),,32-44,,
4:24.0,,,32-44,,G. Henderson misses 2-pt shot from 16 ft
