time,Phoenix,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. M. Plumlee (S. Hill gains possession),,,,Jump ball: R. Hibbert vs. M. Plumlee (S. Hill gains possession)
11:38.0,,,0-3,3,C. Copeland makes 3-pt shot from 26 ft (assist by R. Hibbert)
11:14.0,M. Morris makes 2-pt shot from 14 ft (assist by G. Dragic),2,2-3,,
10:57.0,,,2-3,,R. Hibbert misses 2-pt shot from 14 ft
10:55.0,Defensive rebound by E. Bledsoe,,2-3,,
10:49.0,Turnover by E. Bledsoe (bad pass),,2-3,,
10:34.0,,,2-3,,C. Copeland misses 2-pt shot from 5 ft (block by M. Morris)
10:32.0,Defensive rebound by E. Bledsoe,,2-3,,
10:18.0,M. Morris makes 2-pt shot from 16 ft,2,4-3,,
10:02.0,Personal foul by M. Plumlee (drawn by R. Hibbert),,4-3,,
9:54.0,,,4-6,3,C. Copeland makes 3-pt shot from 26 ft (assist by D. Sloan)
9:36.0,M. Morris misses 2-pt shot from 12 ft,,4-6,,
9:35.0,,,4-6,,Defensive rebound by L. Scola
9:25.0,,,4-6,,Turnover by S. Hill (bad pass; steal by M. Morris)
9:09.0,M. Plumlee makes 2-pt shot from 7 ft,2,6-6,,
8:55.0,,,6-6,,Shooting foul by M. Morris (drawn by R. Hibbert)
8:55.0,,,6-7,1,R. Hibbert makes free throw 1 of 2
8:55.0,,,6-8,1,R. Hibbert makes free throw 2 of 2
8:38.0,M. Morris makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,9-8,,
8:17.0,,,9-8,,S. Hill misses 2-pt shot from 2 ft (block by M. Plumlee)
8:15.0,Defensive rebound by M. Plumlee,,9-8,,
7:58.0,M. Plumlee misses 2-pt shot from 1 ft (block by R. Hibbert),,9-8,,
7:58.0,Offensive rebound by Team,,9-8,,
7:54.0,M. Morris makes 2-pt shot from 14 ft,2,11-8,,
7:33.0,,,11-8,,C. Copeland misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by E. Bledsoe,,11-8,,
7:25.0,E. Bledsoe misses 2-pt shot from 20 ft,,11-8,,
7:22.0,,,11-8,,Defensive rebound by Team
7:04.0,,,11-8,,L. Scola misses 2-pt shot from 20 ft
