time,Philadelphia,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Noel (J. Teague gains possession),,,,Jump ball: A. Horford vs. N. Noel (J. Teague gains possession)
11:33.0,,,0-0,,P. Millsap misses 2-pt shot from 1 ft
11:31.0,Defensive rebound by J. Sampson,,0-0,,
11:21.0,N. Noel misses 2-pt shot from 5 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by P. Millsap
11:10.0,,,0-3,3,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford)
10:44.0,J. Sampson misses 2-pt shot from 19 ft,,0-3,,
10:41.0,,,0-3,,Defensive rebound by P. Millsap
10:36.0,,,0-3,,P. Millsap misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by J. Sampson,,0-3,,
10:23.0,Turnover by N. Noel (lost ball),,0-3,,
10:10.0,,,0-3,,A. Horford misses 2-pt shot from 5 ft
10:08.0,Defensive rebound by N. Noel,,0-3,,
9:52.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by P. Millsap),,0-3,,
9:51.0,Offensive rebound by Team,,0-3,,
9:44.0,R. Covington misses 2-pt shot from 5 ft,,0-3,,
9:43.0,,,0-3,,Defensive rebound by A. Horford
9:30.0,Jump ball: K. Bazemore vs. R. Covington (K. Korver gains possession),,,,Jump ball: K. Bazemore vs. R. Covington (K. Korver gains possession)
9:20.0,,,0-6,3,K. Korver makes 3-pt shot from 25 ft (assist by K. Bazemore)
8:59.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by J. Sampson),3,3-6,,
8:53.0,,,3-6,,Turnover by J. Teague (bad pass; steal by L. Mbah a Moute)
8:44.0,R. Covington makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,6-6,,
8:34.0,,,6-6,,J. Teague misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by N. Noel,,6-6,,
8:24.0,Turnover by M. Carter-Williams (bad pass; steal by J. Teague),,6-6,,
8:18.0,,,6-8,2,A. Horford makes 2-pt shot from 4 ft (assist by P. Millsap)
7:58.0,N. Noel misses 2-pt shot at rim,,6-8,,
7:57.0,Offensive rebound by L. Mbah a Moute,,6-8,,
7:56.0,L. Mbah a Moute makes 2-pt shot at rim,2,8-8,,
7:41.0,Personal foul by L. Mbah a Moute (drawn by P. Millsap),,8-8,,
7:41.0,H. Thompson enters the game for J. Sampson,,8-8,,
7:34.0,,,8-8,,A. Horford misses 2-pt shot from 19 ft
7:33.0,Defensive rebound by L. Mbah a Moute,,8-8,,
7:25.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,8-8,,
7:23.0,,,8-8,,Defensive rebound by K. Bazemore
7:17.0,,,8-10,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Bazemore)
6:52.0,N. Noel makes 2-pt shot from 1 ft (assist by R. Covington),2,10-10,,
6:31.0,Personal foul by L. Mbah a Moute (drawn by P. Millsap),,10-10,,
6:31.0,H. Sims enters the game for N. Noel,,10-10,,
6:31.0,J. Grant enters the game for L. Mbah a Moute,,10-10,,
6:25.0,,,10-10,,J. Teague misses 2-pt shot from 3 ft
6:24.0,,,10-10,,Offensive rebound by P. Millsap
6:23.0,Personal foul by M. Carter-Williams (drawn by P. Millsap),,10-10,,
6:23.0,K. McDaniels enters the game for R. Covington,,10-10,,
6:23.0,,,10-10,,Atlanta full timeout
6:15.0,,,10-10,,Shooting foul by J. Grant (drawn by P. Millsap)
6:15.0,,,10-11,1,P. Millsap makes free throw 1 of 2
6:15.0,,,10-11,,E. Brand enters the game for A. Horford
6:15.0,,,10-11,,D. Schroder enters the game for K. Korver
6:15.0,,,10-12,1,P. Millsap makes free throw 2 of 2
