time,Chicago,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. P. Gasol (S. Larkin gains possession),,,,Jump ball: S. Dalembert vs. P. Gasol (S. Larkin gains possession)
11:39.0,,,0-0,,I. Shumpert misses 2-pt shot from 20 ft
11:38.0,,,0-0,,Offensive rebound by A. Stoudemire
11:24.0,,,0-0,,S. Dalembert misses 2-pt shot from 13 ft
11:23.0,Defensive rebound by J. Noah,,0-0,,
11:01.0,D. Rose misses 3-pt shot from 24 ft,,0-0,,
11:00.0,,,0-0,,Defensive rebound by C. Anthony
10:51.0,,,0-0,,S. Dalembert misses 2-pt shot from 2 ft (block by J. Noah)
10:50.0,,,0-0,,Offensive rebound by Team
10:43.0,,,0-2,2,S. Larkin makes 2-pt shot from 4 ft
10:39.0,Turnover by J. Noah (bad pass; steal by S. Larkin),,0-2,,
10:35.0,,,0-2,,S. Larkin misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by D. Rose,,0-2,,
10:11.0,J. Noah makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,2-2,,
9:43.0,,,2-4,2,C. Anthony makes 2-pt shot from 19 ft
9:27.0,Turnover by J. Noah (bad pass),,2-4,,
9:05.0,,,2-6,2,A. Stoudemire makes 2-pt shot from 13 ft
8:44.0,Offensive foul by D. Rose,,2-6,,
8:44.0,Turnover by D. Rose (offensive foul),,2-6,,
8:33.0,Personal foul by K. Hinrich (drawn by I. Shumpert),,2-6,,
8:27.0,,,2-6,,C. Anthony misses 2-pt shot from 20 ft
8:26.0,Defensive rebound by J. Noah,,2-6,,
8:20.0,Turnover by D. Rose (lost ball; steal by C. Anthony),,2-6,,
8:14.0,,,2-8,2,A. Stoudemire makes 2-pt shot at rim (assist by C. Anthony)
8:09.0,Chicago full timeout,,2-8,,
8:02.0,Shooting foul by I. Shumpert (drawn by D. Rose),,2-8,,
8:02.0,D. Rose makes free throw 1 of 2,1,3-8,,
8:02.0,D. Rose makes free throw 2 of 2,1,4-8,,
7:44.0,,,4-8,,Turnover by S. Dalembert (bad pass; steal by D. Rose)
7:40.0,K. Hinrich makes 2-pt shot from 1 ft (assist by D. Rose),2,6-8,,
7:15.0,,,6-8,,C. Anthony misses 2-pt shot from 1 ft (block by J. Noah)
7:14.0,,,6-8,,Offensive rebound by S. Dalembert
7:10.0,,,6-8,,S. Larkin misses 2-pt shot from 7 ft
7:09.0,Defensive rebound by P. Gasol,,6-8,,
7:05.0,Shooting foul by I. Shumpert (drawn by D. Rose),,6-8,,
7:05.0,D. Rose makes free throw 1 of 2,1,7-8,,
7:05.0,,,7-8,,P. Prigioni enters the game for I. Shumpert
7:05.0,D. Rose makes free throw 2 of 2,1,8-8,,
