time,Indiana,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Howard (P. Beverley gains possession),,,,Jump ball: R. Hibbert vs. D. Howard (P. Beverley gains possession)
11:39.0,,,0-3,3,P. Beverley makes 3-pt shot from 26 ft (assist by J. Harden)
11:16.0,D. West misses 2-pt shot from 22 ft,,0-3,,
11:14.0,,,0-3,,Defensive rebound by D. Howard
11:05.0,,,0-3,,Turnover by D. Motiejunas (traveling)
10:52.0,R. Stuckey misses 3-pt shot from 24 ft,,0-3,,
10:51.0,,,0-3,,Defensive rebound by D. Motiejunas
10:42.0,,,0-3,,Turnover by P. Beverley (bad pass)
10:22.0,R. Hibbert misses 2-pt shot from 10 ft,,0-3,,
10:21.0,,,0-3,,Defensive rebound by D. Howard
10:06.0,,,0-6,3,T. Ariza makes 3-pt shot from 24 ft (assist by D. Motiejunas)
9:50.0,Shooting foul by P. Beverley (drawn by C. Watson),,0-6,,
9:50.0,C. Watson makes free throw 1 of 2,1,1-6,,
9:50.0,C. Watson makes free throw 2 of 2,1,2-6,,
9:36.0,,,2-6,,T. Ariza misses 3-pt shot from 25 ft
9:35.0,,,2-6,,Offensive rebound by T. Ariza
9:26.0,,,2-9,3,P. Beverley makes 3-pt shot from 24 ft
9:04.0,Turnover by R. Stuckey (bad pass; steal by T. Ariza),,2-9,,
8:58.0,,,2-11,2,T. Ariza makes 2-pt shot at rim (assist by D. Motiejunas)
8:58.0,Indiana full timeout,,2-11,,
8:40.0,D. West makes 2-pt shot from 16 ft,2,4-11,,
8:21.0,,,4-11,,D. Motiejunas misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by S. Hill,,4-11,,
7:57.0,S. Hill misses 3-pt shot from 25 ft,,4-11,,
7:56.0,,,4-11,,Defensive rebound by D. Howard
7:52.0,,,4-13,2,D. Motiejunas makes 2-pt shot at rim (assist by T. Ariza)
7:34.0,S. Hill misses 3-pt shot from 24 ft,,4-13,,
7:33.0,,,4-13,,Defensive rebound by D. Howard
7:22.0,,,4-15,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
6:56.0,C. Watson misses 3-pt shot from 24 ft,,4-15,,
6:55.0,,,4-15,,Defensive rebound by D. Howard
6:50.0,,,4-17,2,J. Harden makes 2-pt shot at rim
6:49.0,Indiana full timeout,,4-17,,
6:49.0,C. Miles enters the game for R. Stuckey,,4-17,,
6:36.0,D. West misses 2-pt shot from 12 ft,,4-17,,
6:35.0,,,4-17,,Defensive rebound by D. Howard
6:32.0,,,4-17,,Turnover by D. Howard (bad pass; steal by S. Hill)
6:20.0,D. West makes 2-pt shot from 14 ft,2,6-17,,
6:05.0,,,6-17,,J. Harden misses 3-pt shot from 26 ft
6:03.0,Defensive rebound by C. Miles,,6-17,,
5:50.0,R. Hibbert makes 2-pt shot from 5 ft,2,8-17,,
5:33.0,,,8-17,,Shooting foul by R. Hibbert (drawn by D. Howard)
5:33.0,,,8-18,1,D. Howard makes free throw 1 of 2
5:33.0,,,8-18,,J. Smith enters the game for D. Motiejunas
5:33.0,,,8-19,1,D. Howard makes free throw 2 of 2
5:22.0,,,8-19,,Personal foul by T. Ariza (drawn by C. Miles)
5:08.0,C. Watson misses 3-pt shot from 23 ft,,8-19,,
5:07.0,Offensive rebound by R. Hibbert,,8-19,,
5:05.0,R. Hibbert makes 2-pt shot from 2 ft,2,10-19,,
4:54.0,,,10-19,,J. Smith misses 2-pt shot from 4 ft
4:53.0,Defensive rebound by D. West,,10-19,,
4:43.0,C. Miles makes 2-pt shot from 19 ft (assist by C. Watson),2,12-19,,
4:23.0,,,12-22,3,J. Harden makes 3-pt shot from 26 ft (assist by D. Howard)
4:05.0,C. Miles makes 3-pt shot from 24 ft (assist by S. Hill),3,15-22,,
3:55.0,,,15-24,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
3:55.0,,,15-24,,Shooting foul by S. Hill (drawn by D. Howard)
3:55.0,,,15-25,1,D. Howard makes free throw 1 of 1
3:36.0,R. Hibbert makes 2-pt shot from 10 ft,2,17-25,,
3:18.0,,,17-25,,D. Howard misses 2-pt shot from 3 ft
3:17.0,Defensive rebound by D. West,,17-25,,
3:06.0,R. Hibbert misses 2-pt shot from 17 ft,,17-25,,
3:05.0,,,17-25,,Defensive rebound by D. Howard
3:03.0,,,17-25,,Turnover by D. Howard (bad pass; steal by C. Watson)
3:02.0,Turnover by C. Watson (bad pass; steal by P. Beverley),,17-25,,
2:55.0,,,17-25,,J. Smith misses 2-pt shot from 4 ft
2:55.0,Defensive rebound by R. Hibbert,,17-25,,
2:55.0,,,17-25,,Loose ball foul by P. Beverley (drawn by R. Hibbert)
2:55.0,,,17-25,,Houston full timeout
2:55.0,,,17-25,,J. Terry enters the game for T. Ariza
2:55.0,,,17-25,,C. Brewer enters the game for P. Beverley
2:55.0,I. Mahinmi enters the game for R. Hibbert,,17-25,,
2:40.0,Turnover by D. West (bad pass; steal by J. Harden),,17-25,,
2:35.0,,,17-27,2,C. Brewer makes 2-pt shot at rim (assist by J. Harden)
2:18.0,C. Miles misses 2-pt shot from 20 ft,,17-27,,
2:17.0,,,17-27,,Defensive rebound by D. Howard
2:04.0,,,17-27,,C. Brewer misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by D. West,,17-27,,
1:51.0,S. Hill makes 2-pt shot from 19 ft (assist by C. Miles),2,19-27,,
1:35.0,,,19-29,2,D. Howard makes 2-pt shot at rim (assist by J. Smith)
1:16.0,C. Watson misses 3-pt shot from 24 ft,,19-29,,
1:15.0,,,19-29,,Defensive rebound by J. Smith
1:06.0,,,19-29,,J. Terry misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by I. Mahinmi,,19-29,,
0:59.0,C. Watson makes 2-pt shot from 1 ft,2,21-29,,
0:59.0,Shooting foul by J. Terry (drawn by C. Watson),,21-29,,
0:59.0,,,21-29,,D. Motiejunas enters the game for D. Howard
0:59.0,L. Scola enters the game for D. West,,21-29,,
0:59.0,C. Watson misses free throw 1 of 1,,21-29,,
0:59.0,,,21-29,,Defensive rebound by D. Motiejunas
0:36.0,,,21-29,,C. Brewer misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by S. Hill,,21-29,,
0:27.0,Turnover by S. Hill (bad pass; steal by J. Harden),,21-29,,
0:05.0,,,21-29,,Turnover by J. Harden (lost ball; steal by S. Hill)
0:00.0,S. Hill misses 3-pt shot from 32 ft,,21-29,,
0:00.0,Offensive rebound by Team,,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by L. Scola (bad pass; steal by J. Terry),,21-29,,
11:32.0,,,21-29,,J. Smith misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by L. Scola,,21-29,,
11:25.0,,,21-29,,Personal foul by D. Motiejunas (drawn by I. Mahinmi)
11:16.0,Shooting foul by D. Motiejunas (drawn by I. Mahinmi),,21-29,,
11:16.0,I. Mahinmi makes free throw 1 of 2,1,22-29,,
11:16.0,I. Mahinmi makes free throw 2 of 2,1,23-29,,
11:00.0,,,23-31,2,C. Brewer makes 2-pt shot from 3 ft (assist by J. Smith)
10:45.0,C. Miles makes 2-pt shot at rim (assist by L. Scola),2,25-31,,
10:31.0,,,25-31,,J. Smith misses 2-pt shot from 2 ft
10:31.0,,,25-31,,Offensive rebound by Team
10:31.0,Loose ball foul by L. Scola (drawn by D. Motiejunas),,25-31,,
10:21.0,,,25-31,,J. Terry misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by D. Sloan,,25-31,,
10:13.0,D. Sloan misses 2-pt shot from 21 ft,,25-31,,
10:12.0,,,25-31,,Defensive rebound by D. Motiejunas
10:02.0,,,25-33,2,C. Brewer makes 2-pt shot from 4 ft (assist by D. Motiejunas)
9:41.0,Turnover by L. Scola (lost ball; steal by J. Smith),,25-33,,
9:38.0,,,25-35,2,C. Brewer makes 2-pt shot at rim (assist by D. Motiejunas)
9:37.0,Indiana full timeout,,25-35,,
9:16.0,C. Miles misses 3-pt shot from 25 ft,,25-35,,
9:14.0,Offensive rebound by I. Mahinmi,,25-35,,
9:14.0,I. Mahinmi makes 2-pt shot at rim,2,27-35,,
9:02.0,,,27-35,,Turnover by K. Papanikolaou (bad pass; steal by C. Miles)
8:53.0,C. Miles misses 3-pt shot from 25 ft,,27-35,,
8:52.0,,,27-35,,Defensive rebound by Team
8:51.0,Loose ball foul by I. Mahinmi (drawn by C. Brewer),,27-35,,
8:34.0,,,27-37,2,J. Smith makes 2-pt shot at rim (assist by J. Terry)
8:06.0,L. Scola misses 3-pt shot from 26 ft,,27-37,,
8:05.0,,,27-37,,Defensive rebound by K. Papanikolaou
7:52.0,,,27-37,,Shooting foul by I. Mahinmi (drawn by D. Motiejunas)
7:52.0,,,27-38,1,D. Motiejunas makes free throw 1 of 2
7:52.0,,,27-39,1,D. Motiejunas makes free throw 2 of 2
7:36.0,D. Rudez misses 3-pt shot from 25 ft,,27-39,,
7:35.0,,,27-39,,Defensive rebound by D. Motiejunas
7:27.0,,,27-39,,Turnover by J. Terry (bad pass; steal by C. Miles)
7:19.0,D. Sloan makes 2-pt shot from 1 ft,2,29-39,,
7:02.0,,,29-39,,Turnover by J. Terry (bad pass)
7:02.0,,,29-39,,P. Beverley enters the game for D. Motiejunas
7:02.0,,,29-39,,D. Howard enters the game for C. Brewer
7:02.0,,,29-39,,J. Harden enters the game for J. Terry
6:52.0,L. Scola misses 2-pt shot from 18 ft,,29-39,,
6:51.0,,,29-39,,Defensive rebound by J. Smith
6:43.0,,,29-39,,K. Papanikolaou misses 2-pt shot from 21 ft
6:42.0,Defensive rebound by I. Mahinmi,,29-39,,
6:30.0,D. Sloan misses 2-pt shot from 1 ft,,29-39,,
6:26.0,Offensive rebound by L. Scola,,29-39,,
6:26.0,L. Scola misses 2-pt shot from 1 ft,,29-39,,
6:25.0,,,29-39,,Defensive rebound by J. Smith
6:23.0,,,29-39,,Turnover by J. Smith (traveling)
6:23.0,,,29-39,,T. Ariza enters the game for K. Papanikolaou
6:23.0,R. Stuckey enters the game for D. Rudez,,29-39,,
6:09.0,L. Scola makes 2-pt shot from 19 ft (assist by D. Sloan),2,31-39,,
5:58.0,,,31-39,,Shooting foul by D. Sloan (drawn by J. Harden)
5:58.0,,,31-39,,Houston full timeout
5:58.0,,,31-39,,D. Motiejunas enters the game for J. Smith
5:58.0,,,31-40,1,J. Harden makes free throw 1 of 2
5:58.0,,,31-41,1,J. Harden makes free throw 2 of 2
5:40.0,C. Miles makes 3-pt shot from 23 ft (assist by D. Sloan),3,34-41,,
5:30.0,,,34-41,,Turnover by J. Harden (bad pass; steal by R. Stuckey)
5:25.0,C. Miles makes 2-pt shot at rim (assist by D. Sloan),2,36-41,,
5:12.0,,,36-41,,Turnover by P. Beverley (bad pass; steal by D. Sloan)
5:06.0,C. Miles misses 3-pt shot from 26 ft,,36-41,,
5:06.0,Offensive rebound by Team,,36-41,,
5:06.0,,,36-41,,Loose ball foul by D. Howard (drawn by L. Scola)
5:00.0,D. Sloan misses 3-pt shot from 25 ft,,36-41,,
4:58.0,Offensive rebound by I. Mahinmi,,36-41,,
4:38.0,D. Sloan makes 3-pt shot from 24 ft (assist by L. Scola),3,39-41,,
4:38.0,Shooting foul by P. Beverley (drawn by D. Sloan),,39-41,,
4:38.0,,,39-41,,J. Terry enters the game for P. Beverley
4:38.0,D. Sloan makes free throw 1 of 1,1,40-41,,
4:23.0,,,40-41,,T. Ariza misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by L. Scola,,40-41,,
4:09.0,Turnover by D. Sloan (bad pass; steal by T. Ariza),,40-41,,
4:03.0,,,40-43,2,J. Terry makes 2-pt shot from 17 ft (assist by J. Harden)
3:47.0,L. Scola misses 2-pt shot from 19 ft,,40-43,,
3:46.0,,,40-43,,Defensive rebound by D. Howard
3:33.0,,,40-43,,D. Motiejunas misses 2-pt shot from 8 ft
3:32.0,Defensive rebound by C. Miles,,40-43,,
3:17.0,Turnover by D. Sloan (bad pass),,40-43,,
3:17.0,S. Hill enters the game for L. Scola,,40-43,,
3:17.0,D. West enters the game for C. Miles,,40-43,,
3:09.0,,,40-43,,Shooting foul by S. Hill (drawn by T. Ariza)
3:09.0,,,40-44,1,T. Ariza makes free throw 1 of 2
3:09.0,C. Watson enters the game for D. Sloan,,40-44,,
3:09.0,R. Hibbert enters the game for I. Mahinmi,,40-44,,
3:09.0,,,40-45,1,T. Ariza makes free throw 2 of 2
2:58.0,R. Stuckey misses 2-pt shot from 16 ft,,40-45,,
2:57.0,,,40-45,,Defensive rebound by D. Howard
2:46.0,,,40-48,3,J. Terry makes 3-pt shot from 23 ft (assist by T. Ariza)
2:21.0,R. Stuckey misses 2-pt shot from 18 ft,,40-48,,
2:20.0,,,40-48,,Defensive rebound by D. Howard
2:07.0,,,40-48,,Houston full timeout
2:07.0,C. Miles enters the game for S. Hill,,40-48,,
2:01.0,,,40-50,2,J. Terry makes 2-pt shot from 2 ft
2:01.0,,,40-50,,Shooting foul by C. Watson (drawn by J. Terry)
2:01.0,,,40-50,,J. Terry misses free throw 1 of 1
2:00.0,,,40-50,,Offensive rebound by Team
1:56.0,,,40-53,3,J. Harden makes 3-pt shot from 27 ft (assist by T. Ariza)
1:37.0,R. Hibbert makes 2-pt shot from 7 ft (assist by D. West),2,42-53,,
1:21.0,,,42-53,,J. Harden misses 2-pt shot from 14 ft
1:21.0,Defensive rebound by C. Miles,,42-53,,
1:14.0,,,42-53,,Personal block foul by D. Motiejunas (drawn by C. Watson)
1:14.0,C. Watson makes free throw 1 of 2,1,43-53,,
1:14.0,,,43-53,,J. Smith enters the game for D. Motiejunas
