time,Atlanta,pts.away,score,pts.home,LA Clippers
6:29.0,D. Carroll enters the game for T. Sefolosha,,93-78,,
6:29.0,J. Teague enters the game for D. Schroder,,93-78,,
6:21.0,,,93-78,,Turnover by J. Redick (bad pass; steal by P. Millsap)
6:20.0,,,93-78,,Personal foul by D. Jordan (drawn by J. Teague)
6:03.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,95-78,,
5:51.0,,,95-80,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
5:23.0,P. Millsap misses 2-pt shot from 13 ft,,95-80,,
5:20.0,,,95-80,,Defensive rebound by C. Paul
5:20.0,Personal foul by J. Teague (drawn by B. Griffin),,95-80,,
5:20.0,,,95-81,1,B. Griffin makes free throw 1 of 2
5:20.0,,,95-82,1,B. Griffin makes free throw 2 of 2
5:03.0,Turnover by J. Teague (lost ball),,95-82,,
4:56.0,,,95-82,,J. Crawford misses 2-pt shot at rim
4:54.0,,,95-82,,Offensive rebound by D. Jordan
4:54.0,,,95-84,2,D. Jordan makes 2-pt shot from 1 ft
4:38.0,Shooting foul by C. Paul (drawn by A. Horford),,95-84,,
4:38.0,,,95-84,,Violation by Team (jump ball)
4:38.0,A. Horford makes free throw 1 of 2,1,96-84,,
4:38.0,A. Horford makes free throw 2 of 2,1,97-84,,
4:23.0,,,97-86,2,C. Paul makes 2-pt shot from 14 ft
4:08.0,Shooting foul by J. Redick (drawn by P. Millsap),,97-86,,
4:08.0,P. Millsap makes free throw 1 of 2,1,98-86,,
4:08.0,,,98-86,,M. Barnes enters the game for D. Jordan
4:08.0,P. Millsap makes free throw 2 of 2,1,99-86,,
3:59.0,Shooting block foul by P. Millsap (drawn by B. Griffin),,99-86,,
3:59.0,,,99-87,1,B. Griffin makes free throw 1 of 2
3:59.0,,,99-88,1,B. Griffin makes free throw 2 of 2
3:41.0,P. Millsap misses 2-pt shot from 4 ft,,99-88,,
3:39.0,,,99-88,,Defensive rebound by C. Paul
3:31.0,,,99-88,,C. Paul misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by A. Horford,,99-88,,
3:21.0,Shooting foul by B. Griffin (drawn by J. Teague),,99-88,,
3:21.0,J. Teague makes free throw 1 of 2,1,100-88,,
3:21.0,J. Teague makes free throw 2 of 2,1,101-88,,
3:12.0,,,101-88,,J. Crawford misses 2-pt shot from 1 ft
3:10.0,,,101-88,,Offensive rebound by B. Griffin
3:10.0,,,101-90,2,B. Griffin makes 2-pt shot at rim
2:52.0,P. Millsap makes 3-pt shot from 23 ft (assist by A. Horford),3,104-90,,
2:32.0,,,104-90,,B. Griffin misses 2-pt shot from 2 ft
2:28.0,Defensive rebound by P. Millsap,,104-90,,
2:25.0,A. Horford makes 2-pt shot at rim (assist by K. Korver),2,106-90,,
2:11.0,,,106-92,2,C. Paul makes 2-pt shot from 1 ft
1:50.0,Shooting foul by C. Paul (drawn by D. Carroll),,106-92,,
1:50.0,Atlanta full timeout,,106-92,,
1:50.0,,,106-92,,S. Hawes enters the game for M. Barnes
1:50.0,,,106-92,,C. Douglas-Roberts enters the game for B. Griffin
1:50.0,,,106-92,,J. Farmar enters the game for J. Redick
1:50.0,,,106-92,,R. Bullock enters the game for C. Paul
1:50.0,,,106-92,,E. Udoh enters the game for J. Crawford
1:50.0,D. Carroll makes free throw 1 of 2,1,107-92,,
1:50.0,T. Sefolosha enters the game for K. Korver,,107-92,,
1:50.0,M. Scott enters the game for A. Horford,,107-92,,
1:50.0,D. Schroder enters the game for J. Teague,,107-92,,
1:50.0,D. Carroll misses free throw 2 of 2,,107-92,,
1:49.0,,,107-92,,Defensive rebound by R. Bullock
1:40.0,,,107-92,,Turnover by S. Hawes (bad pass)
1:40.0,M. Muscala enters the game for P. Millsap,,107-92,,
1:40.0,K. Bazemore enters the game for D. Carroll,,107-92,,
1:16.0,D. Schroder misses 3-pt shot from 23 ft,,107-92,,
1:15.0,,,107-92,,Defensive rebound by J. Farmar
1:03.0,,,107-92,,Shooting foul by M. Scott (drawn by S. Hawes)
1:03.0,,,107-92,,S. Hawes misses free throw 1 of 2
1:03.0,,,107-92,,Offensive rebound by Team
1:03.0,,,107-93,1,S. Hawes makes free throw 2 of 2
0:42.0,M. Muscala misses 2-pt shot from 19 ft,,107-93,,
0:40.0,,,107-93,,Defensive rebound by S. Hawes
0:31.0,,,107-95,2,E. Udoh makes 2-pt shot from 1 ft (assist by J. Farmar)
0:19.0,Turnover by M. Scott (bad pass; steal by J. Farmar),,107-95,,
0:03.0,,,107-98,3,R. Bullock makes 3-pt shot from 27 ft (assist by C. Douglas-Roberts)
0:00.0,End of 4th quarter,,,,End of 4th quarter
