time,Atlanta,pts.away,score,pts.home,LA Clippers
0:42.0,,,21-26,,S. Hawes misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by K. Korver,,21-26,,
0:29.0,D. Schroder misses 2-pt shot at rim,,21-26,,
0:28.0,Offensive rebound by A. Horford,,21-26,,
0:22.0,M. Scott misses 3-pt shot from 23 ft,,21-26,,
0:20.0,,,21-26,,Defensive rebound by R. Bullock
0:03.0,,,21-26,,J. Farmar misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by D. Schroder,,21-26,,
0:01.0,D. Schroder misses 3-pt shot from 36 ft,,21-26,,
0:00.0,Offensive rebound by Team,,21-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by D. Schroder (bad pass; steal by R. Bullock),,21-26,,
11:27.0,,,21-26,,Turnover by J. Farmar (bad pass; steal by D. Schroder)
11:27.0,,,21-26,,Personal take foul by S. Hawes (drawn by T. Sefolosha)
11:16.0,Shooting foul by R. Bullock (drawn by M. Scott),,21-26,,
11:16.0,M. Scott makes free throw 1 of 2,1,22-26,,
11:16.0,M. Scott makes free throw 2 of 2,1,23-26,,
11:03.0,,,23-26,,J. Farmar misses 3-pt shot from 26 ft
11:02.0,,,23-26,,Offensive rebound by B. Griffin
11:02.0,,,23-26,,Shooting foul by M. Scott (drawn by B. Griffin)
11:02.0,,,23-27,1,B. Griffin makes free throw 1 of 2
11:02.0,,,23-28,1,B. Griffin makes free throw 2 of 2
10:44.0,M. Scott misses 3-pt shot from 26 ft,,23-28,,
10:43.0,,,23-28,,Defensive rebound by J. Farmar
10:25.0,,,23-28,,S. Hawes misses 2-pt shot from 7 ft
10:21.0,Defensive rebound by M. Scott,,23-28,,
10:16.0,D. Schroder misses 2-pt shot from 4 ft,,23-28,,
10:15.0,,,23-28,,Defensive rebound by S. Hawes
10:07.0,,,23-28,,J. Farmar misses 2-pt shot from 13 ft
10:03.0,Defensive rebound by A. Horford,,23-28,,
9:52.0,K. Korver makes 3-pt shot from 25 ft (assist by M. Scott),3,26-28,,
9:34.0,,,26-30,2,S. Hawes makes 2-pt shot from 6 ft
9:18.0,M. Scott misses 2-pt shot from 9 ft,,26-30,,
9:14.0,Offensive rebound by A. Horford,,26-30,,
9:14.0,A. Horford misses 2-pt shot from 1 ft,,26-30,,
9:11.0,,,26-30,,Defensive rebound by B. Griffin
9:11.0,,,26-30,,Shooting foul by M. Scott (drawn by B. Griffin)
9:11.0,,,26-31,1,B. Griffin makes free throw 1 of 2
9:11.0,,,26-31,,M. Barnes enters the game for R. Bullock
9:11.0,K. Bazemore enters the game for T. Sefolosha,,26-31,,
9:11.0,,,26-32,1,B. Griffin makes free throw 2 of 2
8:55.0,A. Horford misses 2-pt shot from 3 ft,,26-32,,
8:53.0,Offensive rebound by M. Scott,,26-32,,
8:50.0,K. Korver misses 3-pt shot from 25 ft,,26-32,,
8:50.0,,,26-32,,Defensive rebound by B. Griffin
8:37.0,,,26-32,,B. Griffin misses 2-pt shot from 16 ft
8:37.0,Defensive rebound by K. Korver,,26-32,,
8:18.0,K. Korver misses 2-pt shot from 9 ft,,26-32,,
8:17.0,Offensive rebound by M. Scott,,26-32,,
8:17.0,Turnover by M. Scott (step out of bounds),,26-32,,
8:17.0,Official timeout,,26-32,,
8:17.0,J. Teague enters the game for D. Schroder,,26-32,,
8:03.0,,,26-32,,J. Farmar misses 3-pt shot from 23 ft
8:02.0,Defensive rebound by K. Korver,,26-32,,
7:40.0,Turnover by J. Teague (traveling),,26-32,,
7:40.0,,,26-32,,C. Paul enters the game for J. Farmar
7:27.0,,,26-32,,S. Hawes misses 2-pt shot from 17 ft
7:26.0,Defensive rebound by J. Teague,,26-32,,
7:18.0,M. Scott misses 2-pt shot from 2 ft,,26-32,,
7:16.0,,,26-32,,Defensive rebound by S. Hawes
7:10.0,,,26-32,,M. Barnes misses 3-pt shot from 24 ft
7:09.0,,,26-32,,Offensive rebound by B. Griffin
7:05.0,,,26-32,,S. Hawes misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by M. Scott,,26-32,,
6:50.0,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague),2,28-32,,
6:35.0,,,28-32,,J. Crawford misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by M. Scott,,28-32,,
6:29.0,K. Korver makes 3-pt shot from 26 ft (assist by J. Teague),3,31-32,,
6:29.0,,,31-32,,LA Clippers full timeout
6:29.0,P. Antic enters the game for A. Horford,,31-32,,
6:29.0,P. Millsap enters the game for M. Scott,,31-32,,
6:29.0,D. Carroll enters the game for K. Bazemore,,31-32,,
6:29.0,,,31-32,,D. Jordan enters the game for S. Hawes
6:29.0,,,31-32,,J. Redick enters the game for J. Crawford
6:15.0,,,31-32,,B. Griffin misses 2-pt shot from 2 ft
6:15.0,,,31-32,,Offensive rebound by Team
6:13.0,,,31-35,3,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul)
6:03.0,,,31-35,,Personal foul by J. Redick (drawn by K. Korver)
6:03.0,K. Bazemore enters the game for K. Korver,,31-35,,
5:55.0,J. Teague misses 2-pt shot at rim,,31-35,,
5:55.0,Offensive rebound by Team,,31-35,,
5:44.0,,,31-35,,Personal foul by M. Barnes (drawn by P. Antic)
5:34.0,K. Bazemore misses 2-pt shot from 1 ft,,31-35,,
5:31.0,,,31-35,,Defensive rebound by C. Paul
5:11.0,,,31-35,,B. Griffin misses 2-pt shot from 19 ft
5:10.0,,,31-35,,Offensive rebound by D. Jordan
5:07.0,,,31-35,,C. Paul misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by Team,,31-35,,
5:07.0,,,31-35,,Loose ball foul by M. Barnes (drawn by K. Bazemore)
5:07.0,K. Bazemore misses free throw 1 of 2,,31-35,,
5:07.0,Offensive rebound by Team,,31-35,,
5:07.0,K. Bazemore misses free throw 2 of 2,,31-35,,
5:05.0,,,31-35,,Defensive rebound by D. Jordan
4:53.0,,,31-35,,B. Griffin misses 2-pt shot from 3 ft (block by P. Millsap)
4:51.0,Defensive rebound by P. Antic,,31-35,,
4:49.0,Offensive charge foul by J. Teague,,31-35,,
4:49.0,Turnover by J. Teague (offensive foul),,31-35,,
4:39.0,Personal foul by J. Teague (drawn by B. Griffin),,31-35,,
4:33.0,,,31-38,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
4:19.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague),2,33-38,,
4:04.0,,,33-40,2,B. Griffin makes 2-pt shot from 1 ft
4:04.0,,,33-40,,Shooting foul by P. Millsap (drawn by B. Griffin)
4:04.0,,,33-40,,B. Griffin misses free throw 1 of 1
4:02.0,Defensive rebound by D. Carroll,,33-40,,
3:50.0,P. Millsap makes 2-pt shot from 8 ft,2,35-40,,
3:29.0,,,35-40,,J. Redick misses 3-pt shot from 26 ft
3:28.0,Defensive rebound by P. Millsap,,35-40,,
3:19.0,Shooting foul by C. Paul (drawn by J. Teague),,35-40,,
3:19.0,J. Teague misses free throw 1 of 2,,35-40,,
3:19.0,Offensive rebound by Team,,35-40,,
3:19.0,J. Teague makes free throw 2 of 2,1,36-40,,
3:07.0,,,36-40,,B. Griffin misses 2-pt shot from 16 ft
3:06.0,Defensive rebound by D. Carroll,,36-40,,
3:00.0,D. Carroll misses 3-pt shot from 25 ft,,36-40,,
2:57.0,,,36-40,,Defensive rebound by C. Paul
2:53.0,,,36-40,,Turnover by B. Griffin (lost ball; steal by J. Teague)
2:47.0,J. Teague misses 3-pt shot from 25 ft,,36-40,,
2:45.0,,,36-40,,Defensive rebound by D. Jordan
2:37.0,,,36-40,,C. Paul misses 2-pt shot from 2 ft
2:34.0,Defensive rebound by P. Antic,,36-40,,
2:34.0,Turnover by P. Antic (bad pass),,36-40,,
2:34.0,Atlanta full timeout,,36-40,,
2:34.0,,,36-40,,J. Crawford enters the game for M. Barnes
2:34.0,A. Horford enters the game for K. Bazemore,,36-40,,
2:34.0,K. Korver enters the game for P. Millsap,,36-40,,
2:27.0,,,36-42,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
2:27.0,,,36-42,,Shooting foul by K. Korver (drawn by D. Jordan)
2:27.0,,,36-42,,D. Jordan misses free throw 1 of 1
2:24.0,Defensive rebound by D. Carroll,,36-42,,
2:10.0,Turnover by P. Antic (bad pass; steal by J. Redick),,36-42,,
2:01.0,,,36-42,,Shooting foul by A. Horford (drawn by B. Griffin)
2:01.0,,,36-43,1,B. Griffin makes free throw 1 of 2
2:01.0,P. Millsap enters the game for P. Antic,,36-43,,
2:01.0,,,36-44,1,B. Griffin makes free throw 2 of 2
1:48.0,,,36-44,,Personal foul by B. Griffin (drawn by P. Millsap)
1:48.0,P. Millsap makes free throw 1 of 2,1,37-44,,
1:48.0,P. Millsap makes free throw 2 of 2,1,38-44,,
1:39.0,,,38-44,,B. Griffin misses 2-pt shot from 18 ft
1:37.0,Defensive rebound by P. Millsap,,38-44,,
1:20.0,K. Korver makes 3-pt shot from 27 ft (assist by J. Teague),3,41-44,,
1:03.0,,,41-44,,J. Crawford misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by P. Millsap,,41-44,,
0:52.0,J. Teague makes 3-pt shot from 25 ft,3,44-44,,
0:36.0,,,44-46,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
0:28.0,Turnover by K. Korver (bad pass; steal by J. Redick),,44-46,,
0:23.0,,,44-46,,Turnover by B. Griffin (lost ball; steal by J. Teague)
0:16.0,Atlanta full timeout,,44-46,,
0:16.0,,,44-46,,M. Barnes enters the game for B. Griffin
0:05.0,K. Korver misses 3-pt shot from 23 ft,,44-46,,
0:04.0,,,44-46,,Defensive rebound by D. Jordan
0:01.0,,,44-46,,Offensive charge foul by J. Crawford
0:01.0,,,44-46,,Turnover by J. Crawford (offensive foul)
0:01.0,,,44-46,,S. Hawes enters the game for J. Crawford
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,D. Carroll makes 2-pt shot at rim (assist by P. Millsap),2,46-46,,
11:23.0,,,46-46,,Shooting foul by K. Korver (drawn by J. Redick)
11:23.0,,,46-47,1,J. Redick makes free throw 1 of 2
11:23.0,,,46-48,1,J. Redick makes free throw 2 of 2
11:04.0,J. Teague makes 2-pt shot from 1 ft,2,48-48,,
10:54.0,,,48-48,,Turnover by J. Redick (bad pass; steal by K. Korver)
10:54.0,,,48-48,,Loose ball foul by C. Paul (drawn by J. Teague)
10:41.0,Turnover by D. Carroll (traveling),,48-48,,
10:32.0,,,48-48,,B. Griffin misses 2-pt shot from 1 ft (block by A. Horford)
10:32.0,,,48-48,,Offensive rebound by Team
10:23.0,,,48-48,,Shooting foul by A. Horford (drawn by B. Griffin)
10:23.0,,,48-48,,B. Griffin misses free throw 1 of 2
10:23.0,,,48-48,,Offensive rebound by Team
10:23.0,,,48-49,1,B. Griffin makes free throw 2 of 2
10:05.0,A. Horford makes 2-pt shot at rim,2,50-49,,
9:54.0,,,50-49,,Turnover by C. Paul (bad pass; steal by A. Horford)
