time,Dallas,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Chandler (S. Curry gains possession),,,,Jump ball: A. Bogut vs. T. Chandler (S. Curry gains possession)
11:47.0,,,0-0,,K. Thompson misses 2-pt shot from 17 ft
11:45.0,Defensive rebound by T. Chandler,,0-0,,
11:28.0,M. Ellis misses 3-pt shot from 26 ft,,0-0,,
11:27.0,Offensive rebound by T. Chandler,,0-0,,
11:23.0,D. Nowitzki misses 2-pt shot from 20 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by A. Bogut
11:10.0,,,0-0,,D. Green misses 3-pt shot from 27 ft
11:09.0,Defensive rebound by T. Chandler,,0-0,,
10:54.0,C. Parsons makes 2-pt shot from 8 ft (assist by J. Barea),2,2-0,,
10:29.0,,,2-0,,K. Thompson misses 2-pt shot from 9 ft
10:27.0,Defensive rebound by T. Chandler,,2-0,,
10:06.0,J. Barea misses 2-pt shot from 8 ft,,2-0,,
10:03.0,Offensive rebound by T. Chandler,,2-0,,
10:03.0,T. Chandler makes 2-pt shot at rim,2,4-0,,
9:57.0,,,4-0,,S. Curry misses 3-pt shot from 27 ft
9:55.0,Defensive rebound by T. Chandler,,4-0,,
9:44.0,D. Nowitzki makes 2-pt shot from 11 ft,2,6-0,,
9:25.0,,,6-0,,Turnover by K. Thompson (bad pass)
9:10.0,Shooting foul by S. Curry (drawn by J. Barea),,6-0,,
9:10.0,J. Barea makes free throw 1 of 2,1,7-0,,
9:10.0,J. Barea makes free throw 2 of 2,1,8-0,,
8:55.0,,,8-0,,K. Thompson misses 2-pt shot from 2 ft
8:54.0,,,8-0,,Offensive rebound by A. Bogut
8:54.0,,,8-2,2,A. Bogut makes 2-pt shot from 1 ft
8:39.0,C. Parsons makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,10-2,,
8:32.0,,,10-2,,Golden State full timeout
8:26.0,,,10-4,2,K. Thompson makes 2-pt shot from 20 ft (assist by A. Bogut)
8:04.0,Shooting foul by H. Barnes (drawn by C. Parsons),,10-4,,
8:04.0,C. Parsons makes free throw 1 of 2,1,11-4,,
8:04.0,C. Parsons makes free throw 2 of 2,1,12-4,,
7:53.0,,,12-4,,Turnover by K. Thompson (bad pass)
7:45.0,J. Barea makes 3-pt shot from 25 ft,3,15-4,,
7:34.0,,,15-4,,Turnover by S. Curry (bad pass; steal by C. Parsons)
7:27.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,17-4,,
7:06.0,,,17-4,,H. Barnes misses 2-pt shot from 11 ft
7:04.0,Defensive rebound by T. Chandler,,17-4,,
6:51.0,C. Parsons misses 2-pt shot from 13 ft,,17-4,,
6:49.0,,,17-4,,Defensive rebound by A. Bogut
6:46.0,Personal foul by J. Barea (drawn by S. Curry),,17-4,,
6:46.0,A. Aminu enters the game for D. Nowitzki,,17-4,,
6:40.0,,,17-4,,Turnover by K. Thompson (bad pass; steal by A. Aminu)
6:34.0,M. Ellis makes 2-pt shot from 2 ft (assist by J. Barea),2,19-4,,
6:23.0,,,19-4,,D. Green misses 2-pt shot from 1 ft
6:22.0,Defensive rebound by A. Aminu,,19-4,,
6:11.0,J. Barea makes 2-pt shot from 16 ft,2,21-4,,
6:05.0,,,21-4,,Golden State full timeout
6:05.0,,,21-4,,A. Iguodala enters the game for H. Barnes
6:05.0,,,21-4,,D. Lee enters the game for A. Bogut
5:58.0,,,21-4,,S. Curry misses 2-pt shot from 3 ft (block by A. Aminu)
5:56.0,Defensive rebound by C. Parsons,,21-4,,
5:54.0,Shooting foul by D. Lee (drawn by C. Parsons),,21-4,,
5:54.0,C. Parsons misses free throw 1 of 2,,21-4,,
5:54.0,Offensive rebound by Team,,21-4,,
5:54.0,C. Parsons makes free throw 2 of 2,1,22-4,,
5:42.0,,,22-4,,Turnover by S. Curry (bad pass; steal by C. Parsons)
5:39.0,C. Parsons makes 2-pt shot at rim,2,24-4,,
5:25.0,,,24-4,,S. Curry misses 3-pt shot from 26 ft
5:24.0,Defensive rebound by T. Chandler,,24-4,,
5:14.0,J. Barea misses 2-pt shot from 8 ft,,24-4,,
5:12.0,,,24-4,,Defensive rebound by D. Lee
5:07.0,,,24-7,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
4:48.0,M. Ellis makes 2-pt shot from 14 ft,2,26-7,,
4:40.0,,,26-10,3,S. Curry makes 3-pt shot from 26 ft
4:33.0,Dallas full timeout,,26-10,,
4:33.0,D. Harris enters the game for T. Chandler,,26-10,,
4:33.0,D. Nowitzki enters the game for J. Barea,,26-10,,
4:33.0,,,26-10,,H. Barnes enters the game for D. Green
4:22.0,A. Aminu makes 2-pt shot from 2 ft (assist by M. Ellis),2,28-10,,
4:11.0,,,28-12,2,S. Curry makes 2-pt shot from 17 ft
3:56.0,M. Ellis makes 2-pt shot from 10 ft,2,30-12,,
3:26.0,,,30-12,,S. Curry misses 2-pt shot from 22 ft
3:25.0,,,30-12,,Offensive rebound by A. Iguodala
3:21.0,,,30-15,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
3:04.0,,,30-15,,L. Barbosa enters the game for K. Thompson
