time,Cleveland,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. T. Thompson (M. Carter-Williams gains possession),,,,Jump ball: N. Noel vs. T. Thompson (M. Carter-Williams gains possession)
11:38.0,,,0-0,,Turnover by H. Sims (traveling)
11:32.0,,,0-0,,Personal foul by H. Sims (drawn by K. Love)
11:26.0,K. Love makes 2-pt shot from 16 ft,2,2-0,,
11:10.0,,,2-0,,Turnover by K. McDaniels (step out of bounds)
10:58.0,M. Miller misses 3-pt shot from 25 ft,,2-0,,
10:56.0,,,2-0,,Defensive rebound by K. McDaniels
10:45.0,,,2-2,2,K. McDaniels makes 2-pt shot at rim (assist by M. Carter-Williams)
10:31.0,Turnover by M. Dellavedova (bad pass; steal by M. Carter-Williams),,2-2,,
10:20.0,,,2-2,,H. Sims misses 2-pt shot from 14 ft
10:19.0,Defensive rebound by M. Miller,,2-2,,
10:09.0,K. Love makes 2-pt shot from 1 ft,2,4-2,,
9:58.0,Def 3 sec tech foul by T. Thompson,,4-2,,
9:58.0,,,4-2,,R. Covington misses technical free throw
9:58.0,,,4-2,,Offensive rebound by Team
9:47.0,,,4-2,,Turnover by H. Sims (bad pass; steal by J. Harris)
9:38.0,J. Harris misses 3-pt shot from 24 ft,,4-2,,
9:36.0,Offensive rebound by T. Thompson,,4-2,,
9:19.0,M. Miller misses 2-pt shot from 20 ft,,4-2,,
9:17.0,,,4-2,,Defensive rebound by N. Noel
9:08.0,,,4-4,2,N. Noel makes 2-pt shot from 4 ft (assist by K. McDaniels)
8:53.0,J. Harris makes 3-pt shot from 27 ft (assist by K. Love),3,7-4,,
8:30.0,,,7-6,2,N. Noel makes 2-pt shot from 5 ft (assist by M. Carter-Williams)
8:15.0,K. Love misses 2-pt shot from 1 ft,,7-6,,
8:14.0,Offensive rebound by K. Love,,7-6,,
8:12.0,K. Love misses 2-pt shot from 5 ft,,7-6,,
8:11.0,,,7-6,,Defensive rebound by Team
8:11.0,Loose ball foul by T. Thompson (drawn by N. Noel),,7-6,,
8:01.0,,,7-6,,R. Covington misses 2-pt shot from 17 ft
7:59.0,Defensive rebound by K. Love,,7-6,,
7:45.0,K. Love misses 3-pt shot from 26 ft,,7-6,,
7:42.0,,,7-6,,Defensive rebound by K. McDaniels
7:30.0,,,7-6,,M. Carter-Williams misses 2-pt shot from 18 ft
7:29.0,Defensive rebound by K. Love,,7-6,,
7:17.0,K. Love makes 3-pt shot from 23 ft (assist by J. Harris),3,10-6,,
6:57.0,,,10-8,2,M. Carter-Williams makes 2-pt shot from 11 ft (assist by K. McDaniels)
6:38.0,M. Miller misses 2-pt shot from 22 ft,,10-8,,
6:38.0,,,10-8,,Defensive rebound by Team
6:38.0,,,10-8,,M. Thomas enters the game for H. Sims
6:27.0,,,10-10,2,M. Thomas makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
6:15.0,K. Love makes 2-pt shot from 1 ft (assist by M. Miller),2,12-10,,
6:01.0,,,12-10,,K. McDaniels misses 2-pt shot from 20 ft
6:00.0,,,12-10,,Offensive rebound by R. Covington
5:49.0,Violation by M. Dellavedova (kicked ball),,12-10,,
5:49.0,,,12-10,,Philadelphia full timeout
5:49.0,S. Marion enters the game for J. Harris,,12-10,,
5:38.0,,,12-10,,M. Carter-Williams misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by M. Miller,,12-10,,
5:16.0,T. Thompson misses 2-pt shot from 1 ft (block by N. Noel),,12-10,,
5:14.0,,,12-10,,Defensive rebound by M. Thomas
5:07.0,,,12-10,,Offensive foul by N. Noel
5:07.0,,,12-10,,Turnover by N. Noel (offensive foul)
5:07.0,,,12-10,,T. Wroten enters the game for K. McDaniels
4:45.0,K. Love misses 3-pt shot from 27 ft,,12-10,,
4:43.0,,,12-10,,Defensive rebound by Team
4:25.0,,,12-10,,N. Noel misses 2-pt shot from 14 ft
4:24.0,Defensive rebound by M. Miller,,12-10,,
4:15.0,T. Thompson misses 2-pt shot from 2 ft,,12-10,,
4:14.0,,,12-10,,Defensive rebound by M. Carter-Williams
4:04.0,,,12-10,,R. Covington misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by K. Love,,12-10,,
3:48.0,Turnover by K. Love (bad pass; steal by M. Thomas),,12-10,,
3:46.0,Personal foul by M. Dellavedova (drawn by T. Wroten),,12-10,,
3:46.0,,,12-10,,F. Aldemir enters the game for N. Noel
3:46.0,J. Jones enters the game for M. Miller,,12-10,,
3:46.0,A. Price enters the game for M. Dellavedova,,12-10,,
3:39.0,,,12-10,,Turnover by T. Wroten (lost ball)
3:24.0,S. Marion makes 2-pt shot from 1 ft (assist by T. Thompson),2,14-10,,
3:22.0,,,14-10,,Philadelphia full timeout
3:08.0,,,14-12,2,M. Carter-Williams makes 2-pt shot from 6 ft
2:47.0,K. Love makes 2-pt shot from 17 ft,2,16-12,,
2:30.0,,,16-12,,M. Thomas misses 2-pt shot from 4 ft
2:28.0,Defensive rebound by K. Love,,16-12,,
2:08.0,A. Price misses 2-pt shot from 17 ft,,16-12,,
2:07.0,,,16-12,,Defensive rebound by R. Covington
1:59.0,,,16-12,,M. Carter-Williams misses 3-pt shot from 25 ft
1:58.0,,,16-12,,Offensive rebound by M. Thomas
1:54.0,,,16-12,,T. Wroten misses 2-pt shot from 1 ft
1:53.0,,,16-12,,Offensive rebound by Team
1:53.0,Cleveland full timeout,,16-12,,
1:53.0,,,16-12,,H. Sims enters the game for M. Thomas
1:53.0,B. Haywood enters the game for K. Love,,16-12,,
1:46.0,,,16-12,,H. Sims misses 2-pt shot from 14 ft
1:44.0,,,16-12,,Offensive rebound by F. Aldemir
1:28.0,,,16-15,3,M. Carter-Williams makes 3-pt shot from 24 ft (assist by T. Wroten)
1:08.0,A. Price makes 2-pt shot from 9 ft,2,18-15,,
1:02.0,,,18-17,2,T. Wroten makes 2-pt shot at rim (assist by M. Carter-Williams)
0:36.0,A. Price misses 3-pt shot from 26 ft,,18-17,,
0:34.0,,,18-17,,Defensive rebound by M. Carter-Williams
0:30.0,,,18-17,,Shooting foul by J. Jones (drawn by R. Covington)
0:30.0,,,18-18,1,R. Covington makes free throw 1 of 2
0:30.0,,,18-18,,J. Grant enters the game for M. Carter-Williams
0:30.0,M. Dellavedova enters the game for T. Thompson,,18-18,,
0:30.0,,,18-19,1,R. Covington makes free throw 2 of 2
