time,Utah,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:40.0,,,0-0,,D. Nowitzki misses 2-pt shot from 20 ft
12:00.0,Jump ball: D. Favors vs. G. Smith (M. Ellis gains possession),,,,Jump ball: D. Favors vs. G. Smith (M. Ellis gains possession)
11:39.0,Defensive rebound by D. Favors,,0-0,,
11:19.0,E. Kanter misses 2-pt shot from 21 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by D. Nowitzki
10:59.0,,,0-0,,C. Parsons misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by E. Kanter,,0-0,,
10:46.0,Turnover by E. Millsap (bad pass; steal by D. Nowitzki),,0-0,,
10:29.0,,,0-0,,M. Ellis misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by E. Kanter,,0-0,,
10:06.0,D. Favors misses 2-pt shot from 13 ft,,0-0,,
10:05.0,,,0-0,,Defensive rebound by Team
9:42.0,,,0-0,,J. Barea misses 3-pt shot from 22 ft
9:41.0,Defensive rebound by E. Millsap,,0-0,,
9:18.0,D. Exum misses 2-pt shot from 18 ft,,0-0,,
9:17.0,,,0-0,,Defensive rebound by D. Nowitzki
9:10.0,,,0-0,,Turnover by J. Barea (lost ball; steal by E. Millsap)
9:08.0,Turnover by E. Millsap (lost ball; steal by M. Ellis),,0-0,,
9:02.0,,,0-0,,C. Parsons misses 2-pt shot from 2 ft
8:59.0,Defensive rebound by E. Kanter,,0-0,,
8:54.0,,,0-0,,Violation by J. Barea (kicked ball)
8:38.0,D. Exum misses 3-pt shot from 24 ft,,0-0,,
8:37.0,,,0-0,,Defensive rebound by J. Barea
8:27.0,,,0-0,,J. Barea misses 2-pt shot from 1 ft (block by D. Favors)
8:25.0,Defensive rebound by G. Hayward,,0-0,,
8:20.0,E. Kanter misses 2-pt shot from 5 ft,,0-0,,
8:17.0,,,0-0,,Defensive rebound by C. Parsons
8:05.0,,,0-0,,C. Parsons misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by E. Millsap,,0-0,,
7:47.0,G. Hayward makes 2-pt shot from 16 ft,2,2-0,,
7:30.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by G. Smith)
7:10.0,Turnover by D. Favors (bad pass),,2-2,,
6:47.0,,,2-2,,J. Barea misses 2-pt shot from 1 ft (block by D. Favors)
6:44.0,Defensive rebound by D. Exum,,2-2,,
6:24.0,D. Favors misses 2-pt shot from 13 ft,,2-2,,
6:23.0,,,2-2,,Defensive rebound by D. Nowitzki
6:01.0,,,2-4,2,D. Nowitzki makes 2-pt shot from 22 ft (assist by J. Barea)
5:47.0,E. Millsap misses 3-pt shot from 25 ft,,2-4,,
5:46.0,Offensive rebound by D. Favors,,2-4,,
5:43.0,,,2-4,,Personal foul by C. Parsons (drawn by G. Hayward)
5:43.0,,,2-4,,Dallas full timeout
5:43.0,,,2-4,,A. Aminu enters the game for D. Nowitzki
5:43.0,,,2-4,,D. Harris enters the game for G. Smith
5:43.0,,,2-4,,B. James enters the game for J. Barea
5:43.0,T. Burke enters the game for E. Kanter,,2-4,,
5:43.0,R. Gobert enters the game for D. Exum,,2-4,,
5:30.0,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward),3,5-4,,
5:16.0,,,5-4,,M. Ellis misses 2-pt shot from 6 ft
5:14.0,Defensive rebound by T. Burke,,5-4,,
5:07.0,G. Hayward misses 2-pt shot from 11 ft (block by B. James),,5-4,,
5:04.0,,,5-4,,Defensive rebound by C. Parsons
5:04.0,,,5-4,,Shooting foul by T. Burke (drawn by C. Parsons)
5:04.0,,,5-5,1,C. Parsons makes free throw 1 of 2
5:04.0,,,5-6,1,C. Parsons makes free throw 2 of 2
4:44.0,D. Favors makes 2-pt shot from 4 ft (assist by G. Hayward),2,7-6,,
4:34.0,,,7-6,,B. James misses 2-pt shot from 1 ft (block by R. Gobert)
4:34.0,,,7-6,,Offensive rebound by Team
4:22.0,,,7-6,,Shooting foul by T. Burke (drawn by B. James)
4:22.0,,,7-7,1,B. James makes free throw 1 of 2
4:22.0,,,7-7,,C. Villanueva enters the game for C. Parsons
4:22.0,,,7-8,1,B. James makes free throw 2 of 2
4:07.0,Turnover by D. Favors (bad pass; steal by M. Ellis),,7-8,,
4:01.0,,,7-10,2,A. Aminu makes 2-pt shot at rim (assist by M. Ellis)
3:47.0,E. Millsap misses 3-pt shot from 25 ft,,7-10,,
3:46.0,,,7-10,,Defensive rebound by D. Harris
3:32.0,,,7-12,2,C. Villanueva makes 2-pt shot from 10 ft
3:18.0,T. Burke misses 2-pt shot from 11 ft,,7-12,,
3:16.0,Offensive rebound by R. Gobert,,7-12,,
3:16.0,R. Gobert misses 2-pt shot at rim,,7-12,,
3:16.0,Offensive rebound by Team,,7-12,,
3:16.0,Utah full timeout,,7-12,,
3:16.0,S. Novak enters the game for D. Favors,,7-12,,
3:16.0,T. Booker enters the game for E. Millsap,,7-12,,
3:08.0,G. Hayward misses 3-pt shot from 25 ft,,7-12,,
3:07.0,,,7-12,,Defensive rebound by A. Aminu
2:55.0,,,7-12,,D. Harris misses 3-pt shot from 25 ft
2:53.0,,,7-12,,Offensive rebound by A. Aminu
2:44.0,,,7-14,2,B. James makes 2-pt shot from 1 ft (assist by D. Harris)
2:19.0,Turnover by S. Novak (lost ball; steal by M. Ellis),,7-14,,
2:11.0,,,7-16,2,B. James makes 2-pt shot at rim (assist by D. Harris)
1:51.0,S. Novak misses 3-pt shot from 25 ft,,7-16,,
1:49.0,,,7-16,,Defensive rebound by D. Harris
1:43.0,,,7-16,,Turnover by B. James (lost ball; steal by T. Burke)
1:39.0,,,7-16,,Violation by C. Villanueva (def goaltending)
1:39.0,T. Burke makes 2-pt shot at rim,2,9-16,,
1:27.0,,,9-19,3,C. Villanueva makes 3-pt shot from 27 ft (assist by D. Harris)
1:03.0,T. Burke misses 2-pt shot from 1 ft,,9-19,,
1:02.0,,,9-19,,Defensive rebound by A. Aminu
1:02.0,Loose ball foul by R. Gobert (drawn by A. Aminu),,9-19,,
1:02.0,D. Exum enters the game for G. Hayward,,9-19,,
1:02.0,,,9-19,,D. Nowitzki enters the game for M. Ellis
1:02.0,,,9-19,,J. Barea enters the game for B. James
0:52.0,,,9-22,3,C. Villanueva makes 3-pt shot from 23 ft (assist by D. Nowitzki)
0:28.0,D. Exum misses 3-pt shot from 31 ft,,9-22,,
0:26.0,,,9-22,,Defensive rebound by A. Aminu
0:04.0,,,9-22,,D. Harris misses 3-pt shot from 22 ft
0:02.0,Defensive rebound by R. Gobert,,9-22,,
0:00.0,T. Booker misses 3-pt shot from 61 ft,,9-22,,
0:00.0,Offensive rebound by Team,,9-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,S. Novak makes 3-pt shot from 25 ft (assist by D. Exum),3,12-22,,
11:23.0,,,12-24,2,D. Harris makes 2-pt shot from 3 ft
11:06.0,T. Burke misses 2-pt shot from 19 ft,,12-24,,
11:04.0,Offensive rebound by T. Booker,,12-24,,
11:04.0,T. Booker makes 2-pt shot at rim,2,14-24,,
10:50.0,,,14-24,,D. Nowitzki misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by T. Burke,,14-24,,
10:34.0,R. Gobert misses 2-pt shot from 5 ft,,14-24,,
10:31.0,Offensive rebound by T. Booker,,14-24,,
10:26.0,S. Novak makes 3-pt shot from 24 ft (assist by T. Burke),3,17-24,,
10:08.0,,,17-24,,Offensive foul by A. Aminu
10:08.0,,,17-24,,Turnover by A. Aminu (offensive foul)
10:08.0,,,17-24,,C. Parsons enters the game for C. Villanueva
10:08.0,,,17-24,,B. James enters the game for A. Aminu
10:08.0,I. Clark enters the game for D. Exum,,17-24,,
9:57.0,T. Burke misses 3-pt shot from 26 ft,,17-24,,
9:56.0,,,17-24,,Defensive rebound by D. Nowitzki
9:50.0,,,17-26,2,J. Barea makes 2-pt shot from 1 ft
9:44.0,Turnover by T. Burke (bad pass),,17-26,,
9:37.0,,,17-26,,B. James misses 2-pt shot from 4 ft (block by R. Gobert)
9:36.0,,,17-26,,Offensive rebound by Team
9:31.0,,,17-26,,C. Parsons misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by I. Clark,,17-26,,
9:20.0,T. Booker misses 2-pt shot from 14 ft,,17-26,,
9:18.0,,,17-26,,Defensive rebound by C. Parsons
9:09.0,,,17-26,,Turnover by C. Parsons (bad pass; steal by T. Booker)
9:04.0,T. Burke misses 2-pt shot from 2 ft,,17-26,,
9:02.0,Offensive rebound by I. Clark,,17-26,,
8:59.0,S. Novak misses 3-pt shot from 25 ft,,17-26,,
8:57.0,Offensive rebound by R. Gobert,,17-26,,
8:57.0,R. Gobert misses 2-pt shot at rim,,17-26,,
8:55.0,Offensive rebound by T. Burke,,17-26,,
8:50.0,T. Booker misses 2-pt shot from 21 ft,,17-26,,
8:49.0,Offensive rebound by R. Gobert,,17-26,,
8:49.0,R. Gobert misses 2-pt shot at rim,,17-26,,
8:47.0,,,17-26,,Defensive rebound by D. Nowitzki
8:44.0,Shooting block foul by T. Burke (drawn by D. Harris),,17-26,,
8:44.0,Official timeout,,17-26,,
8:44.0,,,17-26,,C. Villanueva enters the game for D. Nowitzki
8:44.0,,,17-26,,R. Jefferson enters the game for J. Barea
8:44.0,E. Millsap enters the game for T. Burke,,17-26,,
8:44.0,D. Exum enters the game for I. Clark,,17-26,,
8:44.0,,,17-27,1,D. Harris makes free throw 1 of 2
8:44.0,,,17-28,1,D. Harris makes free throw 2 of 2
8:21.0,D. Exum misses 2-pt shot from 10 ft,,17-28,,
8:20.0,,,17-28,,Defensive rebound by R. Jefferson
7:57.0,,,17-28,,D. Harris misses 3-pt shot from 27 ft
7:56.0,Defensive rebound by Team,,17-28,,
7:43.0,Shooting foul by R. Jefferson (drawn by E. Millsap),,17-28,,
7:43.0,E. Millsap makes free throw 1 of 2,1,18-28,,
7:43.0,,,18-28,,J. Barea enters the game for D. Harris
7:43.0,,,18-28,,M. Ellis enters the game for C. Parsons
7:43.0,E. Kanter enters the game for T. Booker,,18-28,,
7:43.0,E. Millsap makes free throw 2 of 2,1,19-28,,
7:33.0,,,19-28,,C. Villanueva misses 2-pt shot from 20 ft
7:31.0,,,19-28,,Offensive rebound by B. James
7:31.0,,,19-28,,B. James misses 2-pt shot from 1 ft (block by R. Gobert)
7:30.0,,,19-28,,Offensive rebound by Team
7:30.0,G. Hayward enters the game for S. Novak,,19-28,,
7:25.0,,,19-28,,C. Villanueva misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by E. Kanter,,19-28,,
7:03.0,E. Kanter makes 2-pt shot from 3 ft,2,21-28,,
7:02.0,,,21-28,,Dallas full timeout
6:50.0,,,21-28,,C. Villanueva misses 2-pt shot from 2 ft (block by R. Gobert)
6:48.0,Defensive rebound by E. Millsap,,21-28,,
6:41.0,Shooting foul by J. Barea (drawn by E. Millsap),,21-28,,
6:41.0,E. Millsap makes free throw 1 of 2,1,22-28,,
6:41.0,,,22-28,,A. Aminu enters the game for R. Jefferson
6:41.0,,,22-28,,C. Parsons enters the game for C. Villanueva
6:41.0,D. Favors enters the game for R. Gobert,,22-28,,
6:41.0,E. Millsap misses free throw 2 of 2,,22-28,,
6:39.0,,,22-28,,Defensive rebound by J. Barea
6:16.0,,,22-28,,A. Aminu misses 3-pt shot from 25 ft
6:14.0,,,22-28,,Offensive rebound by J. Barea
6:09.0,,,22-31,3,J. Barea makes 3-pt shot from 25 ft (assist by C. Parsons)
5:50.0,E. Millsap makes 3-pt shot from 24 ft (assist by G. Hayward),3,25-31,,
5:31.0,,,25-31,,A. Aminu misses 2-pt shot from 5 ft
5:27.0,Defensive rebound by E. Kanter,,25-31,,
5:15.0,D. Exum misses 3-pt shot from 23 ft,,25-31,,
5:15.0,Offensive rebound by E. Kanter,,25-31,,
5:15.0,,,25-31,,Personal foul by C. Parsons (drawn by E. Kanter)
5:15.0,,,25-31,,D. Nowitzki enters the game for B. James
5:15.0,,,25-31,,G. Smith enters the game for A. Aminu
5:09.0,Offensive foul by E. Kanter,,25-31,,
5:09.0,Turnover by E. Kanter (offensive foul),,25-31,,
4:50.0,,,25-34,3,M. Ellis makes 3-pt shot from 26 ft (assist by D. Nowitzki)
4:30.0,Turnover by E. Kanter (traveling),,25-34,,
4:20.0,,,25-34,,J. Barea misses 2-pt shot from 4 ft
4:17.0,Defensive rebound by G. Hayward,,25-34,,
3:55.0,E. Millsap makes 2-pt shot from 21 ft (assist by D. Exum),2,27-34,,
3:39.0,,,27-34,,Turnover by D. Nowitzki (bad pass; steal by G. Hayward)
3:30.0,,,27-34,,Personal foul by M. Ellis (drawn by D. Favors)
3:30.0,,,27-34,,D. Harris enters the game for J. Barea
3:30.0,I. Clark enters the game for D. Exum,,27-34,,
3:19.0,G. Hayward makes 2-pt shot from 11 ft,2,29-34,,
3:02.0,,,29-36,2,G. Smith makes 2-pt shot from 3 ft (assist by D. Harris)
2:47.0,E. Kanter makes 2-pt shot from 2 ft (assist by D. Favors),2,31-36,,
2:47.0,Shooting foul by D. Nowitzki (drawn by E. Kanter),,31-36,,
2:47.0,Utah full timeout,,31-36,,
2:47.0,E. Kanter misses free throw 1 of 1,,31-36,,
2:46.0,,,31-36,,Defensive rebound by C. Parsons
2:25.0,,,31-36,,Turnover by M. Ellis (bad pass; steal by I. Clark)
2:21.0,I. Clark makes 2-pt shot from 1 ft,2,33-36,,
1:55.0,,,33-36,,C. Parsons misses 3-pt shot from 22 ft
1:54.0,Defensive rebound by G. Hayward,,33-36,,
1:41.0,G. Hayward makes 2-pt shot from 17 ft,2,35-36,,
1:25.0,Personal foul by I. Clark (drawn by D. Harris),,35-36,,
1:25.0,R. Gobert enters the game for E. Kanter,,35-36,,
1:15.0,,,35-39,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Harris)
1:02.0,Offensive foul by G. Hayward,,35-39,,
1:02.0,Turnover by G. Hayward (offensive foul),,35-39,,
1:02.0,D. Exum enters the game for I. Clark,,35-39,,
0:49.0,,,35-39,,M. Ellis misses 2-pt shot from 6 ft
0:48.0,Defensive rebound by E. Millsap,,35-39,,
0:30.0,Utah full timeout,,35-39,,
0:30.0,,,35-39,,A. Aminu enters the game for D. Nowitzki
0:30.0,,,35-39,,B. James enters the game for G. Smith
0:25.0,G. Hayward misses 3-pt shot from 24 ft,,35-39,,
0:24.0,Offensive rebound by Team,,35-39,,
0:24.0,,,35-39,,Loose ball foul by A. Aminu (drawn by R. Gobert)
0:24.0,R. Gobert makes free throw 1 of 2,1,36-39,,
0:24.0,,,36-39,,D. Nowitzki enters the game for B. James
0:24.0,R. Gobert makes free throw 2 of 2,1,37-39,,
0:24.0,,,37-39,,Dallas full timeout
0:24.0,,,37-39,,C. Villanueva enters the game for A. Aminu
0:24.0,T. Booker enters the game for D. Favors,,37-39,,
0:03.0,,,37-39,,D. Nowitzki misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by G. Hayward,,37-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,37-39,,Personal foul by J. Barea (drawn by G. Hayward)
11:35.0,D. Favors makes 2-pt shot from 15 ft (assist by G. Hayward),2,39-39,,
11:08.0,,,39-39,,M. Ellis misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by G. Hayward,,39-39,,
11:01.0,G. Hayward misses 3-pt shot from 24 ft,,39-39,,
10:59.0,Offensive rebound by G. Hayward,,39-39,,
10:56.0,E. Kanter makes 2-pt shot from 1 ft (assist by G. Hayward),2,41-39,,
10:39.0,,,41-42,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea)
10:20.0,D. Favors misses 2-pt shot from 7 ft,,41-42,,
10:18.0,,,41-42,,Defensive rebound by D. Nowitzki
10:08.0,,,41-42,,C. Parsons misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by D. Favors,,41-42,,
9:43.0,G. Hayward misses 2-pt shot from 15 ft,,41-42,,
9:42.0,Offensive rebound by E. Kanter,,41-42,,
