time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (J. Noah gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (J. Noah gains possession)
11:37.0,,,0-0,,D. Rose misses 2-pt shot from 16 ft
11:35.0,,,0-0,,Offensive rebound by J. Noah
11:35.0,,,0-0,,J. Noah misses 2-pt shot from 1 ft
11:34.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:21.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by J. Noah
11:06.0,,,0-0,,Shooting foul by M. Carter-Williams (drawn by J. Butler)
11:06.0,,,0-2,2,J. Butler makes 2-pt shot from 20 ft (assist by D. Rose)
11:06.0,,,0-2,,J. Butler misses free throw 1 of 1
11:03.0,Defensive rebound by M. Carter-Williams,,0-2,,
10:41.0,Z. Pachulia misses 2-pt shot from 2 ft (block by D. Rose),,0-2,,
10:41.0,,,0-2,,Defensive rebound by D. Rose
10:37.0,,,0-2,,D. Rose misses 2-pt shot from 1 ft
10:36.0,Defensive rebound by Z. Pachulia,,0-2,,
10:30.0,K. Middleton misses 3-pt shot from 26 ft,,0-2,,
10:29.0,,,0-2,,Defensive rebound by J. Noah
10:18.0,,,0-2,,Turnover by P. Gasol (lost ball; steal by K. Middleton)
10:14.0,Turnover by K. Middleton (bad pass; steal by D. Rose),,0-2,,
10:07.0,,,0-4,2,P. Gasol makes 2-pt shot at rim (assist by J. Noah)
9:54.0,E. Ilyasova misses 3-pt shot from 26 ft,,0-4,,
9:53.0,,,0-4,,Defensive rebound by M. Dunleavy
9:35.0,,,0-4,,J. Butler misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by G. Antetokounmpo,,0-4,,
9:20.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,0-4,,
9:18.0,,,0-4,,Defensive rebound by J. Butler
9:02.0,,,0-4,,Turnover by J. Noah (bad pass; steal by Z. Pachulia)
