time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Speights (K. Durant gains possession),,,,Jump ball: S. Adams vs. M. Speights (K. Durant gains possession)
11:42.0,,,0-0,,Turnover by S. Ibaka (bad pass; steal by M. Speights)
11:28.0,D. Green misses 3-pt shot from 25 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by S. Adams
11:07.0,,,0-0,,Turnover by K. Durant (bad pass; steal by H. Barnes)
10:57.0,K. Thompson makes 3-pt shot from 24 ft,3,3-0,,
10:39.0,,,3-2,2,R. Westbrook makes 2-pt shot from 12 ft
10:31.0,S. Curry misses 3-pt shot from 24 ft,,3-2,,
10:30.0,,,3-2,,Defensive rebound by R. Westbrook
10:20.0,,,3-2,,Turnover by S. Adams (lost ball; steal by D. Green)
10:13.0,K. Thompson makes 2-pt shot from 10 ft,2,5-2,,
9:59.0,,,5-4,2,K. Durant makes 2-pt shot from 12 ft (assist by R. Westbrook)
9:43.0,M. Speights misses 2-pt shot from 9 ft,,5-4,,
9:42.0,,,5-4,,Defensive rebound by K. Durant
9:34.0,Shooting block foul by M. Speights (drawn by K. Durant),,5-4,,
9:34.0,,,5-5,1,K. Durant makes free throw 1 of 2
9:34.0,,,5-6,1,K. Durant makes free throw 2 of 2
9:26.0,Turnover by K. Thompson (lost ball),,5-6,,
9:15.0,,,5-6,,R. Westbrook misses 2-pt shot from 5 ft
9:14.0,Defensive rebound by D. Green,,5-6,,
9:06.0,M. Speights makes 2-pt shot at rim (assist by K. Thompson),2,7-6,,
8:49.0,,,7-8,2,R. Westbrook makes 2-pt shot from 13 ft
8:41.0,Turnover by S. Curry (lost ball; steal by R. Westbrook),,7-8,,
8:38.0,,,7-10,2,A. Roberson makes 2-pt shot at rim (assist by S. Ibaka)
8:19.0,S. Curry makes 2-pt shot from 7 ft (assist by D. Green),2,9-10,,
7:57.0,,,9-10,,A. Roberson misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by S. Curry,,9-10,,
7:46.0,M. Speights misses 2-pt shot from 16 ft,,9-10,,
7:45.0,,,9-10,,Defensive rebound by K. Durant
7:38.0,,,9-12,2,K. Durant makes 2-pt shot from 12 ft
7:28.0,S. Curry makes 2-pt shot from 19 ft,2,11-12,,
7:12.0,,,11-12,,Shooting foul by D. Green (drawn by R. Westbrook)
