time,Cleveland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Thompson (K. Walker gains possession),,,,Jump ball: B. Biyombo vs. T. Thompson (K. Walker gains possession)
11:38.0,,,0-2,2,G. Henderson makes 2-pt shot from 10 ft
11:19.0,K. Love misses 2-pt shot from 6 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by C. Zeller
11:01.0,,,0-2,,M. Kidd-Gilchrist misses 2-pt shot from 14 ft
11:01.0,,,0-2,,Offensive rebound by Team
11:01.0,Loose ball foul by T. Thompson (drawn by B. Biyombo),,0-2,,
10:46.0,,,0-2,,Turnover by Team (shot clock)
10:35.0,K. Love makes 2-pt shot from 20 ft (assist by M. Miller),2,2-2,,
10:19.0,,,2-5,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller)
10:04.0,K. Irving misses 2-pt shot from 13 ft,,2-5,,
10:03.0,,,2-5,,Defensive rebound by M. Kidd-Gilchrist
9:52.0,,,2-5,,Turnover by M. Kidd-Gilchrist (lost ball; steal by K. Irving)
9:47.0,K. Love makes 2-pt shot at rim (assist by M. Miller),2,4-5,,
9:32.0,,,4-5,,Offensive charge foul by M. Kidd-Gilchrist
9:32.0,,,4-5,,Turnover by M. Kidd-Gilchrist (offensive foul)
9:18.0,M. Miller misses 2-pt shot from 5 ft,,4-5,,
9:15.0,,,4-5,,Defensive rebound by C. Zeller
9:11.0,,,4-5,,Turnover by K. Walker (bad pass; steal by K. Irving)
9:03.0,Shooting foul by G. Henderson (drawn by K. Love),,4-5,,
9:03.0,K. Love makes free throw 1 of 2,1,5-5,,
9:03.0,K. Love makes free throw 2 of 2,1,6-5,,
8:43.0,,,6-7,2,C. Zeller makes 2-pt shot from 20 ft (assist by G. Henderson)
8:31.0,K. Irving misses 2-pt shot from 18 ft,,6-7,,
8:29.0,,,6-7,,Defensive rebound by C. Zeller
8:22.0,,,6-7,,K. Walker misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by T. Thompson,,6-7,,
8:11.0,K. Love misses 2-pt shot from 1 ft (block by C. Zeller),,6-7,,
8:10.0,,,6-7,,Defensive rebound by B. Biyombo
