time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (J. Noah gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (J. Noah gains possession)
11:43.0,,,0-0,,M. Dunleavy misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by Z. Pachulia,,0-0,,
11:27.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,2-0,,
10:59.0,,,2-0,,M. Dunleavy misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by Z. Pachulia,,2-0,,
10:44.0,Z. Pachulia misses 2-pt shot from 18 ft,,2-0,,
10:43.0,Offensive rebound by Z. Pachulia,,2-0,,
10:18.0,E. Ilyasova misses 2-pt shot from 18 ft,,2-0,,
10:17.0,,,2-0,,Defensive rebound by D. Rose
9:58.0,,,2-0,,P. Gasol misses 2-pt shot from 18 ft
9:57.0,,,2-0,,Offensive rebound by J. Butler
9:53.0,,,2-0,,J. Butler misses 2-pt shot from 18 ft
9:52.0,Defensive rebound by Z. Pachulia,,2-0,,
9:43.0,K. Middleton makes 2-pt shot from 21 ft (assist by M. Carter-Williams),2,4-0,,
9:29.0,,,4-0,,D. Rose misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by Team,,4-0,,
9:17.0,M. Carter-Williams makes 2-pt shot from 7 ft,2,6-0,,
8:55.0,,,6-0,,P. Gasol misses 2-pt shot from 4 ft
8:52.0,,,6-0,,Offensive rebound by J. Butler
8:40.0,,,6-0,,J. Noah misses 2-pt shot from 5 ft
8:38.0,Defensive rebound by Z. Pachulia,,6-0,,
8:23.0,Z. Pachulia misses 2-pt shot from 19 ft,,6-0,,
8:22.0,Offensive rebound by E. Ilyasova,,6-0,,
8:09.0,Z. Pachulia misses 2-pt shot from 2 ft (block by J. Noah),,6-0,,
8:07.0,Offensive rebound by Z. Pachulia,,6-0,,
8:04.0,K. Middleton makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,9-0,,
