time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (P. Pierce gains possession),,,,Jump ball: M. Gortat vs. A. Horford (P. Pierce gains possession)
11:36.0,,,0-0,,N. Hilario misses 2-pt shot from 12 ft
11:35.0,Defensive rebound by A. Horford,,0-0,,
11:25.0,D. Carroll makes 2-pt shot from 16 ft (assist by J. Teague),2,2-0,,
11:11.0,,,2-0,,B. Beal misses 2-pt shot from 4 ft
11:10.0,,,2-0,,Offensive rebound by M. Gortat
11:01.0,,,2-2,2,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall)
10:43.0,K. Korver makes 2-pt shot from 1 ft (assist by A. Horford),2,4-2,,
10:43.0,Shooting foul by P. Pierce (drawn by K. Korver),,4-2,,
10:43.0,K. Korver misses free throw 1 of 1,,4-2,,
10:42.0,,,4-2,,Defensive rebound by M. Gortat
10:29.0,,,4-2,,P. Pierce misses 2-pt shot from 12 ft
10:28.0,,,4-2,,Offensive rebound by N. Hilario
10:25.0,,,4-2,,N. Hilario misses 2-pt shot from 4 ft
10:24.0,Defensive rebound by P. Millsap,,4-2,,
10:19.0,Turnover by A. Horford (bad pass),,4-2,,
10:10.0,,,4-5,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
9:47.0,J. Teague makes 2-pt shot from 17 ft,2,6-5,,
9:46.0,,,6-5,,Personal foul by N. Hilario (drawn by P. Millsap)
9:46.0,Personal foul by P. Millsap,,6-5,,
9:31.0,,,6-5,,Turnover by J. Wall (step out of bounds)
9:18.0,P. Millsap misses 2-pt shot from 7 ft,,6-5,,
9:17.0,,,6-5,,Defensive rebound by Team
9:09.0,,,6-5,,B. Beal misses 3-pt shot from 28 ft
9:08.0,Defensive rebound by P. Millsap,,6-5,,
8:59.0,K. Korver misses 3-pt shot from 25 ft,,6-5,,
8:58.0,,,6-5,,Defensive rebound by N. Hilario
8:44.0,,,6-5,,J. Wall misses 2-pt shot from 7 ft
8:43.0,Defensive rebound by A. Horford,,6-5,,
8:27.0,Offensive foul by D. Carroll,,6-5,,
8:27.0,Turnover by D. Carroll (offensive foul),,6-5,,
8:15.0,,,6-5,,M. Gortat misses 2-pt shot from 16 ft
8:14.0,Defensive rebound by D. Carroll,,6-5,,
8:03.0,D. Carroll makes 3-pt shot from 26 ft,3,9-5,,
7:47.0,,,9-5,,B. Beal misses 2-pt shot from 9 ft
7:46.0,Defensive rebound by A. Horford,,9-5,,
7:34.0,J. Teague misses 2-pt shot from 1 ft,,9-5,,
7:33.0,Offensive rebound by J. Teague,,9-5,,
7:24.0,K. Korver misses 3-pt shot from 27 ft,,9-5,,
7:24.0,Offensive rebound by P. Millsap,,9-5,,
7:24.0,P. Millsap makes 2-pt shot from 2 ft,2,11-5,,
7:24.0,Shooting foul by M. Gortat (drawn by P. Millsap),,11-5,,
7:24.0,P. Millsap makes free throw 1 of 1,1,12-5,,
7:01.0,,,12-5,,N. Hilario misses 2-pt shot from 15 ft
7:00.0,Defensive rebound by K. Korver,,12-5,,
6:41.0,P. Millsap misses 2-pt shot from 14 ft,,12-5,,
6:40.0,,,12-5,,Defensive rebound by J. Wall
6:30.0,,,12-5,,P. Pierce misses 2-pt shot from 15 ft
6:29.0,Defensive rebound by A. Horford,,12-5,,
6:17.0,D. Carroll misses 2-pt shot from 8 ft (block by P. Pierce),,12-5,,
6:17.0,Offensive rebound by Team,,12-5,,
6:17.0,P. Antic enters the game for A. Horford,,12-5,,
6:11.0,P. Antic misses 3-pt shot from 25 ft,,12-5,,
6:10.0,,,12-5,,Defensive rebound by J. Wall
5:58.0,,,12-7,2,N. Hilario makes 2-pt shot from 3 ft
5:40.0,J. Teague misses 2-pt shot from 4 ft,,12-7,,
5:39.0,Offensive rebound by P. Antic,,12-7,,
5:38.0,P. Antic misses 2-pt shot from 1 ft,,12-7,,
5:36.0,Offensive rebound by P. Antic,,12-7,,
5:35.0,P. Antic misses 2-pt shot from 2 ft,,12-7,,
5:34.0,Offensive rebound by P. Antic,,12-7,,
5:28.0,D. Carroll misses 3-pt shot from 27 ft,,12-7,,
5:27.0,,,12-7,,Defensive rebound by Team
5:27.0,,,12-7,,Washington full timeout
5:27.0,K. Bazemore enters the game for K. Korver,,12-7,,
5:25.0,,,12-7,,Turnover by J. Wall (bad pass; steal by J. Teague)
5:09.0,P. Millsap misses 2-pt shot from 2 ft,,12-7,,
5:09.0,,,12-7,,Defensive rebound by P. Pierce
5:09.0,Loose ball foul by P. Antic (drawn by P. Pierce),,12-7,,
4:43.0,,,12-7,,P. Pierce misses 3-pt shot from 27 ft
4:42.0,,,12-7,,Offensive rebound by M. Gortat
4:41.0,,,12-7,,M. Gortat misses 2-pt shot from 3 ft
4:40.0,,,12-7,,Offensive rebound by J. Wall
4:39.0,,,12-7,,J. Wall misses 2-pt shot from 9 ft
4:39.0,Defensive rebound by Team,,12-7,,
4:39.0,,,12-7,,Loose ball foul by N. Hilario (drawn by J. Teague)
4:39.0,,,12-7,,D. Gooden enters the game for P. Pierce
4:39.0,,,12-7,,O. Porter enters the game for N. Hilario
4:39.0,D. Schroder enters the game for J. Teague,,12-7,,
4:22.0,P. Millsap makes 2-pt shot from 6 ft (assist by D. Schroder),2,14-7,,
3:54.0,,,14-7,,Turnover by M. Gortat (lost ball; steal by D. Carroll)
3:51.0,Shooting foul by O. Porter (drawn by D. Carroll),,14-7,,
3:51.0,D. Carroll makes free throw 1 of 2,1,15-7,,
3:51.0,,,15-7,,K. Seraphin enters the game for M. Gortat
3:51.0,D. Carroll misses free throw 2 of 2,,15-7,,
3:50.0,,,15-7,,Defensive rebound by D. Gooden
3:32.0,,,15-9,2,B. Beal makes 2-pt shot from 8 ft
3:15.0,D. Schroder misses 3-pt shot from 26 ft,,15-9,,
3:14.0,,,15-9,,Defensive rebound by O. Porter
3:04.0,,,15-11,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
3:03.0,Atlanta full timeout,,15-11,,
3:03.0,K. Korver enters the game for D. Carroll,,15-11,,
3:03.0,M. Muscala enters the game for P. Millsap,,15-11,,
3:03.0,A. Horford enters the game for P. Antic,,15-11,,
2:51.0,D. Schroder misses 2-pt shot from 4 ft (block by K. Seraphin),,15-11,,
2:49.0,Offensive rebound by M. Muscala,,15-11,,
2:41.0,K. Bazemore misses 2-pt shot from 10 ft,,15-11,,
2:40.0,Offensive rebound by M. Muscala,,15-11,,
2:25.0,D. Schroder makes 2-pt shot from 2 ft,2,17-11,,
2:09.0,,,17-13,2,B. Beal makes 2-pt shot at rim
1:46.0,D. Schroder misses 2-pt shot from 1 ft,,17-13,,
1:45.0,,,17-13,,Defensive rebound by D. Gooden
1:36.0,,,17-16,3,D. Gooden makes 3-pt shot from 27 ft (assist by B. Beal)
1:20.0,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder),2,19-16,,
1:03.0,,,19-16,,K. Seraphin misses 2-pt shot from 16 ft
1:01.0,Defensive rebound by K. Bazemore,,19-16,,
0:54.0,D. Schroder misses 2-pt shot from 16 ft,,19-16,,
0:53.0,,,19-16,,Defensive rebound by D. Gooden
0:46.0,,,19-16,,Shooting foul by K. Bazemore (drawn by J. Wall)
0:46.0,,,19-17,1,J. Wall makes free throw 1 of 2
0:46.0,,,19-17,,R. Sessions enters the game for B. Beal
0:46.0,,,19-18,1,J. Wall makes free throw 2 of 2
0:22.0,Turnover by A. Horford (lost ball; steal by O. Porter),,19-18,,
0:01.0,,,19-20,2,K. Seraphin makes 2-pt shot from 6 ft (assist by J. Wall)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by P. Millsap (bad pass),,19-20,,
11:25.0,,,19-20,,Turnover by D. Gooden (bad pass; steal by D. Schroder)
11:10.0,A. Horford misses 2-pt shot from 16 ft,,19-20,,
11:09.0,,,19-20,,Defensive rebound by J. Wall
11:03.0,,,19-20,,R. Sessions misses 2-pt shot from 2 ft
11:01.0,Defensive rebound by A. Horford,,19-20,,
10:47.0,Shooting foul by R. Sessions (drawn by P. Millsap),,19-20,,
10:47.0,P. Millsap makes free throw 1 of 2,1,20-20,,
10:47.0,P. Millsap misses free throw 2 of 2,,20-20,,
10:46.0,,,20-20,,Defensive rebound by K. Seraphin
10:31.0,,,20-20,,Turnover by K. Seraphin (lost ball; steal by D. Schroder)
10:28.0,Turnover by J. Teague (bad pass; steal by J. Wall),,20-20,,
10:25.0,,,20-22,2,R. Sessions makes 2-pt shot from 2 ft (assist by J. Wall)
10:08.0,A. Horford misses 2-pt shot from 18 ft,,20-22,,
10:06.0,Offensive rebound by P. Millsap,,20-22,,
10:00.0,D. Schroder makes 3-pt shot from 26 ft (assist by P. Millsap),3,23-22,,
9:41.0,,,23-24,2,J. Wall makes 2-pt shot from 21 ft
9:26.0,Turnover by J. Teague (lost ball),,23-24,,
9:13.0,,,23-24,,J. Wall misses 2-pt shot from 19 ft (block by J. Teague)
9:11.0,,,23-24,,Offensive rebound by K. Seraphin
9:04.0,,,23-24,,R. Sessions misses 2-pt shot from 19 ft
9:03.0,Defensive rebound by P. Millsap,,23-24,,
8:53.0,J. Teague makes 3-pt shot from 26 ft (assist by A. Horford),3,26-24,,
8:43.0,,,26-24,,Washington full timeout
8:43.0,,,26-24,,B. Beal enters the game for J. Wall
8:43.0,M. Muscala enters the game for K. Korver,,26-24,,
8:43.0,D. Carroll enters the game for A. Horford,,26-24,,
8:29.0,,,26-26,2,K. Seraphin makes 2-pt shot from 5 ft (assist by B. Beal)
8:04.0,P. Millsap misses 2-pt shot from 2 ft,,26-26,,
8:03.0,Offensive rebound by M. Muscala,,26-26,,
