time,Atlanta,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Horford (J. Teague gains possession),,,,Jump ball: A. Davis vs. A. Horford (J. Teague gains possession)
11:39.0,K. Korver makes 2-pt shot from 22 ft (assist by J. Teague),2,2-0,,
11:16.0,,,2-2,2,E. Gordon makes 2-pt shot from 4 ft (assist by A. Davis)
11:00.0,K. Bazemore misses 2-pt shot from 8 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by O. Asik
10:48.0,,,2-2,,D. Cunningham misses 2-pt shot from 15 ft
10:47.0,,,2-2,,Offensive rebound by O. Asik
10:47.0,,,2-2,,O. Asik misses 2-pt shot from 2 ft
10:46.0,Defensive rebound by P. Millsap,,2-2,,
10:31.0,P. Millsap makes 2-pt shot from 14 ft,2,4-2,,
10:14.0,,,4-4,2,O. Asik makes 2-pt shot from 1 ft (assist by D. Cunningham)
9:54.0,Turnover by P. Millsap (lost ball; steal by A. Davis),,4-4,,
9:50.0,,,4-4,,T. Evans misses 2-pt shot from 1 ft
9:49.0,,,4-4,,Offensive rebound by A. Davis
9:49.0,,,4-6,2,A. Davis makes 2-pt shot from 1 ft
9:25.0,K. Bazemore misses 2-pt shot from 3 ft,,4-6,,
9:24.0,,,4-6,,Defensive rebound by O. Asik
9:10.0,,,4-6,,O. Asik misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by P. Millsap,,4-6,,
9:02.0,P. Millsap misses 3-pt shot from 24 ft,,4-6,,
9:02.0,,,4-6,,Defensive rebound by Team
8:48.0,,,4-6,,A. Davis misses 2-pt shot from 16 ft
8:47.0,Defensive rebound by K. Korver,,4-6,,
8:34.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague),2,6-6,,
8:12.0,,,6-6,,Turnover by A. Davis (bad pass; steal by A. Horford)
8:04.0,P. Millsap misses 3-pt shot from 22 ft,,6-6,,
8:03.0,,,6-6,,Defensive rebound by T. Evans
7:57.0,,,6-9,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
7:43.0,J. Teague misses 2-pt shot from 21 ft,,6-9,,
7:42.0,,,6-9,,Defensive rebound by O. Asik
7:32.0,,,6-11,2,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans)
7:17.0,K. Bazemore misses 3-pt shot from 22 ft,,6-11,,
7:16.0,Offensive rebound by A. Horford,,6-11,,
7:11.0,J. Teague makes 3-pt shot from 25 ft (assist by A. Horford),3,9-11,,
6:52.0,,,9-13,2,T. Evans makes 2-pt shot from 2 ft
6:34.0,K. Bazemore misses 2-pt shot from 2 ft,,9-13,,
6:33.0,Offensive rebound by A. Horford,,9-13,,
6:33.0,A. Horford makes 2-pt shot at rim,2,11-13,,
6:09.0,,,11-13,,A. Davis misses 2-pt shot from 19 ft
6:08.0,Defensive rebound by A. Horford,,11-13,,
6:03.0,J. Teague misses 2-pt shot from 2 ft,,11-13,,
6:01.0,,,11-13,,Defensive rebound by E. Gordon
5:58.0,,,11-13,,Offensive charge foul by A. Davis
5:58.0,,,11-13,,Turnover by A. Davis (offensive foul)
5:58.0,,,11-13,,New Orleans full timeout
5:43.0,J. Teague makes 2-pt shot from 1 ft,2,13-13,,
5:43.0,Shooting foul by E. Gordon (drawn by J. Teague),,13-13,,
5:43.0,J. Teague makes free throw 1 of 1,1,14-13,,
5:22.0,,,14-16,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans)
5:05.0,J. Teague misses 2-pt shot from 4 ft,,14-16,,
5:04.0,,,14-16,,Defensive rebound by O. Asik
4:58.0,,,14-16,,A. Davis misses 2-pt shot from 15 ft
4:57.0,Defensive rebound by P. Millsap,,14-16,,
4:51.0,P. Millsap misses 2-pt shot from 3 ft,,14-16,,
4:50.0,,,14-16,,Defensive rebound by O. Asik
4:36.0,,,14-16,,Shooting foul by K. Korver (drawn by O. Asik)
4:36.0,,,14-17,1,O. Asik makes free throw 1 of 2
4:36.0,P. Antic enters the game for A. Horford,,14-17,,
4:36.0,D. Carroll enters the game for K. Korver,,14-17,,
4:36.0,,,14-17,,Q. Pondexter enters the game for D. Cunningham
4:36.0,,,14-18,1,O. Asik makes free throw 2 of 2
4:12.0,Shooting foul by E. Gordon (drawn by J. Teague),,14-18,,
4:12.0,J. Teague makes free throw 1 of 2,1,15-18,,
4:12.0,,,15-18,,R. Anderson enters the game for O. Asik
4:12.0,J. Teague misses free throw 2 of 2,,15-18,,
4:11.0,,,15-18,,Defensive rebound by Q. Pondexter
3:54.0,,,15-18,,T. Evans misses 2-pt shot from 1 ft
3:53.0,Defensive rebound by D. Carroll,,15-18,,
3:42.0,J. Teague misses 2-pt shot from 2 ft,,15-18,,
3:41.0,,,15-18,,Defensive rebound by R. Anderson
3:34.0,,,15-18,,Shooting foul by K. Bazemore (drawn by A. Davis)
3:34.0,,,15-19,1,A. Davis makes free throw 1 of 2
3:34.0,,,15-19,,J. Fredette enters the game for E. Gordon
3:34.0,D. Schroder enters the game for J. Teague,,15-19,,
3:34.0,,,15-20,1,A. Davis makes free throw 2 of 2
3:19.0,P. Antic misses 2-pt shot from 21 ft,,15-20,,
3:18.0,,,15-20,,Defensive rebound by A. Davis
3:06.0,,,15-22,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans)
2:58.0,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder),2,17-22,,
2:43.0,,,17-24,2,T. Evans makes 2-pt shot from 2 ft
2:42.0,Atlanta full timeout,,17-24,,
2:30.0,Turnover by P. Millsap (bad pass; steal by Q. Pondexter),,17-24,,
2:07.0,,,17-27,3,J. Fredette makes 3-pt shot from 26 ft (assist by T. Evans)
1:51.0,Shooting foul by J. Fredette (drawn by D. Schroder),,17-27,,
