time,Washington,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gortat (D. Green gains possession),,,,Jump ball: A. Bogut vs. M. Gortat (D. Green gains possession)
11:38.0,,,0-3,3,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
11:21.0,N. Hilario misses 2-pt shot from 12 ft,,0-3,,
11:20.0,Offensive rebound by M. Gortat,,0-3,,
11:14.0,J. Wall misses 2-pt shot from 18 ft,,0-3,,
11:13.0,,,0-3,,Defensive rebound by H. Barnes
11:00.0,,,0-3,,H. Barnes misses 2-pt shot from 9 ft
10:59.0,Defensive rebound by N. Hilario,,0-3,,
10:54.0,J. Wall misses 2-pt shot from 18 ft,,0-3,,
10:53.0,,,0-3,,Defensive rebound by H. Barnes
10:38.0,,,0-3,,D. Green misses 3-pt shot from 24 ft
10:37.0,,,0-3,,Offensive rebound by S. Curry
10:33.0,,,0-3,,S. Curry misses 3-pt shot from 26 ft
10:32.0,,,0-3,,Offensive rebound by A. Bogut
10:32.0,,,0-3,,A. Bogut misses 2-pt shot at rim
10:30.0,,,0-3,,Offensive rebound by H. Barnes
10:28.0,,,0-3,,H. Barnes misses 3-pt shot from 25 ft
10:27.0,,,0-3,,Offensive rebound by Team
10:21.0,,,0-3,,Turnover by S. Curry (bad pass)
10:01.0,B. Beal misses 2-pt shot from 15 ft,,0-3,,
10:00.0,,,0-3,,Defensive rebound by D. Green
9:49.0,Violation by M. Gortat (kicked ball),,0-3,,
9:43.0,,,0-3,,D. Green misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by M. Gortat,,0-3,,
9:33.0,M. Gortat misses 2-pt shot from 7 ft,,0-3,,
9:32.0,,,0-3,,Defensive rebound by D. Green
9:11.0,,,0-3,,H. Barnes misses 2-pt shot from 1 ft
9:10.0,Defensive rebound by M. Gortat,,0-3,,
9:04.0,J. Wall makes 2-pt shot from 2 ft (assist by M. Gortat),2,2-3,,
9:04.0,Shooting foul by D. Green (drawn by J. Wall),,2-3,,
9:04.0,J. Wall makes free throw 1 of 1,1,3-3,,
8:52.0,,,3-3,,K. Thompson misses 2-pt shot from 17 ft
8:51.0,Defensive rebound by J. Wall,,3-3,,
8:35.0,N. Hilario makes 2-pt shot from 6 ft (assist by J. Wall),2,5-3,,
8:24.0,,,5-3,,A. Bogut misses 2-pt shot from 1 ft
8:23.0,Defensive rebound by M. Gortat,,5-3,,
8:19.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,7-3,,
8:08.0,,,7-3,,Turnover by D. Green (lost ball; steal by N. Hilario)
7:56.0,B. Beal makes 3-pt shot from 24 ft (assist by P. Pierce),3,10-3,,
7:46.0,,,10-5,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
7:27.0,M. Gortat misses 2-pt shot from 1 ft (block by A. Bogut),,10-5,,
7:25.0,,,10-5,,Defensive rebound by K. Thompson
7:15.0,,,10-7,2,K. Thompson makes 2-pt shot from 20 ft
6:54.0,N. Hilario misses 2-pt shot from 11 ft,,10-7,,
6:53.0,,,10-7,,Defensive rebound by A. Bogut
6:44.0,,,10-7,,K. Thompson misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by N. Hilario,,10-7,,
6:29.0,J. Wall misses 2-pt shot from 5 ft,,10-7,,
6:28.0,,,10-7,,Defensive rebound by A. Bogut
6:19.0,,,10-10,3,S. Curry makes 3-pt shot from 26 ft
6:17.0,Washington full timeout,,10-10,,
6:17.0,,,10-10,,L. Barbosa enters the game for K. Thompson
6:01.0,Turnover by N. Hilario (bad pass; steal by S. Curry),,10-10,,
5:57.0,,,10-13,3,S. Curry makes 3-pt shot from 26 ft
5:39.0,P. Pierce misses 2-pt shot from 18 ft,,10-13,,
5:37.0,,,10-13,,Defensive rebound by H. Barnes
5:33.0,,,10-15,2,H. Barnes makes 2-pt shot at rim
5:13.0,Turnover by N. Hilario (bad pass; steal by S. Curry),,10-15,,
5:05.0,Personal foul by B. Beal (drawn by S. Curry),,10-15,,
5:05.0,M. Webster enters the game for P. Pierce,,10-15,,
4:56.0,,,10-17,2,S. Curry makes 2-pt shot from 15 ft (assist by A. Bogut)
4:38.0,M. Gortat makes 2-pt shot from 9 ft,2,12-17,,
4:23.0,,,12-17,,H. Barnes misses 3-pt shot from 23 ft (block by M. Gortat)
4:20.0,Defensive rebound by N. Hilario,,12-17,,
4:15.0,M. Webster makes 2-pt shot at rim,2,14-17,,
4:07.0,,,14-17,,L. Barbosa misses 2-pt shot from 1 ft
4:06.0,Defensive rebound by M. Gortat,,14-17,,
3:54.0,N. Hilario misses 2-pt shot from 9 ft,,14-17,,
3:54.0,,,14-17,,Defensive rebound by A. Bogut
3:39.0,,,14-17,,Turnover by D. Green (bad pass; steal by M. Gortat)
3:34.0,B. Beal misses 3-pt shot from 27 ft,,14-17,,
3:33.0,,,14-17,,Defensive rebound by A. Bogut
3:27.0,,,14-17,,Shooting foul by B. Beal (drawn by S. Curry)
3:27.0,,,14-18,1,S. Curry makes free throw 1 of 3
3:27.0,,,14-19,1,S. Curry makes free throw 2 of 3
3:27.0,R. Sessions enters the game for B. Beal,,14-19,,
3:27.0,D. Gooden enters the game for N. Hilario,,14-19,,
3:27.0,,,14-19,,F. Ezeli enters the game for A. Bogut
3:27.0,,,14-20,1,S. Curry makes free throw 3 of 3
3:04.0,M. Gortat misses 2-pt shot from 6 ft,,14-20,,
3:03.0,,,14-20,,Defensive rebound by D. Green
2:57.0,,,14-20,,D. Green misses 2-pt shot from 11 ft
2:53.0,Defensive rebound by D. Gooden,,14-20,,
2:51.0,Shooting foul by H. Barnes (drawn by J. Wall),,14-20,,
2:51.0,,,14-20,,Golden State full timeout
2:51.0,,,14-20,,D. Lee enters the game for D. Green
2:51.0,,,14-20,,A. Iguodala enters the game for H. Barnes
2:51.0,J. Wall makes free throw 1 of 2,1,15-20,,
2:51.0,J. Wall makes free throw 2 of 2,1,16-20,,
