time,San Antonio,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. T. Mozgov (T. Lawson gains possession),,,,Jump ball: T. Duncan vs. T. Mozgov (T. Lawson gains possession)
11:36.0,,,0-0,,T. Lawson misses 2-pt shot from 21 ft
11:34.0,,,0-0,,Offensive rebound by J. Hickson
11:22.0,,,0-0,,T. Mozgov misses 2-pt shot from 14 ft
11:21.0,Defensive rebound by D. Green,,0-0,,
11:13.0,Shooting foul by W. Chandler (drawn by T. Splitter),,0-0,,
11:13.0,T. Splitter misses free throw 1 of 2,,0-0,,
11:13.0,Offensive rebound by Team,,0-0,,
11:13.0,T. Splitter misses free throw 2 of 2,,0-0,,
11:12.0,,,0-0,,Defensive rebound by A. Afflalo
10:59.0,,,0-2,2,A. Afflalo makes 2-pt shot from 11 ft
10:40.0,K. Leonard misses 2-pt shot from 1 ft,,0-2,,
10:39.0,Offensive rebound by K. Leonard,,0-2,,
10:38.0,K. Leonard misses 2-pt shot from 1 ft,,0-2,,
10:36.0,,,0-2,,Defensive rebound by T. Lawson
10:24.0,,,0-4,2,J. Hickson makes 2-pt shot from 2 ft
10:08.0,T. Duncan makes 2-pt shot from 18 ft (assist by C. Joseph),2,2-4,,
9:45.0,,,2-6,2,A. Afflalo makes 2-pt shot from 16 ft
9:31.0,T. Duncan misses 2-pt shot from 7 ft,,2-6,,
9:29.0,,,2-6,,Defensive rebound by T. Mozgov
9:20.0,,,2-6,,Shooting foul by C. Joseph (drawn by J. Hickson)
9:20.0,,,2-7,1,J. Hickson makes free throw 1 of 2
9:20.0,,,2-8,1,J. Hickson makes free throw 2 of 2
9:04.0,T. Duncan makes 2-pt shot from 6 ft (assist by T. Splitter),2,4-8,,
8:51.0,,,4-10,2,A. Afflalo makes 2-pt shot from 14 ft (assist by T. Lawson)
8:33.0,T. Duncan misses 2-pt shot from 7 ft (block by T. Mozgov),,4-10,,
8:31.0,,,4-10,,Defensive rebound by J. Hickson
8:24.0,,,4-10,,T. Mozgov misses 2-pt shot from 1 ft (block by K. Leonard)
8:22.0,,,4-10,,Offensive rebound by T. Mozgov
8:22.0,,,4-10,,T. Mozgov misses 2-pt shot from 1 ft (block by T. Duncan)
8:19.0,,,4-10,,Offensive rebound by T. Mozgov
8:15.0,,,4-10,,A. Afflalo misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by T. Splitter,,4-10,,
8:05.0,T. Splitter makes 2-pt shot at rim (assist by T. Duncan),2,6-10,,
7:57.0,,,6-10,,Offensive foul by T. Lawson
7:57.0,,,6-10,,Turnover by T. Lawson (offensive foul)
7:38.0,T. Duncan misses 2-pt shot from 10 ft,,6-10,,
7:37.0,Offensive rebound by T. Splitter,,6-10,,
7:25.0,D. Green makes 3-pt shot from 24 ft (assist by C. Joseph),3,9-10,,
7:15.0,Personal foul by D. Green (drawn by W. Chandler),,9-10,,
7:03.0,,,9-10,,T. Lawson misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by T. Duncan,,9-10,,
6:58.0,C. Joseph makes 2-pt shot at rim (assist by T. Duncan),2,11-10,,
6:40.0,,,11-13,3,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson)
6:39.0,San Antonio full timeout,,11-13,,
6:27.0,D. Green misses 2-pt shot from 16 ft,,11-13,,
6:26.0,,,11-13,,Defensive rebound by Team
6:12.0,,,11-15,2,T. Lawson makes 2-pt shot at rim
6:01.0,Turnover by D. Green (bad pass),,11-15,,
6:01.0,M. Ginobili enters the game for C. Joseph,,11-15,,
6:01.0,M. Belinelli enters the game for K. Leonard,,11-15,,
5:47.0,,,11-17,2,W. Chandler makes 2-pt shot from 3 ft (assist by T. Lawson)
5:29.0,Turnover by T. Splitter (bad pass),,11-17,,
5:17.0,,,11-17,,W. Chandler misses 2-pt shot at rim
5:15.0,,,11-17,,Offensive rebound by W. Chandler
5:08.0,,,11-17,,W. Chandler misses 2-pt shot from 6 ft
5:05.0,Defensive rebound by T. Splitter,,11-17,,
4:48.0,M. Belinelli makes 3-pt shot from 23 ft (assist by M. Ginobili),3,14-17,,
4:32.0,,,14-17,,Offensive foul by A. Afflalo
4:32.0,,,14-17,,Turnover by A. Afflalo (offensive foul)
4:32.0,,,14-17,,G. Harris enters the game for W. Chandler
4:32.0,B. Diaw enters the game for T. Splitter,,14-17,,
4:18.0,B. Diaw misses 3-pt shot from 22 ft,,14-17,,
4:16.0,,,14-17,,Defensive rebound by T. Mozgov
4:08.0,,,14-17,,Turnover by A. Afflalo (traveling)
3:52.0,Shooting foul by G. Harris (drawn by M. Belinelli),,14-17,,
3:52.0,M. Belinelli makes free throw 1 of 2,1,15-17,,
3:52.0,,,15-17,,D. Arthur enters the game for J. Hickson
3:52.0,M. Belinelli makes free throw 2 of 2,1,16-17,,
3:36.0,,,16-17,,Turnover by G. Harris (bad pass; steal by T. Duncan)
3:21.0,Turnover by M. Ginobili (bad pass; steal by G. Harris),,16-17,,
3:15.0,,,16-19,2,A. Afflalo makes 2-pt shot from 17 ft (assist by G. Harris)
3:01.0,Turnover by D. Green (bad pass; steal by D. Arthur),,16-19,,
2:57.0,,,16-19,,A. Afflalo misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by B. Diaw,,16-19,,
2:49.0,D. Green misses 3-pt shot from 25 ft,,16-19,,
2:47.0,,,16-19,,Defensive rebound by D. Arthur
