time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Dorsey (D. Motiejunas gains possession),,,,Jump ball: T. Chandler vs. J. Dorsey (D. Motiejunas gains possession)
11:39.0,J. Dorsey makes 2-pt shot at rim (assist by P. Beverley),2,2-0,,
11:16.0,,,2-0,,D. Nowitzki misses 2-pt shot from 17 ft
11:15.0,,,2-0,,Offensive rebound by T. Chandler
11:15.0,Loose ball foul by D. Motiejunas (drawn by T. Chandler),,2-0,,
11:00.0,,,2-0,,R. Rondo misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by D. Motiejunas,,2-0,,
10:45.0,Turnover by D. Motiejunas (bad pass),,2-0,,
10:22.0,,,2-0,,D. Nowitzki misses 2-pt shot from 19 ft
10:21.0,Defensive rebound by P. Beverley,,2-0,,
10:07.0,J. Dorsey makes 2-pt shot from 4 ft (assist by J. Harden),2,4-0,,
9:57.0,,,4-0,,R. Rondo misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by J. Dorsey,,4-0,,
9:47.0,Shooting foul by D. Nowitzki (drawn by J. Harden),,4-0,,
9:47.0,J. Harden makes free throw 1 of 2,1,5-0,,
9:47.0,J. Harden makes free throw 2 of 2,1,6-0,,
9:31.0,,,6-0,,R. Rondo misses 2-pt shot from 6 ft
9:30.0,Defensive rebound by D. Motiejunas,,6-0,,
9:26.0,Offensive charge foul by J. Harden,,6-0,,
9:26.0,Turnover by J. Harden (offensive foul),,6-0,,
9:18.0,,,6-0,,Turnover by M. Ellis (bad pass; steal by J. Dorsey)
9:14.0,T. Ariza makes 2-pt shot at rim (assist by J. Dorsey),2,8-0,,
9:12.0,,,8-0,,Dallas full timeout
8:59.0,,,8-0,,Turnover by R. Rondo (step out of bounds)
8:46.0,P. Beverley misses 3-pt shot from 22 ft,,8-0,,
8:45.0,Offensive rebound by J. Dorsey,,8-0,,
8:29.0,T. Ariza misses 3-pt shot from 23 ft,,8-0,,
8:28.0,,,8-0,,Defensive rebound by T. Chandler
8:09.0,,,8-2,2,R. Rondo makes 2-pt shot at rim (assist by D. Nowitzki)
7:57.0,Turnover by T. Ariza (bad pass; steal by C. Parsons),,8-2,,
7:53.0,,,8-4,2,C. Parsons makes 2-pt shot at rim
7:37.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza),3,11-4,,
7:20.0,,,11-4,,Turnover by R. Rondo (bad pass)
7:14.0,,,11-4,,Personal foul by C. Parsons (drawn by P. Beverley)
7:14.0,,,11-4,,A. Aminu enters the game for D. Nowitzki
7:14.0,,,11-4,,D. Harris enters the game for R. Rondo
7:07.0,D. Motiejunas misses 2-pt shot from 7 ft,,11-4,,
7:05.0,Offensive rebound by J. Dorsey,,11-4,,
7:05.0,J. Dorsey makes 2-pt shot at rim,2,13-4,,
6:49.0,,,13-7,3,C. Parsons makes 3-pt shot from 22 ft (assist by D. Harris)
6:40.0,Turnover by J. Harden (lost ball; steal by M. Ellis),,13-7,,
6:37.0,,,13-9,2,M. Ellis makes 2-pt shot at rim
6:24.0,,,13-9,,Personal block foul by D. Harris (drawn by P. Beverley)
6:24.0,J. Smith enters the game for J. Dorsey,,13-9,,
6:17.0,J. Harden misses 3-pt shot from 25 ft,,13-9,,
6:16.0,,,13-9,,Defensive rebound by C. Parsons
6:06.0,,,13-11,2,T. Chandler makes 2-pt shot at rim (assist by D. Harris)
5:47.0,J. Smith makes 2-pt shot at rim (assist by D. Motiejunas),2,15-11,,
5:39.0,,,15-13,2,T. Chandler makes 2-pt shot at rim (assist by D. Harris)
5:18.0,Shooting foul by M. Ellis (drawn by J. Harden),,15-13,,
5:18.0,J. Harden makes free throw 1 of 2,1,16-13,,
5:18.0,,,16-13,,R. Jefferson enters the game for C. Parsons
5:18.0,C. Brewer enters the game for T. Ariza,,16-13,,
5:18.0,J. Harden misses free throw 2 of 2,,16-13,,
