time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (K. Korver gains possession),,,,Jump ball: M. Gortat vs. A. Horford (K. Korver gains possession)
11:34.0,D. Carroll misses 3-pt shot from 24 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by K. Humphries
11:15.0,,,0-0,,M. Gortat misses 2-pt shot from 16 ft
11:13.0,Defensive rebound by P. Millsap,,0-0,,
10:58.0,P. Millsap misses 2-pt shot from 4 ft,,0-0,,
10:54.0,Offensive rebound by A. Horford,,0-0,,
10:49.0,A. Horford makes 2-pt shot from 3 ft,2,2-0,,
10:49.0,Personal block foul by D. Carroll (drawn by P. Pierce),,2-0,,
10:39.0,,,2-0,,P. Pierce misses 2-pt shot from 3 ft
10:37.0,,,2-0,,Offensive rebound by M. Gortat
10:36.0,,,2-0,,M. Gortat misses 2-pt shot from 3 ft
10:29.0,,,2-0,,Offensive rebound by G. Temple
10:29.0,,,2-0,,Turnover by G. Temple (bad pass; steal by P. Millsap)
10:21.0,K. Korver misses 3-pt shot from 25 ft,,2-0,,
10:21.0,,,2-0,,Defensive rebound by J. Wall
10:21.0,,,2-0,,Shooting foul by A. Horford (drawn by M. Gortat)
10:21.0,,,2-0,,M. Gortat misses free throw 1 of 2
10:21.0,,,2-0,,Offensive rebound by Team
10:21.0,,,2-1,1,M. Gortat makes free throw 2 of 2
10:08.0,J. Teague makes 2-pt shot from 6 ft,2,4-1,,
9:58.0,,,4-1,,K. Humphries misses 2-pt shot from 16 ft
9:57.0,,,4-1,,Offensive rebound by Team
9:57.0,Loose ball foul by A. Horford (drawn by M. Gortat),,4-1,,
9:57.0,P. Antic enters the game for A. Horford,,4-1,,
9:42.0,,,4-1,,M. Gortat misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by P. Millsap,,4-1,,
9:24.0,J. Teague makes 2-pt shot from 4 ft,2,6-1,,
9:05.0,,,6-4,3,J. Wall makes 3-pt shot from 27 ft (assist by G. Temple)
8:42.0,P. Antic makes 3-pt shot from 27 ft (assist by J. Teague),3,9-4,,
8:28.0,,,9-4,,P. Pierce misses 2-pt shot from 23 ft
8:25.0,Defensive rebound by P. Millsap,,9-4,,
8:21.0,P. Antic makes 2-pt shot from 6 ft (assist by P. Millsap),2,11-4,,
8:21.0,,,11-4,,Violation by M. Gortat (def goaltending)
8:02.0,,,11-4,,Turnover by P. Pierce (bad pass; steal by P. Millsap)
8:02.0,,,11-4,,Personal foul by M. Gortat (drawn by P. Millsap)
7:56.0,Turnover by P. Millsap (traveling),,11-4,,
