time,Brooklyn,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. B. Lopez (D. Williams gains possession),,,,Jump ball: C. Andersen vs. B. Lopez (D. Williams gains possession)
11:47.0,T. Young misses 2-pt shot from 1 ft,,0-0,,
11:46.0,Offensive rebound by Team,,0-0,,
11:45.0,T. Young makes 2-pt shot from 5 ft,2,2-0,,
11:45.0,,,2-0,,Violation by C. Andersen (def goaltending)
11:32.0,,,2-3,3,H. Walker makes 3-pt shot from 25 ft (assist by L. Deng)
11:10.0,J. Johnson makes 2-pt shot from 8 ft,2,4-3,,
10:47.0,,,4-3,,Shooting foul by M. Brown (drawn by C. Andersen)
10:47.0,,,4-3,,C. Andersen misses free throw 1 of 2
10:47.0,,,4-3,,Offensive rebound by Team
10:47.0,,,4-4,1,C. Andersen makes free throw 2 of 2
10:36.0,B. Lopez makes 2-pt shot at rim (assist by D. Williams),2,6-4,,
10:22.0,,,6-6,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
10:12.0,Turnover by D. Williams (bad pass; steal by D. Wade),,6-6,,
10:06.0,,,6-8,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
9:45.0,T. Young makes 3-pt shot from 23 ft (assist by J. Johnson),3,9-8,,
9:23.0,,,9-10,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
8:59.0,B. Lopez misses 2-pt shot from 4 ft (block by C. Andersen),,9-10,,
8:58.0,Offensive rebound by T. Young,,9-10,,
8:57.0,T. Young makes 2-pt shot from 5 ft,2,11-10,,
8:33.0,,,11-12,2,C. Andersen makes 2-pt shot from 4 ft (assist by D. Wade)
8:33.0,,,11-12,,Shooting foul by B. Lopez (drawn by C. Andersen)
8:33.0,,,11-13,1,C. Andersen makes free throw 1 of 1
8:24.0,Turnover by M. Brown (lost ball),,11-13,,
8:12.0,,,11-15,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
8:05.0,Brooklyn full timeout,,11-15,,
7:52.0,D. Williams makes 2-pt shot from 6 ft,2,13-15,,
7:52.0,Shooting foul by G. Dragic (drawn by D. Williams),,13-15,,
7:52.0,D. Williams makes free throw 1 of 1,1,14-15,,
7:35.0,,,14-17,2,D. Wade makes 2-pt shot from 6 ft
7:08.0,J. Johnson misses 2-pt shot from 18 ft,,14-17,,
7:07.0,,,14-17,,Defensive rebound by C. Andersen
6:54.0,,,14-20,3,G. Dragic makes 3-pt shot from 24 ft
6:34.0,T. Young misses 2-pt shot from 20 ft,,14-20,,
6:33.0,Offensive rebound by B. Lopez,,14-20,,
6:24.0,M. Brown misses 2-pt shot at rim,,14-20,,
6:23.0,,,14-20,,Defensive rebound by G. Dragic
6:11.0,,,14-22,2,D. Wade makes 2-pt shot from 2 ft (assist by L. Deng)
5:55.0,J. Johnson makes 2-pt shot from 8 ft,2,16-22,,
5:41.0,B. Bogdanovic enters the game for M. Brown,,16-22,,
5:32.0,,,16-22,,L. Deng misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by T. Young,,16-22,,
5:24.0,J. Johnson misses 2-pt shot from 6 ft,,16-22,,
5:23.0,,,16-22,,Defensive rebound by C. Andersen
5:14.0,,,16-24,2,L. Deng makes 2-pt shot at rim (assist by H. Walker)
4:56.0,D. Williams makes 2-pt shot from 19 ft,2,18-24,,
4:51.0,,,18-24,,Miami full timeout
4:51.0,,,18-24,,M. Chalmers enters the game for G. Dragic
4:30.0,,,18-24,,D. Wade misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by D. Williams,,18-24,,
4:21.0,D. Williams misses 3-pt shot from 25 ft,,18-24,,
4:20.0,,,18-24,,Defensive rebound by C. Andersen
4:12.0,,,18-24,,Shooting foul by J. Johnson (drawn by L. Deng)
4:12.0,,,18-24,,L. Deng misses free throw 1 of 2
4:12.0,,,18-24,,Offensive rebound by Team
4:12.0,M. Brown enters the game for D. Williams,,18-24,,
4:12.0,,,18-24,,T. Johnson enters the game for D. Wade
4:12.0,J. Jack enters the game for J. Johnson,,18-24,,
4:12.0,,,18-25,1,L. Deng makes free throw 2 of 2
3:54.0,J. Jack misses 2-pt shot from 8 ft,,18-25,,
3:53.0,Offensive rebound by T. Young,,18-25,,
3:50.0,T. Young misses 2-pt shot from 1 ft,,18-25,,
3:49.0,Offensive rebound by B. Lopez,,18-25,,
3:47.0,B. Lopez misses 2-pt shot at rim,,18-25,,
3:46.0,,,18-25,,Defensive rebound by M. Chalmers
3:41.0,,,18-27,2,M. Chalmers makes 2-pt shot at rim
3:24.0,M. Brown misses 3-pt shot from 24 ft,,18-27,,
3:23.0,Offensive rebound by B. Lopez,,18-27,,
3:20.0,Shooting foul by C. Andersen (drawn by B. Bogdanovic),,18-27,,
3:20.0,B. Bogdanovic makes free throw 1 of 2,1,19-27,,
3:20.0,B. Bogdanovic misses free throw 2 of 2,,19-27,,
3:19.0,,,19-27,,Defensive rebound by C. Andersen
3:05.0,,,19-27,,L. Deng misses 2-pt shot from 1 ft (block by B. Lopez)
3:04.0,,,19-27,,Offensive rebound by Team
2:56.0,,,19-29,2,C. Andersen makes 2-pt shot at rim (assist by T. Johnson)
2:39.0,,,19-29,,Personal foul by M. Chalmers (drawn by M. Brown)
2:39.0,Technical foul by M. Brown,,19-29,,
