time,Detroit,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Noel (G. Monroe gains possession),,,,Jump ball: A. Drummond vs. N. Noel (G. Monroe gains possession)
11:47.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by D. Augustin),2,2-0,,
11:35.0,,,2-2,2,M. Carter-Williams makes 2-pt shot from 2 ft (assist by N. Noel)
11:21.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,2-2,,
11:17.0,,,2-2,,Defensive rebound by J. Sampson
11:07.0,,,2-2,,L. Mbah a Moute misses 2-pt shot from 22 ft
11:06.0,Defensive rebound by K. Caldwell-Pope,,2-2,,
10:49.0,A. Drummond misses 2-pt shot from 7 ft,,2-2,,
10:47.0,,,2-2,,Defensive rebound by R. Covington
10:37.0,,,2-2,,R. Covington misses 2-pt shot from 5 ft
10:35.0,,,2-2,,Offensive rebound by R. Covington
10:35.0,,,2-4,2,R. Covington makes 2-pt shot from 1 ft
10:27.0,Detroit full timeout,,2-4,,
10:26.0,Turnover by K. Singler (bad pass; steal by R. Covington),,2-4,,
10:22.0,,,2-4,,Turnover by R. Covington (bad pass)
10:12.0,,,2-4,,Personal foul by R. Covington (drawn by K. Singler)
10:02.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,2-4,,
10:00.0,,,2-4,,Defensive rebound by J. Sampson
9:47.0,,,2-6,2,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by M. Carter-Williams)
9:29.0,G. Monroe makes 2-pt shot from 1 ft (assist by D. Augustin),2,4-6,,
9:10.0,,,4-6,,N. Noel misses 2-pt shot from 13 ft
9:09.0,,,4-6,,Offensive rebound by N. Noel
9:06.0,,,4-6,,N. Noel misses 2-pt shot from 5 ft
9:04.0,Defensive rebound by K. Singler,,4-6,,
8:56.0,,,4-6,,Personal foul by R. Covington (drawn by G. Monroe)
8:46.0,A. Drummond misses 2-pt shot from 1 ft,,4-6,,
8:44.0,,,4-6,,Defensive rebound by N. Noel
8:36.0,,,4-9,3,J. Sampson makes 3-pt shot from 23 ft (assist by R. Covington)
8:15.0,G. Monroe misses 2-pt shot from 9 ft,,4-9,,
8:13.0,Offensive rebound by A. Drummond,,4-9,,
8:13.0,Offensive foul by A. Drummond,,4-9,,
8:13.0,Turnover by A. Drummond (offensive foul),,4-9,,
8:03.0,,,4-11,2,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by M. Carter-Williams)
7:50.0,Turnover by G. Monroe (lost ball; steal by N. Noel),,4-11,,
7:46.0,,,4-13,2,J. Sampson makes 2-pt shot from 2 ft (assist by N. Noel)
7:27.0,K. Singler misses 3-pt shot from 25 ft,,4-13,,
7:25.0,,,4-13,,Defensive rebound by M. Carter-Williams
7:04.0,,,4-15,2,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by M. Carter-Williams)
6:50.0,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by N. Noel),,4-15,,
6:48.0,,,4-15,,Defensive rebound by J. Sampson
6:41.0,,,4-18,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
6:34.0,Detroit full timeout,,4-18,,
