time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. T. Mozgov (K. Love gains possession),,,,Jump ball: B. Bass vs. T. Mozgov (K. Love gains possession)
11:41.0,,,0-0,,K. Love misses 2-pt shot from 12 ft
11:38.0,,,0-0,,Offensive rebound by J. Smith
11:34.0,,,0-0,,J. Smith misses 3-pt shot from 23 ft
11:33.0,Defensive rebound by M. Smart,,0-0,,
11:24.0,Shooting foul by T. Mozgov (drawn by B. Bass),,0-0,,
11:24.0,B. Bass makes free throw 1 of 2,1,1-0,,
11:24.0,B. Bass makes free throw 2 of 2,1,2-0,,
11:08.0,,,2-0,,Shooting foul by T. Zeller (drawn by L. James)
11:08.0,,,2-0,,L. James misses free throw 1 of 2
11:08.0,,,2-0,,Offensive rebound by Team
11:08.0,,,2-1,1,L. James makes free throw 2 of 2
11:02.0,,,2-1,,Personal foul by J. Smith (drawn by A. Bradley)
10:46.0,E. Turner misses 2-pt shot from 19 ft,,2-1,,
10:45.0,,,2-1,,Defensive rebound by L. James
10:39.0,,,2-3,2,L. James makes 2-pt shot at rim
10:23.0,,,2-3,,Personal foul by L. James (drawn by E. Turner)
10:08.0,T. Zeller makes 2-pt shot from 12 ft (assist by A. Bradley),2,4-3,,
9:49.0,,,4-5,2,K. Irving makes 2-pt shot at rim (assist by L. James)
9:40.0,T. Zeller makes 2-pt shot from 6 ft (assist by B. Bass),2,6-5,,
9:19.0,,,6-5,,J. Smith misses 2-pt shot from 6 ft
9:16.0,Defensive rebound by B. Bass,,6-5,,
9:07.0,A. Bradley misses 3-pt shot from 26 ft,,6-5,,
9:06.0,,,6-5,,Defensive rebound by T. Mozgov
8:50.0,,,6-7,2,K. Irving makes 2-pt shot from 11 ft
8:36.0,T. Zeller misses 2-pt shot from 15 ft,,6-7,,
8:35.0,,,6-7,,Defensive rebound by K. Love
8:19.0,,,6-7,,K. Love misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by T. Zeller,,6-7,,
8:06.0,T. Zeller makes 2-pt shot at rim (assist by E. Turner),2,8-7,,
7:53.0,Personal foul by M. Smart (drawn by K. Irving),,8-7,,
7:45.0,,,8-7,,J. Smith misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by E. Turner,,8-7,,
7:34.0,Turnover by E. Turner (bad pass; steal by L. James),,8-7,,
7:33.0,Personal foul by A. Bradley (drawn by L. James),,8-7,,
7:12.0,,,8-10,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
7:00.0,,,8-10,,Personal foul by K. Love (drawn by T. Zeller)
6:52.0,E. Turner misses 2-pt shot from 15 ft,,8-10,,
6:49.0,,,8-10,,Defensive rebound by J. Smith
6:45.0,,,8-10,,J. Smith misses 3-pt shot from 25 ft
6:45.0,,,8-10,,Offensive rebound by Team
6:45.0,Loose ball foul by E. Turner (drawn by T. Mozgov),,8-10,,
6:45.0,I. Thomas enters the game for M. Smart,,8-10,,
6:45.0,,,8-10,,I. Shumpert enters the game for L. James
6:37.0,,,8-10,,Shooting foul by T. Zeller (drawn by J. Smith)
6:37.0,,,8-10,,J. Smith misses free throw 1 of 2
6:37.0,,,8-10,,Offensive rebound by Team
6:37.0,K. Olynyk enters the game for T. Zeller,,8-10,,
6:37.0,,,8-10,,T. Thompson enters the game for T. Mozgov
6:37.0,,,8-11,1,J. Smith makes free throw 2 of 2
6:17.0,E. Turner makes 3-pt shot from 24 ft (assist by I. Thomas),3,11-11,,
5:59.0,,,11-11,,Shooting foul by K. Olynyk (drawn by T. Thompson)
5:59.0,,,11-11,,Cleveland full timeout
5:59.0,,,11-12,1,T. Thompson makes free throw 1 of 2
5:59.0,,,11-13,1,T. Thompson makes free throw 2 of 2
5:44.0,B. Bass misses 2-pt shot from 12 ft,,11-13,,
5:44.0,Offensive rebound by Team,,11-13,,
5:40.0,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner),2,13-13,,
5:20.0,,,13-13,,T. Thompson misses 2-pt shot from 5 ft
5:19.0,Defensive rebound by E. Turner,,13-13,,
5:12.0,K. Olynyk makes 3-pt shot from 23 ft (assist by B. Bass),3,16-13,,
4:51.0,,,16-15,2,J. Smith makes 2-pt shot from 19 ft (assist by K. Irving)
4:37.0,E. Turner makes 2-pt shot at rim,2,18-15,,
4:28.0,,,18-17,2,K. Irving makes 2-pt shot from 1 ft
4:23.0,,,18-17,,Personal foul by I. Shumpert (drawn by I. Thomas)
4:23.0,I. Thomas makes free throw 1 of 2,1,19-17,,
4:23.0,J. Crowder enters the game for B. Bass,,19-17,,
4:23.0,,,19-17,,J. Jones enters the game for K. Love
4:23.0,I. Thomas makes free throw 2 of 2,1,20-17,,
4:08.0,,,20-17,,I. Shumpert misses 3-pt shot from 25 ft
4:07.0,,,20-17,,Offensive rebound by K. Irving
4:06.0,,,20-17,,Turnover by K. Irving (step out of bounds)
3:54.0,K. Olynyk makes 2-pt shot at rim (assist by I. Thomas),2,22-17,,
3:37.0,,,22-20,3,J. Jones makes 3-pt shot from 23 ft (assist by K. Irving)
3:29.0,I. Thomas misses 3-pt shot from 25 ft,,22-20,,
3:28.0,,,22-20,,Defensive rebound by J. Smith
3:20.0,,,22-20,,K. Irving misses 2-pt shot from 1 ft
3:19.0,,,22-20,,Offensive rebound by T. Thompson
3:19.0,,,22-22,2,T. Thompson makes 2-pt shot at rim
3:19.0,Boston full timeout,,22-22,,
3:19.0,J. Jerebko enters the game for E. Turner,,22-22,,
3:19.0,,,22-22,,L. James enters the game for J. Smith
3:06.0,A. Bradley misses 2-pt shot from 19 ft,,22-22,,
3:05.0,,,22-22,,Defensive rebound by T. Thompson
2:43.0,,,22-22,,L. James misses 2-pt shot from 18 ft
2:41.0,Defensive rebound by I. Thomas,,22-22,,
2:34.0,I. Thomas makes 2-pt shot from 1 ft,2,24-22,,
2:12.0,,,24-22,,K. Irving misses 2-pt shot from 2 ft
2:11.0,,,24-22,,Offensive rebound by T. Thompson
2:11.0,,,24-22,,T. Thompson misses 2-pt shot at rim
2:09.0,Defensive rebound by I. Thomas,,24-22,,
2:07.0,I. Thomas misses 2-pt shot from 1 ft (block by L. James),,24-22,,
2:07.0,Offensive rebound by Team,,24-22,,
1:57.0,I. Thomas makes 2-pt shot from 6 ft,2,26-22,,
1:38.0,Violation by J. Crowder (kicked ball),,26-22,,
1:29.0,Personal foul by J. Crowder (drawn by L. James),,26-22,,
1:29.0,,,26-23,1,L. James makes free throw 1 of 2
1:29.0,,,26-24,1,L. James makes free throw 2 of 2
1:13.0,K. Olynyk makes 3-pt shot from 26 ft (assist by I. Thomas),3,29-24,,
