time,Memphis,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Hill (J. Leuer gains possession),,,,Jump ball: M. Gasol vs. J. Hill (J. Leuer gains possession)
11:43.0,M. Gasol misses 2-pt shot from 3 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by E. Davis
11:19.0,,,0-0,,J. Hill misses 2-pt shot from 3 ft (block by M. Gasol)
11:18.0,,,0-0,,Offensive rebound by Team
11:18.0,,,0-0,,Turnover by Team (shot clock)
11:04.0,Shooting foul by K. Bryant (drawn by T. Allen),,0-0,,
11:04.0,T. Allen misses free throw 1 of 2,,0-0,,
11:04.0,Offensive rebound by Team,,0-0,,
11:04.0,T. Allen makes free throw 2 of 2,1,1-0,,
10:40.0,,,1-0,,R. Price misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by J. Leuer,,1-0,,
10:29.0,J. Leuer makes 2-pt shot from 20 ft (assist by M. Conley),2,3-0,,
10:08.0,,,3-2,2,E. Davis makes 2-pt shot from 1 ft (assist by W. Johnson)
9:54.0,J. Leuer makes 2-pt shot from 2 ft (assist by M. Conley),2,5-2,,
9:30.0,,,5-2,,Shooting foul by J. Leuer (drawn by E. Davis)
9:30.0,,,5-3,1,E. Davis makes free throw 1 of 2
9:30.0,,,5-4,1,E. Davis makes free throw 2 of 2
9:13.0,T. Allen misses 2-pt shot from 4 ft,,5-4,,
9:12.0,,,5-4,,Defensive rebound by E. Davis
9:03.0,,,5-6,2,W. Johnson makes 2-pt shot from 1 ft (assist by K. Bryant)
8:51.0,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley),2,7-6,,
8:36.0,,,7-8,2,E. Davis makes 2-pt shot from 2 ft (assist by R. Price)
8:36.0,,,7-8,,Shooting foul by M. Conley (drawn by E. Davis)
8:36.0,,,7-8,,E. Davis misses free throw 1 of 1
8:35.0,Defensive rebound by J. Leuer,,7-8,,
8:14.0,M. Gasol misses 2-pt shot from 8 ft,,7-8,,
8:10.0,Offensive rebound by C. Lee,,7-8,,
8:10.0,C. Lee misses 2-pt shot at rim,,7-8,,
8:08.0,,,7-8,,Defensive rebound by K. Bryant
8:00.0,,,7-8,,K. Bryant misses 2-pt shot from 19 ft
7:59.0,Defensive rebound by M. Gasol,,7-8,,
7:54.0,T. Allen misses 2-pt shot from 2 ft (block by E. Davis),,7-8,,
7:54.0,Offensive rebound by Team,,7-8,,
7:51.0,Turnover by C. Lee (bad pass; steal by W. Johnson),,7-8,,
7:40.0,,,7-8,,W. Johnson misses 3-pt shot from 23 ft
7:38.0,,,7-8,,Offensive rebound by J. Hill
7:36.0,,,7-8,,Turnover by J. Hill (lost ball; steal by M. Conley)
7:28.0,M. Conley misses 3-pt shot from 24 ft,,7-8,,
7:25.0,,,7-8,,Defensive rebound by W. Johnson
7:22.0,,,7-8,,Turnover by R. Price (bad pass; steal by M. Conley)
7:22.0,,,7-8,,Loose ball foul by R. Price (drawn by M. Conley)
7:22.0,Q. Pondexter enters the game for T. Allen,,7-8,,
7:04.0,Q. Pondexter misses 3-pt shot from 25 ft,,7-8,,
7:02.0,,,7-8,,Defensive rebound by E. Davis
6:46.0,,,7-8,,J. Hill misses 2-pt shot from 17 ft
6:43.0,,,7-8,,Offensive rebound by E. Davis
6:43.0,,,7-8,,E. Davis misses 2-pt shot from 2 ft
6:41.0,Defensive rebound by M. Conley,,7-8,,
6:36.0,M. Conley makes 2-pt shot from 8 ft,2,9-8,,
6:20.0,,,9-10,2,J. Hill makes 2-pt shot from 6 ft (assist by K. Bryant)
6:04.0,Q. Pondexter misses 2-pt shot from 5 ft,,9-10,,
6:03.0,,,9-10,,Defensive rebound by J. Hill
5:50.0,,,9-10,,W. Johnson misses 2-pt shot from 21 ft
5:47.0,Defensive rebound by J. Leuer,,9-10,,
5:39.0,Shooting foul by J. Hill (drawn by M. Gasol),,9-10,,
5:39.0,,,9-10,,LA Lakers full timeout
5:39.0,M. Gasol misses free throw 1 of 2,,9-10,,
5:39.0,Offensive rebound by Team,,9-10,,
5:39.0,K. Koufos enters the game for M. Gasol,,9-10,,
5:39.0,M. Gasol misses free throw 2 of 2,,9-10,,
5:39.0,,,9-10,,Defensive rebound by J. Hill
5:19.0,,,9-10,,J. Hill misses 2-pt shot from 15 ft
5:18.0,,,9-10,,Offensive rebound by E. Davis
5:18.0,,,9-12,2,E. Davis makes 2-pt shot from 1 ft
5:18.0,,,9-12,,Shooting foul by J. Leuer (drawn by E. Davis)
5:18.0,,,9-12,,J. Lin enters the game for R. Price
5:18.0,,,9-12,,C. Boozer enters the game for J. Hill
5:18.0,T. Prince enters the game for J. Leuer,,9-12,,
5:18.0,,,9-13,1,E. Davis makes free throw 1 of 1
5:06.0,K. Koufos misses 2-pt shot from 4 ft,,9-13,,
5:04.0,,,9-13,,Defensive rebound by E. Davis
4:52.0,,,9-15,2,C. Boozer makes 2-pt shot from 2 ft
4:38.0,C. Lee misses 2-pt shot from 9 ft,,9-15,,
4:37.0,,,9-15,,Defensive rebound by K. Bryant
4:26.0,,,9-17,2,W. Johnson makes 2-pt shot from 12 ft
4:18.0,Memphis full timeout,,9-17,,
4:07.0,,,9-17,,Personal foul by C. Boozer (drawn by K. Koufos)
3:59.0,M. Conley misses 2-pt shot from 3 ft,,9-17,,
3:58.0,Offensive rebound by K. Koufos,,9-17,,
3:55.0,K. Koufos misses 2-pt shot from 1 ft,,9-17,,
3:54.0,,,9-17,,Defensive rebound by K. Bryant
3:39.0,,,9-19,2,C. Boozer makes 2-pt shot from 8 ft
3:17.0,C. Lee makes 3-pt shot from 24 ft (assist by Q. Pondexter),3,12-19,,
3:03.0,,,12-21,2,J. Lin makes 2-pt shot at rim (assist by K. Bryant)
2:52.0,,,12-21,,Personal foul by E. Davis (drawn by M. Conley)
2:52.0,M. Conley makes free throw 1 of 2,1,13-21,,
2:52.0,,,13-21,,N. Young enters the game for W. Johnson
2:52.0,,,13-21,,R. Sacre enters the game for E. Davis
2:52.0,J. Stokes enters the game for C. Lee,,13-21,,
2:52.0,M. Conley makes free throw 2 of 2,1,14-21,,
2:43.0,,,14-21,,Turnover by K. Bryant (bad pass)
2:27.0,T. Prince makes 2-pt shot at rim,2,16-21,,
2:20.0,,,16-21,,Turnover by J. Lin (lost ball)
2:20.0,,,16-21,,W. Ellington enters the game for K. Bryant
2:05.0,K. Koufos makes 2-pt shot from 1 ft (assist by T. Prince),2,18-21,,
1:48.0,,,18-23,2,N. Young makes 2-pt shot from 19 ft
1:26.0,J. Stokes makes 2-pt shot from 11 ft (assist by M. Conley),2,20-23,,
1:08.0,,,20-23,,N. Young misses 2-pt shot from 21 ft
1:07.0,Defensive rebound by K. Koufos,,20-23,,
1:00.0,M. Conley misses 2-pt shot from 3 ft,,20-23,,
0:58.0,,,20-23,,Defensive rebound by J. Lin
0:50.0,,,20-23,,C. Boozer misses 2-pt shot from 13 ft
0:49.0,Defensive rebound by T. Prince,,20-23,,
0:41.0,K. Koufos misses 2-pt shot from 4 ft (block by R. Sacre),,20-23,,
0:38.0,,,20-23,,Defensive rebound by N. Young
0:32.0,,,20-23,,N. Young misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by J. Stokes,,20-23,,
0:11.0,Turnover by K. Koufos (lost ball; steal by W. Ellington),,20-23,,
0:07.0,,,20-25,2,J. Lin makes 2-pt shot from 1 ft (assist by N. Young)
0:01.0,Q. Pondexter misses 2-pt shot from 1 ft,,20-25,,
0:00.0,Offensive rebound by Q. Pondexter,,20-25,,
0:00.0,Q. Pondexter makes 2-pt shot from 1 ft,2,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,22-27,2,J. Lin makes 2-pt shot from 20 ft (assist by N. Young)
11:19.0,,,22-27,,Personal foul by R. Sacre (drawn by B. Udrih)
11:08.0,Turnover by M. Gasol (lost ball; steal by J. Lin),,22-27,,
11:03.0,,,22-29,2,W. Ellington makes 2-pt shot at rim (assist by J. Lin)
10:54.0,V. Carter misses 3-pt shot from 24 ft,,22-29,,
10:52.0,,,22-29,,Defensive rebound by C. Boozer
10:37.0,,,22-31,2,J. Lin makes 2-pt shot from 9 ft
10:29.0,Memphis full timeout,,22-31,,
10:21.0,B. Udrih misses 3-pt shot from 24 ft,,22-31,,
10:19.0,,,22-31,,Defensive rebound by W. Ellington
10:02.0,,,22-34,3,J. Lin makes 3-pt shot from 24 ft
9:40.0,B. Udrih makes 2-pt shot from 1 ft (assist by M. Gasol),2,24-34,,
9:23.0,,,24-34,,J. Lin misses 2-pt shot from 12 ft
9:21.0,Defensive rebound by M. Gasol,,24-34,,
9:11.0,,,24-34,,Personal foul by W. Ellington (drawn by V. Carter)
9:11.0,K. Koufos enters the game for J. Stokes,,24-34,,
9:02.0,M. Gasol makes 2-pt shot from 4 ft (assist by B. Udrih),2,26-34,,
8:49.0,,,26-34,,Turnover by C. Boozer (lost ball; steal by T. Prince)
8:36.0,B. Udrih misses 2-pt shot from 2 ft (block by N. Young),,26-34,,
8:36.0,Offensive rebound by Team,,26-34,,
8:36.0,Technical foul by B. Udrih,,26-34,,
8:36.0,,,26-35,1,N. Young makes technical free throw
8:32.0,M. Gasol makes 2-pt shot from 14 ft (assist by V. Carter),2,28-35,,
8:04.0,,,28-35,,W. Ellington misses 3-pt shot from 23 ft
8:03.0,Defensive rebound by M. Gasol,,28-35,,
8:01.0,Turnover by M. Gasol (bad pass; steal by W. Ellington),,28-35,,
7:55.0,,,28-35,,J. Lin misses 3-pt shot from 24 ft
