time,Charlotte,pts.away,score,pts.home,Orlando
0:22.0,,,22-20,,C. Frye misses 3-pt shot from 22 ft
0:21.0,Defensive rebound by P. Hairston,,22-20,,
0:01.0,G. Neal misses 2-pt shot from 19 ft,,22-20,,
0:00.0,Offensive rebound by Team,,22-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-20,,B. Gordon misses 3-pt shot from 26 ft
11:39.0,Defensive rebound by M. Williams,,22-20,,
11:21.0,J. Maxiell misses 2-pt shot from 14 ft,,22-20,,
11:20.0,,,22-20,,Defensive rebound by D. Marble
11:09.0,,,22-20,,L. Ridnour misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by M. Williams,,22-20,,
10:59.0,M. Williams misses 3-pt shot from 24 ft,,22-20,,
10:58.0,,,22-20,,Defensive rebound by L. Ridnour
10:50.0,,,22-20,,L. Ridnour misses 2-pt shot from 1 ft
10:48.0,,,22-20,,Offensive rebound by L. Ridnour
10:48.0,,,22-20,,L. Ridnour misses 2-pt shot from 2 ft
10:46.0,Defensive rebound by G. Neal,,22-20,,
10:40.0,G. Neal misses 2-pt shot from 1 ft,,22-20,,
10:37.0,,,22-20,,Defensive rebound by C. Frye
10:31.0,,,22-20,,Offensive charge foul by E. Fournier
10:31.0,,,22-20,,Turnover by E. Fournier (offensive foul)
10:19.0,,,22-20,,Personal foul by C. Frye (drawn by M. Williams)
10:08.0,G. Neal makes 2-pt shot from 4 ft,2,24-20,,
9:46.0,,,24-20,,Shooting foul by P. Hairston (drawn by B. Gordon)
9:46.0,,,24-21,1,B. Gordon makes free throw 1 of 2
9:46.0,,,24-22,1,B. Gordon makes free throw 2 of 2
9:30.0,P. Hairston misses 3-pt shot from 23 ft,,24-22,,
9:28.0,Offensive rebound by J. Maxiell,,24-22,,
9:22.0,B. Roberts misses 3-pt shot from 22 ft,,24-22,,
9:21.0,Offensive rebound by M. Williams,,24-22,,
9:06.0,G. Neal misses 2-pt shot from 9 ft,,24-22,,
9:05.0,Offensive rebound by M. Williams,,24-22,,
9:03.0,Turnover by M. Williams (bad pass),,24-22,,
8:54.0,Official timeout,,24-22,,
8:54.0,,,24-22,,T. Harris enters the game for L. Ridnour
8:54.0,,,24-22,,E. Payton enters the game for D. Marble
8:39.0,,,24-22,,E. Payton misses 2-pt shot from 11 ft
8:38.0,Defensive rebound by B. Roberts,,24-22,,
8:24.0,G. Neal makes 2-pt shot from 19 ft (assist by B. Roberts),2,26-22,,
8:03.0,,,26-24,2,T. Harris makes 2-pt shot from 7 ft
7:49.0,Shooting foul by E. Fournier (drawn by G. Neal),,26-24,,
7:49.0,G. Neal makes 2-pt shot from 5 ft,2,28-24,,
7:49.0,,,28-24,,V. Oladipo enters the game for C. Frye
7:49.0,,,28-24,,N. Vucevic enters the game for E. Fournier
7:49.0,B. Biyombo enters the game for J. Maxiell,,28-24,,
