time,Sacramento,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. J. Thompson (R. McCallum gains possession),,,,Jump ball: K. Faried vs. J. Thompson (R. McCallum gains possession)
11:40.0,Turnover by J. Thompson (bad pass),,0-0,,
11:23.0,,,0-2,2,K. Faried makes 2-pt shot from 1 ft (assist by R. Foye)
11:03.0,B. McLemore makes 2-pt shot from 2 ft (assist by J. Thompson),2,2-2,,
10:37.0,,,2-2,,R. Foye misses 3-pt shot from 27 ft
10:35.0,,,2-2,,Offensive rebound by K. Faried
10:34.0,,,2-4,2,K. Faried makes 2-pt shot at rim
10:14.0,D. Williams misses 2-pt shot from 17 ft,,2-4,,
10:13.0,,,2-4,,Defensive rebound by K. Faried
10:02.0,,,2-6,2,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson)
9:52.0,B. McLemore makes 3-pt shot from 25 ft (assist by O. Casspi),3,5-6,,
9:44.0,,,5-6,,Shooting foul by R. McCallum (drawn by T. Lawson)
9:44.0,,,5-7,1,T. Lawson makes free throw 1 of 2
9:44.0,,,5-7,,T. Lawson misses free throw 2 of 2
9:44.0,Defensive rebound by J. Thompson,,5-7,,
9:31.0,Turnover by O. Casspi (bad pass; steal by R. Foye),,5-7,,
9:27.0,,,5-7,,Shooting foul by B. McLemore (drawn by R. Foye)
9:27.0,,,5-7,,R. Foye misses free throw 1 of 2
9:27.0,,,5-7,,Offensive rebound by Team
9:27.0,,,5-8,1,R. Foye makes free throw 2 of 2
9:17.0,J. Thompson misses 2-pt shot from 5 ft,,5-8,,
9:16.0,,,5-8,,Defensive rebound by W. Chandler
9:13.0,Personal block foul by J. Thompson (drawn by K. Faried),,5-8,,
9:00.0,,,5-8,,W. Chandler misses 2-pt shot from 7 ft
8:59.0,Defensive rebound by B. McLemore,,5-8,,
8:53.0,O. Casspi makes 2-pt shot from 2 ft (assist by B. McLemore),2,7-8,,
8:42.0,,,7-11,3,R. Foye makes 3-pt shot from 23 ft (assist by T. Lawson)
8:25.0,Shooting foul by K. Faried (drawn by D. Williams),,7-11,,
8:25.0,D. Williams makes free throw 1 of 2,1,8-11,,
8:25.0,C. Landry enters the game for J. Thompson,,8-11,,
8:25.0,D. Williams makes free throw 2 of 2,1,9-11,,
8:10.0,,,9-13,2,D. Gallinari makes 2-pt shot from 21 ft (assist by T. Lawson)
7:53.0,B. McLemore misses 2-pt shot from 18 ft,,9-13,,
7:51.0,,,9-13,,Defensive rebound by W. Chandler
7:45.0,,,9-15,2,K. Faried makes 2-pt shot at rim (assist by W. Chandler)
7:33.0,D. Williams misses 3-pt shot from 25 ft,,9-15,,
7:32.0,,,9-15,,Defensive rebound by K. Faried
7:22.0,,,9-17,2,T. Lawson makes 2-pt shot from 8 ft
6:59.0,D. Williams makes 2-pt shot from 2 ft (assist by R. McCallum),2,11-17,,
6:45.0,,,11-17,,Turnover by R. Foye (bad pass; steal by C. Landry)
6:40.0,R. McCallum misses 2-pt shot from 1 ft,,11-17,,
6:39.0,,,11-17,,Defensive rebound by W. Chandler
6:34.0,,,11-19,2,T. Lawson makes 2-pt shot at rim (assist by W. Chandler)
6:31.0,Sacramento full timeout,,11-19,,
6:31.0,R. Hollins enters the game for D. Williams,,11-19,,
6:19.0,B. McLemore misses 2-pt shot from 1 ft,,11-19,,
6:18.0,Offensive rebound by R. McCallum,,11-19,,
6:17.0,,,11-19,,Personal foul by D. Gallinari (drawn by O. Casspi)
6:06.0,B. McLemore makes 3-pt shot from 24 ft (assist by O. Casspi),3,14-19,,
5:47.0,,,14-22,3,R. Foye makes 3-pt shot from 25 ft (assist by T. Lawson)
5:36.0,Turnover by B. McLemore (bad pass; steal by K. Faried),,14-22,,
5:31.0,,,14-24,2,K. Faried makes 2-pt shot from 2 ft
5:17.0,Shooting foul by W. Chandler (drawn by O. Casspi),,14-24,,
5:17.0,O. Casspi makes free throw 1 of 2,1,15-24,,
5:17.0,A. Miller enters the game for R. McCallum,,15-24,,
5:17.0,O. Casspi misses free throw 2 of 2,,15-24,,
5:16.0,,,15-24,,Defensive rebound by R. Foye
5:03.0,,,15-26,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
4:45.0,O. Casspi makes 2-pt shot from 4 ft (assist by A. Miller),2,17-26,,
4:36.0,,,17-26,,Shooting foul by A. Miller (drawn by K. Faried)
4:36.0,,,17-27,1,K. Faried makes free throw 1 of 2
4:36.0,N. Stauskas enters the game for O. Casspi,,17-27,,
4:36.0,,,17-28,1,K. Faried makes free throw 2 of 2
4:22.0,C. Landry makes 2-pt shot from 7 ft,2,19-28,,
4:22.0,Shooting foul by W. Chandler (drawn by C. Landry),,19-28,,
4:22.0,,,19-28,,J. Hickson enters the game for W. Chandler
4:22.0,C. Landry makes free throw 1 of 1,1,20-28,,
3:59.0,,,20-28,,Turnover by K. Faried (offensive goaltending)
3:41.0,N. Stauskas misses 2-pt shot from 16 ft,,20-28,,
3:39.0,,,20-28,,Defensive rebound by K. Faried
3:27.0,,,20-28,,K. Faried misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by C. Landry,,20-28,,
3:19.0,N. Stauskas misses 3-pt shot from 24 ft,,20-28,,
3:18.0,,,20-28,,Defensive rebound by D. Gallinari
3:04.0,,,20-28,,T. Lawson misses 3-pt shot from 27 ft
3:02.0,,,20-28,,Offensive rebound by J. Hickson
3:01.0,,,20-30,2,J. Hickson makes 2-pt shot from 1 ft
2:43.0,N. Stauskas misses 3-pt shot from 25 ft,,20-30,,
2:43.0,,,20-30,,Defensive rebound by Team
2:43.0,Loose ball foul by R. Hollins (drawn by K. Faried),,20-30,,
2:43.0,,,20-30,,Denver full timeout
2:43.0,J. Thompson enters the game for R. Hollins,,20-30,,
2:43.0,,,20-31,1,K. Faried makes free throw 1 of 2
2:43.0,,,20-31,,K. Faried misses free throw 2 of 2
2:42.0,Defensive rebound by C. Landry,,20-31,,
2:29.0,A. Miller makes flagrant free throw 1 of 2,1,21-31,,
2:29.0,A. Miller makes flagrant free throw 2 of 2,1,22-31,,
2:18.0,A. Miller makes 2-pt shot from 1 ft (assist by N. Stauskas),2,24-31,,
1:59.0,,,24-33,2,D. Gallinari makes 2-pt shot from 19 ft (assist by K. Faried)
1:47.0,Turnover by B. McLemore (lost ball; steal by J. Hickson),,24-33,,
1:42.0,,,24-35,2,K. Faried makes 2-pt shot at rim (assist by D. Gallinari)
1:20.0,Shooting foul by J. Hickson (drawn by C. Landry),,24-35,,
1:20.0,C. Landry makes free throw 1 of 2,1,25-35,,
1:20.0,O. Casspi enters the game for B. McLemore,,25-35,,
1:20.0,,,25-35,,W. Barton enters the game for T. Lawson
1:20.0,C. Landry makes free throw 2 of 2,1,26-35,,
1:02.0,,,26-35,,R. Foye misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by J. Thompson,,26-35,,
0:46.0,J. Thompson makes 2-pt shot from 1 ft (assist by N. Stauskas),2,28-35,,
0:40.0,,,28-37,2,K. Faried makes 2-pt shot at rim (assist by D. Gallinari)
0:28.0,J. Thompson misses 2-pt shot from 18 ft,,28-37,,
0:27.0,,,28-37,,Defensive rebound by K. Faried
0:03.0,,,28-37,,Turnover by R. Foye (lost ball; steal by J. Thompson)
0:01.0,N. Stauskas misses 3-pt shot from 41 ft,,28-37,,
0:00.0,Offensive rebound by Team,,28-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,28-37,,J. Nurkic misses 2-pt shot from 3 ft
11:38.0,Defensive rebound by O. Casspi,,28-37,,
11:28.0,N. Stauskas misses 3-pt shot from 26 ft,,28-37,,
11:26.0,,,28-37,,Defensive rebound by E. Green
11:21.0,,,28-37,,Shooting foul by N. Stauskas (drawn by T. Lawson)
11:21.0,,,28-38,1,T. Lawson makes free throw 1 of 2
11:21.0,R. Hollins enters the game for J. Thompson,,28-38,,
11:21.0,,,28-38,,T. Lawson misses free throw 2 of 2
11:18.0,,,28-38,,Offensive rebound by J. Nurkic
11:15.0,,,28-40,2,J. Nurkic makes 2-pt shot from 1 ft
10:56.0,O. Casspi misses 2-pt shot from 2 ft,,28-40,,
10:53.0,Offensive rebound by R. Hollins,,28-40,,
10:48.0,R. Hollins misses 2-pt shot from 19 ft (block by J. Nurkic),,28-40,,
10:46.0,,,28-40,,Defensive rebound by J. Nurkic
10:41.0,,,28-42,2,E. Green makes 2-pt shot at rim (assist by J. Nurkic)
