time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Valanciunas,,,,Jump ball: R. Hibbert vs. J. Valanciunas
12:00.0,,,0-0,,Violation by Team (jump ball)
11:42.0,Turnover by D. DeRozan (lost ball),,0-0,,
11:18.0,,,0-3,3,C. Watson makes 3-pt shot from 23 ft
11:02.0,,,0-3,,Violation by D. West (kicked ball)
10:56.0,D. DeRozan misses 2-pt shot from 20 ft,,0-3,,
10:55.0,,,0-3,,Defensive rebound by R. Stuckey
10:42.0,,,0-5,2,R. Stuckey makes 2-pt shot from 10 ft (assist by C. Watson)
10:16.0,A. Johnson misses 2-pt shot from 10 ft (block by R. Hibbert),,0-5,,
10:15.0,,,0-5,,Defensive rebound by D. West
10:13.0,,,0-7,2,R. Stuckey makes 2-pt shot from 2 ft (assist by D. West)
9:55.0,G. Vasquez misses 3-pt shot from 24 ft,,0-7,,
9:54.0,,,0-7,,Defensive rebound by S. Hill
9:41.0,,,0-7,,S. Hill misses 2-pt shot from 15 ft
9:41.0,,,0-7,,Offensive rebound by Team
9:41.0,Loose ball foul by J. Valanciunas (drawn by R. Hibbert),,0-7,,
9:34.0,,,0-7,,D. West misses 2-pt shot from 14 ft
9:33.0,Defensive rebound by D. DeRozan,,0-7,,
9:24.0,Turnover by D. DeRozan (bad pass; steal by S. Hill),,0-7,,
9:17.0,,,0-7,,R. Stuckey misses 2-pt shot from 20 ft
9:15.0,Defensive rebound by Team,,0-7,,
9:03.0,K. Lowry misses 3-pt shot from 26 ft,,0-7,,
9:02.0,,,0-7,,Defensive rebound by S. Hill
8:51.0,,,0-9,2,R. Hibbert makes 2-pt shot from 4 ft (assist by D. West)
8:44.0,Toronto full timeout,,0-9,,
8:37.0,K. Lowry makes 2-pt shot from 20 ft (assist by G. Vasquez),2,2-9,,
8:21.0,,,2-9,,R. Hibbert misses 2-pt shot from 12 ft
8:20.0,Defensive rebound by A. Johnson,,2-9,,
8:14.0,J. Valanciunas misses 2-pt shot from 7 ft,,2-9,,
8:13.0,,,2-9,,Defensive rebound by R. Hibbert
8:01.0,,,2-9,,R. Hibbert misses 2-pt shot from 2 ft
8:01.0,,,2-9,,Offensive rebound by R. Hibbert
8:01.0,Loose ball foul by G. Vasquez (drawn by R. Hibbert),,2-9,,
7:50.0,,,2-9,,Turnover by C. Watson (bad pass; steal by D. DeRozan)
7:34.0,D. DeRozan misses 2-pt shot from 11 ft,,2-9,,
7:33.0,,,2-9,,Defensive rebound by R. Hibbert
7:12.0,,,2-9,,R. Hibbert misses 2-pt shot from 12 ft
7:11.0,Defensive rebound by K. Lowry,,2-9,,
7:05.0,Shooting foul by R. Hibbert (drawn by D. DeRozan),,2-9,,
7:05.0,D. DeRozan makes free throw 1 of 2,1,3-9,,
7:05.0,D. DeRozan makes free throw 2 of 2,1,4-9,,
6:47.0,,,4-11,2,D. West makes 2-pt shot from 8 ft (assist by R. Stuckey)
6:31.0,,,4-11,,Personal foul by S. Hill (drawn by D. DeRozan)
6:28.0,K. Lowry makes 2-pt shot from 1 ft,2,6-11,,
6:01.0,,,6-11,,C. Watson misses 3-pt shot from 23 ft
6:00.0,Defensive rebound by A. Johnson,,6-11,,
5:45.0,D. DeRozan misses 3-pt shot from 23 ft,,6-11,,
5:44.0,,,6-11,,Defensive rebound by R. Stuckey
5:38.0,,,6-11,,I. Mahinmi enters the game for R. Hibbert
5:38.0,P. Patterson enters the game for A. Johnson,,6-11,,
5:38.0,L. Williams enters the game for G. Vasquez,,6-11,,
5:31.0,,,6-13,2,R. Stuckey makes 2-pt shot from 17 ft (assist by C. Watson)
5:10.0,P. Patterson misses 2-pt shot from 18 ft (block by D. West),,6-13,,
5:10.0,Offensive rebound by Team,,6-13,,
5:05.0,P. Patterson misses 3-pt shot from 25 ft,,6-13,,
5:04.0,,,6-13,,Defensive rebound by R. Stuckey
5:03.0,Personal foul by K. Lowry (drawn by R. Stuckey),,6-13,,
4:53.0,,,6-13,,R. Stuckey misses 2-pt shot from 15 ft
4:52.0,Defensive rebound by J. Valanciunas,,6-13,,
4:43.0,K. Lowry misses 2-pt shot from 12 ft,,6-13,,
4:41.0,,,6-13,,Defensive rebound by I. Mahinmi
4:31.0,,,6-15,2,C. Watson makes 2-pt shot from 20 ft
4:14.0,D. DeRozan makes 2-pt shot from 11 ft,2,8-15,,
4:05.0,,,8-15,,Indiana full timeout
4:05.0,T. Hansbrough enters the game for J. Valanciunas,,8-15,,
4:05.0,,,8-15,,G. Hill enters the game for C. Watson
3:54.0,,,8-15,,G. Hill misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by K. Lowry,,8-15,,
3:47.0,D. DeRozan makes 2-pt shot from 3 ft,2,10-15,,
3:47.0,Shooting foul by I. Mahinmi (drawn by D. DeRozan),,10-15,,
3:47.0,D. DeRozan makes free throw 1 of 1,1,11-15,,
3:33.0,,,11-17,2,R. Stuckey makes 2-pt shot from 6 ft
3:16.0,D. DeRozan makes 2-pt shot from 16 ft (assist by K. Lowry),2,13-17,,
2:56.0,,,13-17,,Turnover by R. Stuckey (bad pass; steal by P. Patterson)
2:45.0,K. Lowry makes 3-pt shot from 23 ft,3,16-17,,
2:29.0,,,16-20,3,S. Hill makes 3-pt shot from 23 ft (assist by I. Mahinmi)
2:15.0,D. DeRozan misses 2-pt shot from 21 ft,,16-20,,
2:14.0,Offensive rebound by P. Patterson,,16-20,,
2:14.0,P. Patterson makes 2-pt shot from 1 ft,2,18-20,,
2:02.0,,,18-20,,D. West misses 2-pt shot from 17 ft
2:01.0,Defensive rebound by T. Hansbrough,,18-20,,
1:42.0,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry),3,21-20,,
1:27.0,,,21-20,,D. West misses 2-pt shot from 20 ft
1:26.0,,,21-20,,Offensive rebound by I. Mahinmi
1:24.0,,,21-20,,Shooting foul by D. DeRozan (drawn by I. Mahinmi)
1:24.0,,,21-21,1,I. Mahinmi makes free throw 1 of 2
1:24.0,T. Ross enters the game for D. DeRozan,,21-21,,
1:24.0,,,21-21,,D. Rudez enters the game for D. West
1:24.0,,,21-21,,L. Scola enters the game for S. Hill
1:24.0,G. Vasquez enters the game for K. Lowry,,21-21,,
1:24.0,,,21-21,,I. Mahinmi misses free throw 2 of 2
1:24.0,Defensive rebound by P. Patterson,,21-21,,
1:08.0,L. Williams misses 2-pt shot from 14 ft,,21-21,,
1:07.0,,,21-21,,Defensive rebound by L. Scola
1:00.0,Personal block foul by P. Patterson (drawn by R. Stuckey),,21-21,,
1:00.0,,,21-22,1,R. Stuckey makes free throw 1 of 2
1:00.0,,,21-23,1,R. Stuckey makes free throw 2 of 2
0:44.0,T. Ross misses 2-pt shot from 1 ft,,21-23,,
0:43.0,,,21-23,,Defensive rebound by L. Scola
0:21.0,,,21-26,3,G. Hill makes 3-pt shot from 23 ft (assist by D. Rudez)
0:04.0,Turnover by G. Vasquez (lost ball; steal by G. Hill),,21-26,,
0:00.0,,,21-28,2,G. Hill makes 2-pt shot from 5 ft (assist by L. Scola)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,21-28,,I. Mahinmi misses 2-pt shot from 7 ft
11:39.0,,,21-28,,Offensive rebound by L. Scola
11:39.0,Loose ball foul by T. Hansbrough (drawn by L. Scola),,21-28,,
11:34.0,,,21-30,2,D. Rudez makes 2-pt shot from 1 ft (assist by I. Mahinmi)
11:17.0,Turnover by T. Ross (bad pass; steal by S. Hill),,21-30,,
11:12.0,,,21-32,2,S. Hill makes 2-pt shot from 4 ft
10:57.0,T. Ross makes 3-pt shot from 24 ft (assist by P. Patterson),3,24-32,,
10:42.0,,,24-32,,Turnover by L. Scola (bad pass)
10:32.0,T. Hansbrough makes 2-pt shot from 2 ft (assist by P. Patterson),2,26-32,,
10:15.0,,,26-32,,Turnover by D. Rudez (bad pass; steal by P. Patterson)
10:14.0,,,26-32,,Clear path foul by C. Watson
10:14.0,L. Williams makes clear path free throw 1 of 2,1,27-32,,
10:14.0,L. Williams makes clear path free throw 2 of 2,1,28-32,,
10:06.0,L. Williams misses 3-pt shot from 25 ft,,28-32,,
10:05.0,,,28-32,,Defensive rebound by C. Watson
9:49.0,,,28-32,,L. Scola misses 2-pt shot from 3 ft (block by P. Patterson)
9:48.0,Defensive rebound by T. Ross,,28-32,,
9:37.0,Shooting foul by S. Hill (drawn by L. Williams),,28-32,,
9:37.0,L. Williams makes free throw 1 of 3,1,29-32,,
9:37.0,L. Williams makes free throw 2 of 3,1,30-32,,
9:37.0,,,30-32,,D. Sloan enters the game for S. Hill
9:37.0,L. Williams makes free throw 3 of 3,1,31-32,,
9:13.0,,,31-32,,C. Watson misses 2-pt shot from 21 ft
9:12.0,Defensive rebound by T. Ross,,31-32,,
9:06.0,T. Ross misses 3-pt shot from 25 ft,,31-32,,
9:05.0,Offensive rebound by T. Hansbrough,,31-32,,
9:05.0,Shooting foul by I. Mahinmi (drawn by T. Hansbrough),,31-32,,
9:05.0,,,31-32,,Indiana full timeout
9:05.0,T. Hansbrough makes free throw 1 of 2,1,32-32,,
9:05.0,T. Hansbrough makes free throw 2 of 2,1,33-32,,
8:49.0,,,33-32,,Indiana full timeout
8:45.0,,,33-32,,Offensive foul by I. Mahinmi
8:45.0,,,33-32,,Turnover by I. Mahinmi (offensive foul)
8:45.0,,,33-32,,R. Hibbert enters the game for I. Mahinmi
8:34.0,T. Ross makes 2-pt shot from 2 ft (assist by P. Patterson),2,35-32,,
8:13.0,,,35-32,,Turnover by D. Rudez (bad pass; steal by L. Williams)
8:07.0,L. Williams misses 3-pt shot from 25 ft,,35-32,,
8:04.0,Offensive rebound by T. Ross,,35-32,,
8:00.0,Shooting foul by R. Hibbert (drawn by P. Patterson),,35-32,,
8:00.0,P. Patterson makes free throw 1 of 2,1,36-32,,
8:00.0,P. Patterson makes free throw 2 of 2,1,37-32,,
7:45.0,,,37-32,,C. Watson misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by T. Hansbrough,,37-32,,
7:34.0,T. Ross makes 2-pt shot from 15 ft,2,39-32,,
7:14.0,,,39-32,,C. Watson misses 2-pt shot from 4 ft
7:13.0,,,39-32,,Offensive rebound by L. Scola
7:12.0,,,39-32,,L. Scola misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by T. Ross,,39-32,,
7:07.0,,,39-32,,Shooting block foul by D. Sloan (drawn by L. Williams)
7:07.0,L. Williams misses free throw 1 of 2,,39-32,,
7:07.0,Offensive rebound by Team,,39-32,,
7:07.0,,,39-32,,R. Stuckey enters the game for C. Watson
7:07.0,,,39-32,,D. West enters the game for L. Scola
7:07.0,,,39-32,,S. Hill enters the game for D. Rudez
7:07.0,K. Lowry enters the game for G. Vasquez,,39-32,,
7:07.0,L. Williams makes free throw 2 of 2,1,40-32,,
6:54.0,,,40-32,,Turnover by R. Stuckey (lost ball)
6:54.0,D. DeRozan enters the game for L. Williams,,40-32,,
6:51.0,,,40-32,,C. Watson enters the game for D. Sloan
6:45.0,,,40-32,,Personal foul by C. Watson (drawn by K. Lowry)
6:45.0,P. Patterson misses free throw 1 of 2,,40-32,,
