time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Green vs. T. Mozgov (T. Thompson gains possession),,,,Jump ball: D. Green vs. T. Mozgov (T. Thompson gains possession)
11:39.0,,,0-0,,L. James misses 2-pt shot from 9 ft
11:37.0,,,0-0,,Offensive rebound by T. Thompson
11:37.0,,,0-2,2,T. Thompson makes 2-pt shot from 1 ft
11:21.0,S. Curry misses 2-pt shot from 13 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by T. Thompson
10:59.0,,,0-2,,T. Mozgov misses 2-pt shot from 6 ft
10:58.0,,,0-2,,Offensive rebound by T. Thompson
10:57.0,Jump ball: K. Thompson vs. T. Thompson (L. James gains possession),,,,Jump ball: K. Thompson vs. T. Thompson (L. James gains possession)
10:35.0,,,0-2,,L. James misses 2-pt shot from 11 ft
10:33.0,Defensive rebound by D. Green,,0-2,,
10:23.0,H. Barnes misses 3-pt shot from 24 ft,,0-2,,
10:22.0,,,0-2,,Defensive rebound by I. Shumpert
10:15.0,,,0-4,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
10:00.0,A. Iguodala misses 3-pt shot from 24 ft,,0-4,,
9:59.0,,,0-4,,Defensive rebound by I. Shumpert
9:51.0,,,0-7,3,I. Shumpert makes 3-pt shot from 25 ft (assist by M. Dellavedova)
9:43.0,Golden State full timeout,,0-7,,
9:36.0,S. Curry makes 3-pt shot from 26 ft,3,3-7,,
9:16.0,,,3-7,,Turnover by L. James (step out of bounds)
9:05.0,A. Iguodala makes 2-pt shot from 17 ft (assist by S. Curry),2,5-7,,
8:42.0,,,5-9,2,M. Dellavedova makes 2-pt shot from 6 ft
8:28.0,D. Green makes 2-pt shot from 7 ft (assist by S. Curry),2,7-9,,
8:12.0,,,7-12,3,L. James makes 3-pt shot from 25 ft
8:03.0,S. Curry misses 2-pt shot from 20 ft,,7-12,,
8:02.0,,,7-12,,Defensive rebound by T. Thompson
7:51.0,,,7-14,2,L. James makes 2-pt shot at rim
7:45.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,9-14,,
7:28.0,,,9-16,2,T. Mozgov makes 2-pt shot from 17 ft (assist by M. Dellavedova)
7:16.0,H. Barnes makes 3-pt shot from 24 ft (assist by D. Green),3,12-16,,
6:59.0,,,12-16,,Turnover by T. Mozgov (lost ball)
6:59.0,,,12-16,,Violation by T. Mozgov (kicked ball)
6:59.0,,,12-16,,J. Smith enters the game for M. Dellavedova
6:41.0,H. Barnes misses 3-pt shot from 24 ft,,12-16,,
6:40.0,,,12-16,,Defensive rebound by L. James
6:33.0,,,12-16,,J. Smith misses 3-pt shot from 26 ft
6:33.0,,,12-16,,Offensive rebound by Team
