time,San Antonio,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Thompson (D. Cousins gains possession),,,,Jump ball: T. Duncan vs. J. Thompson (D. Cousins gains possession)
11:41.0,,,0-2,2,D. Cousins makes 2-pt shot from 1 ft
11:23.0,A. Baynes misses 2-pt shot from 2 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by D. Cousins
11:15.0,,,0-2,,D. Collison misses 2-pt shot from 2 ft
11:13.0,Defensive rebound by T. Duncan,,0-2,,
10:57.0,A. Baynes misses 2-pt shot from 1 ft (block by R. Gay),,0-2,,
10:57.0,Offensive rebound by Team,,0-2,,
10:53.0,T. Duncan misses 2-pt shot from 19 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by D. Cousins
10:41.0,,,0-2,,D. Cousins misses 2-pt shot from 20 ft
10:40.0,Defensive rebound by K. Leonard,,0-2,,
10:35.0,Turnover by K. Leonard (bad pass),,0-2,,
10:15.0,,,0-2,,D. Cousins misses 2-pt shot from 4 ft
10:13.0,,,0-2,,Offensive rebound by D. Cousins
10:13.0,,,0-2,,D. Cousins misses 2-pt shot from 3 ft
10:12.0,Defensive rebound by A. Baynes,,0-2,,
9:58.0,K. Leonard makes 2-pt shot from 18 ft (assist by A. Baynes),2,2-2,,
9:42.0,Personal foul by K. Leonard (drawn by D. Cousins),,2-2,,
9:36.0,,,2-2,,B. McLemore misses 2-pt shot from 4 ft
9:35.0,Defensive rebound by Team,,2-2,,
9:17.0,T. Parker makes 2-pt shot from 18 ft,2,4-2,,
9:04.0,,,4-4,2,D. Collison makes 2-pt shot at rim
8:48.0,K. Leonard misses 3-pt shot from 24 ft,,4-4,,
8:46.0,,,4-4,,Defensive rebound by D. Cousins
8:37.0,,,4-4,,Turnover by R. Gay (bad pass; steal by T. Parker)
8:29.0,T. Parker misses 2-pt shot from 18 ft,,4-4,,
8:28.0,,,4-4,,Defensive rebound by J. Thompson
8:18.0,,,4-6,2,R. Gay makes 2-pt shot from 21 ft (assist by D. Collison)
8:00.0,T. Duncan misses 2-pt shot from 10 ft,,4-6,,
7:59.0,,,4-6,,Defensive rebound by B. McLemore
7:53.0,,,4-6,,B. McLemore misses 2-pt shot from 1 ft (block by T. Duncan)
7:53.0,,,4-6,,Offensive rebound by Team
7:51.0,,,4-8,2,J. Thompson makes 2-pt shot from 20 ft (assist by R. Gay)
7:26.0,D. Green makes 2-pt shot from 1 ft (assist by T. Duncan),2,6-8,,
7:10.0,,,6-8,,Shooting foul by A. Baynes (drawn by D. Collison)
7:10.0,,,6-9,1,D. Collison makes free throw 1 of 2
7:10.0,,,6-10,1,D. Collison makes free throw 2 of 2
6:56.0,,,6-10,,Violation by J. Thompson (kicked ball)
6:56.0,M. Ginobili enters the game for D. Green,,6-10,,
6:52.0,Shooting foul by B. McLemore (drawn by T. Duncan),,6-10,,
6:52.0,T. Duncan makes free throw 1 of 2,1,7-10,,
6:52.0,T. Duncan makes free throw 2 of 2,1,8-10,,
6:35.0,,,8-12,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
6:18.0,Turnover by A. Baynes (3 sec),,8-12,,
6:05.0,,,8-14,2,R. Gay makes 2-pt shot from 19 ft (assist by J. Thompson)
5:46.0,T. Duncan makes 2-pt shot from 17 ft (assist by K. Leonard),2,10-14,,
5:33.0,,,10-16,2,R. Gay makes 2-pt shot from 9 ft
5:33.0,San Antonio full timeout,,10-16,,
5:33.0,B. Diaw enters the game for T. Duncan,,10-16,,
5:17.0,K. Leonard misses 3-pt shot from 26 ft,,10-16,,
5:15.0,,,10-16,,Defensive rebound by J. Thompson
4:58.0,,,10-16,,B. McLemore misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by A. Baynes,,10-16,,
4:41.0,K. Leonard makes 2-pt shot from 1 ft (assist by A. Baynes),2,12-16,,
4:22.0,,,12-18,2,B. McLemore makes 2-pt shot from 2 ft (assist by J. Thompson)
4:02.0,B. Diaw makes 3-pt shot from 26 ft (assist by M. Ginobili),3,15-18,,
3:41.0,,,15-18,,Offensive charge foul by D. Cousins
3:41.0,,,15-18,,Turnover by D. Cousins (offensive foul)
3:41.0,C. Joseph enters the game for K. Leonard,,15-18,,
3:41.0,J. Ayres enters the game for A. Baynes,,15-18,,
3:41.0,D. Green enters the game for T. Parker,,15-18,,
3:41.0,,,15-18,,D. Williams enters the game for J. Thompson
3:29.0,M. Ginobili misses 3-pt shot from 26 ft,,15-18,,
3:25.0,,,15-18,,Defensive rebound by D. Cousins
3:18.0,Personal foul by J. Ayres (drawn by D. Cousins),,15-18,,
3:18.0,,,15-18,,O. Casspi enters the game for R. Gay
3:08.0,,,15-18,,D. Cousins misses 2-pt shot from 18 ft
3:06.0,Defensive rebound by M. Ginobili,,15-18,,
3:00.0,M. Ginobili makes 2-pt shot from 9 ft,2,17-18,,
3:00.0,Shooting foul by D. Cousins (drawn by M. Ginobili),,17-18,,
3:00.0,,,17-18,,J. Thompson enters the game for D. Cousins
