time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. C. Bosh (M. Chalmers gains possession),,,,Jump ball: B. Biyombo vs. C. Bosh (M. Chalmers gains possession)
11:47.0,D. Wade makes 2-pt shot from 17 ft,2,2-0,,
11:28.0,,,2-0,,G. Henderson misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by C. Bosh,,2-0,,
11:13.0,D. Wade misses 2-pt shot from 3 ft,,2-0,,
11:13.0,,,2-0,,Defensive rebound by Team
10:50.0,,,2-0,,K. Walker misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by D. Granger,,2-0,,
10:37.0,C. Bosh misses 2-pt shot from 16 ft,,2-0,,
10:35.0,,,2-0,,Defensive rebound by M. Kidd-Gilchrist
10:28.0,,,2-0,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
10:28.0,,,2-0,,Offensive rebound by M. Kidd-Gilchrist
10:28.0,,,2-0,,Shooting foul by M. Chalmers (drawn by M. Kidd-Gilchrist)
10:28.0,,,2-0,,M. Kidd-Gilchrist misses free throw 1 of 2
10:28.0,,,2-0,,Offensive rebound by Team
10:28.0,,,2-1,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:11.0,C. Andersen misses 2-pt shot from 1 ft (block by B. Biyombo),,2-1,,
10:09.0,Offensive rebound by M. Chalmers,,2-1,,
10:09.0,,,2-1,,Shooting block foul by K. Walker (drawn by M. Chalmers)
10:09.0,M. Chalmers makes free throw 1 of 2,1,3-1,,
10:09.0,M. Chalmers makes free throw 2 of 2,1,4-1,,
9:54.0,,,4-1,,G. Henderson misses 2-pt shot from 14 ft
9:52.0,,,4-1,,Offensive rebound by B. Biyombo
9:52.0,,,4-1,,B. Biyombo misses 2-pt shot at rim
9:49.0,,,4-1,,Offensive rebound by M. Kidd-Gilchrist
9:46.0,,,4-3,2,G. Henderson makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
9:24.0,C. Bosh misses 2-pt shot from 1 ft,,4-3,,
9:22.0,,,4-3,,Defensive rebound by G. Henderson
9:10.0,Personal foul by C. Andersen (drawn by G. Henderson),,4-3,,
9:05.0,,,4-3,,C. Zeller misses 2-pt shot from 18 ft
9:03.0,,,4-3,,Offensive rebound by B. Biyombo
8:58.0,,,4-3,,C. Zeller misses 2-pt shot from 14 ft
8:56.0,,,4-3,,Offensive rebound by Team
8:53.0,,,4-3,,K. Walker misses 2-pt shot from 17 ft
8:52.0,Defensive rebound by C. Bosh,,4-3,,
8:39.0,D. Granger misses 2-pt shot from 6 ft,,4-3,,
8:38.0,,,4-3,,Defensive rebound by G. Henderson
8:27.0,,,4-3,,Turnover by M. Kidd-Gilchrist (traveling)
8:08.0,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers),2,6-3,,
7:57.0,,,6-6,3,G. Henderson makes 3-pt shot from 25 ft (assist by C. Zeller)
7:40.0,M. Chalmers misses 2-pt shot from 1 ft,,6-6,,
7:39.0,,,6-6,,Defensive rebound by K. Walker
7:27.0,,,6-6,,K. Walker misses 2-pt shot from 18 ft
7:24.0,,,6-6,,Offensive rebound by C. Zeller
7:19.0,,,6-8,2,K. Walker makes 2-pt shot at rim (assist by C. Zeller)
6:56.0,S. Napier enters the game for M. Chalmers,,6-8,,
6:56.0,U. Haslem enters the game for C. Andersen,,6-8,,
6:53.0,D. Wade makes 2-pt shot from 15 ft (assist by S. Napier),2,8-8,,
6:36.0,,,8-8,,G. Henderson misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by C. Bosh,,8-8,,
6:22.0,Offensive charge foul by C. Bosh,,8-8,,
6:22.0,Turnover by C. Bosh (offensive foul),,8-8,,
6:22.0,,,8-8,,B. Roberts enters the game for K. Walker
5:56.0,,,8-8,,G. Henderson misses 2-pt shot from 2 ft (block by C. Bosh)
5:54.0,,,8-8,,Offensive rebound by B. Biyombo
5:54.0,,,8-10,2,B. Biyombo makes 2-pt shot at rim
5:46.0,Miami full timeout,,8-10,,
5:40.0,D. Wade makes 2-pt shot from 5 ft,2,10-10,,
5:40.0,Shooting foul by B. Biyombo (drawn by D. Wade),,10-10,,
5:40.0,D. Wade makes free throw 1 of 1,1,11-10,,
5:21.0,,,11-12,2,C. Zeller makes 2-pt shot from 1 ft (assist by B. Roberts)
5:21.0,,,11-12,,Shooting foul by U. Haslem (drawn by C. Zeller)
5:21.0,,,11-12,,L. Stephenson enters the game for G. Henderson
5:21.0,,,11-13,1,C. Zeller makes free throw 1 of 1
5:11.0,C. Bosh misses 2-pt shot from 12 ft,,11-13,,
5:10.0,,,11-13,,Defensive rebound by C. Zeller
4:55.0,Personal foul by D. Granger (drawn by B. Roberts),,11-13,,
4:55.0,,,11-13,,M. Williams enters the game for C. Zeller
4:47.0,,,11-15,2,M. Williams makes 2-pt shot from 19 ft (assist by L. Stephenson)
4:26.0,S. Napier misses 3-pt shot from 25 ft,,11-15,,
4:25.0,,,11-15,,Defensive rebound by M. Kidd-Gilchrist
4:19.0,,,11-15,,M. Kidd-Gilchrist misses 2-pt shot at rim (block by D. Granger)
4:17.0,Defensive rebound by S. Napier,,11-15,,
4:09.0,C. Bosh misses 3-pt shot from 25 ft,,11-15,,
4:08.0,,,11-15,,Defensive rebound by M. Kidd-Gilchrist
3:54.0,,,11-15,,L. Stephenson misses 2-pt shot from 1 ft
3:52.0,Defensive rebound by D. Wade,,11-15,,
3:43.0,U. Haslem misses 2-pt shot from 2 ft (block by B. Roberts),,11-15,,
3:42.0,Offensive rebound by D. Wade,,11-15,,
3:39.0,D. Wade misses 2-pt shot at rim,,11-15,,
3:38.0,,,11-15,,Defensive rebound by B. Biyombo
3:33.0,,,11-15,,A. Jefferson enters the game for B. Biyombo
3:33.0,S. Williams enters the game for C. Bosh,,11-15,,
3:33.0,M. Chalmers enters the game for D. Wade,,11-15,,
3:27.0,,,11-15,,M. Williams misses 2-pt shot from 17 ft
3:25.0,,,11-15,,Offensive rebound by M. Kidd-Gilchrist
3:19.0,,,11-17,2,L. Stephenson makes 2-pt shot from 1 ft (assist by B. Roberts)
2:56.0,Turnover by S. Napier (bad pass),,11-17,,
2:56.0,,,11-17,,Charlotte full timeout
2:56.0,,,11-17,,G. Neal enters the game for M. Kidd-Gilchrist
2:36.0,,,11-19,2,L. Stephenson makes 2-pt shot from 2 ft (assist by A. Jefferson)
2:21.0,M. Chalmers makes 2-pt shot from 11 ft,2,13-19,,
2:02.0,,,13-21,2,A. Jefferson makes 2-pt shot from 1 ft (assist by L. Stephenson)
1:47.0,Shooting foul by A. Jefferson (drawn by M. Chalmers),,13-21,,
1:47.0,M. Chalmers makes free throw 1 of 2,1,14-21,,
1:47.0,J. Ennis enters the game for D. Granger,,14-21,,
1:47.0,M. Chalmers makes free throw 2 of 2,1,15-21,,
1:35.0,,,15-21,,Turnover by L. Stephenson (bad pass; steal by S. Napier)
1:33.0,Shooting foul by B. Roberts (drawn by J. Ennis),,15-21,,
1:33.0,J. Ennis makes free throw 1 of 2,1,16-21,,
1:33.0,J. Ennis makes free throw 2 of 2,1,17-21,,
1:29.0,Personal foul by S. Napier (drawn by B. Roberts),,17-21,,
1:29.0,,,17-22,1,B. Roberts makes free throw 1 of 2
1:29.0,,,17-23,1,B. Roberts makes free throw 2 of 2
1:18.0,S. Williams misses 3-pt shot from 23 ft,,17-23,,
1:17.0,,,17-23,,Defensive rebound by A. Jefferson
1:00.0,,,17-25,2,A. Jefferson makes 2-pt shot from 9 ft
0:38.0,M. Chalmers misses 2-pt shot from 1 ft,,17-25,,
0:36.0,,,17-25,,Defensive rebound by M. Williams
0:34.0,,,17-25,,Turnover by L. Stephenson (lost ball; steal by S. Napier)
0:30.0,M. Chalmers misses 2-pt shot from 1 ft,,17-25,,
0:27.0,,,17-25,,Defensive rebound by G. Neal
0:04.0,,,17-25,,L. Stephenson misses 2-pt shot from 4 ft (block by J. Ennis)
0:02.0,Defensive rebound by S. Napier,,17-25,,
0:00.0,S. Napier misses 2-pt shot from 3 ft,,17-25,,
0:00.0,Offensive rebound by Team,,17-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,17-28,3,B. Roberts makes 3-pt shot from 26 ft (assist by L. Stephenson)
11:22.0,C. Bosh misses 2-pt shot from 3 ft (block by A. Jefferson),,17-28,,
11:22.0,Offensive rebound by Team,,17-28,,
11:19.0,Turnover by S. Napier (bad pass),,17-28,,
11:03.0,,,17-28,,Offensive foul by M. Williams
11:03.0,,,17-28,,Turnover by M. Williams (offensive foul)
10:52.0,M. Chalmers makes 2-pt shot from 1 ft (assist by S. Napier),2,19-28,,
10:35.0,,,19-28,,A. Jefferson misses 2-pt shot from 2 ft
10:34.0,Defensive rebound by S. Napier,,19-28,,
10:19.0,Shooting foul by G. Neal (drawn by M. Chalmers),,19-28,,
10:19.0,M. Chalmers misses free throw 1 of 2,,19-28,,
10:19.0,Offensive rebound by Team,,19-28,,
10:19.0,D. Wade enters the game for S. Napier,,19-28,,
10:19.0,M. Chalmers misses free throw 2 of 2,,19-28,,
10:18.0,,,19-28,,Defensive rebound by L. Stephenson
10:08.0,,,19-28,,Turnover by L. Stephenson (lost ball; steal by D. Wade)
9:52.0,C. Bosh makes 2-pt shot from 17 ft,2,21-28,,
9:34.0,,,21-28,,M. Williams misses 3-pt shot from 23 ft
9:33.0,Defensive rebound by D. Wade,,21-28,,
9:14.0,J. Ennis misses 2-pt shot from 1 ft,,21-28,,
9:12.0,Offensive rebound by J. Ennis,,21-28,,
9:12.0,J. Ennis makes 2-pt shot at rim,2,23-28,,
9:07.0,,,23-28,,Charlotte full timeout
9:07.0,,,23-28,,C. Zeller enters the game for B. Roberts
9:07.0,,,23-28,,K. Walker enters the game for M. Williams
8:58.0,,,23-30,2,A. Jefferson makes 2-pt shot from 1 ft (assist by C. Zeller)
8:37.0,D. Wade misses 2-pt shot from 12 ft,,23-30,,
8:35.0,Offensive rebound by S. Williams,,23-30,,
8:35.0,S. Williams misses 2-pt shot at rim,,23-30,,
8:33.0,,,23-30,,Defensive rebound by L. Stephenson
8:22.0,,,23-30,,Shooting foul by D. Wade (drawn by C. Zeller)
8:22.0,,,23-31,1,C. Zeller makes free throw 1 of 2
8:22.0,N. Cole enters the game for M. Chalmers,,23-31,,
8:22.0,,,23-32,1,C. Zeller makes free throw 2 of 2
8:04.0,J. Ennis misses 2-pt shot from 3 ft (block by C. Zeller),,23-32,,
8:04.0,Offensive rebound by Team,,23-32,,
7:59.0,C. Bosh makes 2-pt shot from 16 ft,2,25-32,,
7:35.0,Personal foul by J. Ennis (drawn by L. Stephenson),,25-32,,
7:25.0,,,25-32,,A. Jefferson misses 2-pt shot from 6 ft
7:24.0,Defensive rebound by D. Wade,,25-32,,
7:16.0,C. Bosh misses 3-pt shot from 25 ft,,25-32,,
7:14.0,,,25-32,,Defensive rebound by L. Stephenson
6:51.0,,,25-32,,K. Walker misses 3-pt shot from 23 ft
6:49.0,,,25-32,,Offensive rebound by C. Zeller
6:46.0,,,25-32,,G. Neal misses 3-pt shot from 23 ft
6:45.0,Defensive rebound by C. Bosh,,25-32,,
6:28.0,S. Williams makes 3-pt shot from 25 ft (assist by D. Wade),3,28-32,,
6:09.0,,,28-32,,Turnover by K. Walker (bad pass)
6:09.0,Miami full timeout,,28-32,,
6:09.0,,,28-32,,G. Henderson enters the game for L. Stephenson
6:09.0,,,28-32,,B. Biyombo enters the game for A. Jefferson
6:09.0,C. Andersen enters the game for C. Bosh,,28-32,,
5:50.0,D. Wade misses 2-pt shot from 15 ft,,28-32,,
5:49.0,Offensive rebound by Team,,28-32,,
5:49.0,,,28-32,,Loose ball foul by B. Biyombo (drawn by J. Ennis)
5:41.0,D. Wade misses 2-pt shot from 11 ft,,28-32,,
5:40.0,,,28-32,,Defensive rebound by G. Neal
5:25.0,,,28-34,2,G. Neal makes 2-pt shot from 15 ft
4:56.0,J. Ennis misses 3-pt shot from 25 ft,,28-34,,
4:55.0,,,28-34,,Defensive rebound by K. Walker
4:43.0,,,28-34,,C. Zeller misses 2-pt shot from 19 ft
4:40.0,,,28-34,,Offensive rebound by B. Biyombo
4:40.0,,,28-34,,B. Biyombo misses 2-pt shot at rim
4:38.0,,,28-34,,Offensive rebound by C. Zeller
4:38.0,,,28-34,,C. Zeller misses 2-pt shot at rim
4:36.0,Defensive rebound by D. Wade,,28-34,,
4:31.0,D. Wade makes 2-pt shot at rim,2,30-34,,
4:16.0,,,30-34,,K. Walker misses 2-pt shot from 11 ft
4:15.0,Defensive rebound by N. Cole,,30-34,,
4:09.0,N. Cole misses 2-pt shot from 1 ft,,30-34,,
4:07.0,,,30-34,,Defensive rebound by B. Biyombo
4:00.0,,,30-34,,Shooting foul by S. Williams (drawn by G. Henderson)
4:00.0,,,30-35,1,G. Henderson makes free throw 1 of 2
4:00.0,D. Granger enters the game for J. Ennis,,30-35,,
4:00.0,C. Bosh enters the game for S. Williams,,30-35,,
4:00.0,,,30-35,,M. Kidd-Gilchrist enters the game for G. Neal
4:00.0,,,30-36,1,G. Henderson makes free throw 2 of 2
3:44.0,C. Andersen misses 2-pt shot from 1 ft,,30-36,,
3:42.0,,,30-36,,Defensive rebound by M. Kidd-Gilchrist
3:38.0,,,30-38,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
3:31.0,Miami full timeout,,30-38,,
