time,Detroit,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. P. Gasol (J. Noah gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (J. Noah gains possession)
11:35.0,,,0-0,,A. Brooks misses 3-pt shot from 24 ft
11:34.0,,,0-0,,Offensive rebound by P. Gasol
11:29.0,,,0-0,,Turnover by J. Butler (bad pass; steal by C. Butler)
11:10.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,2-0,,
10:56.0,,,2-0,,Shooting foul by A. Tolliver (drawn by P. Gasol)
10:56.0,,,2-1,1,P. Gasol makes free throw 1 of 2
10:56.0,,,2-1,,P. Gasol misses free throw 2 of 2
10:55.0,Defensive rebound by A. Drummond,,2-1,,
10:43.0,Turnover by K. Caldwell-Pope (bad pass),,2-1,,
10:22.0,,,2-3,2,P. Gasol makes 2-pt shot from 3 ft
10:00.0,C. Butler misses 2-pt shot from 21 ft,,2-3,,
9:59.0,Offensive rebound by A. Drummond,,2-3,,
9:47.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,2-3,,
9:46.0,,,2-3,,Defensive rebound by M. Dunleavy
9:34.0,,,2-3,,J. Noah misses 2-pt shot from 2 ft
9:33.0,,,2-3,,Offensive rebound by P. Gasol
9:33.0,,,2-5,2,P. Gasol makes 2-pt shot from 1 ft
9:13.0,R. Jackson makes 2-pt shot from 17 ft,2,4-5,,
9:01.0,,,4-8,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Noah)
8:48.0,R. Jackson makes 2-pt shot from 11 ft,2,6-8,,
8:25.0,,,6-8,,J. Butler misses 2-pt shot from 15 ft
8:23.0,,,6-8,,Offensive rebound by J. Noah
8:23.0,,,6-10,2,J. Noah makes 2-pt shot from 2 ft
8:05.0,A. Tolliver misses 3-pt shot from 23 ft,,6-10,,
8:04.0,,,6-10,,Defensive rebound by P. Gasol
7:58.0,,,6-13,3,J. Butler makes 3-pt shot from 25 ft (assist by M. Dunleavy)
7:38.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by C. Butler),2,8-13,,
7:24.0,,,8-15,2,J. Butler makes 2-pt shot from 7 ft (assist by J. Noah)
7:19.0,Detroit full timeout,,8-15,,
7:06.0,R. Jackson misses 2-pt shot from 2 ft (block by P. Gasol),,8-15,,
7:06.0,Offensive rebound by Team,,8-15,,
7:02.0,Turnover by C. Butler (bad pass),,8-15,,
6:47.0,,,8-15,,J. Butler misses 2-pt shot from 8 ft
6:46.0,,,8-15,,Offensive rebound by J. Noah
6:46.0,Personal foul by R. Jackson (drawn by J. Noah),,8-15,,
6:44.0,,,8-15,,Turnover by M. Dunleavy (bad pass; steal by K. Caldwell-Pope)
6:34.0,A. Tolliver makes 3-pt shot from 23 ft (assist by R. Jackson),3,11-15,,
6:19.0,,,11-15,,A. Brooks misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by A. Drummond,,11-15,,
6:18.0,,,11-15,,Personal foul by J. Noah (drawn by A. Drummond)
6:02.0,Turnover by A. Drummond (traveling),,11-15,,
5:53.0,Personal foul by A. Tolliver (drawn by P. Gasol),,11-15,,
5:53.0,J. Anthony enters the game for A. Tolliver,,11-15,,
5:37.0,,,11-15,,P. Gasol misses 2-pt shot from 7 ft
5:35.0,Defensive rebound by A. Drummond,,11-15,,
5:25.0,Shooting foul by J. Noah (drawn by J. Anthony),,11-15,,
5:25.0,J. Anthony makes free throw 1 of 2,1,12-15,,
5:25.0,,,12-15,,T. Gibson enters the game for J. Noah
5:25.0,J. Anthony misses free throw 2 of 2,,12-15,,
5:22.0,Offensive rebound by A. Drummond,,12-15,,
5:08.0,Turnover by R. Jackson (bad pass; steal by T. Gibson),,12-15,,
4:54.0,,,12-15,,J. Butler misses 2-pt shot from 3 ft (block by A. Drummond)
4:53.0,,,12-15,,Offensive rebound by J. Butler
4:51.0,,,12-17,2,P. Gasol makes 2-pt shot from 1 ft (assist by J. Butler)
4:21.0,J. Anthony misses 2-pt shot from 11 ft,,12-17,,
4:20.0,Offensive rebound by A. Drummond,,12-17,,
4:20.0,Shooting foul by M. Dunleavy (drawn by A. Drummond),,12-17,,
4:20.0,A. Drummond makes free throw 1 of 2,1,13-17,,
4:20.0,,,13-17,,T. Snell enters the game for J. Butler
4:20.0,A. Drummond makes free throw 2 of 2,1,14-17,,
4:08.0,,,14-17,,P. Gasol misses 2-pt shot from 2 ft
4:06.0,,,14-17,,Offensive rebound by P. Gasol
4:05.0,,,14-17,,P. Gasol misses 2-pt shot from 2 ft (block by J. Anthony)
4:04.0,Defensive rebound by A. Drummond,,14-17,,
4:01.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,14-17,,
3:59.0,Offensive rebound by J. Anthony,,14-17,,
3:57.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,16-17,,
3:57.0,,,16-17,,Technical foul by Team
3:57.0,C. Butler makes technical free throw,1,17-17,,
3:47.0,,,17-17,,A. Brooks misses 2-pt shot from 1 ft
3:46.0,Defensive rebound by R. Jackson,,17-17,,
3:39.0,R. Jackson makes 2-pt shot from 10 ft,2,19-17,,
3:15.0,,,19-17,,T. Snell misses 3-pt shot from 23 ft
3:14.0,Defensive rebound by A. Drummond,,19-17,,
2:54.0,R. Jackson misses 2-pt shot from 16 ft,,19-17,,
2:53.0,,,19-17,,Defensive rebound by T. Gibson
2:44.0,,,19-17,,Shooting foul by J. Anthony (drawn by P. Gasol)
2:44.0,,,19-17,,Chicago full timeout
2:44.0,,,19-17,,E. Moore enters the game for A. Brooks
2:44.0,,,19-18,1,P. Gasol makes free throw 1 of 2
2:44.0,,,19-19,1,P. Gasol makes free throw 2 of 2
2:22.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,19-19,,
2:22.0,,,19-19,,Defensive rebound by T. Gibson
2:22.0,Personal foul by J. Anthony (drawn by T. Gibson),,19-19,,
2:22.0,,,19-20,1,T. Gibson makes free throw 1 of 2
2:22.0,S. Williams enters the game for J. Anthony,,19-20,,
2:22.0,,,19-21,1,T. Gibson makes free throw 2 of 2
2:12.0,,,19-21,,Personal foul by P. Gasol (drawn by A. Drummond)
1:57.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,19-21,,
1:57.0,,,19-21,,Defensive rebound by Team
1:46.0,,,19-23,2,M. Dunleavy makes 2-pt shot from 19 ft (assist by E. Moore)
1:27.0,R. Jackson makes 2-pt shot from 6 ft,2,21-23,,
1:09.0,,,21-25,2,P. Gasol makes 2-pt shot from 3 ft
0:59.0,Shooting foul by E. Moore (drawn by R. Jackson),,21-25,,
0:59.0,R. Jackson makes free throw 1 of 2,1,22-25,,
0:59.0,J. Meeks enters the game for K. Caldwell-Pope,,22-25,,
0:59.0,R. Jackson makes free throw 2 of 2,1,23-25,,
0:42.0,,,23-25,,P. Gasol misses 2-pt shot from 11 ft (block by C. Butler)
0:41.0,Defensive rebound by C. Butler,,23-25,,
0:34.0,R. Jackson makes 2-pt shot at rim,2,25-25,,
0:19.0,,,25-25,,M. Dunleavy misses 3-pt shot from 24 ft
0:18.0,,,25-25,,Offensive rebound by T. Gibson
0:17.0,,,25-25,,T. Gibson misses 2-pt shot from 1 ft (block by A. Drummond)
0:15.0,Defensive rebound by J. Meeks,,25-25,,
0:06.0,,,25-25,,Technical foul by T. Gibson
0:06.0,C. Butler makes technical free throw,1,26-25,,
0:03.0,Turnover by R. Jackson (bad pass; steal by E. Moore),,26-25,,
0:01.0,,,26-25,,Turnover by E. Moore (bad pass; steal by C. Butler)
0:00.0,C. Butler misses 3-pt shot from 40 ft,,26-25,,
0:00.0,Offensive rebound by Team,,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,A. Drummond misses 2-pt shot from 8 ft,,26-25,,
11:42.0,,,26-25,,Defensive rebound by N. Mirotic
