time,Indiana,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,R. Hibbert misses 2-pt shot from 3 ft,,0-0,,
12:00.0,Jump ball: R. Hibbert vs. J. Hill (S. Hill gains possession),,,,Jump ball: R. Hibbert vs. J. Hill (S. Hill gains possession)
11:40.0,,,0-0,,Defensive rebound by K. Bryant
11:27.0,,,0-0,,J. Hill misses 2-pt shot from 5 ft
11:26.0,Defensive rebound by D. Sloan,,0-0,,
11:12.0,S. Hill misses 2-pt shot from 1 ft (block by J. Hill),,0-0,,
11:11.0,Offensive rebound by Team,,0-0,,
11:02.0,D. West misses 2-pt shot from 12 ft,,0-0,,
11:00.0,,,0-0,,Defensive rebound by K. Bryant
10:51.0,,,0-2,2,J. Hill makes 2-pt shot from 1 ft (assist by K. Bryant)
10:35.0,Turnover by D. West (bad pass; steal by K. Bryant),,0-2,,
10:21.0,,,0-2,,W. Johnson misses 3-pt shot from 22 ft
10:20.0,Defensive rebound by S. Hill,,0-2,,
10:09.0,R. Stuckey misses 2-pt shot from 11 ft,,0-2,,
10:04.0,,,0-2,,Defensive rebound by K. Bryant
10:00.0,,,0-4,2,K. Bryant makes 2-pt shot from 3 ft
9:41.0,R. Hibbert makes 2-pt shot from 2 ft (assist by D. Sloan),2,2-4,,
9:21.0,,,2-6,2,E. Davis makes 2-pt shot from 2 ft (assist by W. Johnson)
9:10.0,Turnover by R. Hibbert (lost ball; steal by K. Bryant),,2-6,,
9:03.0,,,2-9,3,K. Bryant makes 3-pt shot from 24 ft
8:45.0,R. Hibbert misses 2-pt shot from 14 ft,,2-9,,
8:44.0,Offensive rebound by R. Stuckey,,2-9,,
8:27.0,D. Sloan makes 3-pt shot from 24 ft (assist by D. West),3,5-9,,
7:59.0,,,5-11,2,K. Bryant makes 2-pt shot from 3 ft
7:40.0,R. Hibbert makes 2-pt shot from 3 ft,2,7-11,,
7:13.0,,,7-11,,Turnover by J. Hill (bad pass)
7:00.0,R. Hibbert misses 2-pt shot from 3 ft,,7-11,,
6:59.0,Offensive rebound by Team,,7-11,,
6:59.0,,,7-11,,Loose ball foul by K. Bryant (drawn by R. Hibbert)
