time,Washington,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. M. Gortat (J. Wall gains possession),,,,Jump ball: C. Andersen vs. M. Gortat (J. Wall gains possession)
11:38.0,M. Gortat misses 2-pt shot from 8 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by L. Deng
11:23.0,,,0-0,,Turnover by L. Deng (bad pass)
11:08.0,M. Gortat makes 2-pt shot from 9 ft (assist by B. Beal),2,2-0,,
10:42.0,,,2-0,,M. Chalmers misses 2-pt shot from 8 ft
10:41.0,,,2-0,,Offensive rebound by M. Chalmers
10:41.0,,,2-0,,Turnover by Team (shot clock)
10:27.0,M. Gortat misses 2-pt shot from 15 ft,,2-0,,
10:26.0,,,2-0,,Defensive rebound by D. Wade
10:20.0,,,2-3,3,M. Chalmers makes 3-pt shot from 25 ft (assist by D. Wade)
10:01.0,B. Beal misses 2-pt shot from 9 ft,,2-3,,
9:59.0,Offensive rebound by K. Humphries,,2-3,,
9:59.0,K. Humphries misses 2-pt shot at rim,,2-3,,
9:58.0,Offensive rebound by M. Gortat,,2-3,,
9:53.0,,,2-3,,Personal foul by L. Deng (drawn by P. Pierce)
9:43.0,P. Pierce makes 3-pt shot from 24 ft (assist by M. Gortat),3,5-3,,
9:21.0,,,5-3,,S. Williams misses 3-pt shot from 24 ft
9:20.0,Defensive rebound by B. Beal,,5-3,,
9:10.0,P. Pierce misses 2-pt shot from 11 ft,,5-3,,
9:09.0,Offensive rebound by Team,,5-3,,
8:55.0,K. Humphries misses 2-pt shot from 1 ft (block by C. Andersen),,5-3,,
8:54.0,,,5-3,,Defensive rebound by C. Andersen
8:43.0,,,5-6,3,S. Williams makes 3-pt shot from 25 ft (assist by M. Chalmers)
8:30.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,7-6,,
8:16.0,,,7-8,2,M. Chalmers makes 2-pt shot from 1 ft
8:09.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,9-8,,
7:55.0,,,9-10,2,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers)
