time,Charlotte,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. C. Zeller (M. Conley gains possession),,,,Jump ball: M. Gasol vs. C. Zeller (M. Conley gains possession)
11:40.0,,,0-3,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol)
11:17.0,Turnover by G. Henderson (bad pass; steal by M. Gasol),,0-3,,
11:05.0,,,0-5,2,Z. Randolph makes 2-pt shot from 10 ft
10:38.0,C. Zeller misses 2-pt shot from 22 ft,,0-5,,
10:37.0,,,0-5,,Defensive rebound by T. Allen
10:27.0,,,0-7,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol)
10:13.0,A. Jefferson misses 2-pt shot from 1 ft (block by M. Gasol),,0-7,,
10:12.0,,,0-7,,Defensive rebound by M. Conley
10:07.0,,,0-7,,Turnover by Z. Randolph (lost ball)
9:50.0,A. Jefferson misses 2-pt shot from 3 ft (block by M. Gasol),,0-7,,
9:47.0,,,0-7,,Defensive rebound by C. Lee
9:38.0,,,0-7,,M. Gasol misses 2-pt shot from 11 ft
9:37.0,Defensive rebound by L. Stephenson,,0-7,,
9:28.0,L. Stephenson misses 3-pt shot from 24 ft,,0-7,,
9:28.0,,,0-7,,Defensive rebound by M. Conley
9:18.0,,,0-7,,Turnover by M. Conley (bad pass; steal by K. Walker)
9:13.0,K. Walker misses 2-pt shot from 1 ft,,0-7,,
9:13.0,,,0-7,,Defensive rebound by Team
8:53.0,,,0-9,2,M. Gasol makes 2-pt shot from 15 ft
8:33.0,Shooting foul by M. Gasol (drawn by C. Zeller),,0-9,,
8:33.0,C. Zeller makes free throw 1 of 2,1,1-9,,
8:33.0,C. Zeller makes free throw 2 of 2,1,2-9,,
8:15.0,,,2-9,,M. Gasol misses 2-pt shot from 7 ft
8:13.0,Defensive rebound by A. Jefferson,,2-9,,
8:03.0,G. Henderson misses 2-pt shot from 9 ft,,2-9,,
8:02.0,,,2-9,,Defensive rebound by Z. Randolph
7:44.0,,,2-9,,M. Conley misses 2-pt shot from 7 ft (block by A. Jefferson)
7:44.0,Defensive rebound by L. Stephenson,,2-9,,
7:38.0,G. Henderson makes 2-pt shot at rim (assist by K. Walker),2,4-9,,
7:26.0,,,4-9,,Turnover by M. Conley (bad pass)
7:15.0,K. Walker makes 3-pt shot from 24 ft,3,7-9,,
7:01.0,,,7-9,,T. Allen misses 2-pt shot from 1 ft
7:01.0,,,7-9,,Offensive rebound by T. Allen
7:01.0,,,7-11,2,T. Allen makes 2-pt shot from 1 ft
7:01.0,,,7-11,,Shooting foul by C. Zeller (drawn by T. Allen)
7:01.0,,,7-12,1,T. Allen makes free throw 1 of 1
6:49.0,A. Jefferson misses 2-pt shot from 12 ft,,7-12,,
6:48.0,,,7-12,,Defensive rebound by T. Allen
6:31.0,,,7-15,3,C. Lee makes 3-pt shot from 23 ft (assist by M. Gasol)
6:09.0,A. Jefferson misses 2-pt shot from 12 ft,,7-15,,
6:08.0,,,7-15,,Defensive rebound by Z. Randolph
5:58.0,,,7-15,,Shooting foul by A. Jefferson (drawn by M. Gasol)
5:58.0,,,7-15,,Memphis full timeout
5:58.0,M. Kidd-Gilchrist enters the game for G. Henderson,,7-15,,
5:58.0,,,7-15,,M. Gasol misses free throw 1 of 2
5:58.0,,,7-15,,Offensive rebound by Team
5:58.0,,,7-16,1,M. Gasol makes free throw 2 of 2
5:46.0,C. Zeller misses 2-pt shot from 1 ft,,7-16,,
5:43.0,,,7-16,,Defensive rebound by Z. Randolph
5:28.0,,,7-16,,M. Gasol misses 2-pt shot from 20 ft
5:28.0,Defensive rebound by K. Walker,,7-16,,
