time,Sacramento,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. J. Thompson (B. McLemore gains possession),,,,Jump ball: C. Andersen vs. J. Thompson (B. McLemore gains possession)
11:56.0,,,0-0,,Personal foul by S. Napier (drawn by B. McLemore)
11:41.0,D. Cousins misses 2-pt shot from 13 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by S. Napier
11:18.0,,,0-0,,U. Haslem misses 2-pt shot from 16 ft
11:17.0,,,0-0,,Offensive rebound by C. Andersen
11:13.0,,,0-0,,C. Andersen misses 2-pt shot from 2 ft
11:12.0,Defensive rebound by D. Cousins,,0-0,,
10:57.0,D. Cousins misses 2-pt shot from 19 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by D. Wade
10:37.0,,,0-0,,S. Napier misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by D. Cousins,,0-0,,
10:13.0,R. Gay misses 3-pt shot from 23 ft,,0-0,,
10:12.0,,,0-0,,Defensive rebound by D. Wade
9:57.0,,,0-0,,H. Walker misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by J. Thompson,,0-0,,
9:39.0,D. Cousins makes 2-pt shot at rim (assist by J. Thompson),2,2-0,,
9:24.0,,,2-0,,Turnover by S. Napier (lost ball)
9:11.0,R. Gay makes 2-pt shot from 11 ft (assist by D. Cousins),2,4-0,,
8:56.0,,,4-2,2,D. Wade makes 2-pt shot from 6 ft
8:40.0,B. McLemore makes 3-pt shot from 23 ft (assist by R. McCallum),3,7-2,,
8:24.0,,,7-2,,Turnover by D. Wade (lost ball; steal by D. Cousins)
8:16.0,Shooting foul by H. Walker (drawn by D. Cousins),,7-2,,
8:16.0,D. Cousins makes free throw 1 of 2,1,8-2,,
8:16.0,D. Cousins makes free throw 2 of 2,1,9-2,,
8:03.0,,,9-4,2,C. Andersen makes 2-pt shot from 3 ft (assist by U. Haslem)
7:46.0,B. McLemore misses 2-pt shot at rim,,9-4,,
7:45.0,,,9-4,,Defensive rebound by C. Andersen
7:39.0,,,9-6,2,S. Napier makes 2-pt shot from 17 ft
7:21.0,J. Thompson misses 2-pt shot from 5 ft,,9-6,,
7:20.0,,,9-6,,Defensive rebound by Team
7:07.0,,,9-6,,S. Napier misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by Team,,9-6,,
6:49.0,B. McLemore misses 2-pt shot from 7 ft,,9-6,,
6:48.0,,,9-6,,Defensive rebound by Team
6:48.0,Loose ball foul by D. Cousins (drawn by C. Andersen),,9-6,,
6:48.0,,,9-6,,T. Johnson enters the game for H. Walker
6:48.0,,,9-6,,M. Beasley enters the game for U. Haslem
6:34.0,,,9-9,3,T. Johnson makes 3-pt shot from 24 ft (assist by D. Wade)
6:16.0,R. Gay makes 3-pt shot from 24 ft (assist by R. McCallum),3,12-9,,
6:03.0,,,12-9,,M. Beasley misses 2-pt shot from 19 ft
6:02.0,Defensive rebound by D. Cousins,,12-9,,
5:54.0,D. Cousins misses 2-pt shot from 17 ft,,12-9,,
5:53.0,,,12-9,,Defensive rebound by M. Beasley
5:42.0,,,12-9,,Turnover by S. Napier (bad pass; steal by B. McLemore)
5:39.0,B. McLemore makes 2-pt shot at rim,2,14-9,,
5:39.0,,,14-9,,Miami full timeout
5:22.0,,,14-9,,C. Andersen misses 2-pt shot from 19 ft
5:21.0,Defensive rebound by D. Cousins,,14-9,,
5:08.0,Turnover by J. Thompson (lost ball; steal by M. Beasley),,14-9,,
5:03.0,,,14-9,,D. Wade misses 2-pt shot from 17 ft
5:02.0,Defensive rebound by R. Gay,,14-9,,
4:52.0,Turnover by D. Cousins (traveling),,14-9,,
4:43.0,,,14-9,,Shooting foul by B. McLemore (drawn by T. Johnson)
4:43.0,,,14-10,1,T. Johnson makes free throw 1 of 2
4:43.0,D. Williams enters the game for D. Cousins,,14-10,,
4:43.0,,,14-10,,M. Chalmers enters the game for D. Wade
4:43.0,,,14-11,1,T. Johnson makes free throw 2 of 2
4:23.0,D. Williams makes 3-pt shot from 23 ft (assist by R. Gay),3,17-11,,
4:10.0,,,17-13,2,C. Andersen makes 2-pt shot at rim (assist by T. Johnson)
3:54.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Gay),3,20-13,,
3:39.0,,,20-15,2,T. Johnson makes 2-pt shot from 7 ft (assist by S. Napier)
3:30.0,Turnover by R. McCallum (lost ball; steal by M. Chalmers),,20-15,,
3:25.0,,,20-15,,Turnover by T. Johnson (lost ball; steal by B. McLemore)
3:20.0,Turnover by R. Gay (bad pass; steal by S. Napier),,20-15,,
3:15.0,,,20-17,2,M. Chalmers makes 2-pt shot at rim (assist by S. Napier)
3:09.0,Sacramento full timeout,,20-17,,
3:09.0,O. Casspi enters the game for B. McLemore,,20-17,,
3:09.0,A. Miller enters the game for R. McCallum,,20-17,,
3:09.0,,,20-17,,H. Walker enters the game for C. Andersen
3:09.0,,,20-17,,J. Ennis enters the game for S. Napier
2:55.0,R. Gay makes 3-pt shot from 24 ft (assist by A. Miller),3,23-17,,
2:38.0,,,23-19,2,M. Beasley makes 2-pt shot at rim (assist by M. Chalmers)
2:16.0,D. Williams misses 2-pt shot from 15 ft,,23-19,,
2:15.0,Offensive rebound by J. Thompson,,23-19,,
2:12.0,O. Casspi misses 2-pt shot from 8 ft (block by H. Walker),,23-19,,
2:11.0,,,23-19,,Defensive rebound by M. Chalmers
2:01.0,,,23-22,3,J. Ennis makes 3-pt shot from 23 ft (assist by H. Walker)
1:42.0,R. Gay misses 2-pt shot from 4 ft,,23-22,,
1:41.0,Offensive rebound by R. Gay,,23-22,,
1:40.0,R. Gay misses 2-pt shot at rim,,23-22,,
1:39.0,,,23-22,,Defensive rebound by M. Chalmers
1:33.0,,,23-24,2,H. Walker makes 2-pt shot from 1 ft (assist by M. Chalmers)
1:23.0,R. Gay makes 2-pt shot at rim,2,25-24,,
1:23.0,Shooting foul by M. Chalmers (drawn by R. Gay),,25-24,,
1:23.0,R. Gay misses free throw 1 of 1,,25-24,,
1:22.0,,,25-24,,Defensive rebound by M. Chalmers
1:10.0,,,25-24,,Shooting foul by O. Casspi (drawn by M. Beasley)
1:10.0,,,25-24,,M. Beasley misses free throw 1 of 2
1:10.0,,,25-24,,Offensive rebound by Team
1:10.0,N. Stauskas enters the game for R. Gay,,25-24,,
1:10.0,,,25-24,,M. Beasley misses free throw 2 of 2
