time,San Antonio,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (E. Kanter gains possession),,,,Jump ball: S. Adams vs. T. Duncan (E. Kanter gains possession)
11:47.0,,,0-0,,E. Kanter misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by T. Duncan,,0-0,,
11:27.0,T. Parker misses 2-pt shot from 17 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by S. Adams
11:09.0,,,0-0,,D. Waiters misses 2-pt shot from 17 ft
11:07.0,Defensive rebound by D. Green,,0-0,,
11:07.0,Jump ball: D. Green vs. E. Kanter (T. Duncan gains possession),,,,Jump ball: D. Green vs. E. Kanter (T. Duncan gains possession)
10:57.0,Turnover by T. Duncan (bad pass; steal by E. Kanter),,0-0,,
10:53.0,,,0-0,,Shooting foul by D. Green (drawn by K. Singler)
10:53.0,,,0-0,,K. Singler misses free throw 1 of 2
10:53.0,,,0-0,,Offensive rebound by Team
10:53.0,,,0-0,,K. Singler misses free throw 2 of 2
10:53.0,Defensive rebound by K. Leonard,,0-0,,
10:31.0,K. Leonard makes 3-pt shot from 24 ft (assist by D. Green),3,3-0,,
10:16.0,,,3-0,,Turnover by K. Singler (lost ball; steal by K. Leonard)
10:13.0,K. Leonard makes 2-pt shot at rim,2,5-0,,
9:57.0,,,5-0,,D. Waiters misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by T. Duncan,,5-0,,
9:54.0,Turnover by T. Duncan (bad pass; steal by R. Westbrook),,5-0,,
9:41.0,,,5-0,,S. Adams misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by Team,,5-0,,
9:19.0,T. Parker misses 3-pt shot from 22 ft,,5-0,,
9:17.0,Offensive rebound by A. Baynes,,5-0,,
9:17.0,A. Baynes misses 2-pt shot at rim,,5-0,,
9:15.0,,,5-0,,Defensive rebound by R. Westbrook
9:11.0,,,5-0,,R. Westbrook misses 2-pt shot from 13 ft
9:10.0,,,5-0,,Offensive rebound by E. Kanter
9:09.0,,,5-2,2,E. Kanter makes 2-pt shot from 1 ft
8:50.0,A. Baynes misses 2-pt shot from 3 ft,,5-2,,
8:49.0,,,5-2,,Defensive rebound by K. Singler
8:31.0,,,5-2,,K. Singler misses 3-pt shot from 22 ft
8:29.0,,,5-2,,Offensive rebound by E. Kanter
8:24.0,,,5-2,,E. Kanter misses 2-pt shot from 7 ft
8:23.0,Defensive rebound by D. Green,,5-2,,
8:12.0,,,5-2,,Personal foul by R. Westbrook (drawn by K. Leonard)
8:06.0,K. Leonard misses 2-pt shot from 15 ft,,5-2,,
8:05.0,,,5-2,,Defensive rebound by K. Singler
7:59.0,,,5-2,,S. Adams misses 2-pt shot from 2 ft (block by T. Duncan)
7:59.0,,,5-2,,Offensive rebound by Team
7:59.0,,,5-2,,Turnover by D. Waiters (bad pass)
7:42.0,T. Duncan misses 2-pt shot from 19 ft,,5-2,,
7:41.0,,,5-2,,Defensive rebound by R. Westbrook
7:35.0,,,5-4,2,R. Westbrook makes 2-pt shot from 17 ft
7:18.0,T. Duncan makes 2-pt shot from 9 ft (assist by T. Parker),2,7-4,,
7:05.0,,,7-4,,Shooting foul by K. Leonard (drawn by K. Singler)
7:05.0,,,7-4,,K. Singler misses free throw 1 of 2
7:05.0,,,7-4,,Offensive rebound by Team
7:05.0,,,7-5,1,K. Singler makes free throw 2 of 2
6:57.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,9-5,,
6:42.0,,,9-5,,E. Kanter misses 2-pt shot from 2 ft (block by T. Duncan)
6:42.0,Defensive rebound by Team,,9-5,,
6:22.0,T. Parker misses 2-pt shot from 1 ft,,9-5,,
6:19.0,,,9-5,,Defensive rebound by D. Waiters
6:18.0,,,9-5,,Turnover by D. Waiters (step out of bounds)
6:03.0,T. Duncan makes 2-pt shot from 6 ft,2,11-5,,
6:02.0,,,11-5,,Technical foul by Team
6:02.0,,,11-5,,Oklahoma City full timeout
6:02.0,B. Diaw enters the game for A. Baynes,,11-5,,
6:02.0,M. Ginobili enters the game for D. Green,,11-5,,
6:02.0,T. Parker misses technical free throw,,11-5,,
6:02.0,,,11-5,,Offensive rebound by Team
5:47.0,,,11-5,,R. Westbrook misses 2-pt shot from 2 ft
5:46.0,Defensive rebound by Team,,11-5,,
5:46.0,,,11-5,,A. Morrow enters the game for K. Singler
5:31.0,K. Leonard makes 2-pt shot from 4 ft,2,13-5,,
5:20.0,,,13-7,2,D. Waiters makes 2-pt shot at rim
4:58.0,M. Ginobili makes 3-pt shot from 23 ft (assist by K. Leonard),3,16-7,,
4:43.0,,,16-7,,A. Morrow misses 2-pt shot from 16 ft
4:42.0,Defensive rebound by T. Duncan,,16-7,,
4:26.0,K. Leonard misses 2-pt shot from 13 ft,,16-7,,
4:25.0,,,16-7,,Defensive rebound by E. Kanter
4:19.0,,,16-7,,R. Westbrook misses 2-pt shot from 16 ft
4:17.0,Defensive rebound by T. Duncan,,16-7,,
4:15.0,Turnover by T. Duncan (bad pass; steal by R. Westbrook),,16-7,,
4:14.0,,,16-7,,R. Westbrook misses 2-pt shot from 1 ft (block by B. Diaw)
4:14.0,,,16-7,,Offensive rebound by Team
4:06.0,,,16-7,,Shooting foul by M. Ginobili (drawn by S. Adams)
4:06.0,,,16-8,1,S. Adams makes free throw 1 of 2
4:06.0,,,16-8,,M. McGary enters the game for E. Kanter
4:06.0,,,16-8,,S. Adams misses free throw 2 of 2
4:06.0,Defensive rebound by B. Diaw,,16-8,,
3:48.0,B. Diaw makes 2-pt shot from 9 ft,2,18-8,,
3:34.0,,,18-8,,S. Adams misses 2-pt shot from 2 ft
3:33.0,Defensive rebound by B. Diaw,,18-8,,
3:25.0,T. Parker misses 2-pt shot from 16 ft,,18-8,,
3:24.0,,,18-8,,Defensive rebound by D. Waiters
3:18.0,,,18-8,,D. Waiters misses 2-pt shot from 1 ft (block by T. Duncan)
3:18.0,Defensive rebound by Team,,18-8,,
3:18.0,San Antonio full timeout,,18-8,,
3:18.0,A. Baynes enters the game for T. Duncan,,18-8,,
3:18.0,C. Joseph enters the game for T. Parker,,18-8,,
3:18.0,,,18-8,,A. Roberson enters the game for D. Waiters
3:02.0,K. Leonard makes 3-pt shot from 25 ft (assist by B. Diaw),3,21-8,,
2:45.0,,,21-8,,R. Westbrook misses 2-pt shot from 2 ft
2:43.0,Defensive rebound by A. Baynes,,21-8,,
2:33.0,K. Leonard misses 2-pt shot from 17 ft,,21-8,,
2:32.0,,,21-8,,Defensive rebound by A. Roberson
2:15.0,,,21-8,,Turnover by M. McGary (lost ball; steal by K. Leonard)
2:02.0,A. Baynes makes 2-pt shot at rim (assist by B. Diaw),2,23-8,,
1:49.0,,,23-8,,Offensive charge foul by R. Westbrook
1:49.0,,,23-8,,Turnover by R. Westbrook (offensive foul)
1:49.0,,,23-8,,D. Augustin enters the game for R. Westbrook
1:49.0,M. Belinelli enters the game for K. Leonard,,23-8,,
1:28.0,M. Belinelli makes 2-pt shot from 19 ft,2,25-8,,
1:11.0,,,25-8,,Turnover by M. McGary (bad pass; steal by C. Joseph)
1:10.0,,,25-8,,Clear path foul by D. Augustin
1:10.0,C. Joseph misses clear path free throw 1 of 2,,25-8,,
1:10.0,Offensive rebound by Team,,25-8,,
1:10.0,C. Joseph makes clear path free throw 2 of 2,1,26-8,,
0:55.0,M. Ginobili misses 3-pt shot from 24 ft,,26-8,,
0:54.0,,,26-8,,Defensive rebound by D. Augustin
0:46.0,,,26-10,2,S. Adams makes 2-pt shot from 7 ft (assist by D. Augustin)
0:22.0,M. Ginobili makes 3-pt shot from 27 ft (assist by C. Joseph),3,29-10,,
0:05.0,Personal take foul by C. Joseph (drawn by D. Augustin),,29-10,,
0:02.0,,,29-10,,A. Morrow misses 3-pt shot from 29 ft
0:01.0,Defensive rebound by A. Baynes,,29-10,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Ginobili misses 2-pt shot from 5 ft,,29-10,,
11:43.0,,,29-10,,Defensive rebound by A. Roberson
11:24.0,,,29-10,,D. Augustin misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by Team,,29-10,,
11:23.0,P. Mills enters the game for C. Joseph,,29-10,,
11:09.0,B. Diaw makes 2-pt shot from 8 ft,2,31-10,,
10:47.0,,,31-10,,M. McGary misses 2-pt shot from 7 ft
10:46.0,,,31-10,,Offensive rebound by M. McGary
10:42.0,,,31-10,,A. Morrow misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by Team,,31-10,,
10:26.0,M. Belinelli makes 2-pt shot from 19 ft (assist by P. Mills),2,33-10,,
10:25.0,,,33-10,,Oklahoma City full timeout
