time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (A. Johnson gains possession)
11:46.0,D. DeRozan misses 2-pt shot from 2 ft (block by P. Pierce),,0-0,,
11:43.0,Offensive rebound by D. DeRozan,,0-0,,
11:41.0,D. DeRozan misses 2-pt shot from 17 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by P. Pierce
11:16.0,,,0-2,2,J. Wall makes 2-pt shot from 20 ft (assist by M. Gortat)
10:55.0,K. Lowry makes 2-pt shot from 20 ft,2,2-2,,
10:35.0,,,2-2,,Turnover by M. Gortat (lost ball)
10:16.0,J. Valanciunas misses 2-pt shot from 7 ft,,2-2,,
10:15.0,,,2-2,,Defensive rebound by M. Gortat
10:12.0,,,2-2,,Shooting foul by K. Lowry (drawn by J. Wall)
10:12.0,,,2-3,1,J. Wall makes free throw 1 of 2
10:12.0,,,2-4,1,J. Wall makes free throw 2 of 2
9:59.0,,,2-4,,Personal foul by N. Hilario (drawn by K. Lowry)
9:47.0,K. Lowry misses 3-pt shot from 24 ft,,2-4,,
9:46.0,,,2-4,,Defensive rebound by P. Pierce
9:42.0,,,2-4,,Shooting foul by A. Johnson (drawn by N. Hilario)
9:42.0,,,2-5,1,N. Hilario makes free throw 1 of 2
9:42.0,,,2-5,,N. Hilario misses free throw 2 of 2
9:40.0,,,2-5,,Offensive rebound by M. Gortat
9:35.0,,,2-5,,P. Pierce misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by Team,,2-5,,
9:34.0,,,2-5,,Loose ball foul by M. Gortat (drawn by A. Johnson)
9:22.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by T. Ross),2,4-5,,
8:59.0,,,4-5,,Turnover by N. Hilario (step out of bounds)
8:52.0,Turnover by K. Lowry (lost ball; steal by M. Gortat),,4-5,,
8:50.0,,,4-5,,Shooting foul by D. DeRozan (drawn by N. Hilario)
8:50.0,,,4-6,1,N. Hilario makes free throw 1 of 2
8:50.0,,,4-6,,N. Hilario misses free throw 2 of 2
8:48.0,Defensive rebound by J. Valanciunas,,4-6,,
8:35.0,T. Ross misses 3-pt shot from 25 ft,,4-6,,
8:34.0,,,4-6,,Defensive rebound by J. Wall
8:12.0,,,4-9,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
7:51.0,A. Johnson misses 2-pt shot from 5 ft,,4-9,,
7:51.0,,,4-9,,Defensive rebound by Team
7:38.0,,,4-9,,Turnover by B. Beal (lost ball; steal by D. DeRozan)
7:32.0,T. Ross makes 3-pt shot from 26 ft (assist by D. DeRozan),3,7-9,,
7:14.0,,,7-11,2,N. Hilario makes 2-pt shot from 19 ft (assist by P. Pierce)
6:59.0,T. Ross misses 3-pt shot from 26 ft,,7-11,,
6:58.0,,,7-11,,Defensive rebound by J. Wall
6:53.0,,,7-11,,J. Wall misses 2-pt shot from 20 ft
6:50.0,Defensive rebound by J. Valanciunas,,7-11,,
6:35.0,J. Valanciunas misses 2-pt shot from 7 ft,,7-11,,
6:34.0,,,7-11,,Defensive rebound by M. Gortat
6:31.0,,,7-11,,Shooting foul by K. Lowry (drawn by J. Wall)
6:31.0,,,7-12,1,J. Wall makes free throw 1 of 2
6:31.0,,,7-13,1,J. Wall makes free throw 2 of 2
6:27.0,Toronto full timeout,,7-13,,
6:27.0,Technical foul by K. Lowry,,7-13,,
6:27.0,,,7-14,1,J. Wall makes technical free throw
6:20.0,,,7-14,,Def 3 sec tech foul by N. Hilario
6:20.0,D. DeRozan makes technical free throw,1,8-14,,
6:15.0,Turnover by A. Johnson (bad pass; steal by P. Pierce),,8-14,,
6:12.0,Violation by D. DeRozan (def goaltending),,8-14,,
6:12.0,,,8-16,2,P. Pierce makes 2-pt shot from 1 ft
6:01.0,Turnover by D. DeRozan (step out of bounds),,8-16,,
5:42.0,,,8-18,2,N. Hilario makes 2-pt shot from 20 ft (assist by M. Gortat)
5:24.0,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan),2,10-18,,
5:06.0,,,10-18,,Shooting foul by K. Lowry (drawn by B. Beal)
5:06.0,,,10-19,1,B. Beal makes free throw 1 of 2
5:06.0,,,10-19,,D. Gooden enters the game for N. Hilario
5:06.0,L. Williams enters the game for T. Ross,,10-19,,
5:06.0,G. Vasquez enters the game for A. Johnson,,10-19,,
5:06.0,P. Patterson enters the game for K. Lowry,,10-19,,
5:06.0,,,10-20,1,B. Beal makes free throw 2 of 2
4:50.0,D. DeRozan makes 2-pt shot from 18 ft,2,12-20,,
4:44.0,,,12-20,,Offensive foul by J. Wall
4:44.0,,,12-20,,Turnover by J. Wall (offensive foul)
4:28.0,G. Vasquez misses 2-pt shot from 3 ft,,12-20,,
4:26.0,,,12-20,,Defensive rebound by M. Gortat
4:14.0,,,12-20,,Shooting foul by J. Valanciunas (drawn by M. Gortat)
4:14.0,,,12-21,1,M. Gortat makes free throw 1 of 2
4:14.0,,,12-22,1,M. Gortat makes free throw 2 of 2
4:02.0,P. Patterson makes 2-pt shot from 18 ft,2,14-22,,
3:45.0,,,14-25,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
3:29.0,D. DeRozan makes 2-pt shot from 17 ft,2,16-25,,
3:16.0,,,16-27,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
3:07.0,L. Williams misses 2-pt shot from 1 ft,,16-27,,
3:05.0,Offensive rebound by J. Valanciunas,,16-27,,
3:04.0,J. Valanciunas makes 2-pt shot from 1 ft,2,18-27,,
2:58.0,,,18-30,3,P. Pierce makes 3-pt shot from 23 ft (assist by J. Wall)
2:46.0,Toronto full timeout,,18-30,,
2:46.0,,,18-30,,Washington full timeout
2:46.0,,,18-30,,R. Sessions enters the game for B. Beal
2:46.0,,,18-30,,O. Porter enters the game for P. Pierce
2:46.0,T. Hansbrough enters the game for J. Valanciunas,,18-30,,
2:33.0,D. DeRozan misses 2-pt shot from 20 ft,,18-30,,
2:32.0,,,18-30,,Defensive rebound by J. Wall
2:29.0,Personal foul by G. Vasquez (drawn by J. Wall),,18-30,,
2:29.0,,,18-31,1,J. Wall makes free throw 1 of 2
2:29.0,,,18-32,1,J. Wall makes free throw 2 of 2
2:08.0,G. Vasquez misses 2-pt shot from 3 ft,,18-32,,
2:07.0,Offensive rebound by P. Patterson,,18-32,,
2:05.0,P. Patterson misses 2-pt shot from 2 ft (block by M. Gortat),,18-32,,
2:05.0,,,18-32,,Defensive rebound by R. Sessions
2:05.0,,,18-32,,Turnover by R. Sessions (step out of bounds)
1:51.0,L. Williams makes 2-pt shot from 19 ft,2,20-32,,
1:33.0,,,20-34,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
1:23.0,T. Hansbrough misses 2-pt shot from 2 ft (block by O. Porter),,20-34,,
1:23.0,Offensive rebound by Team,,20-34,,
1:17.0,G. Vasquez misses 3-pt shot from 28 ft,,20-34,,
1:16.0,,,20-34,,Defensive rebound by M. Gortat
1:09.0,,,20-34,,J. Wall misses 3-pt shot from 27 ft
1:08.0,Defensive rebound by T. Hansbrough,,20-34,,
1:02.0,,,20-34,,Personal foul by R. Sessions (drawn by L. Williams)
0:55.0,Offensive foul by D. DeRozan,,20-34,,
0:55.0,Turnover by D. DeRozan (offensive foul),,20-34,,
0:37.0,,,20-34,,O. Porter misses 2-pt shot from 4 ft
0:36.0,,,20-34,,Offensive rebound by M. Gortat
0:35.0,,,20-36,2,M. Gortat makes 2-pt shot from 1 ft
0:29.0,G. Vasquez makes 2-pt shot from 3 ft,2,22-36,,
0:05.0,,,22-36,,Turnover by Team (shot clock)
0:05.0,,,22-36,,B. Beal enters the game for J. Wall
0:01.0,L. Williams misses 3-pt shot from 32 ft,,22-36,,
0:00.0,Offensive rebound by Team,,22-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,22-36,,R. Sessions misses 2-pt shot from 16 ft
11:34.0,Defensive rebound by P. Patterson,,22-36,,
11:12.0,L. Williams makes 2-pt shot from 8 ft,2,24-36,,
10:54.0,,,24-38,2,D. Gooden makes 2-pt shot from 2 ft (assist by N. Hilario)
