time,Brooklyn,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. M. Plumlee (J. Johnson gains possession),,,,Jump ball: O. Asik vs. M. Plumlee (J. Johnson gains possession)
11:43.0,D. Williams misses 2-pt shot from 17 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by O. Asik
11:26.0,,,0-0,,Shooting foul by M. Plumlee (drawn by O. Asik)
11:26.0,,,0-1,1,O. Asik makes free throw 1 of 2
11:26.0,,,0-2,1,O. Asik makes free throw 2 of 2
11:06.0,J. Johnson misses 2-pt shot from 9 ft,,0-2,,
11:04.0,Offensive rebound by M. Brown,,0-2,,
11:04.0,M. Brown makes 2-pt shot from 1 ft,2,2-2,,
10:48.0,,,2-4,2,D. Cunningham makes 2-pt shot from 18 ft (assist by E. Gordon)
10:32.0,D. Williams misses 2-pt shot from 19 ft,,2-4,,
10:31.0,,,2-4,,Defensive rebound by Q. Pondexter
10:14.0,,,2-4,,E. Gordon misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by M. Plumlee,,2-4,,
10:05.0,,,2-4,,Personal foul by E. Gordon (drawn by J. Johnson)
9:51.0,M. Plumlee misses 2-pt shot from 1 ft (block by O. Asik),,2-4,,
9:49.0,,,2-4,,Defensive rebound by Q. Pondexter
9:39.0,,,2-4,,E. Gordon misses 2-pt shot from 2 ft
9:36.0,,,2-4,,Offensive rebound by O. Asik
9:36.0,,,2-6,2,O. Asik makes 2-pt shot at rim
9:23.0,A. Anderson misses 3-pt shot from 26 ft,,2-6,,
9:22.0,,,2-6,,Defensive rebound by O. Asik
9:11.0,,,2-8,2,D. Cunningham makes 2-pt shot from 1 ft (assist by T. Evans)
8:59.0,Brooklyn full timeout,,2-8,,
8:47.0,Turnover by M. Brown (bad pass; steal by E. Gordon),,2-8,,
8:43.0,,,2-8,,E. Gordon misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by D. Williams,,2-8,,
8:35.0,J. Johnson makes 2-pt shot from 15 ft (assist by A. Anderson),2,4-8,,
8:19.0,,,4-8,,Turnover by O. Asik (traveling)
8:06.0,M. Brown misses 2-pt shot from 14 ft,,4-8,,
8:05.0,Offensive rebound by Team,,4-8,,
7:58.0,A. Anderson misses 3-pt shot from 23 ft,,4-8,,
7:57.0,,,4-8,,Defensive rebound by E. Gordon
7:49.0,,,4-8,,Q. Pondexter misses 3-pt shot from 24 ft
7:48.0,,,4-8,,Offensive rebound by O. Asik
7:44.0,,,4-8,,Turnover by E. Gordon (bad pass; steal by J. Johnson)
7:36.0,Turnover by J. Johnson (bad pass; steal by D. Cunningham),,4-8,,
7:34.0,,,4-10,2,Q. Pondexter makes 2-pt shot from 2 ft
7:34.0,,,4-10,,Shooting foul by D. Williams (drawn by Q. Pondexter)
7:34.0,B. Lopez enters the game for M. Plumlee,,4-10,,
7:34.0,,,4-11,1,Q. Pondexter makes free throw 1 of 1
7:12.0,J. Johnson misses 2-pt shot from 15 ft,,4-11,,
7:11.0,,,4-11,,Defensive rebound by Q. Pondexter
6:57.0,,,4-14,3,Q. Pondexter makes 3-pt shot from 24 ft (assist by T. Evans)
6:37.0,J. Johnson misses 2-pt shot from 10 ft,,4-14,,
6:36.0,,,4-14,,Defensive rebound by O. Asik
6:28.0,,,4-14,,T. Evans misses 2-pt shot from 1 ft (block by B. Lopez)
6:25.0,Defensive rebound by M. Brown,,4-14,,
6:22.0,M. Brown misses 2-pt shot from 2 ft (block by D. Cunningham),,4-14,,
6:20.0,,,4-14,,Defensive rebound by E. Gordon
6:14.0,,,4-14,,Offensive foul by Q. Pondexter
6:14.0,,,4-14,,Turnover by Q. Pondexter (offensive foul)
6:14.0,J. Jack enters the game for A. Anderson,,4-14,,
5:58.0,B. Lopez misses 2-pt shot from 1 ft,,4-14,,
5:57.0,,,4-14,,Defensive rebound by O. Asik
5:52.0,,,4-14,,E. Gordon misses 3-pt shot from 27 ft
5:51.0,,,4-14,,Offensive rebound by D. Cunningham
5:51.0,,,4-14,,Shooting foul by B. Lopez (drawn by D. Cunningham)
5:51.0,,,4-15,1,D. Cunningham makes free throw 1 of 2
5:51.0,,,4-15,,D. Cunningham misses free throw 2 of 2
5:50.0,Defensive rebound by J. Johnson,,4-15,,
5:40.0,D. Williams misses 2-pt shot from 18 ft,,4-15,,
5:39.0,Offensive rebound by Team,,4-15,,
5:37.0,Turnover by J. Jack (bad pass),,4-15,,
5:17.0,,,4-15,,Turnover by Q. Pondexter (traveling)
5:06.0,J. Jack misses 2-pt shot from 12 ft,,4-15,,
5:05.0,,,4-15,,Defensive rebound by O. Asik
4:44.0,,,4-15,,O. Asik misses 2-pt shot from 2 ft (block by J. Johnson)
4:41.0,Defensive rebound by J. Johnson,,4-15,,
4:37.0,Turnover by M. Brown (lost ball),,4-15,,
4:20.0,,,4-15,,D. Cunningham misses 2-pt shot from 20 ft
4:19.0,Defensive rebound by J. Jack,,4-15,,
4:08.0,J. Jack makes 2-pt shot from 9 ft,2,6-15,,
4:00.0,,,6-15,,New Orleans full timeout
4:00.0,T. Young enters the game for J. Johnson,,6-15,,
