time,Minnesota,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. A. Payne,,,,Jump ball: A. Len vs. A. Payne
11:35.0,A. Payne misses 2-pt shot from 19 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by P. Tucker
11:12.0,,,0-0,,M. Morris misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by K. Martin,,0-0,,
11:01.0,Shooting foul by M. Morris (drawn by A. Payne),,0-0,,
11:01.0,A. Payne makes free throw 1 of 2,1,1-0,,
11:01.0,A. Payne makes free throw 2 of 2,1,2-0,,
10:53.0,,,2-0,,Turnover by M. Morris (bad pass)
10:37.0,Turnover by N. Pekovic (lost ball),,2-0,,
10:18.0,,,2-0,,Turnover by E. Bledsoe (bad pass)
10:04.0,A. Wiggins makes 2-pt shot from 1 ft,2,4-0,,
9:45.0,,,4-0,,Shooting foul by A. Payne (drawn by M. Morris)
9:45.0,,,4-1,1,M. Morris makes free throw 1 of 2
9:45.0,,,4-2,1,M. Morris makes free throw 2 of 2
9:26.0,N. Pekovic misses 2-pt shot from 4 ft,,4-2,,
9:25.0,,,4-2,,Defensive rebound by M. Morris
9:16.0,,,4-5,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by A. Len)
8:52.0,R. Rubio misses 2-pt shot from 14 ft,,4-5,,
8:51.0,,,4-5,,Defensive rebound by M. Morris
8:47.0,,,4-7,2,M. Morris makes 2-pt shot at rim (assist by M. Morris)
8:25.0,A. Payne makes 2-pt shot at rim,2,6-7,,
8:11.0,,,6-9,2,P. Tucker makes 2-pt shot from 19 ft
7:58.0,A. Wiggins misses 2-pt shot from 18 ft,,6-9,,
7:57.0,Offensive rebound by N. Pekovic,,6-9,,
7:55.0,N. Pekovic misses 2-pt shot at rim,,6-9,,
7:54.0,Offensive rebound by A. Wiggins,,6-9,,
7:54.0,A. Wiggins misses 2-pt shot at rim,,6-9,,
7:53.0,,,6-9,,Defensive rebound by A. Len
7:45.0,,,6-9,,A. Len misses 2-pt shot from 17 ft
7:44.0,,,6-9,,Offensive rebound by Team
7:34.0,,,6-11,2,E. Bledsoe makes 2-pt shot at rim
7:31.0,Minnesota full timeout,,6-11,,
7:09.0,A. Payne makes 2-pt shot from 1 ft,2,8-11,,
6:50.0,,,8-11,,Turnover by E. Bledsoe (bad pass; steal by A. Wiggins)
6:46.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,10-11,,
6:30.0,,,10-13,2,M. Morris makes 2-pt shot from 10 ft
6:13.0,R. Rubio misses 2-pt shot at rim,,10-13,,
6:12.0,,,10-13,,Defensive rebound by A. Len
6:06.0,,,10-16,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
5:46.0,N. Pekovic misses 2-pt shot from 11 ft,,10-16,,
5:44.0,Offensive rebound by R. Rubio,,10-16,,
5:40.0,R. Rubio makes 2-pt shot from 20 ft (assist by N. Pekovic),2,12-16,,
5:21.0,,,12-18,2,A. Len makes 2-pt shot from 18 ft (assist by P. Tucker)
5:03.0,A. Payne makes 2-pt shot from 18 ft (assist by R. Rubio),2,14-18,,
4:44.0,,,14-18,,M. Morris misses 2-pt shot from 10 ft
4:43.0,,,14-18,,Offensive rebound by M. Morris
4:32.0,,,14-20,2,M. Morris makes 2-pt shot at rim (assist by M. Morris)
4:15.0,A. Wiggins misses 2-pt shot from 20 ft (block by M. Morris),,14-20,,
4:14.0,Offensive rebound by A. Wiggins,,14-20,,
4:11.0,R. Rubio misses 3-pt shot from 23 ft,,14-20,,
4:11.0,,,14-20,,Defensive rebound by M. Morris
4:08.0,Personal foul by R. Rubio (drawn by E. Bledsoe),,14-20,,
4:08.0,G. Dieng enters the game for N. Pekovic,,14-20,,
4:08.0,G. Neal enters the game for K. Martin,,14-20,,
4:08.0,,,14-20,,M. Thornton enters the game for P. Tucker
4:03.0,,,14-23,3,M. Morris makes 3-pt shot from 24 ft (assist by M. Morris)
3:45.0,R. Rubio misses 3-pt shot from 24 ft,,14-23,,
3:44.0,,,14-23,,Defensive rebound by A. Len
3:35.0,,,14-23,,Offensive foul by M. Morris
3:35.0,,,14-23,,Turnover by M. Morris (offensive foul)
3:35.0,,,14-23,,Violation by Team (delay of game)
3:35.0,,,14-23,,B. Wright enters the game for A. Len
3:13.0,G. Neal misses 2-pt shot from 4 ft,,14-23,,
3:12.0,Offensive rebound by R. Rubio,,14-23,,
3:04.0,A. Payne misses 2-pt shot from 19 ft,,14-23,,
3:03.0,Offensive rebound by G. Dieng,,14-23,,
2:57.0,A. Payne misses 2-pt shot from 20 ft,,14-23,,
2:56.0,,,14-23,,Defensive rebound by Team
2:54.0,,,14-23,,Phoenix full timeout
2:41.0,,,14-23,,M. Thornton misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by A. Wiggins,,14-23,,
2:21.0,R. Rubio misses 3-pt shot from 24 ft,,14-23,,
2:20.0,,,14-23,,Defensive rebound by M. Morris
2:11.0,,,14-25,2,B. Wright makes 2-pt shot from 1 ft (assist by E. Bledsoe)
1:57.0,G. Neal misses 2-pt shot from 21 ft,,14-25,,
1:56.0,,,14-25,,Defensive rebound by E. Bledsoe
1:40.0,,,14-25,,M. Morris misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by A. Payne,,14-25,,
1:33.0,A. Wiggins makes 2-pt shot from 4 ft,2,16-25,,
1:19.0,,,16-25,,M. Morris misses 3-pt shot from 23 ft
1:18.0,Defensive rebound by G. Neal,,16-25,,
1:09.0,G. Dieng makes 2-pt shot from 14 ft (assist by A. Wiggins),2,18-25,,
0:49.0,Personal foul by R. Rubio (drawn by B. Wright),,18-25,,
0:45.0,,,18-25,,A. Goodwin enters the game for E. Bledsoe
0:41.0,Z. LaVine enters the game for R. Rubio,,18-25,,
0:36.0,,,18-25,,M. Morris misses 2-pt shot from 14 ft
0:35.0,Defensive rebound by G. Neal,,18-25,,
0:30.0,G. Neal misses 2-pt shot from 14 ft,,18-25,,
0:29.0,,,18-25,,Defensive rebound by Team
0:05.0,,,18-25,,B. Wright misses 2-pt shot from 14 ft
0:04.0,,,18-25,,Offensive rebound by M. Morris
0:00.0,,,18-25,,M. Morris misses 3-pt shot from 24 ft
0:00.0,,,18-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,18-27,2,M. Thornton makes 2-pt shot from 4 ft (assist by P. Tucker)
11:25.0,C. Budinger makes 2-pt shot from 15 ft (assist by A. Payne),2,20-27,,
11:07.0,,,20-27,,P. Tucker misses 3-pt shot from 23 ft
11:06.0,,,20-27,,Offensive rebound by M. Thornton
11:04.0,,,20-29,2,M. Thornton makes 2-pt shot from 1 ft
10:55.0,,,20-29,,Personal foul by A. Goodwin (drawn by G. Dieng)
10:47.0,G. Neal makes 2-pt shot from 2 ft,2,22-29,,
10:23.0,,,22-29,,B. Wright misses 2-pt shot from 4 ft
10:22.0,,,22-29,,Offensive rebound by A. Goodwin
10:22.0,,,22-29,,A. Goodwin misses 2-pt shot at rim
10:19.0,Defensive rebound by A. Payne,,22-29,,
10:14.0,Z. LaVine misses 2-pt shot from 1 ft,,22-29,,
10:12.0,Offensive rebound by Z. LaVine,,22-29,,
10:12.0,Z. LaVine makes 2-pt shot at rim,2,24-29,,
9:55.0,,,24-29,,Shooting foul by G. Neal (drawn by M. Thornton)
9:55.0,,,24-31,2,M. Thornton makes 2-pt shot from 9 ft (assist by B. Wright)
9:55.0,,,24-32,1,M. Thornton makes free throw 1 of 1
9:44.0,C. Budinger misses 3-pt shot from 25 ft,,24-32,,
9:43.0,,,24-32,,Defensive rebound by B. Wright
9:29.0,,,24-32,,A. Goodwin misses 2-pt shot from 2 ft
9:28.0,,,24-32,,Offensive rebound by B. Wright
9:28.0,,,24-34,2,B. Wright makes 2-pt shot at rim
9:21.0,Shooting foul by B. Wright (drawn by Z. LaVine),,24-34,,
9:21.0,Z. LaVine makes free throw 1 of 2,1,25-34,,
9:21.0,J. Hamilton enters the game for A. Payne,,25-34,,
9:21.0,,,25-34,,A. Len enters the game for M. Morris
9:21.0,Z. LaVine makes free throw 2 of 2,1,26-34,,
9:03.0,,,26-34,,M. Thornton misses 3-pt shot from 22 ft
9:02.0,,,26-34,,Offensive rebound by A. Len
8:42.0,,,26-36,2,B. Wright makes 2-pt shot from 3 ft (assist by A. Goodwin)
8:33.0,G. Dieng makes 2-pt shot from 6 ft (assist by Z. LaVine),2,28-36,,
8:13.0,,,28-36,,Turnover by A. Goodwin (bad pass)
8:13.0,Official timeout,,28-36,,
8:03.0,Z. LaVine misses 2-pt shot from 6 ft,,28-36,,
8:02.0,Offensive rebound by G. Dieng,,28-36,,
7:51.0,G. Dieng makes 2-pt shot from 2 ft,2,30-36,,
7:34.0,,,30-36,,Turnover by M. Thornton (bad pass; steal by G. Neal)
7:15.0,C. Budinger misses 2-pt shot from 19 ft,,30-36,,
7:14.0,Offensive rebound by C. Budinger,,30-36,,
7:09.0,C. Budinger makes 2-pt shot from 1 ft,2,32-36,,
6:42.0,,,32-36,,Turnover by Team (shot clock)
6:42.0,K. Martin enters the game for G. Neal,,32-36,,
6:42.0,,,32-36,,E. Bledsoe enters the game for A. Goodwin
6:42.0,,,32-36,,T. Warren enters the game for M. Thornton
6:31.0,J. Hamilton misses 3-pt shot from 25 ft,,32-36,,
6:30.0,,,32-36,,Defensive rebound by A. Len
6:21.0,Personal foul by C. Budinger (drawn by E. Bledsoe),,32-36,,
6:09.0,,,32-36,,P. Tucker misses 2-pt shot from 19 ft
6:08.0,Defensive rebound by G. Dieng,,32-36,,
5:54.0,J. Hamilton misses 2-pt shot from 3 ft,,32-36,,
5:52.0,,,32-36,,Defensive rebound by P. Tucker
5:36.0,,,32-36,,P. Tucker misses 2-pt shot from 1 ft
5:35.0,,,32-36,,Offensive rebound by T. Warren
5:33.0,,,32-36,,T. Warren misses 2-pt shot from 7 ft
5:33.0,Defensive rebound by Team,,32-36,,
5:33.0,,,32-36,,Loose ball foul by A. Len (drawn by J. Hamilton)
5:33.0,,,32-36,,Phoenix full timeout
5:33.0,,,32-36,,M. Morris enters the game for B. Wright
5:21.0,Z. LaVine misses 2-pt shot from 12 ft,,32-36,,
5:20.0,,,32-36,,Defensive rebound by Team
4:54.0,,,32-36,,M. Morris misses 2-pt shot from 15 ft
4:53.0,Defensive rebound by K. Martin,,32-36,,
4:43.0,C. Budinger makes 2-pt shot from 3 ft,2,34-36,,
4:27.0,,,34-38,2,P. Tucker makes 2-pt shot from 16 ft (assist by M. Morris)
4:13.0,Offensive foul by K. Martin,,34-38,,
4:13.0,Turnover by K. Martin (offensive foul),,34-38,,
4:04.0,,,34-38,,E. Bledsoe misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by J. Hamilton,,34-38,,
3:53.0,Shooting foul by A. Len (drawn by G. Dieng),,34-38,,
3:53.0,G. Dieng makes free throw 1 of 2,1,35-38,,
3:53.0,G. Dieng makes free throw 2 of 2,1,36-38,,
3:35.0,,,36-38,,T. Warren misses 3-pt shot from 22 ft
3:34.0,Defensive rebound by G. Dieng,,36-38,,
3:27.0,C. Budinger makes 2-pt shot at rim (assist by K. Martin),2,38-38,,
3:07.0,,,38-40,2,T. Warren makes 2-pt shot from 3 ft (assist by E. Bledsoe)
2:53.0,K. Martin makes 2-pt shot from 21 ft (assist by G. Dieng),2,40-40,,
2:41.0,,,40-40,,E. Bledsoe misses 2-pt shot from 2 ft (block by J. Hamilton)
2:41.0,,,40-40,,Offensive rebound by Team
2:41.0,Minnesota full timeout,,40-40,,
2:41.0,,,40-40,,M. Morris enters the game for A. Len
2:30.0,,,40-42,2,M. Morris makes 2-pt shot from 19 ft (assist by E. Bledsoe)
2:11.0,Shooting foul by P. Tucker (drawn by K. Martin),,40-42,,
2:11.0,K. Martin makes free throw 1 of 2,1,41-42,,
2:11.0,K. Martin makes free throw 2 of 2,1,42-42,,
2:01.0,,,42-42,,M. Morris misses 2-pt shot from 2 ft
2:00.0,,,42-42,,Offensive rebound by T. Warren
2:00.0,,,42-44,2,T. Warren makes 2-pt shot from 1 ft
1:45.0,Z. LaVine misses 2-pt shot from 7 ft,,42-44,,
1:44.0,,,42-44,,Defensive rebound by T. Warren
1:33.0,,,42-44,,M. Morris misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by Team,,42-44,,
1:15.0,K. Martin makes 2-pt shot from 9 ft,2,44-44,,
0:56.0,,,44-44,,M. Morris misses 2-pt shot from 16 ft
0:55.0,,,44-44,,Offensive rebound by M. Morris
0:51.0,Violation by J. Hamilton (def goaltending),,44-44,,
0:51.0,,,44-46,2,T. Warren makes 2-pt shot from 1 ft
0:40.0,K. Martin misses 2-pt shot from 4 ft,,44-46,,
0:39.0,,,44-46,,Defensive rebound by P. Tucker
0:30.0,,,44-48,2,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe)
0:21.0,Minnesota full timeout,,44-48,,
0:21.0,G. Neal enters the game for J. Hamilton,,44-48,,
0:19.0,Turnover by G. Neal (bad pass; steal by M. Morris),,44-48,,
0:15.0,,,44-50,2,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe)
0:15.0,,,44-50,,Shooting foul by G. Dieng (drawn by T. Warren)
0:15.0,,,44-50,,T. Warren misses free throw 1 of 1
0:15.0,Defensive rebound by C. Budinger,,44-50,,
0:03.0,K. Martin misses 2-pt shot from 20 ft,,44-50,,
0:02.0,,,44-50,,Defensive rebound by M. Morris
0:00.0,,,44-50,,M. Morris misses 3-pt shot from 81 ft
0:00.0,,,44-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Personal foul by G. Dieng (drawn by M. Morris),,44-50,,
11:46.0,,,44-51,1,M. Morris makes free throw 1 of 2
11:46.0,,,44-52,1,M. Morris makes free throw 2 of 2
11:40.0,Turnover by A. Payne (bad pass; steal by E. Bledsoe),,44-52,,
11:40.0,,,44-52,,Turnover by E. Bledsoe (bad pass)
11:40.0,J. Hamilton enters the game for A. Payne,,44-52,,
11:40.0,,,44-52,,A. Goodwin enters the game for E. Bledsoe
11:23.0,A. Wiggins misses 2-pt shot from 4 ft (block by M. Morris),,44-52,,
11:21.0,,,44-52,,Defensive rebound by Team
11:12.0,,,44-52,,Offensive foul by A. Len
11:12.0,,,44-52,,Turnover by A. Len (offensive foul)
11:00.0,K. Martin makes 2-pt shot from 8 ft,2,46-52,,
10:45.0,,,46-52,,Turnover by A. Len (lost ball; steal by G. Dieng)
10:38.0,J. Hamilton makes 2-pt shot from 1 ft (assist by R. Rubio),2,48-52,,
10:22.0,,,48-52,,M. Morris misses 3-pt shot from 24 ft
10:21.0,,,48-52,,Offensive rebound by Team
10:21.0,,,48-52,,E. Bledsoe enters the game for A. Goodwin
10:18.0,,,48-54,2,M. Morris makes 2-pt shot from 18 ft (assist by P. Tucker)
9:53.0,J. Hamilton misses 3-pt shot from 23 ft,,48-54,,
9:52.0,,,48-54,,Defensive rebound by E. Bledsoe
9:46.0,,,48-54,,E. Bledsoe misses 2-pt shot from 1 ft
9:46.0,Defensive rebound by G. Dieng,,48-54,,
9:38.0,J. Hamilton misses 2-pt shot from 1 ft,,48-54,,
9:37.0,Offensive rebound by J. Hamilton,,48-54,,
9:37.0,J. Hamilton makes 2-pt shot from 1 ft,2,50-54,,
9:21.0,,,50-54,,Turnover by P. Tucker (discontinued dribble)
9:12.0,J. Hamilton makes 2-pt shot at rim (assist by R. Rubio),2,52-54,,
9:11.0,,,52-54,,Phoenix full timeout
8:43.0,Turnover by J. Hamilton (3 sec),,52-54,,
8:31.0,,,52-54,,P. Tucker misses 2-pt shot from 2 ft
8:30.0,,,52-54,,Offensive rebound by P. Tucker
8:26.0,,,52-56,2,P. Tucker makes 2-pt shot from 1 ft
8:15.0,Shooting foul by P. Tucker (drawn by K. Martin),,52-56,,
8:15.0,,,52-56,,Technical foul by P. Tucker (drawn by K. Martin)
8:15.0,K. Martin makes technical free throw,1,53-56,,
8:15.0,K. Martin makes free throw 1 of 2,1,54-56,,
8:15.0,K. Martin makes free throw 2 of 2,1,55-56,,
8:04.0,,,55-56,,E. Bledsoe misses 2-pt shot from 1 ft
8:04.0,Defensive rebound by R. Rubio,,55-56,,
8:04.0,,,55-56,,Loose ball foul by A. Len (drawn by R. Rubio)
8:04.0,,,55-56,,B. Wright enters the game for A. Len
7:51.0,Shooting foul by M. Morris (drawn by G. Dieng),,55-56,,
7:51.0,G. Dieng makes free throw 1 of 2,1,56-56,,
7:51.0,G. Dieng makes free throw 2 of 2,1,57-56,,
7:39.0,,,57-56,,B. Wright misses 2-pt shot from 12 ft
7:38.0,,,57-56,,Offensive rebound by P. Tucker
7:36.0,,,57-58,2,P. Tucker makes 2-pt shot from 1 ft
7:21.0,J. Hamilton misses 3-pt shot from 24 ft,,57-58,,
7:20.0,Offensive rebound by A. Wiggins,,57-58,,
7:15.0,K. Martin misses 3-pt shot from 24 ft,,57-58,,
7:15.0,,,57-58,,Defensive rebound by M. Morris
7:04.0,,,57-61,3,P. Tucker makes 3-pt shot from 23 ft (assist by M. Morris)
7:01.0,Minnesota full timeout,,57-61,,
6:38.0,K. Martin makes 2-pt shot from 15 ft (assist by G. Dieng),2,59-61,,
6:17.0,,,59-61,,B. Wright misses 2-pt shot from 2 ft
6:16.0,,,59-61,,Offensive rebound by M. Morris
6:06.0,,,59-61,,E. Bledsoe misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by G. Dieng,,59-61,,
5:59.0,R. Rubio makes 2-pt shot from 16 ft,2,61-61,,
5:34.0,,,61-61,,E. Bledsoe misses 3-pt shot from 23 ft
5:33.0,Defensive rebound by R. Rubio,,61-61,,
5:28.0,Turnover by R. Rubio (bad pass; steal by P. Tucker),,61-61,,
5:22.0,,,61-63,2,E. Bledsoe makes 2-pt shot from 18 ft
5:03.0,J. Hamilton makes 2-pt shot from 4 ft (assist by G. Dieng),2,63-63,,
4:43.0,,,63-65,2,E. Bledsoe makes 2-pt shot from 15 ft
4:24.0,,,63-65,,Violation by E. Bledsoe (kicked ball)
4:24.0,A. Payne enters the game for K. Martin,,63-65,,
4:24.0,G. Neal enters the game for J. Hamilton,,63-65,,
4:24.0,,,63-65,,M. Thornton enters the game for P. Tucker
4:15.0,,,63-65,,Violation by M. Thornton (kicked ball)
4:10.0,R. Rubio makes 2-pt shot from 21 ft (assist by G. Dieng),2,65-65,,
3:53.0,,,65-68,3,E. Bledsoe makes 3-pt shot from 24 ft
3:41.0,G. Dieng misses 2-pt shot from 10 ft,,65-68,,
3:40.0,,,65-68,,Defensive rebound by M. Morris
3:37.0,Personal foul by R. Rubio (drawn by E. Bledsoe),,65-68,,
3:30.0,Personal foul by A. Wiggins (drawn by M. Morris),,65-68,,
3:24.0,,,65-70,2,M. Thornton makes 2-pt shot from 17 ft (assist by M. Morris)
3:05.0,R. Rubio misses 2-pt shot from 20 ft,,65-70,,
