time,Sacramento,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Jefferson (C. Landry gains possession),,,,Jump ball: D. Cousins vs. A. Jefferson (C. Landry gains possession)
11:40.0,D. Cousins makes 2-pt shot from 9 ft,2,2-0,,
11:26.0,,,2-0,,M. Williams misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by R. Gay,,2-0,,
11:16.0,D. Cousins makes 2-pt shot from 14 ft (assist by R. McCallum),2,4-0,,
10:59.0,,,4-0,,A. Jefferson misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by D. Cousins,,4-0,,
10:50.0,D. Cousins misses 3-pt shot from 25 ft,,4-0,,
10:50.0,,,4-0,,Defensive rebound by Team
10:32.0,,,4-0,,A. Jefferson misses 2-pt shot from 4 ft
10:31.0,Defensive rebound by D. Cousins,,4-0,,
10:19.0,R. Gay makes 2-pt shot from 8 ft,2,6-0,,
10:07.0,,,6-0,,Turnover by M. Williams (bad pass)
9:52.0,B. McLemore makes 2-pt shot from 1 ft (assist by C. Landry),2,8-0,,
9:31.0,,,8-2,2,M. Williams makes 2-pt shot from 1 ft (assist by M. Williams)
9:08.0,R. Gay misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,8-2,,
9:05.0,Offensive rebound by C. Landry,,8-2,,
9:05.0,Shooting foul by M. Kidd-Gilchrist (drawn by C. Landry),,8-2,,
9:05.0,C. Landry makes free throw 1 of 2,1,9-2,,
9:05.0,C. Landry makes free throw 2 of 2,1,10-2,,
8:56.0,,,10-4,2,M. Williams makes 2-pt shot from 1 ft
8:46.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins),3,13-4,,
8:39.0,,,13-4,,Charlotte full timeout
8:33.0,,,13-4,,Shooting foul by B. McLemore (drawn by A. Jefferson)
8:33.0,,,13-4,,A. Jefferson misses free throw 1 of 2
8:33.0,,,13-4,,Offensive rebound by Team
8:33.0,,,13-5,1,A. Jefferson makes free throw 2 of 2
8:13.0,R. Gay misses 2-pt shot from 8 ft,,13-5,,
8:12.0,,,13-5,,Defensive rebound by M. Kidd-Gilchrist
8:04.0,,,13-7,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
7:43.0,D. Cousins misses 2-pt shot at rim (block by M. Williams),,13-7,,
7:43.0,Offensive rebound by Team,,13-7,,
7:37.0,D. Cousins misses 3-pt shot from 31 ft,,13-7,,
7:37.0,Offensive rebound by Team,,13-7,,
7:37.0,Turnover by Team (shot clock),,13-7,,
7:28.0,,,13-7,,M. Williams misses 3-pt shot from 25 ft
7:26.0,,,13-7,,Offensive rebound by G. Henderson
