time,Toronto,pts.away,score,pts.home,New Orleans
1:16.0,,,95-96,,New Orleans full timeout
1:16.0,,,95-96,,L. Babbitt enters the game for D. Cunningham
1:16.0,,,95-96,,A. Ajinca enters the game for O. Asik
1:02.0,,,95-96,,L. Babbitt misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by Team,,95-96,,
1:01.0,,,95-96,,Loose ball foul by A. Ajinca (drawn by K. Lowry)
1:01.0,K. Lowry makes free throw 1 of 2,1,96-96,,
1:01.0,,,96-96,,O. Asik enters the game for L. Babbitt
1:01.0,J. Valanciunas enters the game for L. Williams,,96-96,,
1:01.0,K. Lowry makes free throw 2 of 2,1,97-96,,
1:01.0,,,97-96,,New Orleans full timeout
1:01.0,,,97-96,,L. Babbitt enters the game for O. Asik
0:51.0,,,97-98,2,A. Ajinca makes 2-pt shot from 2 ft (assist by T. Evans)
0:40.0,K. Lowry misses 2-pt shot from 14 ft,,97-98,,
0:39.0,,,97-98,,Defensive rebound by E. Gordon
0:17.0,,,97-98,,T. Evans misses 2-pt shot from 18 ft
0:16.0,Defensive rebound by J. Johnson,,97-98,,
0:16.0,Toronto full timeout,,97-98,,
0:16.0,G. Vasquez enters the game for J. Johnson,,97-98,,
0:16.0,,,97-98,,D. Cunningham enters the game for T. Evans
0:16.0,,,97-98,,O. Asik enters the game for A. Ajinca
0:16.0,,,97-98,,Q. Pondexter enters the game for L. Babbitt
0:16.0,L. Williams enters the game for J. Valanciunas,,97-98,,
0:07.0,K. Lowry misses 2-pt shot from 2 ft (block by O. Asik),,97-98,,
0:06.0,,,97-98,,Defensive rebound by O. Asik
0:06.0,Personal take foul by K. Lowry (drawn by O. Asik),,97-98,,
0:06.0,,,97-98,,L. Babbitt enters the game for D. Cunningham
0:06.0,,,97-98,,T. Evans enters the game for O. Asik
0:06.0,,,97-98,,J. Fredette enters the game for Q. Pondexter
0:06.0,T. Ross enters the game for G. Vasquez,,97-98,,
0:06.0,J. Johnson enters the game for L. Williams,,97-98,,
0:05.0,Personal take foul by T. Ross (drawn by J. Fredette),,97-98,,
0:05.0,,,97-99,1,J. Fredette makes free throw 1 of 2
0:05.0,L. Williams enters the game for J. Johnson,,97-99,,
0:05.0,,,97-100,1,J. Fredette makes free throw 2 of 2
0:00.0,K. Lowry misses 3-pt shot from 26 ft,,97-100,,
0:00.0,Offensive rebound by Team,,97-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
