time,Toronto,pts.away,score,pts.home,New Orleans
1:35.0,J. Valanciunas makes free throw 2 of 2,1,23-15,,
1:22.0,,,23-17,2,A. Ajinca makes 2-pt shot from 10 ft
1:09.0,L. Williams makes 3-pt shot from 25 ft,3,26-17,,
0:54.0,,,26-17,,N. Cole misses 2-pt shot from 19 ft
0:53.0,,,26-17,,Offensive rebound by A. Ajinca
0:52.0,,,26-17,,A. Ajinca misses 2-pt shot from 2 ft (block by J. Valanciunas)
0:52.0,,,26-17,,Offensive rebound by Team
0:40.0,,,26-17,,A. Ajinca misses 2-pt shot from 13 ft
0:39.0,Defensive rebound by T. Ross,,26-17,,
0:34.0,Shooting foul by N. Cole (drawn by L. Williams),,26-17,,
0:34.0,L. Williams makes free throw 1 of 2,1,27-17,,
0:34.0,,,27-17,,E. Gordon enters the game for Q. Pondexter
0:34.0,L. Williams makes free throw 2 of 2,1,28-17,,
0:12.0,,,28-17,,E. Gordon misses 2-pt shot from 2 ft
0:11.0,,,28-17,,Offensive rebound by J. Withey
0:09.0,,,28-17,,J. Withey misses 2-pt shot from 1 ft
0:08.0,Defensive rebound by T. Hansbrough,,28-17,,
0:01.0,L. Williams misses 3-pt shot from 26 ft,,28-17,,
0:00.0,Offensive rebound by T. Hansbrough,,28-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,28-19,2,A. Ajinca makes 2-pt shot from 11 ft
11:27.0,G. Vasquez makes 2-pt shot from 14 ft (assist by L. Williams),2,30-19,,
11:10.0,,,30-21,2,A. Ajinca makes 2-pt shot from 3 ft (assist by N. Cole)
10:55.0,A. Johnson makes 2-pt shot from 8 ft (assist by G. Vasquez),2,32-21,,
10:31.0,,,32-21,,A. Ajinca misses 2-pt shot from 12 ft
10:30.0,Defensive rebound by G. Vasquez,,32-21,,
10:13.0,A. Johnson makes 2-pt shot from 11 ft (assist by G. Vasquez),2,34-21,,
9:51.0,,,34-21,,N. Cole misses 2-pt shot from 8 ft
9:50.0,Defensive rebound by L. Williams,,34-21,,
9:30.0,Turnover by L. Williams (bad pass; steal by E. Gordon),,34-21,,
9:23.0,,,34-23,2,J. Withey makes 2-pt shot at rim (assist by L. Babbitt)
9:04.0,A. Johnson misses 2-pt shot from 6 ft,,34-23,,
9:02.0,,,34-23,,Defensive rebound by L. Babbitt
8:43.0,,,34-25,2,J. Withey makes 2-pt shot from 13 ft (assist by A. Ajinca)
8:23.0,Shooting foul by A. Ajinca (drawn by G. Vasquez),,34-25,,
8:23.0,Official timeout,,34-25,,
8:23.0,,,34-25,,T. Evans enters the game for N. Cole
8:23.0,,,34-25,,D. Cunningham enters the game for J. Withey
8:23.0,G. Vasquez makes free throw 1 of 2,1,35-25,,
8:23.0,G. Vasquez makes free throw 2 of 2,1,36-25,,
8:20.0,,,36-25,,Turnover by D. Cunningham (bad pass)
8:20.0,J. Johnson enters the game for T. Hansbrough,,36-25,,
8:06.0,T. Ross misses 2-pt shot from 18 ft,,36-25,,
8:04.0,,,36-25,,Defensive rebound by E. Gordon
7:44.0,,,36-27,2,L. Babbitt makes 2-pt shot from 9 ft
7:24.0,L. Williams misses 2-pt shot from 2 ft,,36-27,,
7:23.0,Offensive rebound by A. Johnson,,36-27,,
7:23.0,A. Johnson makes 2-pt shot from 1 ft,2,38-27,,
7:06.0,,,38-27,,E. Gordon misses 3-pt shot from 25 ft
7:05.0,,,38-27,,Offensive rebound by A. Ajinca
7:01.0,,,38-29,2,A. Ajinca makes 2-pt shot from 8 ft
6:41.0,A. Johnson misses 2-pt shot from 2 ft,,38-29,,
6:40.0,,,38-29,,Defensive rebound by T. Evans
6:31.0,,,38-29,,E. Gordon misses 2-pt shot at rim
6:30.0,,,38-29,,Offensive rebound by A. Ajinca
6:26.0,,,38-29,,Turnover by A. Ajinca (bad pass; steal by G. Vasquez)
6:20.0,L. Williams misses 3-pt shot from 25 ft,,38-29,,
6:19.0,,,38-29,,Defensive rebound by L. Babbitt
6:04.0,,,38-31,2,A. Ajinca makes 2-pt shot from 7 ft (assist by L. Babbitt)
5:55.0,Toronto full timeout,,38-31,,
5:55.0,,,38-31,,O. Asik enters the game for A. Ajinca
5:55.0,K. Lowry enters the game for A. Johnson,,38-31,,
5:55.0,D. DeRozan enters the game for L. Williams,,38-31,,
5:55.0,J. Valanciunas enters the game for G. Vasquez,,38-31,,
5:39.0,K. Lowry misses 2-pt shot from 21 ft,,38-31,,
5:38.0,,,38-31,,Defensive rebound by D. Cunningham
5:23.0,,,38-31,,Turnover by T. Evans (bad pass; steal by T. Ross)
5:07.0,T. Ross misses 2-pt shot from 21 ft,,38-31,,
5:06.0,Offensive rebound by K. Lowry,,38-31,,
5:06.0,K. Lowry makes 2-pt shot from 1 ft,2,40-31,,
4:50.0,,,40-31,,E. Gordon misses 3-pt shot from 23 ft
4:50.0,Defensive rebound by J. Valanciunas,,40-31,,
4:33.0,J. Valanciunas makes 2-pt shot from 7 ft,2,42-31,,
4:12.0,,,42-31,,D. Cunningham misses 2-pt shot from 20 ft
4:10.0,Defensive rebound by J. Johnson,,42-31,,
4:04.0,T. Ross makes 3-pt shot from 26 ft (assist by J. Johnson),3,45-31,,
4:02.0,,,45-31,,New Orleans full timeout
4:02.0,,,45-31,,Q. Pondexter enters the game for L. Babbitt
3:41.0,,,45-33,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
3:22.0,K. Lowry makes 2-pt shot from 14 ft,2,47-33,,
2:56.0,,,47-33,,Q. Pondexter misses 2-pt shot from 20 ft
2:55.0,Defensive rebound by Team,,47-33,,
2:43.0,D. DeRozan makes 2-pt shot from 16 ft,2,49-33,,
2:20.0,,,49-33,,Q. Pondexter misses 2-pt shot from 1 ft
2:19.0,Defensive rebound by J. Valanciunas,,49-33,,
