time,Utah,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. R. Gobert (D. Favors gains possession),,,,Jump ball: B. Bass vs. R. Gobert (D. Favors gains possession)
11:38.0,D. Favors makes 2-pt shot from 12 ft,2,2-0,,
11:23.0,,,2-0,,A. Bradley misses 2-pt shot from 19 ft
11:22.0,Defensive rebound by D. Favors,,2-0,,
11:00.0,D. Favors misses 2-pt shot from 18 ft,,2-0,,
10:59.0,Offensive rebound by R. Gobert,,2-0,,
10:56.0,R. Gobert misses 2-pt shot at rim (block by T. Zeller),,2-0,,
10:55.0,,,2-0,,Defensive rebound by T. Zeller
10:38.0,,,2-0,,E. Turner misses 2-pt shot from 5 ft
10:37.0,Defensive rebound by R. Gobert,,2-0,,
10:24.0,J. Ingles misses 3-pt shot from 24 ft,,2-0,,
10:22.0,,,2-0,,Defensive rebound by E. Turner
10:11.0,,,2-2,2,B. Bass makes 2-pt shot from 14 ft (assist by E. Turner)
9:54.0,Shooting foul by E. Turner (drawn by G. Hayward),,2-2,,
9:54.0,G. Hayward makes free throw 1 of 2,1,3-2,,
9:54.0,G. Hayward misses free throw 2 of 2,,3-2,,
9:54.0,,,3-2,,Defensive rebound by T. Zeller
9:36.0,,,3-2,,B. Bass misses 2-pt shot from 14 ft
9:35.0,Defensive rebound by R. Gobert,,3-2,,
9:25.0,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors),3,6-2,,
9:03.0,,,6-2,,E. Turner misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by G. Hayward,,6-2,,
8:56.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,8-2,,
8:40.0,,,8-2,,T. Zeller misses 2-pt shot from 7 ft
8:39.0,,,8-2,,Offensive rebound by T. Zeller
8:33.0,,,8-4,2,T. Zeller makes 2-pt shot from 4 ft
8:15.0,D. Exum makes 3-pt shot from 23 ft (assist by G. Hayward),3,11-4,,
7:54.0,,,11-4,,B. Bass misses 2-pt shot from 5 ft (block by D. Favors)
7:53.0,Defensive rebound by D. Favors,,11-4,,
7:49.0,Turnover by G. Hayward (traveling),,11-4,,
7:37.0,,,11-4,,E. Turner misses 2-pt shot from 20 ft
7:36.0,Defensive rebound by G. Hayward,,11-4,,
7:30.0,,,11-4,,Personal foul by M. Smart (drawn by G. Hayward)
7:14.0,G. Hayward misses 3-pt shot from 25 ft,,11-4,,
7:13.0,,,11-4,,Defensive rebound by B. Bass
7:04.0,,,11-4,,B. Bass misses 2-pt shot from 18 ft
7:03.0,Defensive rebound by J. Ingles,,11-4,,
6:53.0,D. Favors misses 2-pt shot from 1 ft,,11-4,,
6:52.0,Offensive rebound by R. Gobert,,11-4,,
6:52.0,R. Gobert misses 2-pt shot at rim,,11-4,,
6:49.0,,,11-4,,Defensive rebound by T. Zeller
6:44.0,,,11-4,,M. Smart misses 2-pt shot at rim
6:44.0,Defensive rebound by Team,,11-4,,
6:44.0,,,11-4,,J. Crowder enters the game for B. Bass
6:28.0,Turnover by D. Favors (3 sec),,11-4,,
6:28.0,,,11-4,,I. Thomas enters the game for M. Smart
6:18.0,,,11-6,2,J. Crowder makes 2-pt shot from 22 ft (assist by I. Thomas)
5:53.0,G. Hayward misses 2-pt shot from 14 ft,,11-6,,
5:52.0,,,11-6,,Defensive rebound by T. Zeller
5:44.0,,,11-8,2,J. Crowder makes 2-pt shot from 15 ft (assist by A. Bradley)
5:44.0,Utah full timeout,,11-8,,
5:20.0,D. Exum misses 3-pt shot from 24 ft,,11-8,,
5:19.0,,,11-8,,Defensive rebound by A. Bradley
5:03.0,,,11-10,2,A. Bradley makes 2-pt shot from 20 ft (assist by J. Crowder)
4:47.0,Turnover by R. Gobert (bad pass; steal by I. Thomas),,11-10,,
4:37.0,,,11-12,2,J. Crowder makes 2-pt shot from 14 ft (assist by I. Thomas)
4:37.0,Shooting block foul by D. Favors (drawn by J. Crowder),,11-12,,
4:37.0,T. Burke enters the game for D. Exum,,11-12,,
4:37.0,,,11-12,,J. Crowder misses free throw 1 of 1
4:37.0,Defensive rebound by R. Gobert,,11-12,,
4:24.0,Turnover by D. Favors (traveling),,11-12,,
4:12.0,T. Booker enters the game for D. Favors,,11-12,,
4:03.0,,,11-12,,T. Zeller misses 2-pt shot at rim
4:02.0,Defensive rebound by T. Booker,,11-12,,
3:43.0,J. Ingles misses 3-pt shot from 25 ft,,11-12,,
3:41.0,,,11-12,,Defensive rebound by I. Thomas
3:32.0,,,11-12,,J. Crowder misses 2-pt shot from 13 ft
3:32.0,Defensive rebound by Team,,11-12,,
3:32.0,,,11-12,,Loose ball foul by T. Zeller (drawn by R. Gobert)
3:32.0,R. Hood enters the game for J. Ingles,,11-12,,
3:10.0,Turnover by R. Gobert (traveling),,11-12,,
3:10.0,,,11-12,,J. Jerebko enters the game for E. Turner
2:57.0,,,11-14,2,T. Zeller makes 2-pt shot from 18 ft (assist by I. Thomas)
2:42.0,R. Hood makes 2-pt shot from 21 ft (assist by T. Booker),2,13-14,,
2:25.0,,,13-14,,A. Bradley misses 2-pt shot from 21 ft
2:24.0,Defensive rebound by R. Gobert,,13-14,,
2:06.0,T. Burke misses 2-pt shot from 3 ft,,13-14,,
2:05.0,Offensive rebound by T. Burke,,13-14,,
2:05.0,T. Burke makes 2-pt shot from 3 ft,2,15-14,,
1:51.0,,,15-14,,J. Crowder misses 3-pt shot from 23 ft
1:50.0,Defensive rebound by T. Booker,,15-14,,
1:35.0,R. Gobert makes 2-pt shot at rim (assist by T. Burke),2,17-14,,
1:35.0,,,17-14,,Boston full timeout
1:35.0,,,17-14,,M. Smart enters the game for T. Zeller
1:35.0,,,17-14,,K. Olynyk enters the game for A. Bradley
1:25.0,,,17-16,2,I. Thomas makes 2-pt shot at rim
