time,Phoenix,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (K. Lowry gains possession)
11:46.0,,,0-0,,Shooting foul by M. Plumlee (drawn by J. Valanciunas)
11:46.0,,,0-1,1,J. Valanciunas makes free throw 1 of 2
11:46.0,,,0-2,1,J. Valanciunas makes free throw 2 of 2
11:32.0,M. Morris makes 2-pt shot from 16 ft (assist by G. Dragic),2,2-2,,
11:16.0,,,2-2,,Turnover by J. Valanciunas (traveling)
10:53.0,G. Dragic misses 2-pt shot from 4 ft,,2-2,,
10:50.0,Offensive rebound by M. Plumlee,,2-2,,
10:47.0,M. Plumlee makes 2-pt shot at rim,2,4-2,,
10:36.0,,,4-2,,T. Ross misses 2-pt shot from 6 ft
10:36.0,,,4-2,,Offensive rebound by Team
10:36.0,Loose ball foul by M. Plumlee (drawn by J. Valanciunas),,4-2,,
10:36.0,A. Len enters the game for M. Plumlee,,4-2,,
10:25.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry)
10:06.0,M. Morris makes 3-pt shot from 22 ft (assist by M. Morris),3,7-4,,
9:54.0,,,7-6,2,D. DeRozan makes 2-pt shot from 1 ft
9:44.0,E. Bledsoe misses 3-pt shot from 24 ft,,7-6,,
9:43.0,,,7-6,,Defensive rebound by A. Johnson
9:28.0,Violation by M. Morris (kicked ball),,7-6,,
9:20.0,,,7-6,,D. DeRozan misses 2-pt shot from 14 ft
9:19.0,,,7-6,,Offensive rebound by Team
9:14.0,,,7-6,,A. Johnson misses 2-pt shot from 18 ft
9:13.0,,,7-6,,Offensive rebound by J. Valanciunas
9:10.0,,,7-8,2,J. Valanciunas makes 2-pt shot from 2 ft
9:01.0,E. Bledsoe misses 2-pt shot from 1 ft,,7-8,,
8:59.0,,,7-8,,Defensive rebound by J. Valanciunas
8:42.0,,,7-8,,T. Ross misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by M. Morris,,7-8,,
8:34.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by G. Dragic),3,10-8,,
8:15.0,,,10-8,,D. DeRozan misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by E. Bledsoe,,10-8,,
8:07.0,M. Morris misses 2-pt shot from 16 ft,,10-8,,
8:06.0,Offensive rebound by E. Bledsoe,,10-8,,
7:57.0,G. Dragic misses 2-pt shot from 13 ft,,10-8,,
7:56.0,,,10-8,,Defensive rebound by D. DeRozan
7:50.0,,,10-8,,T. Ross misses 2-pt shot from 9 ft
7:48.0,Defensive rebound by M. Morris,,10-8,,
7:46.0,,,10-8,,Personal foul by T. Ross (drawn by M. Morris)
7:40.0,M. Morris misses 2-pt shot from 2 ft (block by J. Valanciunas),,10-8,,
7:37.0,,,10-8,,Defensive rebound by D. DeRozan
7:31.0,,,10-8,,T. Ross misses 3-pt shot from 23 ft
7:30.0,Defensive rebound by E. Bledsoe,,10-8,,
7:29.0,,,10-8,,Personal foul by D. DeRozan (drawn by E. Bledsoe)
7:24.0,,,10-8,,Personal foul by A. Johnson (drawn by M. Morris)
7:18.0,A. Len makes 2-pt shot at rim (assist by G. Dragic),2,12-8,,
6:58.0,,,12-10,2,J. Valanciunas makes 2-pt shot at rim
6:34.0,M. Morris makes 2-pt shot from 1 ft,2,14-10,,
6:29.0,,,14-10,,Turnover by A. Johnson (bad pass; steal by E. Bledsoe)
6:25.0,E. Bledsoe makes 3-pt shot from 22 ft,3,17-10,,
6:20.0,,,17-10,,Toronto full timeout
6:20.0,,,17-10,,L. Williams enters the game for T. Ross
6:20.0,,,17-10,,P. Patterson enters the game for A. Johnson
6:12.0,,,17-12,2,K. Lowry makes 2-pt shot from 10 ft
5:59.0,Offensive foul by M. Morris,,17-12,,
5:59.0,Turnover by M. Morris (offensive foul),,17-12,,
5:42.0,,,17-14,2,K. Lowry makes 2-pt shot from 2 ft (assist by P. Patterson)
5:24.0,M. Morris makes 2-pt shot from 9 ft,2,19-14,,
5:09.0,,,19-17,3,L. Williams makes 3-pt shot from 22 ft
4:48.0,E. Bledsoe misses 2-pt shot from 12 ft,,19-17,,
4:47.0,,,19-17,,Defensive rebound by P. Patterson
4:40.0,,,19-17,,Shooting foul by A. Len (drawn by J. Valanciunas)
4:40.0,,,19-18,1,J. Valanciunas makes free throw 1 of 2
4:40.0,,,19-19,1,J. Valanciunas makes free throw 2 of 2
4:25.0,G. Green enters the game for G. Dragic,,19-19,,
4:15.0,M. Morris misses 2-pt shot from 12 ft,,19-19,,
4:14.0,,,19-19,,Defensive rebound by J. Valanciunas
4:01.0,,,19-21,2,D. DeRozan makes 2-pt shot from 12 ft (assist by K. Lowry)
3:31.0,M. Morris misses 3-pt shot from 23 ft,,19-21,,
3:31.0,,,19-21,,Defensive rebound by L. Williams
3:24.0,,,19-21,,L. Williams misses 2-pt shot from 5 ft
3:23.0,Defensive rebound by A. Len,,19-21,,
3:14.0,G. Green misses 3-pt shot from 25 ft,,19-21,,
3:12.0,,,19-21,,Defensive rebound by K. Lowry
3:10.0,P. Tucker enters the game for M. Morris,,19-21,,
3:01.0,,,19-21,,Shooting foul by P. Tucker (drawn by D. DeRozan)
3:01.0,,,19-22,1,D. DeRozan makes free throw 1 of 2
3:01.0,,,19-22,,D. DeRozan misses free throw 2 of 2
3:00.0,Defensive rebound by P. Tucker,,19-22,,
2:48.0,G. Green misses 2-pt shot from 11 ft,,19-22,,
2:47.0,Offensive rebound by M. Morris,,19-22,,
2:43.0,M. Morris misses 2-pt shot from 2 ft,,19-22,,
2:41.0,,,19-22,,Defensive rebound by K. Lowry
2:36.0,,,19-22,,K. Lowry misses 3-pt shot from 23 ft
2:35.0,Defensive rebound by P. Tucker,,19-22,,
2:27.0,E. Bledsoe misses 3-pt shot from 24 ft,,19-22,,
2:25.0,,,19-22,,Defensive rebound by P. Patterson
2:19.0,,,19-24,2,D. DeRozan makes 2-pt shot from 3 ft (assist by P. Patterson)
2:13.0,Phoenix full timeout,,19-24,,
2:13.0,,,19-24,,G. Vasquez enters the game for K. Lowry
2:03.0,G. Green makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,22-24,,
1:44.0,,,22-24,,D. DeRozan misses 2-pt shot from 17 ft
1:43.0,,,22-24,,Offensive rebound by Team
1:43.0,I. Thomas enters the game for E. Bledsoe,,22-24,,
1:36.0,,,22-26,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by P. Patterson)
1:16.0,I. Thomas makes 2-pt shot from 4 ft,2,24-26,,
0:55.0,,,24-26,,G. Vasquez misses 2-pt shot from 17 ft
0:55.0,,,24-26,,Offensive rebound by Team
0:55.0,Loose ball foul by A. Len (drawn by J. Valanciunas),,24-26,,
0:55.0,,,24-27,1,J. Valanciunas makes free throw 1 of 2
0:55.0,,,24-27,,J. Valanciunas misses free throw 2 of 2
0:53.0,Defensive rebound by P. Tucker,,24-27,,
0:30.0,M. Morris makes 2-pt shot from 13 ft,2,26-27,,
0:08.0,,,26-27,,L. Williams misses 2-pt shot from 20 ft
0:07.0,,,26-27,,Offensive rebound by J. Valanciunas
0:06.0,,,26-29,2,J. Valanciunas makes 2-pt shot at rim
0:00.0,M. Morris misses 3-pt shot from 26 ft,,26-29,,
0:00.0,Offensive rebound by Team,,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,I. Thomas misses 2-pt shot from 9 ft,,26-29,,
11:45.0,Offensive rebound by M. Plumlee,,26-29,,
11:40.0,,,26-29,,Personal foul by J. Johnson (drawn by G. Green)
11:27.0,P. Tucker misses 2-pt shot from 4 ft,,26-29,,
11:25.0,,,26-29,,Defensive rebound by J. Johnson
11:13.0,,,26-29,,Shooting foul by M. Plumlee (drawn by L. Williams)
11:13.0,,,26-30,1,L. Williams makes free throw 1 of 2
11:13.0,S. Randolph enters the game for M. Plumlee,,26-30,,
11:13.0,,,26-31,1,L. Williams makes free throw 2 of 2
10:59.0,I. Thomas makes 2-pt shot from 17 ft,2,28-31,,
10:48.0,,,28-31,,G. Vasquez misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by S. Randolph,,28-31,,
10:36.0,G. Green misses 2-pt shot from 16 ft,,28-31,,
10:34.0,Offensive rebound by G. Green,,28-31,,
10:33.0,G. Green makes 2-pt shot from 2 ft,2,30-31,,
10:16.0,,,30-34,3,L. Williams makes 3-pt shot from 24 ft (assist by G. Vasquez)
10:02.0,,,30-34,,Personal block foul by J. Johnson (drawn by G. Green)
9:57.0,G. Green makes 2-pt shot from 18 ft (assist by I. Thomas),2,32-34,,
9:47.0,,,32-36,2,L. Williams makes 2-pt shot from 18 ft
9:39.0,P. Tucker makes 2-pt shot from 3 ft,2,34-36,,
9:29.0,,,34-38,2,C. Hayes makes 2-pt shot from 10 ft (assist by L. Williams)
9:16.0,I. Thomas misses 3-pt shot from 24 ft,,34-38,,
9:15.0,,,34-38,,Defensive rebound by Team
8:57.0,,,34-38,,Turnover by G. Vasquez (bad pass; steal by I. Thomas)
8:55.0,,,34-38,,Personal foul by L. Williams (drawn by I. Thomas)
8:55.0,Official timeout,,34-38,,
8:45.0,A. Tolliver makes 3-pt shot from 24 ft (assist by P. Tucker),3,37-38,,
8:30.0,Personal foul by P. Tucker (drawn by L. Williams),,37-38,,
8:22.0,,,37-40,2,L. Williams makes 2-pt shot from 14 ft
8:06.0,Turnover by G. Green (bad pass; steal by J. Johnson),,37-40,,
8:04.0,Personal foul by G. Green (drawn by G. Vasquez),,37-40,,
8:04.0,,,37-40,,T. Ross enters the game for J. Johnson
7:54.0,,,37-40,,L. Williams misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by A. Tolliver,,37-40,,
7:48.0,,,37-40,,Personal foul by P. Patterson (drawn by I. Thomas)
7:48.0,E. Bledsoe enters the game for G. Green,,37-40,,
7:48.0,G. Dragic enters the game for P. Tucker,,37-40,,
7:48.0,,,37-40,,D. DeRozan enters the game for L. Williams
7:31.0,A. Tolliver misses 3-pt shot from 25 ft,,37-40,,
7:30.0,Offensive rebound by E. Bledsoe,,37-40,,
7:25.0,E. Bledsoe makes 2-pt shot from 1 ft,2,39-40,,
