time,Portland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. R. Lopez (N. Batum gains possession),,,,Jump ball: A. Jefferson vs. R. Lopez (N. Batum gains possession)
11:46.0,R. Lopez makes 2-pt shot from 1 ft (assist by N. Batum),2,2-0,,
11:26.0,,,2-0,,G. Henderson misses 2-pt shot from 19 ft
11:24.0,Defensive rebound by D. Lillard,,2-0,,
11:13.0,R. Lopez misses 2-pt shot from 9 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by A. Jefferson
11:02.0,,,2-0,,A. Jefferson misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by R. Lopez,,2-0,,
10:57.0,Shooting foul by G. Henderson (drawn by N. Batum),,2-0,,
10:57.0,N. Batum makes free throw 1 of 2,1,3-0,,
10:57.0,N. Batum makes free throw 2 of 2,1,4-0,,
10:44.0,,,4-0,,A. Jefferson misses 2-pt shot from 1 ft (block by R. Lopez)
10:42.0,Defensive rebound by N. Batum,,4-0,,
10:32.0,W. Matthews makes 2-pt shot from 16 ft,2,6-0,,
10:16.0,,,6-0,,L. Stephenson misses 2-pt shot from 20 ft
10:15.0,Defensive rebound by N. Batum,,6-0,,
10:07.0,D. Lillard misses 3-pt shot from 26 ft,,6-0,,
10:06.0,,,6-0,,Defensive rebound by L. Stephenson
9:52.0,,,6-0,,K. Walker misses 2-pt shot from 2 ft (block by R. Lopez)
9:50.0,Defensive rebound by D. Lillard,,6-0,,
9:46.0,D. Lillard makes 2-pt shot from 1 ft,2,8-0,,
9:46.0,Shooting foul by L. Stephenson (drawn by D. Lillard),,8-0,,
9:46.0,D. Lillard misses free throw 1 of 1,,8-0,,
9:45.0,,,8-0,,Defensive rebound by A. Jefferson
9:34.0,,,8-2,2,K. Walker makes 2-pt shot from 19 ft
9:09.0,R. Lopez misses 2-pt shot from 1 ft,,8-2,,
9:07.0,Offensive rebound by R. Lopez,,8-2,,
9:07.0,R. Lopez misses 2-pt shot at rim,,8-2,,
9:06.0,,,8-2,,Defensive rebound by M. Williams
8:59.0,,,8-4,2,K. Walker makes 2-pt shot from 2 ft (assist by M. Williams)
8:49.0,W. Matthews makes 3-pt shot from 27 ft (assist by D. Lillard),3,11-4,,
8:37.0,,,11-4,,K. Walker misses 3-pt shot from 23 ft
8:33.0,Defensive rebound by Team,,11-4,,
8:23.0,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Lillard),2,13-4,,
8:06.0,,,13-4,,A. Jefferson misses 2-pt shot from 5 ft
8:05.0,Defensive rebound by L. Aldridge,,13-4,,
7:57.0,D. Lillard misses 2-pt shot from 19 ft,,13-4,,
7:56.0,,,13-4,,Defensive rebound by L. Stephenson
7:48.0,,,13-4,,Shooting foul by R. Lopez (drawn by G. Henderson)
7:48.0,,,13-5,1,G. Henderson makes free throw 1 of 2
7:48.0,,,13-6,1,G. Henderson makes free throw 2 of 2
7:38.0,W. Matthews misses 3-pt shot from 27 ft,,13-6,,
7:35.0,,,13-6,,Defensive rebound by G. Henderson
7:27.0,,,13-6,,K. Walker misses 2-pt shot from 16 ft
7:26.0,Defensive rebound by R. Lopez,,13-6,,
7:13.0,Turnover by L. Aldridge (lost ball; steal by L. Stephenson),,13-6,,
7:08.0,,,13-8,2,L. Stephenson makes 2-pt shot at rim (assist by M. Williams)
6:51.0,R. Lopez misses 2-pt shot from 15 ft,,13-8,,
6:51.0,Offensive rebound by Team,,13-8,,
6:51.0,,,13-8,,Loose ball foul by M. Williams (drawn by L. Aldridge)
6:37.0,L. Aldridge misses 2-pt shot from 21 ft,,13-8,,
6:36.0,,,13-8,,Defensive rebound by A. Jefferson
6:31.0,,,13-10,2,L. Stephenson makes 2-pt shot at rim
6:31.0,,,13-10,,Shooting foul by W. Matthews (drawn by L. Stephenson)
6:31.0,,,13-10,,L. Stephenson misses free throw 1 of 1
6:29.0,Defensive rebound by N. Batum,,13-10,,
6:20.0,W. Matthews makes 2-pt shot from 6 ft,2,15-10,,
6:20.0,Shooting foul by L. Stephenson (drawn by W. Matthews),,15-10,,
6:20.0,W. Matthews makes free throw 1 of 1,1,16-10,,
6:01.0,,,16-12,2,G. Henderson makes 2-pt shot from 19 ft (assist by A. Jefferson)
5:35.0,L. Aldridge misses 2-pt shot from 9 ft,,16-12,,
5:32.0,Offensive rebound by R. Lopez,,16-12,,
5:32.0,R. Lopez makes 2-pt shot at rim,2,18-12,,
5:15.0,,,18-14,2,A. Jefferson makes 2-pt shot from 5 ft
4:59.0,D. Lillard makes 3-pt shot from 25 ft (assist by R. Lopez),3,21-14,,
4:43.0,,,21-16,2,L. Stephenson makes 2-pt shot from 19 ft
4:41.0,Portland full timeout,,21-16,,
