time,Toronto,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (K. Garnett gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (K. Garnett gains possession)
11:43.0,,,0-0,,K. Garnett misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by G. Vasquez,,0-0,,
11:19.0,G. Vasquez makes 3-pt shot from 24 ft (assist by D. DeRozan),3,3-0,,
11:02.0,,,3-0,,J. Jack misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by G. Vasquez,,3-0,,
10:51.0,G. Vasquez misses 3-pt shot from 24 ft,,3-0,,
10:50.0,Offensive rebound by J. Valanciunas,,3-0,,
10:49.0,J. Valanciunas makes 2-pt shot from 2 ft,2,5-0,,
10:33.0,,,5-0,,Turnover by J. Jack (step out of bounds)
10:14.0,G. Vasquez makes 3-pt shot from 25 ft (assist by D. DeRozan),3,8-0,,
9:51.0,,,8-0,,K. Garnett misses 2-pt shot from 17 ft
9:50.0,Defensive rebound by J. Valanciunas,,8-0,,
9:38.0,,,8-0,,Personal foul by K. Garnett (drawn by A. Johnson)
9:24.0,Turnover by Team (shot clock),,8-0,,
9:12.0,,,8-0,,A. Anderson misses 3-pt shot from 23 ft
9:11.0,Defensive rebound by K. Lowry,,8-0,,
8:53.0,D. DeRozan makes 2-pt shot from 11 ft,2,10-0,,
8:51.0,,,10-0,,Brooklyn full timeout
8:36.0,,,10-0,,K. Garnett misses 2-pt shot from 12 ft
8:35.0,Defensive rebound by G. Vasquez,,10-0,,
8:25.0,J. Valanciunas makes 2-pt shot from 16 ft (assist by D. DeRozan),2,12-0,,
8:08.0,,,12-3,3,J. Jack makes 3-pt shot from 24 ft (assist by K. Garnett)
7:50.0,J. Valanciunas makes 2-pt shot from 12 ft (assist by D. DeRozan),2,14-3,,
7:35.0,Personal foul by A. Johnson (drawn by J. Jack),,14-3,,
7:35.0,,,14-3,,B. Lopez enters the game for M. Plumlee
7:22.0,,,14-3,,A. Anderson misses 2-pt shot from 2 ft (block by J. Valanciunas)
7:21.0,Defensive rebound by J. Valanciunas,,14-3,,
7:13.0,K. Lowry misses 3-pt shot from 25 ft,,14-3,,
7:12.0,,,14-3,,Defensive rebound by J. Jack
7:06.0,,,14-3,,J. Jack misses 2-pt shot from 14 ft
7:05.0,Defensive rebound by D. DeRozan,,14-3,,
6:57.0,K. Lowry misses 3-pt shot from 23 ft,,14-3,,
6:56.0,,,14-3,,Defensive rebound by K. Garnett
6:44.0,,,14-3,,J. Johnson misses 2-pt shot from 13 ft
6:43.0,,,14-3,,Offensive rebound by K. Garnett
6:42.0,,,14-3,,Turnover by K. Garnett (lost ball; steal by K. Lowry)
6:38.0,K. Lowry makes 2-pt shot from 1 ft,2,16-3,,
6:38.0,,,16-3,,Brooklyn full timeout
6:38.0,,,16-3,,B. Bogdanovic enters the game for A. Anderson
6:26.0,,,16-3,,B. Lopez misses 2-pt shot from 18 ft
6:25.0,Defensive rebound by K. Lowry,,16-3,,
6:09.0,G. Vasquez misses 2-pt shot from 17 ft,,16-3,,
6:08.0,,,16-3,,Defensive rebound by J. Jack
6:01.0,Personal foul by K. Lowry (drawn by K. Garnett),,16-3,,
6:01.0,,,16-3,,C. Jefferson enters the game for K. Garnett
5:44.0,,,16-5,2,B. Lopez makes 2-pt shot from 15 ft (assist by J. Jack)
5:23.0,K. Lowry misses 2-pt shot from 15 ft,,16-5,,
5:22.0,,,16-5,,Defensive rebound by J. Johnson
5:15.0,,,16-5,,B. Lopez misses 2-pt shot from 2 ft
5:14.0,,,16-5,,Offensive rebound by B. Lopez
5:13.0,,,16-5,,B. Lopez misses 2-pt shot from 1 ft
5:12.0,,,16-5,,Offensive rebound by C. Jefferson
5:11.0,,,16-7,2,C. Jefferson makes 2-pt shot from 1 ft
