time,Golden State,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Jefferson (C. Zeller gains possession),,,,Jump ball: A. Bogut vs. A. Jefferson (C. Zeller gains possession)
11:47.0,,,0-0,,A. Jefferson misses 2-pt shot from 7 ft
11:46.0,Defensive rebound by A. Bogut,,0-0,,
11:26.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,2-0,,
11:02.0,,,2-2,2,A. Jefferson makes 2-pt shot from 7 ft (assist by K. Walker)
10:46.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Bogut),3,5-2,,
10:36.0,Personal foul by D. Green (drawn by A. Jefferson),,5-2,,
10:21.0,,,5-4,2,A. Jefferson makes 2-pt shot from 4 ft
10:09.0,K. Thompson misses 2-pt shot from 8 ft,,5-4,,
10:09.0,,,5-4,,Defensive rebound by Team
10:09.0,Loose ball foul by A. Bogut (drawn by A. Jefferson),,5-4,,
9:48.0,,,5-4,,G. Henderson misses 2-pt shot from 18 ft
9:47.0,Defensive rebound by D. Green,,5-4,,
9:34.0,Turnover by S. Curry (bad pass; steal by K. Walker),,5-4,,
9:21.0,,,5-6,2,A. Jefferson makes 2-pt shot from 7 ft (assist by K. Walker)
9:13.0,K. Thompson misses 2-pt shot from 2 ft,,5-6,,
9:10.0,,,5-6,,Defensive rebound by L. Stephenson
9:06.0,,,5-8,2,A. Jefferson makes 2-pt shot at rim (assist by K. Walker)
8:48.0,S. Curry misses 3-pt shot from 29 ft,,5-8,,
8:45.0,Offensive rebound by H. Barnes,,5-8,,
8:43.0,H. Barnes misses 2-pt shot from 15 ft,,5-8,,
8:40.0,Offensive rebound by A. Bogut,,5-8,,
8:37.0,Turnover by A. Bogut (bad pass; steal by L. Stephenson),,5-8,,
8:34.0,,,5-8,,K. Walker misses 2-pt shot from 2 ft (block by D. Green)
8:34.0,,,5-8,,Offensive rebound by Team
8:31.0,,,5-8,,G. Henderson misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by D. Green,,5-8,,
8:20.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,7-8,,
8:07.0,,,7-8,,Shooting foul by S. Curry (drawn by C. Zeller)
8:07.0,,,7-9,1,C. Zeller makes free throw 1 of 2
8:07.0,,,7-10,1,C. Zeller makes free throw 2 of 2
7:53.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Bogut),2,9-10,,
7:34.0,,,9-10,,Turnover by A. Jefferson (3 sec)
7:25.0,S. Curry misses 3-pt shot from 26 ft,,9-10,,
7:24.0,Offensive rebound by H. Barnes,,9-10,,
7:15.0,S. Curry makes 2-pt shot from 17 ft,2,11-10,,
6:59.0,,,11-10,,A. Jefferson misses 2-pt shot from 13 ft
6:59.0,Defensive rebound by Team,,11-10,,
6:59.0,,,11-10,,Loose ball foul by C. Zeller (drawn by D. Green)
6:48.0,K. Thompson misses 2-pt shot from 7 ft (block by A. Jefferson),,11-10,,
6:46.0,Offensive rebound by K. Thompson,,11-10,,
6:44.0,K. Thompson misses 2-pt shot from 13 ft,,11-10,,
6:43.0,,,11-10,,Defensive rebound by C. Zeller
6:41.0,,,11-10,,Turnover by K. Walker (lost ball)
6:24.0,K. Thompson makes 2-pt shot from 15 ft,2,13-10,,
5:58.0,,,13-10,,L. Stephenson misses 2-pt shot from 13 ft (block by A. Bogut)
5:57.0,,,13-10,,Offensive rebound by G. Henderson
5:57.0,,,13-10,,Turnover by Team (shot clock)
5:57.0,,,13-10,,Charlotte full timeout
5:45.0,Turnover by D. Green (bad pass),,13-10,,
5:24.0,,,13-10,,K. Walker misses 3-pt shot from 26 ft
5:23.0,Defensive rebound by Team,,13-10,,
5:08.0,Shooting foul by A. Jefferson (drawn by A. Bogut),,13-10,,
5:08.0,A. Bogut makes free throw 1 of 2,1,14-10,,
5:08.0,,,14-10,,P. Hairston enters the game for G. Henderson
5:08.0,B. Rush enters the game for K. Thompson,,14-10,,
5:08.0,A. Bogut makes free throw 2 of 2,1,15-10,,
4:57.0,,,15-10,,L. Stephenson misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by D. Green,,15-10,,
4:41.0,A. Bogut misses 2-pt shot from 9 ft,,15-10,,
4:38.0,,,15-10,,Defensive rebound by P. Hairston
4:36.0,,,15-10,,Technical foul by Team
4:36.0,S. Curry makes technical free throw,1,16-10,,
4:36.0,A. Iguodala enters the game for H. Barnes,,16-10,,
4:27.0,,,16-10,,A. Jefferson misses 2-pt shot from 9 ft
4:25.0,Defensive rebound by D. Green,,16-10,,
