time,Portland,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Kaman vs. T. Mozgov (K. Love gains possession),,,,Jump ball: C. Kaman vs. T. Mozgov (K. Love gains possession)
11:47.0,,,0-0,,K. Love misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by C. Kaman,,0-0,,
11:32.0,N. Batum makes 2-pt shot from 15 ft (assist by C. Kaman),2,2-0,,
11:13.0,,,2-2,2,K. Love makes 2-pt shot from 16 ft (assist by K. Irving)
10:52.0,Turnover by L. Aldridge (lost ball; steal by K. Irving),,2-2,,
10:32.0,,,2-5,3,J. Smith makes 3-pt shot from 28 ft (assist by K. Irving)
10:12.0,D. Lillard misses 2-pt shot from 16 ft,,2-5,,
10:10.0,,,2-5,,Defensive rebound by K. Love
10:01.0,,,2-7,2,T. Mozgov makes 2-pt shot from 8 ft (assist by K. Irving)
9:49.0,L. Aldridge misses 2-pt shot from 18 ft,,2-7,,
9:48.0,,,2-7,,Defensive rebound by T. Mozgov
9:39.0,,,2-7,,K. Irving misses 2-pt shot at rim
9:36.0,Defensive rebound by L. Aldridge,,2-7,,
9:30.0,D. Lillard makes 3-pt shot from 24 ft (assist by N. Batum),3,5-7,,
9:18.0,,,5-7,,K. Irving misses 3-pt shot from 26 ft
9:17.0,Defensive rebound by C. Kaman,,5-7,,
9:03.0,L. Aldridge misses 2-pt shot from 2 ft,,5-7,,
9:01.0,,,5-7,,Defensive rebound by T. Mozgov
8:43.0,,,5-7,,Turnover by K. Irving (lost ball; steal by N. Batum)
8:38.0,C. Kaman makes 2-pt shot at rim (assist by N. Batum),2,7-7,,
8:22.0,,,7-7,,K. Irving misses 2-pt shot from 14 ft (block by D. Lillard)
8:20.0,Defensive rebound by C. Kaman,,7-7,,
8:17.0,Offensive foul by L. Aldridge,,7-7,,
8:17.0,Turnover by L. Aldridge (offensive foul),,7-7,,
7:58.0,,,7-7,,K. Irving misses 2-pt shot from 15 ft
7:56.0,Defensive rebound by C. Kaman,,7-7,,
