time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (P. Pierce gains possession),,,,Jump ball: M. Gortat vs. A. Horford (P. Pierce gains possession)
11:40.0,Turnover by B. Beal (bad pass; steal by J. Teague),,0-0,,
11:37.0,,,0-2,2,J. Teague makes 2-pt shot at rim
11:14.0,P. Pierce makes 2-pt shot from 14 ft (assist by J. Wall),2,2-2,,
10:56.0,,,2-4,2,J. Teague makes 2-pt shot from 1 ft (assist by P. Millsap)
10:38.0,B. Beal misses 2-pt shot from 18 ft,,2-4,,
10:37.0,,,2-4,,Defensive rebound by D. Carroll
10:21.0,,,2-4,,D. Carroll misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by B. Beal,,2-4,,
10:07.0,N. Hilario misses 2-pt shot from 1 ft,,2-4,,
10:05.0,,,2-4,,Defensive rebound by D. Carroll
9:56.0,,,2-4,,J. Teague misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by M. Gortat,,2-4,,
9:41.0,N. Hilario makes 2-pt shot from 17 ft (assist by J. Wall),2,4-4,,
9:24.0,,,4-7,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
9:10.0,P. Pierce makes 2-pt shot from 18 ft (assist by M. Gortat),2,6-7,,
8:55.0,,,6-9,2,A. Horford makes 2-pt shot from 6 ft
8:35.0,M. Gortat misses 2-pt shot from 15 ft,,6-9,,
8:34.0,,,6-9,,Defensive rebound by P. Millsap
8:21.0,,,6-11,2,P. Millsap makes 2-pt shot at rim (assist by K. Korver)
8:09.0,Turnover by J. Wall (bad pass; steal by D. Carroll),,6-11,,
7:58.0,,,6-13,2,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague)
7:52.0,Washington full timeout,,6-13,,
7:44.0,Turnover by N. Hilario (bad pass; steal by J. Teague),,6-13,,
7:31.0,,,6-13,,Turnover by P. Millsap (bad pass)
7:24.0,Turnover by B. Beal (lost ball; steal by K. Korver),,6-13,,
7:18.0,,,6-16,3,D. Carroll makes 3-pt shot from 23 ft (assist by P. Millsap)
7:00.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,8-16,,
6:38.0,,,8-16,,Shooting foul by N. Hilario (drawn by P. Millsap)
6:38.0,,,8-17,1,P. Millsap makes free throw 1 of 2
6:38.0,,,8-18,1,P. Millsap makes free throw 2 of 2
6:28.0,P. Pierce misses 2-pt shot at rim,,8-18,,
6:27.0,,,8-18,,Defensive rebound by J. Teague
6:23.0,,,8-18,,K. Korver misses 3-pt shot from 24 ft
6:21.0,,,8-18,,Offensive rebound by A. Horford
6:15.0,,,8-21,3,J. Teague makes 3-pt shot from 24 ft (assist by D. Carroll)
5:46.0,Turnover by Team (shot clock),,8-21,,
5:46.0,,,8-21,,P. Antic enters the game for A. Horford
5:22.0,,,8-21,,P. Millsap misses 2-pt shot from 15 ft
5:20.0,Defensive rebound by J. Wall,,8-21,,
5:16.0,J. Wall makes 2-pt shot at rim,2,10-21,,
4:53.0,,,10-23,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
4:53.0,,,10-23,,Shooting foul by P. Pierce (drawn by P. Millsap)
4:53.0,,,10-23,,T. Sefolosha enters the game for K. Korver
4:53.0,,,10-24,1,P. Millsap makes free throw 1 of 1
4:41.0,J. Wall makes 2-pt shot from 15 ft,2,12-24,,
4:41.0,Shooting foul by P. Antic (drawn by J. Wall),,12-24,,
4:41.0,K. Humphries enters the game for N. Hilario,,12-24,,
4:41.0,R. Butler enters the game for P. Pierce,,12-24,,
4:41.0,J. Wall makes free throw 1 of 1,1,13-24,,
4:19.0,,,13-27,3,P. Antic makes 3-pt shot from 24 ft (assist by P. Millsap)
4:06.0,J. Wall misses 2-pt shot from 16 ft,,13-27,,
4:05.0,Offensive rebound by M. Gortat,,13-27,,
4:01.0,R. Butler makes 3-pt shot from 22 ft (assist by J. Wall),3,16-27,,
3:37.0,,,16-27,,T. Sefolosha misses 2-pt shot from 4 ft
3:35.0,Defensive rebound by R. Butler,,16-27,,
3:26.0,Turnover by J. Wall (lost ball; steal by J. Teague),,16-27,,
3:21.0,,,16-27,,Turnover by T. Sefolosha (lost ball; steal by K. Humphries)
3:14.0,,,16-27,,Loose ball foul by P. Antic (drawn by B. Beal)
3:14.0,,,16-27,,M. Scott enters the game for P. Millsap
3:14.0,,,16-27,,D. Schroder enters the game for J. Teague
3:00.0,B. Beal makes 2-pt shot from 2 ft (assist by R. Butler),2,18-27,,
2:53.0,,,18-27,,Atlanta full timeout
2:37.0,,,18-27,,P. Antic misses 3-pt shot from 23 ft
2:35.0,,,18-27,,Offensive rebound by T. Sefolosha
2:21.0,,,18-27,,D. Schroder misses 2-pt shot from 6 ft (block by K. Humphries)
2:19.0,,,18-27,,Offensive rebound by P. Antic
2:19.0,,,18-27,,Shooting foul by M. Gortat (drawn by P. Antic)
2:19.0,,,18-27,,P. Antic misses free throw 1 of 2
2:19.0,,,18-27,,Offensive rebound by Team
2:19.0,,,18-28,1,P. Antic makes free throw 2 of 2
2:08.0,Turnover by M. Gortat (bad pass; steal by D. Carroll),,18-28,,
1:58.0,,,18-28,,D. Carroll misses 3-pt shot from 24 ft
1:58.0,,,18-28,,Offensive rebound by Team
1:58.0,Loose ball foul by K. Humphries (drawn by M. Scott),,18-28,,
1:58.0,K. Seraphin enters the game for M. Gortat,,18-28,,
1:58.0,,,18-28,,A. Horford enters the game for D. Carroll
1:58.0,,,18-28,,K. Korver enters the game for P. Antic
1:58.0,O. Porter enters the game for B. Beal,,18-28,,
1:50.0,,,18-28,,Shooting foul by O. Porter (drawn by A. Horford)
1:50.0,,,18-29,1,A. Horford makes free throw 1 of 2
1:50.0,A. Miller enters the game for J. Wall,,18-29,,
1:50.0,,,18-29,,A. Horford misses free throw 2 of 2
1:48.0,Defensive rebound by K. Humphries,,18-29,,
1:38.0,,,18-29,,Violation by T. Sefolosha (kicked ball)
1:28.0,K. Seraphin makes 2-pt shot from 10 ft (assist by R. Butler),2,20-29,,
1:17.0,,,20-29,,Shooting foul by K. Seraphin (drawn by T. Sefolosha)
1:17.0,,,20-30,1,T. Sefolosha makes free throw 1 of 2
1:17.0,,,20-31,1,T. Sefolosha makes free throw 2 of 2
1:05.0,,,20-31,,Personal foul by D. Schroder (drawn by A. Miller)
0:56.0,K. Humphries misses 2-pt shot from 18 ft,,20-31,,
0:54.0,,,20-31,,Defensive rebound by K. Korver
0:37.0,,,20-34,3,D. Schroder makes 3-pt shot from 24 ft (assist by K. Korver)
0:27.0,K. Seraphin makes 2-pt shot from 20 ft (assist by A. Miller),2,22-34,,
0:05.0,,,22-34,,D. Schroder misses 2-pt shot from 4 ft
0:04.0,Defensive rebound by K. Humphries,,22-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,22-37,3,M. Scott makes 3-pt shot from 25 ft (assist by T. Sefolosha)
11:27.0,K. Seraphin misses 2-pt shot from 9 ft,,22-37,,
11:25.0,,,22-37,,Defensive rebound by M. Scott
11:19.0,,,22-37,,D. Schroder misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by O. Porter,,22-37,,
11:10.0,Turnover by O. Porter (lost ball; steal by T. Sefolosha),,22-37,,
10:49.0,,,22-37,,M. Scott misses 2-pt shot from 7 ft
10:48.0,,,22-37,,Offensive rebound by M. Scott
10:45.0,,,22-39,2,M. Scott makes 2-pt shot from 8 ft
10:31.0,R. Butler makes 2-pt shot from 16 ft (assist by K. Seraphin),2,24-39,,
10:13.0,,,24-39,,A. Horford misses 2-pt shot from 8 ft
10:11.0,,,24-39,,Offensive rebound by T. Sefolosha
10:08.0,,,24-39,,M. Scott misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by O. Porter,,24-39,,
9:54.0,O. Porter misses 3-pt shot from 24 ft,,24-39,,
9:51.0,Offensive rebound by A. Miller,,24-39,,
9:45.0,R. Butler misses 3-pt shot from 23 ft,,24-39,,
9:44.0,,,24-39,,Defensive rebound by D. Schroder
9:43.0,,,24-41,2,A. Horford makes 2-pt shot at rim (assist by M. Scott)
9:43.0,,,24-41,,Shooting foul by O. Porter (drawn by A. Horford)
9:43.0,,,24-41,,K. Bazemore enters the game for T. Sefolosha
9:43.0,,,24-42,1,A. Horford makes free throw 1 of 1
9:27.0,K. Humphries misses 2-pt shot from 9 ft,,24-42,,
9:24.0,,,24-42,,Defensive rebound by M. Scott
9:15.0,,,24-42,,M. Scott misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by K. Seraphin,,24-42,,
8:52.0,K. Seraphin misses 2-pt shot from 10 ft,,24-42,,
8:50.0,,,24-42,,Defensive rebound by K. Korver
8:43.0,,,24-44,2,K. Korver makes 2-pt shot from 9 ft (assist by D. Schroder)
8:37.0,Washington full timeout,,24-44,,
8:37.0,J. Wall enters the game for K. Humphries,,24-44,,
8:37.0,B. Beal enters the game for O. Porter,,24-44,,
8:37.0,N. Hilario enters the game for A. Miller,,24-44,,
8:23.0,K. Seraphin makes 2-pt shot from 12 ft (assist by B. Beal),2,26-44,,
8:07.0,,,26-44,,A. Horford misses 2-pt shot from 5 ft
8:05.0,Defensive rebound by N. Hilario,,26-44,,
7:59.0,R. Butler misses 3-pt shot from 22 ft,,26-44,,
7:58.0,,,26-44,,Defensive rebound by D. Schroder
7:37.0,,,26-44,,K. Bazemore misses 2-pt shot from 11 ft
7:35.0,Defensive rebound by K. Seraphin,,26-44,,
7:20.0,N. Hilario makes 2-pt shot from 15 ft (assist by B. Beal),2,28-44,,
6:55.0,,,28-44,,M. Scott misses 2-pt shot from 15 ft
6:52.0,Defensive rebound by R. Butler,,28-44,,
