time,Charlotte,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Jefferson (B. Beal gains possession),,,,Jump ball: M. Gortat vs. A. Jefferson (B. Beal gains possession)
11:51.0,,,0-0,,Turnover by N. Hilario (lost ball; steal by K. Walker)
11:40.0,K. Walker misses 2-pt shot from 3 ft (block by P. Pierce),,0-0,,
11:38.0,,,0-0,,Defensive rebound by B. Beal
11:31.0,,,0-2,2,P. Pierce makes 2-pt shot from 18 ft (assist by J. Wall)
11:14.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by P. Pierce),,0-2,,
11:12.0,,,0-2,,Defensive rebound by N. Hilario
10:57.0,,,0-2,,M. Gortat misses 2-pt shot from 8 ft
10:56.0,Defensive rebound by G. Henderson,,0-2,,
10:42.0,G. Henderson makes 3-pt shot from 24 ft (assist by K. Walker),3,3-2,,
10:22.0,,,3-2,,P. Pierce misses 2-pt shot from 20 ft
10:21.0,Defensive rebound by M. Kidd-Gilchrist,,3-2,,
10:17.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,5-2,,
10:17.0,,,5-2,,Shooting block foul by P. Pierce (drawn by M. Kidd-Gilchrist)
10:17.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,6-2,,
10:02.0,,,6-2,,P. Pierce misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by A. Jefferson,,6-2,,
9:53.0,G. Henderson misses 2-pt shot from 14 ft,,6-2,,
9:51.0,,,6-2,,Defensive rebound by M. Gortat
9:44.0,,,6-4,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
9:26.0,Turnover by K. Walker (bad pass),,6-4,,
9:14.0,,,6-6,2,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall)
8:58.0,M. Williams makes 2-pt shot from 22 ft (assist by K. Walker),2,8-6,,
8:50.0,,,8-6,,B. Beal misses 2-pt shot from 21 ft
8:49.0,,,8-6,,Offensive rebound by M. Gortat
8:41.0,,,8-8,2,J. Wall makes 2-pt shot from 15 ft
8:25.0,M. Williams misses 2-pt shot from 19 ft,,8-8,,
8:24.0,,,8-8,,Defensive rebound by J. Wall
8:19.0,,,8-8,,J. Wall misses 2-pt shot at rim (block by M. Kidd-Gilchrist)
8:17.0,,,8-8,,Offensive rebound by N. Hilario
8:14.0,,,8-10,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
8:07.0,Charlotte full timeout,,8-10,,
8:00.0,A. Jefferson makes 2-pt shot from 12 ft (assist by K. Walker),2,10-10,,
7:40.0,,,10-12,2,N. Hilario makes 2-pt shot at rim (assist by M. Gortat)
7:18.0,A. Jefferson makes 2-pt shot from 6 ft (assist by K. Walker),2,12-12,,
7:08.0,,,12-14,2,N. Hilario makes 2-pt shot from 1 ft (assist by B. Beal)
6:51.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by K. Walker),2,14-14,,
6:37.0,,,14-16,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
6:22.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Wall),,14-16,,
6:06.0,,,14-16,,N. Hilario misses 2-pt shot from 11 ft
6:05.0,Defensive rebound by M. Williams,,14-16,,
5:59.0,K. Walker misses 3-pt shot from 24 ft,,14-16,,
5:57.0,,,14-16,,Defensive rebound by N. Hilario
5:51.0,,,14-18,2,J. Wall makes 2-pt shot from 1 ft
5:38.0,Turnover by K. Walker (bad pass),,14-18,,
5:38.0,J. Maxiell enters the game for M. Williams,,14-18,,
5:38.0,B. Biyombo enters the game for A. Jefferson,,14-18,,
5:25.0,,,14-18,,Turnover by J. Wall (bad pass; steal by B. Biyombo)
5:04.0,B. Biyombo misses 2-pt shot from 2 ft,,14-18,,
5:03.0,Offensive rebound by B. Biyombo,,14-18,,
5:01.0,B. Biyombo misses 2-pt shot at rim (block by M. Gortat),,14-18,,
5:00.0,,,14-18,,Defensive rebound by J. Wall
4:53.0,,,14-18,,J. Wall misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by G. Henderson,,14-18,,
4:34.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,14-18,,
4:33.0,,,14-18,,Defensive rebound by B. Beal
4:25.0,,,14-18,,Turnover by J. Wall (bad pass; steal by J. Maxiell)
4:20.0,Shooting foul by B. Beal (drawn by M. Kidd-Gilchrist),,14-18,,
4:20.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,15-18,,
4:20.0,,,15-18,,M. Webster enters the game for B. Beal
4:20.0,,,15-18,,D. Gooden enters the game for N. Hilario
4:20.0,M. Kidd-Gilchrist misses free throw 2 of 2,,15-18,,
4:19.0,,,15-18,,Defensive rebound by M. Gortat
4:03.0,,,15-18,,M. Gortat misses 2-pt shot at rim (block by B. Biyombo)
4:01.0,Defensive rebound by J. Maxiell,,15-18,,
3:54.0,K. Walker makes 2-pt shot from 10 ft,2,17-18,,
3:44.0,,,17-18,,Shooting foul by G. Henderson (drawn by P. Pierce)
3:44.0,,,17-19,1,P. Pierce makes free throw 1 of 2
3:44.0,M. Williams enters the game for G. Henderson,,17-19,,
3:44.0,,,17-20,1,P. Pierce makes free throw 2 of 2
3:25.0,B. Biyombo misses 2-pt shot from 1 ft,,17-20,,
3:24.0,,,17-20,,Defensive rebound by M. Gortat
3:12.0,,,17-20,,M. Webster misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by M. Kidd-Gilchrist,,17-20,,
3:06.0,K. Walker misses 2-pt shot from 1 ft (block by P. Pierce),,17-20,,
3:05.0,Offensive rebound by M. Kidd-Gilchrist,,17-20,,
3:05.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft (block by M. Gortat),,17-20,,
3:05.0,Offensive rebound by M. Kidd-Gilchrist,,17-20,,
