time,Utah,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Payne (D. Exum gains possession),,,,Jump ball: R. Gobert vs. A. Payne (D. Exum gains possession)
11:37.0,R. Hood makes 2-pt shot from 15 ft,2,2-0,,
11:17.0,,,2-2,2,L. Brown makes 2-pt shot from 18 ft
10:50.0,R. Hood makes 2-pt shot from 17 ft,2,4-2,,
10:32.0,,,4-2,,A. Payne misses 2-pt shot from 16 ft (block by T. Booker)
10:30.0,,,4-2,,Offensive rebound by A. Payne
10:28.0,,,4-2,,Turnover by A. Payne (lost ball; steal by G. Hayward)
10:18.0,Turnover by R. Gobert (bad pass; steal by Z. LaVine),,4-2,,
10:12.0,,,4-2,,Z. LaVine misses 2-pt shot from 3 ft
10:09.0,,,4-2,,Offensive rebound by L. Brown
9:55.0,,,4-2,,Shooting foul by R. Hood (drawn by J. Hamilton)
9:55.0,,,4-3,1,J. Hamilton makes free throw 1 of 2
9:55.0,,,4-4,1,J. Hamilton makes free throw 2 of 2
9:43.0,Turnover by D. Exum (step out of bounds),,4-4,,
9:26.0,,,4-4,,J. Hamilton misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by Team,,4-4,,
9:02.0,R. Hood misses 2-pt shot from 14 ft,,4-4,,
9:01.0,,,4-4,,Defensive rebound by J. Hamilton
8:48.0,,,4-4,,Shooting foul by R. Hood (drawn by A. Wiggins)
8:48.0,,,4-6,2,A. Wiggins makes 2-pt shot at rim
8:48.0,,,4-7,1,A. Wiggins makes free throw 1 of 1
8:34.0,R. Hood makes 3-pt shot from 23 ft (assist by G. Hayward),3,7-7,,
8:15.0,,,7-7,,Turnover by A. Wiggins (bad pass; steal by G. Hayward)
8:11.0,Turnover by D. Exum (lost ball; steal by L. Brown),,7-7,,
8:01.0,,,7-10,3,Z. LaVine makes 3-pt shot from 25 ft (assist by L. Brown)
7:41.0,T. Booker misses 2-pt shot from 17 ft,,7-10,,
7:40.0,,,7-10,,Defensive rebound by Z. LaVine
7:26.0,,,7-10,,A. Wiggins misses 2-pt shot from 18 ft
7:24.0,Defensive rebound by T. Booker,,7-10,,
7:16.0,G. Hayward makes 2-pt shot from 5 ft,2,9-10,,
7:16.0,Shooting foul by A. Payne (drawn by G. Hayward),,9-10,,
7:16.0,G. Hayward makes free throw 1 of 1,1,10-10,,
6:59.0,,,10-12,2,Z. LaVine makes 2-pt shot from 19 ft
6:36.0,D. Exum misses 3-pt shot from 24 ft,,10-12,,
6:35.0,,,10-12,,Defensive rebound by A. Wiggins
6:23.0,,,10-14,2,A. Wiggins makes 2-pt shot from 4 ft (assist by J. Hamilton)
6:21.0,Utah full timeout,,10-14,,
6:21.0,,,10-14,,C. Budinger enters the game for A. Payne
6:00.0,R. Gobert misses 2-pt shot from 1 ft (block by J. Hamilton),,10-14,,
5:58.0,Offensive rebound by T. Booker,,10-14,,
5:56.0,T. Booker misses 2-pt shot from 9 ft,,10-14,,
5:55.0,,,10-14,,Defensive rebound by J. Hamilton
5:48.0,,,10-14,,Offensive foul by J. Hamilton
5:48.0,,,10-14,,Turnover by J. Hamilton (offensive foul)
5:38.0,G. Hayward misses 3-pt shot from 24 ft,,10-14,,
5:37.0,Offensive rebound by T. Booker,,10-14,,
5:36.0,,,10-14,,Personal foul by C. Budinger (drawn by T. Booker)
5:23.0,T. Booker makes 3-pt shot from 22 ft (assist by G. Hayward),3,13-14,,
5:07.0,,,13-14,,A. Wiggins misses 2-pt shot from 5 ft
5:06.0,Defensive rebound by G. Hayward,,13-14,,
4:58.0,R. Hood misses 3-pt shot from 25 ft,,13-14,,
4:56.0,Offensive rebound by T. Booker,,13-14,,
4:52.0,T. Booker makes 2-pt shot from 4 ft,2,15-14,,
4:35.0,,,15-16,2,J. Hamilton makes 2-pt shot from 13 ft (assist by L. Brown)
4:07.0,G. Hayward misses 3-pt shot from 24 ft,,15-16,,
4:05.0,Offensive rebound by R. Gobert,,15-16,,
4:04.0,Shooting foul by J. Hamilton (drawn by R. Gobert),,15-16,,
4:04.0,R. Gobert makes 2-pt shot at rim,2,17-16,,
4:04.0,T. Burke enters the game for R. Hood,,17-16,,
4:04.0,C. Johnson enters the game for D. Exum,,17-16,,
4:04.0,,,17-16,,A. Payne enters the game for J. Hamilton
4:04.0,R. Gobert makes free throw 1 of 1,1,18-16,,
3:49.0,,,18-16,,C. Budinger misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by T. Burke,,18-16,,
3:29.0,C. Johnson misses 3-pt shot from 22 ft,,18-16,,
3:28.0,Offensive rebound by Team,,18-16,,
3:21.0,Turnover by C. Johnson (traveling),,18-16,,
3:00.0,,,18-16,,Z. LaVine misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by R. Gobert,,18-16,,
2:44.0,G. Hayward makes 3-pt shot from 25 ft,3,21-16,,
2:37.0,,,21-16,,Minnesota full timeout
2:37.0,J. Ingles enters the game for T. Booker,,21-16,,
2:37.0,J. Evans enters the game for G. Hayward,,21-16,,
2:27.0,Personal foul by J. Ingles (drawn by A. Wiggins),,21-16,,
2:24.0,Personal foul by J. Ingles (drawn by A. Wiggins),,21-16,,
2:24.0,,,21-16,,R. Hummel enters the game for L. Brown
2:16.0,,,21-16,,A. Wiggins misses 2-pt shot from 6 ft
2:15.0,Defensive rebound by J. Ingles,,21-16,,
1:53.0,T. Burke makes 2-pt shot from 7 ft,2,23-16,,
1:30.0,,,23-16,,C. Budinger misses 2-pt shot from 14 ft (block by R. Gobert)
1:28.0,,,23-16,,Offensive rebound by A. Payne
1:24.0,,,23-16,,A. Payne misses 2-pt shot from 14 ft
1:22.0,,,23-16,,Offensive rebound by C. Budinger
1:17.0,,,23-16,,A. Payne misses 2-pt shot from 19 ft
1:15.0,Defensive rebound by R. Gobert,,23-16,,
1:08.0,C. Johnson misses 3-pt shot from 22 ft,,23-16,,
1:07.0,,,23-16,,Defensive rebound by A. Payne
0:46.0,,,23-16,,Z. LaVine misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by R. Gobert,,23-16,,
0:38.0,T. Burke makes 2-pt shot at rim,2,25-16,,
0:27.0,Personal foul by T. Burke (drawn by A. Wiggins),,25-16,,
0:27.0,,,25-17,1,A. Wiggins makes free throw 1 of 2
0:27.0,,,25-18,1,A. Wiggins makes free throw 2 of 2
0:07.0,J. Evans misses 3-pt shot from 24 ft,,25-18,,
0:06.0,,,25-18,,Defensive rebound by A. Payne
0:01.0,,,25-18,,Z. LaVine misses 3-pt shot from 28 ft
0:00.0,,,25-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-18,,R. Hummel misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by T. Burke,,25-18,,
