time,Houston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Motiejunas (G. Hill gains possession),,,,Jump ball: R. Hibbert vs. D. Motiejunas (G. Hill gains possession)
11:49.0,,,0-0,,Turnover by S. Hill (bad pass; steal by D. Motiejunas)
11:33.0,Turnover by P. Beverley (bad pass; steal by G. Hill),,0-0,,
11:08.0,,,0-0,,S. Hill misses 3-pt shot from 27 ft
11:06.0,,,0-0,,Offensive rebound by Team
10:55.0,,,0-0,,R. Hibbert misses 2-pt shot from 10 ft
10:54.0,Defensive rebound by D. Motiejunas,,0-0,,
10:46.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,3-0,,
10:26.0,,,3-2,2,D. West makes 2-pt shot from 2 ft (assist by R. Hibbert)
10:09.0,D. Motiejunas makes 2-pt shot from 6 ft,2,5-2,,
9:59.0,Personal foul by D. Motiejunas (drawn by R. Hibbert),,5-2,,
9:45.0,,,5-4,2,R. Hibbert makes 2-pt shot at rim (assist by D. West)
9:32.0,Turnover by T. Ariza (bad pass),,5-4,,
9:16.0,,,5-4,,D. West misses 2-pt shot from 17 ft
9:15.0,Defensive rebound by T. Ariza,,5-4,,
9:11.0,J. Harden makes 2-pt shot from 1 ft,2,7-4,,
9:11.0,Shooting foul by C. Miles (drawn by J. Harden),,7-4,,
9:11.0,J. Harden makes free throw 1 of 1,1,8-4,,
8:59.0,,,8-4,,Offensive foul by D. West
8:59.0,,,8-4,,Turnover by D. West (offensive foul)
8:46.0,Shooting foul by R. Hibbert (drawn by D. Motiejunas),,8-4,,
8:46.0,D. Motiejunas makes free throw 1 of 2,1,9-4,,
8:46.0,D. Motiejunas makes free throw 2 of 2,1,10-4,,
8:31.0,,,10-4,,Turnover by S. Hill (bad pass; steal by T. Ariza)
8:27.0,Shooting foul by C. Miles (drawn by J. Harden),,10-4,,
8:27.0,J. Harden makes free throw 1 of 2,1,11-4,,
8:27.0,,,11-4,,D. Rudez enters the game for C. Miles
8:27.0,J. Harden makes free throw 2 of 2,1,12-4,,
8:14.0,,,12-6,2,G. Hill makes 2-pt shot from 18 ft (assist by S. Hill)
7:47.0,D. Motiejunas misses 2-pt shot from 9 ft,,12-6,,
7:46.0,,,12-6,,Defensive rebound by G. Hill
7:39.0,,,12-8,2,R. Hibbert makes 2-pt shot from 8 ft (assist by G. Hill)
7:17.0,P. Beverley misses 3-pt shot from 23 ft,,12-8,,
7:16.0,,,12-8,,Defensive rebound by D. West
7:03.0,,,12-8,,Turnover by S. Hill (bad pass; steal by D. Motiejunas)
6:54.0,Offensive foul by P. Beverley,,12-8,,
6:54.0,Turnover by P. Beverley (offensive foul),,12-8,,
6:31.0,,,12-8,,S. Hill misses 2-pt shot from 1 ft (block by P. Beverley)
6:31.0,,,12-8,,Offensive rebound by S. Hill
6:31.0,,,12-8,,Turnover by S. Hill (traveling)
6:15.0,J. Harden makes 2-pt shot from 19 ft,2,14-8,,
6:08.0,,,14-8,,Indiana full timeout
6:08.0,C. Brewer enters the game for T. Ariza,,14-8,,
6:04.0,,,14-8,,S. Hill misses 2-pt shot at rim (block by J. Harden)
6:02.0,Defensive rebound by J. Harden,,14-8,,
5:57.0,Turnover by J. Harden (bad pass; steal by G. Hill),,14-8,,
5:56.0,,,14-8,,Turnover by D. West (bad pass)
5:38.0,C. Brewer misses 2-pt shot from 18 ft,,14-8,,
5:37.0,,,14-8,,Defensive rebound by G. Hill
5:21.0,,,14-8,,D. Rudez misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by J. Dorsey,,14-8,,
5:05.0,Turnover by P. Beverley (traveling),,14-8,,
4:53.0,,,14-8,,Shooting foul by J. Dorsey (drawn by D. West)
4:53.0,,,14-9,1,D. West makes free throw 1 of 2
4:53.0,J. Smith enters the game for J. Dorsey,,14-9,,
4:53.0,,,14-9,,D. West misses free throw 2 of 2
4:53.0,,,14-9,,Offensive rebound by R. Hibbert
4:53.0,Loose ball foul by D. Motiejunas (drawn by R. Hibbert),,14-9,,
4:53.0,J. Dorsey enters the game for D. Motiejunas,,14-9,,
4:47.0,,,14-9,,G. Hill misses 3-pt shot from 27 ft
4:45.0,Defensive rebound by J. Dorsey,,14-9,,
4:36.0,J. Harden misses 3-pt shot from 25 ft,,14-9,,
4:35.0,Offensive rebound by P. Beverley,,14-9,,
4:35.0,P. Beverley misses 2-pt shot from 2 ft (block by G. Hill),,14-9,,
4:35.0,Offensive rebound by Team,,14-9,,
4:25.0,J. Smith misses 2-pt shot at rim,,14-9,,
4:24.0,,,14-9,,Defensive rebound by G. Hill
4:20.0,,,14-9,,Turnover by G. Hill (bad pass; steal by P. Beverley)
4:14.0,C. Brewer makes 2-pt shot at rim (assist by J. Smith),2,16-9,,
3:58.0,,,16-9,,S. Hill misses 2-pt shot at rim (block by J. Dorsey)
3:56.0,,,16-9,,Offensive rebound by R. Hibbert
3:51.0,,,16-11,2,R. Hibbert makes 2-pt shot from 13 ft
