time,Boston,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Olynyk (I. Canaan gains possession),,,,Jump ball: D. Howard vs. K. Olynyk (I. Canaan gains possession)
11:40.0,,,0-2,2,T. Jones makes 2-pt shot from 4 ft
11:26.0,A. Bradley misses 3-pt shot from 26 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by D. Howard
11:09.0,,,0-2,,Shooting foul by K. Olynyk (drawn by T. Jones)
11:09.0,,,0-3,1,T. Jones makes free throw 1 of 2
11:09.0,,,0-4,1,T. Jones makes free throw 2 of 2
10:52.0,K. Olynyk misses 2-pt shot from 17 ft,,0-4,,
10:51.0,,,0-4,,Defensive rebound by J. Harden
10:43.0,,,0-4,,J. Harden misses 2-pt shot from 3 ft
10:42.0,Defensive rebound by R. Rondo,,0-4,,
10:33.0,A. Bradley misses 3-pt shot from 23 ft,,0-4,,
10:32.0,,,0-4,,Defensive rebound by Team
10:32.0,Loose ball foul by K. Olynyk (drawn by D. Howard),,0-4,,
10:14.0,,,0-4,,Shooting foul by J. Sullinger (drawn by D. Howard)
10:14.0,,,0-5,1,D. Howard makes free throw 1 of 2
10:14.0,,,0-6,1,D. Howard makes free throw 2 of 2
9:59.0,J. Green makes 2-pt shot from 4 ft,2,2-6,,
9:47.0,,,2-6,,Shooting foul by R. Rondo (drawn by J. Harden)
9:47.0,,,2-7,1,J. Harden makes free throw 1 of 2
9:47.0,,,2-8,1,J. Harden makes free throw 2 of 2
9:36.0,K. Olynyk makes 2-pt shot from 1 ft,2,4-8,,
9:19.0,,,4-8,,T. Ariza misses 2-pt shot from 1 ft (block by K. Olynyk)
9:18.0,,,4-8,,Offensive rebound by T. Jones
9:17.0,,,4-10,2,T. Jones makes 2-pt shot from 2 ft
9:05.0,J. Green misses 3-pt shot from 27 ft,,4-10,,
9:03.0,,,4-10,,Defensive rebound by J. Harden
8:52.0,,,4-12,2,J. Harden makes 2-pt shot from 1 ft
8:35.0,K. Olynyk misses 3-pt shot from 25 ft,,4-12,,
8:34.0,,,4-12,,Defensive rebound by J. Harden
8:32.0,,,4-12,,Turnover by J. Harden (bad pass)
8:18.0,J. Green misses 3-pt shot from 24 ft,,4-12,,
8:16.0,,,4-12,,Defensive rebound by D. Howard
7:59.0,,,4-12,,T. Ariza misses 2-pt shot from 10 ft
7:58.0,,,4-12,,Offensive rebound by T. Jones
7:58.0,,,4-14,2,T. Jones makes 2-pt shot from 1 ft
7:32.0,J. Sullinger misses 2-pt shot from 9 ft,,4-14,,
7:30.0,,,4-14,,Defensive rebound by J. Harden
7:27.0,,,4-14,,Offensive charge foul by T. Jones
7:27.0,,,4-14,,Turnover by T. Jones (offensive foul)
7:27.0,B. Bass enters the game for K. Olynyk,,4-14,,
7:20.0,,,4-14,,Personal foul by T. Ariza (drawn by A. Bradley)
7:07.0,B. Bass makes 2-pt shot from 18 ft (assist by J. Green),2,6-14,,
6:54.0,,,6-16,2,T. Ariza makes 2-pt shot from 1 ft
6:33.0,B. Bass makes 2-pt shot from 14 ft (assist by R. Rondo),2,8-16,,
6:14.0,,,8-19,3,I. Canaan makes 3-pt shot from 22 ft (assist by T. Ariza)
6:13.0,Boston full timeout,,8-19,,
6:02.0,R. Rondo misses 2-pt shot from 1 ft,,8-19,,
6:00.0,,,8-19,,Defensive rebound by J. Harden
5:56.0,,,8-22,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
5:42.0,Turnover by R. Rondo (bad pass; steal by I. Canaan),,8-22,,
5:38.0,,,8-22,,T. Jones misses 2-pt shot from 3 ft (block by J. Sullinger)
5:38.0,,,8-22,,Offensive rebound by Team
5:38.0,M. Smart enters the game for R. Rondo,,8-22,,
5:37.0,,,8-22,,Turnover by T. Ariza (bad pass)
5:22.0,M. Smart misses 3-pt shot from 23 ft,,8-22,,
5:21.0,,,8-22,,Defensive rebound by T. Jones
5:01.0,,,8-22,,I. Canaan misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by B. Bass,,8-22,,
4:55.0,J. Sullinger makes 2-pt shot from 1 ft (assist by A. Bradley),2,10-22,,
4:42.0,,,10-24,2,J. Harden makes 2-pt shot from 16 ft
4:31.0,J. Sullinger misses 3-pt shot from 27 ft,,10-24,,
4:30.0,,,10-24,,Defensive rebound by D. Howard
4:19.0,,,10-26,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Harden)
4:03.0,B. Bass makes 2-pt shot from 20 ft,2,12-26,,
3:55.0,Personal foul by A. Bradley (drawn by J. Harden),,12-26,,
3:55.0,,,12-27,1,J. Harden makes free throw 1 of 2
3:55.0,,,12-27,,T. Black enters the game for D. Howard
3:55.0,,,12-27,,J. Terry enters the game for I. Canaan
3:55.0,E. Turner enters the game for J. Sullinger,,12-27,,
3:55.0,M. Thornton enters the game for A. Bradley,,12-27,,
3:55.0,,,12-28,1,J. Harden makes free throw 2 of 2
3:49.0,Turnover by J. Green (lost ball; steal by J. Harden),,12-28,,
3:49.0,Personal foul by J. Green (drawn by J. Harden),,12-28,,
3:49.0,,,12-29,1,J. Harden makes free throw 1 of 2
3:49.0,,,12-30,1,J. Harden makes free throw 2 of 2
3:39.0,J. Green misses 3-pt shot from 25 ft,,12-30,,
3:37.0,,,12-30,,Defensive rebound by T. Ariza
3:30.0,,,12-30,,J. Harden misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by J. Green,,12-30,,
3:13.0,,,12-30,,Personal foul by T. Ariza (drawn by B. Bass)
3:13.0,,,12-30,,K. Papanikolaou enters the game for T. Ariza
3:04.0,J. Green makes 2-pt shot from 10 ft,2,14-30,,
2:53.0,,,14-30,,Offensive foul by T. Black
2:53.0,,,14-30,,Turnover by T. Black (offensive foul)
2:53.0,,,14-30,,Houston full timeout
2:53.0,T. Zeller enters the game for B. Bass,,14-30,,
2:40.0,J. Green makes 2-pt shot from 9 ft,2,16-30,,
2:22.0,,,16-30,,Turnover by K. Papanikolaou (traveling)
2:04.0,Turnover by M. Smart (bad pass; steal by J. Harden),,16-30,,
1:56.0,,,16-30,,T. Jones misses 3-pt shot from 26 ft
1:54.0,,,16-30,,Offensive rebound by K. Papanikolaou
1:50.0,,,16-32,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Harden)
1:38.0,T. Zeller makes 2-pt shot from 1 ft,2,18-32,,
1:38.0,Shooting foul by T. Black (drawn by T. Zeller),,18-32,,
1:38.0,,,18-32,,D. Howard enters the game for J. Harden
1:38.0,,,18-32,,I. Canaan enters the game for T. Jones
1:38.0,R. Rondo enters the game for M. Smart,,18-32,,
1:38.0,,,18-32,,D. Motiejunas enters the game for T. Black
1:38.0,J. Sullinger enters the game for J. Green,,18-32,,
1:38.0,T. Zeller misses free throw 1 of 1,,18-32,,
1:38.0,,,18-32,,Defensive rebound by D. Howard
1:16.0,,,18-34,2,D. Howard makes 2-pt shot from 6 ft (assist by D. Motiejunas)
0:52.0,J. Sullinger misses 2-pt shot from 9 ft,,18-34,,
0:50.0,,,18-34,,Defensive rebound by I. Canaan
0:37.0,,,18-34,,D. Howard misses 2-pt shot from 1 ft (block by T. Zeller)
0:36.0,,,18-34,,Offensive rebound by Team
0:29.0,,,18-37,3,J. Terry makes 3-pt shot from 27 ft (assist by D. Howard)
0:21.0,Shooting foul by K. Papanikolaou (drawn by E. Turner),,18-37,,
0:21.0,E. Turner makes free throw 1 of 2,1,19-37,,
0:21.0,E. Turner makes free throw 2 of 2,1,20-37,,
0:07.0,,,20-37,,Turnover by J. Terry (bad pass; steal by E. Turner)
0:02.0,M. Thornton makes 2-pt shot from 1 ft (assist by R. Rondo),2,22-37,,
0:00.0,,,22-37,,I. Canaan misses 3-pt shot from 47 ft
0:00.0,,,22-37,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,E. Turner misses 2-pt shot from 18 ft,,22-37,,
11:43.0,Offensive rebound by T. Zeller,,22-37,,
11:27.0,,,22-37,,Personal foul by D. Motiejunas (drawn by T. Zeller)
11:22.0,E. Turner misses 2-pt shot from 12 ft,,22-37,,
11:20.0,,,22-37,,Defensive rebound by D. Motiejunas
11:12.0,Personal foul by T. Zeller (drawn by D. Howard),,22-37,,
11:12.0,Personal foul by E. Turner (drawn by I. Canaan),,22-37,,
11:00.0,,,22-37,,Shooting foul by R. Rondo (drawn by D. Motiejunas)
11:00.0,,,22-38,1,D. Motiejunas makes free throw 1 of 2
11:00.0,,,22-39,1,D. Motiejunas makes free throw 2 of 2
10:46.0,,,22-39,,Personal foul by I. Canaan (drawn by R. Rondo)
10:33.0,J. Sullinger makes 2-pt shot from 3 ft,2,24-39,,
10:24.0,,,24-39,,Turnover by K. Papanikolaou (bad pass; steal by E. Turner)
10:20.0,M. Thornton makes 2-pt shot from 1 ft (assist by R. Rondo),2,26-39,,
9:46.0,,,26-39,,J. Terry misses 3-pt shot from 31 ft
9:45.0,,,26-39,,Offensive rebound by Team
9:45.0,,,26-39,,Turnover by Team (shot clock)
9:31.0,Turnover by R. Rondo (lost ball; steal by I. Canaan),,26-39,,
9:27.0,,,26-39,,K. Papanikolaou misses 2-pt shot from 1 ft (block by E. Turner)
9:23.0,Defensive rebound by T. Zeller,,26-39,,
9:20.0,M. Thornton misses 3-pt shot from 24 ft,,26-39,,
9:20.0,,,26-39,,Defensive rebound by Team
9:07.0,K. Olynyk enters the game for T. Zeller,,26-39,,
9:04.0,,,26-39,,Shooting foul by J. Sullinger (drawn by D. Howard)
9:04.0,,,26-40,1,D. Howard makes free throw 1 of 2
9:04.0,,,26-40,,D. Howard misses free throw 2 of 2
9:04.0,Defensive rebound by J. Sullinger,,26-40,,
8:47.0,Turnover by J. Sullinger (bad pass; steal by J. Terry),,26-40,,
8:44.0,,,26-40,,Shooting foul by J. Sullinger (drawn by D. Howard)
8:44.0,,,26-40,,Houston full timeout
8:44.0,B. Bass enters the game for J. Sullinger,,26-40,,
8:44.0,,,26-40,,J. Harden enters the game for J. Terry
8:44.0,,,26-40,,D. Howard misses free throw 1 of 2
8:44.0,,,26-40,,Offensive rebound by Team
8:44.0,,,26-41,1,D. Howard makes free throw 2 of 2
8:30.0,K. Olynyk makes 2-pt shot from 1 ft (assist by R. Rondo),2,28-41,,
8:17.0,,,28-41,,I. Canaan misses 3-pt shot from 23 ft
8:16.0,Defensive rebound by K. Olynyk,,28-41,,
8:10.0,Turnover by K. Olynyk (bad pass; steal by K. Papanikolaou),,28-41,,
8:05.0,,,28-44,3,I. Canaan makes 3-pt shot from 24 ft (assist by J. Harden)
7:38.0,Turnover by Team (shot clock),,28-44,,
7:38.0,A. Bradley enters the game for M. Thornton,,28-44,,
7:22.0,,,28-46,2,D. Howard makes 2-pt shot from 6 ft (assist by K. Papanikolaou)
7:00.0,B. Bass misses 2-pt shot from 1 ft,,28-46,,
6:59.0,Offensive rebound by B. Bass,,28-46,,
6:59.0,B. Bass misses 2-pt shot from 1 ft,,28-46,,
6:57.0,,,28-46,,Defensive rebound by D. Motiejunas
6:46.0,,,28-46,,D. Howard misses 2-pt shot from 8 ft
6:44.0,Defensive rebound by R. Rondo,,28-46,,
6:38.0,E. Turner makes 2-pt shot from 13 ft,2,30-46,,
6:28.0,,,30-46,,I. Canaan misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by R. Rondo,,30-46,,
6:16.0,R. Rondo misses 2-pt shot from 9 ft,,30-46,,
6:14.0,,,30-46,,Defensive rebound by J. Harden
6:09.0,,,30-46,,K. Papanikolaou misses 3-pt shot from 23 ft
6:08.0,Defensive rebound by R. Rondo,,30-46,,
6:01.0,K. Olynyk misses 3-pt shot from 25 ft,,30-46,,
5:59.0,,,30-46,,Defensive rebound by J. Harden
5:54.0,,,30-46,,Houston full timeout
5:54.0,J. Green enters the game for R. Rondo,,30-46,,
5:54.0,M. Smart enters the game for E. Turner,,30-46,,
5:54.0,,,30-46,,T. Ariza enters the game for D. Howard
5:54.0,,,30-46,,T. Black enters the game for K. Papanikolaou
5:54.0,,,30-46,,T. Jones enters the game for D. Motiejunas
