time,Miami,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. M. Plumlee (G. Dragic gains possession),,,,Jump ball: C. Bosh vs. M. Plumlee (G. Dragic gains possession)
11:45.0,,,0-2,2,M. Morris makes 2-pt shot from 14 ft (assist by G. Dragic)
11:29.0,D. Wade misses 2-pt shot from 2 ft,,0-2,,
11:28.0,,,0-2,,Defensive rebound by M. Plumlee
11:14.0,,,0-2,,G. Dragic misses 3-pt shot from 22 ft
11:13.0,Defensive rebound by L. Deng,,0-2,,
11:01.0,L. Deng makes 3-pt shot from 23 ft (assist by N. Cole),3,3-2,,
10:46.0,,,3-2,,Turnover by E. Bledsoe (bad pass; steal by D. Wade)
10:31.0,,,3-2,,Personal block foul by P. Tucker (drawn by L. Deng)
10:28.0,C. Bosh makes 2-pt shot from 1 ft (assist by L. Deng),2,5-2,,
10:14.0,,,5-2,,M. Morris misses 2-pt shot from 17 ft
10:13.0,Defensive rebound by C. Bosh,,5-2,,
9:55.0,D. Wade makes 2-pt shot from 18 ft,2,7-2,,
9:36.0,,,7-2,,E. Bledsoe misses 3-pt shot from 22 ft
9:35.0,Defensive rebound by N. Cole,,7-2,,
9:28.0,N. Cole misses 2-pt shot from 3 ft,,7-2,,
9:27.0,,,7-2,,Defensive rebound by M. Plumlee
9:10.0,,,7-2,,P. Tucker misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by C. Bosh,,7-2,,
8:58.0,Turnover by D. Wade (bad pass; steal by P. Tucker),,7-2,,
8:52.0,,,7-2,,Turnover by M. Morris (bad pass; steal by J. McRoberts)
8:46.0,C. Bosh makes 2-pt shot at rim (assist by J. McRoberts),2,9-2,,
8:36.0,,,9-2,,Phoenix full timeout
8:25.0,,,9-2,,Turnover by E. Bledsoe (traveling)
8:13.0,,,9-2,,Personal foul by M. Morris (drawn by J. McRoberts)
8:07.0,N. Cole misses 3-pt shot from 24 ft,,9-2,,
8:06.0,Offensive rebound by L. Deng,,9-2,,
8:06.0,Shooting foul by P. Tucker (drawn by L. Deng),,9-2,,
8:06.0,L. Deng misses free throw 1 of 2,,9-2,,
8:06.0,Offensive rebound by Team,,9-2,,
8:06.0,,,9-2,,M. Morris enters the game for P. Tucker
8:06.0,L. Deng misses free throw 2 of 2,,9-2,,
8:05.0,,,9-2,,Defensive rebound by M. Plumlee
7:48.0,,,9-4,2,M. Plumlee makes 2-pt shot at rim (assist by G. Dragic)
7:27.0,C. Bosh makes 2-pt shot at rim (assist by J. McRoberts),2,11-4,,
7:12.0,,,11-4,,E. Bledsoe misses 3-pt shot from 24 ft
7:11.0,,,11-4,,Offensive rebound by M. Morris
7:08.0,,,11-7,3,G. Dragic makes 3-pt shot from 25 ft (assist by M. Morris)
6:54.0,L. Deng misses 3-pt shot from 22 ft,,11-7,,
6:53.0,,,11-7,,Defensive rebound by E. Bledsoe
6:39.0,,,11-10,3,M. Morris makes 3-pt shot from 25 ft (assist by G. Dragic)
6:14.0,L. Deng makes 2-pt shot from 1 ft,2,13-10,,
5:56.0,,,13-12,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Dragic)
5:30.0,D. Wade makes 2-pt shot from 17 ft (assist by C. Bosh),2,15-12,,
5:18.0,,,15-14,2,G. Dragic makes 2-pt shot at rim (assist by E. Bledsoe)
5:17.0,Miami full timeout,,15-14,,
5:04.0,C. Bosh makes 2-pt shot from 5 ft,2,17-14,,
4:47.0,,,17-14,,Turnover by M. Morris (bad pass; steal by C. Bosh)
4:41.0,D. Wade misses 2-pt shot from 3 ft,,17-14,,
4:40.0,Offensive rebound by D. Wade,,17-14,,
4:35.0,L. Deng makes 2-pt shot from 7 ft,2,19-14,,
4:16.0,,,19-14,,G. Dragic misses 2-pt shot from 16 ft
4:15.0,Defensive rebound by J. McRoberts,,19-14,,
