time,Minnesota,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. D. Favors (G. Hayward gains possession),,,,Jump ball: G. Dieng vs. D. Favors (G. Hayward gains possession)
11:46.0,,,0-0,,Shooting foul by G. Dieng (drawn by E. Kanter)
11:46.0,,,0-1,1,E. Kanter makes free throw 1 of 2
11:46.0,,,0-2,1,E. Kanter makes free throw 2 of 2
11:25.0,Turnover by Z. LaVine (bad pass),,0-2,,
11:04.0,,,0-2,,T. Burke misses 2-pt shot from 6 ft
11:03.0,Defensive rebound by Z. LaVine,,0-2,,
10:57.0,Z. LaVine misses 2-pt shot from 3 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by E. Kanter
10:49.0,,,0-4,2,R. Hood makes 2-pt shot at rim (assist by T. Burke)
10:30.0,G. Dieng misses 2-pt shot from 18 ft,,0-4,,
10:28.0,Offensive rebound by A. Wiggins,,0-4,,
10:28.0,A. Wiggins makes 2-pt shot from 1 ft,2,2-4,,
10:17.0,,,2-4,,R. Hood misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by Z. LaVine,,2-4,,
10:06.0,T. Young misses 2-pt shot from 16 ft,,2-4,,
10:06.0,Offensive rebound by Team,,2-4,,
10:06.0,,,2-4,,Loose ball foul by D. Favors (drawn by G. Dieng)
10:01.0,Z. LaVine makes 2-pt shot from 22 ft (assist by G. Dieng),2,4-4,,
9:38.0,,,4-4,,R. Hood misses 2-pt shot from 4 ft
9:37.0,Defensive rebound by S. Muhammad,,4-4,,
9:33.0,Shooting foul by R. Hood (drawn by S. Muhammad),,4-4,,
9:33.0,S. Muhammad makes free throw 1 of 2,1,5-4,,
9:33.0,S. Muhammad makes free throw 2 of 2,1,6-4,,
9:08.0,,,6-4,,R. Hood misses 3-pt shot from 23 ft
9:07.0,Defensive rebound by A. Wiggins,,6-4,,
8:47.0,T. Young misses 2-pt shot from 3 ft (block by D. Favors),,6-4,,
8:46.0,Offensive rebound by S. Muhammad,,6-4,,
8:42.0,S. Muhammad misses 2-pt shot from 12 ft,,6-4,,
8:41.0,,,6-4,,Defensive rebound by G. Hayward
8:33.0,,,6-7,3,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward)
8:19.0,Shooting foul by R. Hood (drawn by S. Muhammad),,6-7,,
8:19.0,S. Muhammad makes free throw 1 of 2,1,7-7,,
8:19.0,,,7-7,,J. Ingles enters the game for R. Hood
8:19.0,S. Muhammad makes free throw 2 of 2,1,8-7,,
8:05.0,,,8-7,,T. Burke misses 2-pt shot from 5 ft (block by G. Dieng)
8:02.0,Defensive rebound by A. Wiggins,,8-7,,
8:00.0,S. Muhammad makes 2-pt shot at rim (assist by A. Wiggins),2,10-7,,
7:46.0,,,10-7,,Turnover by E. Kanter (traveling)
7:34.0,A. Wiggins misses 2-pt shot from 15 ft,,10-7,,
7:32.0,,,10-7,,Defensive rebound by E. Kanter
7:17.0,,,10-7,,D. Favors misses 2-pt shot at rim
7:17.0,,,10-7,,Offensive rebound by E. Kanter
7:15.0,,,10-9,2,E. Kanter makes 2-pt shot at rim
