time,Brooklyn,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. M. Plumlee (D. Williams gains possession),,,,Jump ball: D. Nowitzki vs. M. Plumlee (D. Williams gains possession)
11:46.0,Turnover by M. Plumlee (lost ball),,0-0,,
11:34.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Rondo)
11:20.0,M. Brown makes 3-pt shot from 23 ft (assist by A. Anderson),3,3-2,,
10:58.0,,,3-2,,Turnover by R. Rondo (lost ball; steal by M. Brown)
10:56.0,Turnover by M. Plumlee (lost ball),,3-2,,
10:47.0,,,3-4,2,J. Barea makes 2-pt shot from 1 ft
10:33.0,Turnover by A. Anderson (lost ball; steal by M. Ellis),,3-4,,
10:28.0,,,3-6,2,R. Rondo makes 2-pt shot at rim
10:15.0,A. Anderson misses 3-pt shot from 24 ft,,3-6,,
10:13.0,,,3-6,,Defensive rebound by R. Rondo
10:07.0,,,3-8,2,R. Rondo makes 2-pt shot from 1 ft
9:56.0,D. Williams makes 3-pt shot from 22 ft (assist by J. Johnson),3,6-8,,
9:43.0,,,6-8,,R. Rondo misses 2-pt shot from 16 ft
9:41.0,,,6-8,,Offensive rebound by D. Nowitzki
9:29.0,,,6-8,,M. Ellis misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by J. Johnson,,6-8,,
9:12.0,D. Williams makes 3-pt shot from 24 ft (assist by J. Johnson),3,9-8,,
8:48.0,,,9-8,,R. Jefferson misses 3-pt shot from 24 ft
8:47.0,,,9-8,,Offensive rebound by D. Nowitzki
8:47.0,Loose ball foul by D. Williams (drawn by D. Nowitzki),,9-8,,
8:28.0,,,9-8,,M. Ellis misses 2-pt shot from 13 ft
8:27.0,Defensive rebound by J. Johnson,,9-8,,
8:19.0,D. Williams misses 2-pt shot from 14 ft,,9-8,,
8:17.0,,,9-8,,Defensive rebound by D. Nowitzki
8:06.0,Personal foul by J. Johnson (drawn by R. Rondo),,9-8,,
7:54.0,,,9-8,,J. Barea misses 2-pt shot from 12 ft
7:51.0,Defensive rebound by M. Plumlee,,9-8,,
7:41.0,M. Brown misses 2-pt shot from 16 ft,,9-8,,
7:40.0,,,9-8,,Defensive rebound by R. Jefferson
7:29.0,,,9-8,,M. Ellis misses 2-pt shot from 2 ft (block by M. Plumlee)
7:27.0,,,9-8,,Offensive rebound by R. Jefferson
7:25.0,,,9-8,,Turnover by R. Jefferson (bad pass; steal by M. Brown)
7:19.0,M. Plumlee makes 2-pt shot at rim (assist by A. Anderson),2,11-8,,
6:58.0,,,11-8,,J. Barea misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by J. Johnson,,11-8,,
6:49.0,M. Brown misses 3-pt shot from 22 ft,,11-8,,
6:48.0,,,11-8,,Defensive rebound by R. Jefferson
6:38.0,,,11-10,2,M. Ellis makes 2-pt shot from 2 ft (assist by R. Rondo)
6:25.0,A. Anderson makes 2-pt shot at rim (assist by D. Williams),2,13-10,,
6:09.0,,,13-10,,D. Nowitzki misses 2-pt shot from 20 ft
6:08.0,,,13-10,,Offensive rebound by Team
6:08.0,,,13-10,,A. Stoudemire enters the game for D. Nowitzki
6:08.0,,,13-10,,A. Aminu enters the game for J. Barea
6:08.0,B. Lopez enters the game for M. Plumlee,,13-10,,
5:59.0,,,13-13,3,R. Jefferson makes 3-pt shot from 22 ft (assist by R. Rondo)
5:34.0,Turnover by Team (shot clock),,13-13,,
5:34.0,,,13-13,,Dallas full timeout
5:20.0,,,13-15,2,A. Stoudemire makes 2-pt shot at rim (assist by R. Rondo)
5:05.0,B. Lopez makes 2-pt shot at rim (assist by D. Williams),2,15-15,,
4:45.0,,,15-15,,A. Stoudemire misses 2-pt shot from 4 ft
4:43.0,,,15-15,,Offensive rebound by R. Rondo
4:39.0,,,15-15,,Turnover by R. Rondo (lost ball; steal by A. Anderson)
4:36.0,D. Williams makes 2-pt shot from 3 ft,2,17-15,,
4:14.0,,,17-15,,M. Ellis misses 2-pt shot from 2 ft
4:12.0,Defensive rebound by M. Brown,,17-15,,
3:59.0,A. Anderson misses 2-pt shot from 1 ft (block by A. Aminu),,17-15,,
3:58.0,Offensive rebound by A. Anderson,,17-15,,
3:53.0,B. Lopez makes 2-pt shot from 14 ft (assist by A. Anderson),2,19-15,,
3:47.0,,,19-15,,Turnover by R. Rondo (bad pass)
3:37.0,J. Johnson misses 2-pt shot from 4 ft,,19-15,,
3:36.0,,,19-15,,Defensive rebound by A. Stoudemire
3:36.0,Loose ball foul by B. Lopez (drawn by A. Stoudemire),,19-15,,
3:36.0,,,19-15,,D. Harris enters the game for R. Rondo
3:19.0,,,19-17,2,A. Stoudemire makes 2-pt shot from 2 ft
3:05.0,,,19-17,,Personal foul by A. Stoudemire (drawn by M. Brown)
3:05.0,J. Jack enters the game for D. Williams,,19-17,,
3:05.0,B. Bogdanovic enters the game for M. Brown,,19-17,,
2:51.0,J. Johnson misses 3-pt shot from 24 ft,,19-17,,
2:50.0,,,19-17,,Defensive rebound by A. Stoudemire
2:44.0,,,19-19,2,A. Aminu makes 2-pt shot from 1 ft (assist by M. Ellis)
2:38.0,Turnover by A. Anderson (lost ball; steal by A. Aminu),,19-19,,
2:32.0,,,19-21,2,R. Jefferson makes 2-pt shot at rim (assist by D. Harris)
2:32.0,Brooklyn full timeout,,19-21,,
2:32.0,T. Young enters the game for J. Johnson,,19-21,,
2:17.0,B. Bogdanovic misses 2-pt shot from 20 ft,,19-21,,
2:16.0,Offensive rebound by T. Young,,19-21,,
2:04.0,T. Young makes 2-pt shot from 8 ft,2,21-21,,
1:43.0,,,21-24,3,A. Aminu makes 3-pt shot from 22 ft (assist by M. Ellis)
1:19.0,J. Jack makes 2-pt shot from 18 ft (assist by A. Anderson),2,23-24,,
0:58.0,,,23-24,,D. Harris misses 3-pt shot from 23 ft
0:57.0,Defensive rebound by B. Lopez,,23-24,,
0:48.0,Turnover by B. Bogdanovic (lost ball; steal by M. Ellis),,23-24,,
0:42.0,,,23-24,,Turnover by D. Harris (bad pass)
0:42.0,,,23-24,,J. Barea enters the game for M. Ellis
0:42.0,,,23-24,,D. Nowitzki enters the game for R. Jefferson
0:22.0,T. Young misses 2-pt shot from 15 ft,,23-24,,
0:20.0,,,23-24,,Defensive rebound by A. Stoudemire
0:09.0,Personal take foul by B. Bogdanovic (drawn by J. Barea),,23-24,,
0:00.0,,,23-26,2,D. Harris makes 2-pt shot from 10 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,23-26,,Shooting foul by A. Anderson (drawn by D. Harris)
11:49.0,,,23-27,1,D. Harris makes free throw 1 of 2
11:49.0,,,23-28,1,D. Harris makes free throw 2 of 2
