time,LA Clippers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Jordan (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. D. Jordan (S. Ibaka gains possession)
11:45.0,,,0-0,,R. Westbrook misses 2-pt shot from 15 ft
11:44.0,Defensive rebound by C. Paul,,0-0,,
11:40.0,,,0-0,,Personal foul by S. Ibaka (drawn by D. Jordan)
11:28.0,S. Hawes misses 3-pt shot from 25 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by A. Roberson
11:06.0,,,0-2,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:06.0,,,0-2,,Shooting foul by S. Hawes (drawn by S. Adams)
11:06.0,,,0-2,,S. Adams misses free throw 1 of 1
11:04.0,Defensive rebound by D. Jordan,,0-2,,
10:50.0,A. Rivers misses 3-pt shot from 25 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by K. Durant
10:43.0,,,0-2,,Shooting foul by A. Rivers (drawn by S. Ibaka)
10:43.0,,,0-3,1,S. Ibaka makes free throw 1 of 2
10:43.0,,,0-4,1,S. Ibaka makes free throw 2 of 2
10:24.0,M. Barnes makes 3-pt shot from 24 ft (assist by C. Paul),3,3-4,,
10:02.0,,,3-4,,Turnover by K. Durant (bad pass; steal by C. Paul)
9:58.0,C. Paul misses 3-pt shot from 24 ft,,3-4,,
9:57.0,,,3-4,,Defensive rebound by R. Westbrook
9:49.0,,,3-4,,S. Ibaka misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by Team,,3-4,,
9:37.0,M. Barnes misses 3-pt shot from 24 ft,,3-4,,
9:36.0,,,3-4,,Defensive rebound by S. Ibaka
9:30.0,,,3-4,,R. Westbrook misses 2-pt shot from 15 ft
9:28.0,,,3-4,,Offensive rebound by A. Roberson
9:16.0,,,3-4,,A. Roberson misses 2-pt shot from 1 ft
9:15.0,,,3-4,,Offensive rebound by A. Roberson
9:14.0,,,3-4,,A. Roberson misses 2-pt shot from 1 ft (block by D. Jordan)
9:14.0,,,3-4,,Offensive rebound by S. Ibaka
9:14.0,,,3-4,,Shooting foul by D. Jordan (drawn by S. Ibaka)
9:14.0,,,3-5,1,S. Ibaka makes free throw 1 of 3
9:14.0,,,3-6,1,S. Ibaka makes free throw 2 of 3
9:14.0,,,3-7,1,S. Ibaka makes free throw 3 of 3
8:55.0,S. Hawes misses 2-pt shot from 3 ft,,3-7,,
8:54.0,,,3-7,,Defensive rebound by R. Westbrook
8:37.0,,,3-7,,Turnover by R. Westbrook (bad pass; steal by A. Rivers)
8:31.0,M. Barnes misses 2-pt shot from 2 ft (block by S. Adams),,3-7,,
8:30.0,Jump ball: S. Adams vs. M. Barnes (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. M. Barnes (S. Ibaka gains possession)
8:30.0,,,3-7,,Defensive rebound by S. Adams
8:11.0,,,3-7,,S. Ibaka misses 2-pt shot from 2 ft
8:09.0,Defensive rebound by D. Jordan,,3-7,,
7:55.0,C. Paul makes 2-pt shot from 12 ft,2,5-7,,
7:41.0,,,5-7,,S. Ibaka misses 2-pt shot from 18 ft
7:41.0,Defensive rebound by C. Paul,,5-7,,
7:36.0,D. Jordan misses 2-pt shot from 2 ft (block by S. Ibaka),,5-7,,
7:34.0,,,5-7,,Defensive rebound by A. Roberson
7:28.0,,,5-7,,R. Westbrook misses 2-pt shot at rim
7:27.0,Defensive rebound by M. Barnes,,5-7,,
7:19.0,Turnover by A. Rivers (bad pass),,5-7,,
7:17.0,,,5-7,,Oklahoma City full timeout
7:14.0,,,5-10,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Adams)
6:46.0,S. Hawes makes 2-pt shot from 3 ft (assist by C. Paul),2,7-10,,
6:26.0,,,7-10,,R. Westbrook misses 2-pt shot from 1 ft
6:25.0,,,7-10,,Offensive rebound by S. Adams
6:25.0,,,7-10,,S. Adams misses 2-pt shot from 1 ft
6:24.0,,,7-10,,Offensive rebound by R. Westbrook
6:23.0,,,7-10,,R. Westbrook misses 2-pt shot from 1 ft
6:22.0,Defensive rebound by Team,,7-10,,
6:22.0,,,7-10,,Loose ball foul by R. Westbrook (drawn by M. Barnes)
6:22.0,J. Crawford enters the game for A. Rivers,,7-10,,
6:03.0,S. Hawes makes 2-pt shot from 8 ft (assist by M. Barnes),2,9-10,,
5:44.0,,,9-12,2,K. Durant makes 2-pt shot from 11 ft
5:31.0,J. Crawford misses 3-pt shot from 25 ft,,9-12,,
5:30.0,,,9-12,,Defensive rebound by R. Westbrook
5:26.0,,,9-12,,Turnover by R. Westbrook (bad pass; steal by M. Barnes)
5:22.0,J. Crawford makes 2-pt shot from 1 ft (assist by M. Barnes),2,11-12,,
5:04.0,,,11-12,,Turnover by R. Westbrook (bad pass; steal by M. Barnes)
5:01.0,M. Barnes makes 2-pt shot at rim,2,13-12,,
4:46.0,,,13-14,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
4:27.0,S. Hawes makes 2-pt shot from 16 ft (assist by C. Paul),2,15-14,,
4:10.0,,,15-16,2,K. Durant makes 2-pt shot from 14 ft
3:58.0,S. Hawes makes 3-pt shot from 24 ft (assist by C. Paul),3,18-16,,
3:45.0,,,18-16,,D. Waiters enters the game for A. Roberson
3:45.0,,,18-16,,N. Collison enters the game for S. Ibaka
3:35.0,,,18-16,,K. Durant misses 2-pt shot from 14 ft
3:35.0,Defensive rebound by J. Crawford,,18-16,,
3:29.0,J. Crawford misses 2-pt shot from 4 ft,,18-16,,
3:27.0,,,18-16,,Defensive rebound by D. Waiters
3:19.0,,,18-18,2,K. Durant makes 2-pt shot from 13 ft (assist by D. Waiters)
3:06.0,,,18-18,,Personal foul by N. Collison (drawn by S. Hawes)
3:00.0,J. Crawford misses 2-pt shot from 9 ft,,18-18,,
2:59.0,,,18-18,,Defensive rebound by Team
2:59.0,LA Clippers full timeout,,18-18,,
2:59.0,,,18-18,,R. Jackson enters the game for R. Westbrook
2:39.0,,,18-20,2,K. Durant makes 2-pt shot from 11 ft
2:25.0,M. Barnes makes 3-pt shot from 24 ft (assist by J. Crawford),3,21-20,,
2:11.0,,,21-22,2,K. Durant makes 2-pt shot from 13 ft (assist by D. Waiters)
1:58.0,Shooting foul by K. Durant (drawn by D. Jordan),,21-22,,
1:58.0,D. Jordan makes free throw 1 of 2,1,22-22,,
1:58.0,G. Davis enters the game for S. Hawes,,22-22,,
1:58.0,,,22-22,,M. McGary enters the game for S. Adams
1:58.0,D. Jordan misses free throw 2 of 2,,22-22,,
1:57.0,Offensive rebound by Team,,22-22,,
1:54.0,C. Paul makes 2-pt shot from 1 ft (assist by M. Barnes),2,24-22,,
1:39.0,,,24-22,,K. Durant misses 2-pt shot from 15 ft
1:38.0,,,24-22,,Offensive rebound by M. McGary
1:35.0,,,24-22,,K. Durant misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by J. Crawford,,24-22,,
1:22.0,C. Paul makes 2-pt shot from 15 ft,2,26-22,,
1:01.0,,,26-24,2,M. McGary makes 2-pt shot from 3 ft (assist by N. Collison)
0:52.0,G. Davis misses 2-pt shot from 17 ft,,26-24,,
0:51.0,,,26-24,,Defensive rebound by R. Jackson
0:46.0,,,26-26,2,M. McGary makes 2-pt shot from 1 ft (assist by R. Jackson)
0:31.0,C. Paul misses 3-pt shot from 25 ft,,26-26,,
0:29.0,,,26-26,,Defensive rebound by N. Collison
0:06.0,,,26-28,2,R. Jackson makes 2-pt shot from 18 ft
0:00.0,M. Barnes misses 3-pt shot from 22 ft,,26-28,,
0:00.0,,,26-28,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,26-28,,Personal block foul by A. Roberson (drawn by J. Crawford)
11:42.0,Turnover by H. Turkoglu (lost ball; steal by D. Waiters),,26-28,,
11:40.0,,,26-28,,Shooting foul by H. Turkoglu (drawn by D. Waiters)
11:40.0,,,26-28,,D. Waiters misses free throw 1 of 2
11:40.0,,,26-28,,Offensive rebound by Team
11:40.0,,,26-29,1,D. Waiters makes free throw 2 of 2
11:26.0,J. Crawford misses 2-pt shot from 19 ft,,26-29,,
11:25.0,,,26-29,,Defensive rebound by M. McGary
11:19.0,,,26-31,2,R. Jackson makes 2-pt shot from 3 ft
11:19.0,,,26-31,,Shooting foul by A. Rivers (drawn by R. Jackson)
11:19.0,,,26-32,1,R. Jackson makes free throw 1 of 1
11:07.0,G. Davis misses 2-pt shot from 1 ft (block by N. Collison),,26-32,,
11:06.0,,,26-32,,Defensive rebound by D. Waiters
10:56.0,,,26-32,,D. Waiters misses 2-pt shot from 3 ft
10:55.0,Defensive rebound by G. Davis,,26-32,,
10:50.0,,,26-32,,Personal foul by A. Roberson (drawn by A. Rivers)
10:43.0,H. Turkoglu misses 3-pt shot from 22 ft,,26-32,,
10:42.0,,,26-32,,Defensive rebound by A. Roberson
10:36.0,,,26-34,2,D. Waiters makes 2-pt shot from 1 ft (assist by R. Jackson)
10:29.0,LA Clippers full timeout,,26-34,,
10:29.0,,,26-34,,R. Westbrook enters the game for A. Roberson
10:29.0,C. Paul enters the game for H. Turkoglu,,26-34,,
10:21.0,J. Crawford makes 2-pt shot from 17 ft (assist by C. Paul),2,28-34,,
10:06.0,,,28-34,,D. Waiters misses 2-pt shot from 2 ft
10:05.0,,,28-34,,Offensive rebound by N. Collison
10:05.0,,,28-36,2,N. Collison makes 2-pt shot at rim
9:52.0,S. Hawes misses 3-pt shot from 24 ft,,28-36,,
9:51.0,,,28-36,,Defensive rebound by D. Waiters
9:46.0,,,28-38,2,M. McGary makes 2-pt shot from 1 ft (assist by D. Waiters)
9:28.0,S. Hawes makes 2-pt shot from 1 ft (assist by C. Paul),2,30-38,,
9:08.0,,,30-38,,N. Collison misses 2-pt shot from 15 ft
